"business","name","unit","per_unit_value","brand","category","sub_category","sub_category2","price","is_offer_enable","offer_price","featured_image","short_resolation_image","type","keywords","alert_quantity","sku","delivery_time","status","enable_stock","current_stock","description","shipping_charge","image1","image2","image3","image4","image5","image6"
"Anh Enterprise","RAY Disinfectant Liquid ( FDC 001 ,FDC 1.1) 4 liter","Piece","1","ray-life","nursery","sanitizer","","1200","0","","ray-disinfectant-liquid-fdc-001-fdc-11-4-liter-deshibazaarbd---215-1637499345-1637499345-619a41d171df3.webp","ray-disinfectant-liquid-fdc-001-fdc-11-4-liter-deshibazaarbd---215-1637499345-1637499345-619a41d171df3.webp","","","10","","1440","Active","50","50","<p>Brand: RAY<br />Product: Disinfectant<br />Net Weight: 4 Liter<br />Use: Any types of cold fog machine or usual spray machine<br />pH Level: 6.5-8</p>","","","","","","",""
"Anh Enterprise","RAY Disinfectant Liquid ( FDC 001 ,FDC 1.1) 1 Liter","Piece","1","ray-life","nursery","sanitizer","","1200","0","","ray-disinfectant-liquid-fdc-001-fdc-11-1-liter-deshibazaarbd---214-1637499345-1637499345-619a41d1661d2.webp","ray-disinfectant-liquid-fdc-001-fdc-11-1-liter-deshibazaarbd---214-1637499345-1637499345-619a41d1661d2.webp","","","10","","1440","Active","50","50","<p>Brand: RAY<br />Product: Disinfectant<br />Net Weight: 1 Liter<br />Use: Any types of a hot fog machine or usual spray machine<br />pH Level: 6.5-8.5</p>","","","","","","",""
"Shutkikhor","Premium Dry Fish- Special Grade Laitta (15 cm +/-, Grade-A+) 500 g","Piece","1","shutkikhor","groceries","food-items","canned-food","565","0","","premium-dry-fish-special-grade-laitta-15-cm-grade-a-500-g-deshibazaarbd---196-1637499344-1637499344-619a41d070a55.webp","premium-dry-fish-special-grade-laitta-15-cm-grade-a-500-g-deshibazaarbd---196-1637499344-1637499344-619a41d070a55.webp","","","10","","1440","Active","500","500","<p>Size: 15 cm +/ ; Grade: Special (A+); Purity: Chemical free and fresh. *Dust free and well washed. *Stomach removed. *Natural sun dried in presence of celluloid net. *Well dried. *Rich in proteins and vitamins. *Enriched with Omega 3-fatty acid</p>","","","","","","",""
"Shutkikhor","Premium Dry Fish- Special Grade Laitta (15 cm +/-, Grade-A+) 1 kg","Piece","1","shutkikhor","groceries","food-items","canned-food","1120","0","","premium-dry-fish-special-grade-laitta-15-cm-grade-a-1-kg-deshibazaarbd---195-1637499344-1637499344-619a41d05f32a.webp","premium-dry-fish-special-grade-laitta-15-cm-grade-a-1-kg-deshibazaarbd---195-1637499344-1637499344-619a41d05f32a.webp","","","10","","1440","Active","500","500","<p>Size: 15 cm +/&nbsp; Grade: Special (A+); Purity: Chemical free and fresh. *Dust free and well washed. *Stomach removed. *Natural sun dried in presence of celluloid net. *Well dried. *Rich in proteins and vitamins. *Enriched with Omega 3-fatty acid</p>","","","","","","",""
"Shutkikhor","Premium Dry Fish- Laitta (22 cm +/-, Grade-A) 500 g","Piece","1","shutkikhor","groceries","food-items","canned-food","500","0","","premium-dry-fish-laitta-22-cm-grade-a-500-g-deshibazaarbd---190-1637499344-1637499344-619a41d004dbf.webp","premium-dry-fish-laitta-22-cm-grade-a-500-g-deshibazaarbd---190-1637499344-1637499344-619a41d004dbf.webp","","","10","","1440","Active","500","500","<p>Size: 22 cm +/ ; Grade: A; Purity: Chemical free and fresh. *Dust free and well washed. *Stomach removed. *Natural sun dried in presence of celluloid net. *Well dried. *Rich in proteins and vitamins. *Enriched with Omega 3-fatty acid</p>","","","","","","",""
"Shutkikhor","Premium Dry Fish- Laitta (22 cm +/-, Grade-A) 1 kg","Piece","1","shutkikhor","groceries","food-items","canned-food","970","0","","premium-dry-fish-laitta-22-cm-grade-a-1-kg-deshibazaarbd---189-1637499343-1637499343-619a41cfe76cd.webp","premium-dry-fish-laitta-22-cm-grade-a-1-kg-deshibazaarbd---189-1637499343-1637499343-619a41cfe76cd.webp","","","10","","1440","Active","500","500","<p>Size: 22 cm +/ ; Grade: A; Purity: Chemical free and fresh. *Dust free and well washed. *Stomach removed. *Natural sun dried in presence of celluloid net. *Well dried. *Rich in proteins and vitamins. *Enriched with Omega 3-fatty acid</p>","","","","","","",""
"Shutkikhor","Premium Dry Fish- Lona Ilish (Whole, Grade-A) 1kg","Piece","1","shutkikhor","groceries","food-items","canned-food","700","0","","premium-dry-fish-lona-ilish-whole-grade-a-1kg-deshibazaarbd---192-1637499344-1637499344-619a41d0286cf.webp","premium-dry-fish-lona-ilish-whole-grade-a-1kg-deshibazaarbd---192-1637499344-1637499344-619a41d0286cf.webp","","","10","","1440","Active","500","500","<p>Size: Medium Whole sliced; Grade: A; Purity: Chemical free and fresh. *Dust free and well washed. *Stomach removed. *Natural sun dried in presence of celluloid net. *Well dried. *Rich in proteins and vitamins. *Enriched with Omega 3 fatty acid</p>","","","","","","",""
"Shutkikhor","Premium Dry Fish- Bashpata (8-12 cm, Grade-A) 500 g","Piece","1","shutkikhor","groceries","food-items","canned-food","390","0","","premium-dry-fish-bashpata-8-12-cm-grade-a-500-g-deshibazaarbd---179-1637499343-1637499343-619a41cf31a48.webp","premium-dry-fish-bashpata-8-12-cm-grade-a-500-g-deshibazaarbd---179-1637499343-1637499343-619a41cf31a48.webp","","","10","","1440","Active","500","500","<p>Size: Large (8 12 cm); Grade: A; Purity: Chemical free and fresh. *Dust free and well washed. *Stomach removed. *Natural sun dried in presence of celluloid net. *Well dried. *Rich in proteins and vitamins. *Enriched with Omega 3-fatty acid</p>","","","","","","",""
"Shutkikhor","Premium Dry Fish- Bashpata (8-12 cm, Grade-A) 1 kg","Piece","1","shutkikhor","groceries","food-items","canned-food","780","0","","premium-dry-fish-bashpata-8-12-cm-grade-a-1-kg-deshibazaarbd---178-1637499343-1637499343-619a41cf1f1bb.webp","premium-dry-fish-bashpata-8-12-cm-grade-a-1-kg-deshibazaarbd---178-1637499343-1637499343-619a41cf1f1bb.webp","","","10","","1440","Active","500","500","<p>Size: Large (8 12 cm); Grade: A; Purity: Chemical free and fresh. *Dust free and well washed. *Stomach removed. *Natural sun dried in presence of celluloid net. *Well dried. *Rich in proteins and vitamins. *Enriched with Omega 3-fatty acid</p>","","","","","","",""
"Shutkikhor","Premium Dry Fish- Lona Ilish (Chopped, Grade-A) 1kg","Piece","1","shutkikhor","groceries","food-items","canned-food","790","0","","premium-dry-fish-lona-ilish-chopped-grade-a-1kg-deshibazaarbd---191-1637499344-1637499344-619a41d0166b6.webp","premium-dry-fish-lona-ilish-chopped-grade-a-1kg-deshibazaarbd---191-1637499344-1637499344-619a41d0166b6.webp","","","10","","1440","Active","500","500","Size: Large (6 cm +/ ); Grade: A; Purity: Chemical free and fresh. *Dust free and well washed. *Stomach removed. *Natural sun dried in presence of celluloid net. *Well dried. *Rich in proteins and vitamins. *Enriched with Omega 3-fatty acid","","","","","","",""
"Haymama","Antique jewellery ,gold plated necklace , bg39, 3 years color guarantee BG39","Piece","1","haymama","fashion","watches-and-accessories","women's-jewelleries","1,650","0","","antique-jewellery-gold-plated-necklace-bg39-3-years-color-guarantee-bg39-deshibazaarbd---20-1637499045-1637499045-619a40a57e051.webp","antique-jewellery-gold-plated-necklace-bg39-3-years-color-guarantee-bg39-deshibazaarbd---20-1637499045-1637499045-619a40a57e051.webp","Super Sale","","10","","1440","Active","100","100","<p>Product Type: Jewelry Set, Material: Goldplated,Pearl ,Origin: India</p>","","","","","","",""
