"business","name","unit","per_unit_value","brand","category","sub_category","sub_category2","price","is_offer_enable","offer_price","featured_image","short_resolation_image","type","keywords","alert_quantity","sku","delivery_time","status","enable_stock","current_stock","description","shipping_charge","image1","image2","image3","image4","image5","image6"
"panmarkinternationalltd.","Pilot G-2 Pen Stylus Gray","piece","1","pilot","home-&-decor","stationery-and-craft","office-products","250","0","","pilot-g-2-pen-stylus-gray-deshibazaarbd---169-1638705359-1638705359-61aca8cfd5c74.webp","pilot-g-2-pen-stylus-gray-deshibazaarbd---169-1638705359-1638705359-61aca8cfd5c74.webp","","home-&-decor,stationary-&-craft","5","","","active","1","100","<p>Pilot 31020 G2 0.7mm Fine Point Gel Ink Pen. Retractable Gel Ink Rollerball Pen features water resistant, smear proof gel ink for exceedingly smooth writing. Contoured latex free rubber grip provides writing comfort. No cap to lose. Refillable.<p>","","","","","","",""
"panmarkinternationalltd.","Pilot G-2 Pen Stylus GO","piece","1","pilot","home-&-decor","stationery-and-craft","office-products","250","0","","pilot-g-2-pen-stylus-go-deshibazaarbd---168-1638705359-1638705359-61aca8cfcabfc.webp","pilot-g-2-pen-stylus-go-deshibazaarbd---168-1638705359-1638705359-61aca8cfcabfc.webp","","home-&-decor,stationary-&-craft","5","","","active","1","100","<div>
<div>
<p><strong>Pilot G2 Pen Stylus, Black<strong><p>
<div>
<div>
<div>
<div>
<ul>
<li>2-in-1 design keeps you working efficiently<li>
<li>Ultra-smooth gel allows fluid and long-lasting use<li>
<li>Highly accurate stylus ensures effortless navigation and writing<li>
<li>Cushion grip stays comfortable in your hand during extended use<li>
<ul>
<div>
<div>","","","","","","",""
"panmarkinternationalltd.","Pilot G-2 Pen Stylus LB","piece","1","pilot","home-&-decor","stationery-and-craft","office-products","250","0","","pilot-g-2-pen-stylus-lb-deshibazaarbd---170-1638705359-1638705359-61aca8cfe1bc3.webp","pilot-g-2-pen-stylus-lb-deshibazaarbd---170-1638705359-1638705359-61aca8cfe1bc3.webp","","home-&-decor,stationary-&-craft","5","","","active","1","100","<div><strong>Description<strong><div>
<div>
<p>Brand: Pilot<br >Model: G-2 Pen<br >Product type: Pen<br >Ink color: Black<br >Body color: Gold (As given picture).<br ><br >The Pilot G-2 PenStylus combines the famous retractable G-2 gel ink pen with a high performance precision stylus tip. Enjoy a premium writing experience with super smooth black G-2 gel ink. Retract the tip by clicking the convenient pocket clip. The rubberized stylus tip is compatible with all capacitive tablets and smartphones. Perfect for everyday use at work, home or school. Refillable with BLS-G2.<p>
<div>","","","","","","",""
"panmarkinternationalltd.","Pilot G-2 Pen Stylus RB","piece","1","pilot","home-&-decor","stationery-and-craft","office-products","250","0","","pilot-g-2-pen-stylus-rb-deshibazaarbd---172-1638705360-1638705360-61aca8d00444b.webp","pilot-g-2-pen-stylus-rb-deshibazaarbd---172-1638705360-1638705360-61aca8d00444b.webp","","home-&-decor,stationary-&-craft","5","","","active","1","100","<div><strong>Description<strong><div>
<div>
<p>Brand: Pilot<br >Model: G-2 Pen<br >Product type: Pen<br >Ink color: Black<br >Body color: Red (As given picture).<br ><br >The Pilot G-2 PenStylus combines the famous retractable G-2 gel ink pen with a high performance precision stylus tip. Enjoy a premium writing experience with super smooth black G-2 gel ink. Retract the tip by clicking the convenient pocket clip. The rubberized stylus tip is compatible with all capacitive tablets and smartphones. Perfect for everyday use at work, home or school. Refillable with BLS-G2.<p>
<div>","","","","","","",""
"panmarkinternationalltd.","Pilot G-2 Pen Stylus OB","piece","1","pilot","home-&-decor","stationery-and-craft","office-products","250","0","","pilot-g-2-pen-stylus-ob-deshibazaarbd---171-1638705359-1638705359-61aca8cfecb75.webp","pilot-g-2-pen-stylus-ob-deshibazaarbd---171-1638705359-1638705359-61aca8cfecb75.webp","","home-&-decor,stationary-&-craft","5","","","active","1","100","<div><strong>Description<strong><div>
<div>
<p>Brand: Pilot<br >Model: G-2 Pen<br >Product type: Pen<br >Ink color: Black<br >Body color: Red (As given picture).<br ><br >The Pilot G-2 PenStylus combines the famous retractable G-2 gel ink pen with a high performance precision stylus tip. Enjoy a premium writing experience with super smooth black G-2 gel ink. Retract the tip by clicking the convenient pocket clip. The rubberized stylus tip is compatible with all capacitive tablets and smartphones. Perfect for everyday use at work, home or school. Refillable with BLS-G2.<p>
<div>","","","","","","",""
"panmarkinternationalltd.","PILOT BX-V5 Black","piece","1","pilot","home-&-decor","stationery-and-craft","office-products","85","0","","pilot-bx-v5-black-deshibazaarbd---126-1638705357-1638705357-61aca8cdc6ed2.webp","pilot-bx-v5-black-deshibazaarbd---126-1638705357-1638705357-61aca8cdc6ed2.webp","","home-&-decor,stationary-&-craft","5","","","active","1","100","<p><strong>Product Details:<strong><p>
<p>PILOT BX-V5 Hi-Tecpoint<br >Product Type: Pen<br >Brand: Pilot<br >Made in Japan<br >Environment-Friendly<br >Comfortable integrated grip<br >Color: Black<p>","","","","","","",""
"panmarkinternationalltd.","PILOT BX-V5 Blue","piece","1","pilot","home-&-decor","stationery-and-craft","office-products","85","0","","pilot-bx-v5-blue-deshibazaarbd---128-1638705357-1638705357-61aca8cddd9b2.webp","pilot-bx-v5-blue-deshibazaarbd---128-1638705357-1638705357-61aca8cddd9b2.webp","","home-&-decor,stationary-&-craft","5","","","active","1","100","<p><strong>Product Details:<strong><p>
<p>PILOT BX-V5 Hi-Tecpoint<br >Product Type: Pen<br >Brand: Pilot<br >Made in Japan<br >Environment-Friendly<br >Comfortable integrated grip<br >Color: Blue<p>","","","","","","",""
"panmarkinternationalltd.","PILOT BX-V5 Green","piece","1","pilot","home-&-decor","stationery-and-craft","office-products","85","0","","pilot-bx-v5-green-deshibazaarbd---130-1638705358-1638705358-61aca8ce01a23.webp","pilot-bx-v5-green-deshibazaarbd---130-1638705358-1638705358-61aca8ce01a23.webp","","home-&-decor,stationary-&-craft","5","","","active","1","100","<ul>
<li>Product Type: Pen.<li>
<li>Brand: Pilot.<li>
<li>Quality: Standard.<li>
<li>Made in Japan.<li>
<li>More economical.<li>
<li>Environment-Friendly.<li>
<li>Comfortable integrated grip.<li>
<li>Minimum Order Quantity: 2 pieces.<li>
<li>Color: Green.&nbsp;<li>
<ul>","","","","","","",""
"panmarkinternationalltd.","PILOT BX-V5 Red","piece","1","pilot","home-&-decor","stationery-and-craft","office-products","85","0","","pilot-bx-v5-red-deshibazaarbd---133-1638705358-1638705358-61aca8ce2482b.webp","pilot-bx-v5-red-deshibazaarbd---133-1638705358-1638705358-61aca8ce2482b.webp","","home-&-decor,stationary-&-craft","5","","","active","1","100","<p>-<p>
<ul>
<li>Product Type: Pen.<li>
<li>Brand: Pilot.<li>
<li>Quality: Standard.<li>
<li>Made in Japan.<li>
<li>More economical.<li>
<li>Environment-Friendly.<li>
<li>Comfortable integrated grip.<li>
<li>Minimum Order Quantity: 2 pieces.<li>
<li>Color: red.&nbsp;<li>
<ul>
<p>-<p>","","","","","","",""
"panmarkinternationalltd.","PILOT BX-V5 Dark Red","piece","1","pilot","home-&-decor","stationery-and-craft","office-products","85","0","","pilot-bx-v5-dark-red-deshibazaarbd---129-1638705357-1638705357-61aca8cde9a3a.webp","pilot-bx-v5-dark-red-deshibazaarbd---129-1638705357-1638705357-61aca8cde9a3a.webp","","home-&-decor,stationary-&-craft","5","","","active","1","100","<p>-<p>
<ul>
<li>Product Type: Pen.<li>
<li>Brand: Pilot.<li>
<li>Quality: Standard.<li>
<li>Made in Japan.<li>
<li>More economical.<li>
<li>Environment-Friendly.<li>
<li>Comfortable integrated grip.<li>
<li>Minimum Order Quantity: 2 pieces.<li>
<li>Color: dark red.&nbsp;<li>
<ul>
<p>-<p>","","","","","","",""
