"business","name","unit","per_unit_value","brand","category","sub_category","sub_category2","vendor_price","price","is_offer_enable","offer_price","featured_image","short_resolation_image","type","keywords","alert_quantity","slug","sku","delivery_time","status","enable_stock","current_stock","description","shipping_charge","image1","image2","image3","image4","image5","image6"
"abelectronics","AH-A18SED Split AC 1.5 Ton White","Piece","1","sharp","home-appliances","cooling-&-heating","","53125","62500","0","","ah-a18sed-split-ac-15-ton-white-deshibazaarbd---2-1639481884-1639481884-61b8821c7d403.webp","ah-a18sed-split-ac-15-ton-white-deshibazaarbd---2-1639481884-1639481884-61b8821c7d403.webp","","Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating","5","","","","active","1","8","","","","","","","",""
"abelectronics","AH-A9LET (1.0 TON) Split AC 1 Ton White","Piece","1","sharp","home-appliances","cooling-&-heating","","39313","46250","0","","ah-a9let-10-ton-split-ac-1-ton-white-deshibazaarbd---1-1639481884-1639481884-61b8821c703f2.webp","ah-a9let-10-ton-split-ac-1-ton-white-deshibazaarbd---1-1639481884-1639481884-61b8821c703f2.webp","","Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating","5","","","","active","1","10","","","","","","","",""
"abelectronics","AH-XP12WMT Inverter Split AC 1.0 Ton White","Piece","1","sharp","home-appliances","cooling-&-heating","","53125","62500","0","","ah-xp12wmt-inverter-split-ac-10-ton-white-deshibazaarbd---3-1639481884-1639481884-61b8821c89323.webp","ah-xp12wmt-inverter-split-ac-10-ton-white-deshibazaarbd---3-1639481884-1639481884-61b8821c89323.webp","","Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating","5","","","","active","1","45","","","","","","","",""
"abelectronics","AH-XP18WMT Inverter Split AC 1.5 Ton White","Piece","1","sharp","home-appliances","cooling-&-heating","","71188","83750","0","","ah-xp18wmt-inverter-split-ac-15-ton-white-deshibazaarbd---4-1639481884-1639481884-61b8821c94db5.webp","ah-xp18wmt-inverter-split-ac-15-ton-white-deshibazaarbd---4-1639481884-1639481884-61b8821c94db5.webp","","Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating","5","","","","active","1","85","","","","","","","",""
"abelectronics","AH-XP22WMT Inverter Split AC 2.0 Ton White","Piece","1","sharp","home-appliances","cooling-&-heating","","76500","90000","0","","ah-xp22wmt-inverter-split-ac-20-ton-white-deshibazaarbd---5-1639481884-1639481884-61b8821ca0fd3.webp","ah-xp22wmt-inverter-split-ac-20-ton-white-deshibazaarbd---5-1639481884-1639481884-61b8821ca0fd3.webp","","Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating","5","","","","active","1","44","","","","","","","",""
"abelectronics","AXGT-18FHTC-B Window AC 1.5 Ton White","Piece","1","general","home-appliances","cooling-&-heating","","45688","53750","0","","axgt-18fhtc-b-window-ac-15-ton-white-deshibazaarbd---8-1639481884-1639481884-61b8821cc4652.webp","axgt-18fhtc-b-window-ac-15-ton-white-deshibazaarbd---8-1639481884-1639481884-61b8821cc4652.webp","","Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating","5","","","","active","1","25","","","","","","","",""
"abelectronics","AXGT-24FHTA Window AC 2 Ton White","Piece","1","general","home-appliances","cooling-&-heating","","5313","6250","0","","axgt-24fhta-window-ac-2-ton-white-deshibazaarbd---9-1639481884-1639481884-61b8821cd3abf.webp","axgt-24fhta-window-ac-2-ton-white-deshibazaarbd---9-1639481884-1639481884-61b8821cd3abf.webp","","Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating","5","","","","active","1","10","","","","","","","",""
"abelectronics","ASH12USCCW Split AC 1 Ton White","Piece","1","general","home-appliances","cooling-&-heating","","47813","56250","0","","ash12usccw-split-ac-1-ton-white-deshibazaarbd---7-1639481884-1639481884-61b8821cb8791.webp","ash12usccw-split-ac-1-ton-white-deshibazaarbd---7-1639481884-1639481884-61b8821cb8791.webp","","Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating","5","","","","active","1","100","","","","","","","",""
"abelectronics","ASGA-24FMTB-AOGA24FMTBH Split AC 2 Ton White","Piece","1","general","home-appliances","cooling-&-heating","","77563","91250","0","","asga-24fmtb-aoga24fmtbh-split-ac-2-ton-white-deshibazaarbd---6-1639481884-1639481884-61b8821cac6ad.webp","asga-24fmtb-aoga24fmtbh-split-ac-2-ton-white-deshibazaarbd---6-1639481884-1639481884-61b8821cac6ad.webp","","Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating","5","","","","active","1","45","","","","","","","",""
"abelectronics","BT-1209 Beard Trimmer","Piece","1","philips","fashion","mens-fashion","","2805","3300","0","","bt-1209-beard-trimmer-deshibazaarbd---19-1639481885-1639481885-61b8821d5e800.webp","bt-1209-beard-trimmer-deshibazaarbd---19-1639481885-1639481885-61b8821d5e800.webp","","Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating","5","","","","active","1","15","","","","","","","",""
"abelectronics","BT-1214-15 Beard Trimmer Black","Piece","1","philips","fashion","mens-fashion","","3570","4200","0","","bt-1214-15-beard-trimmer-black-deshibazaarbd---20-1639481885-1639481885-61b8821d6e406.webp","bt-1214-15-beard-trimmer-black-deshibazaarbd---20-1639481885-1639481885-61b8821d6e406.webp","","Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating","5","","","","active","1","10","","","","","","","",""
"abelectronics","BT-3206-14 Beard Trimmer","Piece","1","philips","fashion","mens-fashion","","4080","4800","0","","bt-3206-14-beard-trimmer-deshibazaarbd---22-1639481885-1639481885-61b8821d8d075.webp","bt-3206-14-beard-trimmer-deshibazaarbd---22-1639481885-1639481885-61b8821d8d075.webp","","Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating","5","","","","active","1","20","","","bt-3206-14-beard-trimmer-1-deshibazaarbd---21-1639481885-1639481885-61b8821d7ea03.webp","","","","",""
"abelectronics","BT-3216-14 Beard Trimmer","Piece","1","philips","fashion","mens-fashion","","4463","5250","0","","bt-3216-14-beard-trimmer-deshibazaarbd---23-1639481885-1639481885-61b8821d9d228.webp","bt-3216-14-beard-trimmer-deshibazaarbd---23-1639481885-1639481885-61b8821d9d228.webp","","Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating","5","","","","active","1","10","","","","","","","",""
"abelectronics","HP-8108 Hair Dryer Pink","Piece","1","philips","health-and-beauty-1","hair-care","","1403","1650","0","","hp-8108-hair-dryer-pink-deshibazaarbd---50-1639481887-1639481887-61b8821f1ca04.webp","hp-8108-hair-dryer-pink-deshibazaarbd---50-1639481887-1639481887-61b8821f1ca04.webp","","Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating","5","","","","active","1","150","","","hp-8108-hair-dryer-pink-1-deshibazaarbd---49-1639481887-1639481887-61b8821f0fbb7.webp","","","","",""
"abelectronics","BHC-010 Electric Hair Dryer Black","Piece","1","philips","health-and-beauty-1","hair-care","","1785","2100","0","","bhc-010-electric-hair-dryer-black-deshibazaarbd---11-1639481884-1639481884-61b8821cee1d4.webp","bhc-010-electric-hair-dryer-black-deshibazaarbd---11-1639481884-1639481884-61b8821cee1d4.webp","","Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating","5","","","","active","1","35","","","bhc-010-electric-hair-dryer-black-1-deshibazaarbd---10-1639481884-1639481884-61b8821ce1ea6.webp","","","","",""
"abelectronics","BHC-015-05 Hair Dryer","Piece","1","philips","health-and-beauty-1","hair-care","","1913","2250","0","","bhc-015-05-hair-dryer-deshibazaarbd---12-1639481885-1639481885-61b8821d06567.webp","bhc-015-05-hair-dryer-deshibazaarbd---12-1639481885-1639481885-61b8821d06567.webp","","Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating","5","","","","active","1","145","","","","","","","",""
"abelectronics","BHD-029-00 Efficient Hair Dryer","Piece","1","philips","health-and-beauty-1","hair-care","","3188","3750","0","","bhd-029-00-efficient-hair-dryer-deshibazaarbd---13-1639481885-1639481885-61b8821d12e23.webp","bhd-029-00-efficient-hair-dryer-deshibazaarbd---13-1639481885-1639481885-61b8821d12e23.webp","","Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating","5","","","","active","1","20","","","","","","","",""
"abelectronics","BHD-300-10 Hair Dryer","Piece","1","philips","health-and-beauty-1","hair-care","","3570","4200","0","","bhd-300-10-hair-dryer-deshibazaarbd---14-1639481885-1639481885-61b8821d1f4dc.webp","bhd-300-10-hair-dryer-deshibazaarbd---14-1639481885-1639481885-61b8821d1f4dc.webp","","Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating","5","","","","active","1","10","","","","","","","",""
"abelectronics","BHD-340-10 Hair Dryer","Piece","1","philips","health-and-beauty-1","hair-care","","3443","4050","0","","bhd-340-10-hair-dryer-deshibazaarbd---15-1639481885-1639481885-61b8821d2be38.webp","bhd-340-10-hair-dryer-deshibazaarbd---15-1639481885-1639481885-61b8821d2be38.webp","","Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating","5","","","","active","1","30","","","","","","","",""
"abelectronics","BHD-350-10 Hair Dryer","Piece","1","philips","health-and-beauty-1","hair-care","","5100","6000","0","","bhd-350-10-hair-dryer-deshibazaarbd---17-1639481885-1639481885-61b8821d46264.webp","bhd-350-10-hair-dryer-deshibazaarbd---17-1639481885-1639481885-61b8821d46264.webp","","Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating","5","","","","active","1","12","","","bhd-350-10-hair-dryer-1-deshibazaarbd---16-1639481885-1639481885-61b8821d377a5.webp","","","","",""
"abelectronics","BHD-360-20 Hair Dryer","Piece","1","philips","health-and-beauty-1","hair-care","","5483","6450","0","","bhd-360-20-hair-dryer-deshibazaarbd---18-1639481885-1639481885-61b8821d52a41.webp","bhd-360-20-hair-dryer-deshibazaarbd---18-1639481885-1639481885-61b8821d52a41.webp","","Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating","5","","","","active","1","14","","","","","","","",""
