"Product_Name","Image_Name","required_issue","business","unit","brand","category","sub_category","price"
"10000mAh MI 18W Fast Charge Power Bank 3 (Black) _CN","not found","0","0","0","0","0","0","0"
"10000mAh Redmi Power Bank Dual Output & Dual Input _CN","not found","0","0","0","0","0","0","0"
"20000mAh Redmi 18W Fast Charge Power Bank (White) _ CN","not found","0","0","0","0","0","0","0"
"Mi In-Ear Headphones Basic (Black)","not found","0","0","0","0","0","0","0"
"Mi True Wireless Earbuds Basic 2 (Global)_L","not found","0","0","0","0","0","0","0"
"Mi 360� WiFi Security Camera (1080p) - White","not found","0","0","0","0","0","0","0"
"Mi Wi-Fi Range Extender Pro����CN","not found","0","0","0","0","0","0","0"
"Mi Wi-Fi Range Extender Pro����Global","not found","0","0","0","0","0","0","0"
"Mi WiFi Router 4A AC1200 Dual Band_L","not found","0","0","0","0","0","0","0"
"Mi Electric Kettle_1.5L","not found","0","0","0","0","0","0","0"
"MI Smart Mask_L","not found","0","0","0","0","0","0","0"
"MI Smart Mask_M","not found","0","0","0","0","0","0","0"
"Neo � Black","not found","0","0","0","0","0","0","0"
"GTR 2 E � Black","not found","0","0","0","0","0","0","0"
"GTR 2 � Obsidian Black/Sport Edition","not found","0","0","0","0","0","0","0"
"GTR 2 � Obsidian Black/Classic Edition","not found","0","0","0","0","0","0","0"
"GTS 2 E � Black","not found","0","0","0","0","0","0","0"
"Amazfit T-Rex (A 1919) - Army Green","not found","0","0","0","0","0","0","0"
"LS05 Smart Watch_L                       RUDra","not found","0","0","0","0","0","0","0"
"JBL Headphone T500BT","not found","0","0","0","0","0","0","0"
"EARPHONE JBL TUNE 750BT NC (Black)","not found","0","0","0","0","0","0","0"
"EARPHONE JBL Endurance DIVE BT (Bnl)","not found","0","0","0","0","0","0","0"
"EARPHONE JBL T205 BT (Black)","not found","0","0","0","0","0","0","0"
"JBL SB 160 BAR RuDra","not found","0","0","0","0","0","0","0"
"JBL BAR 2.1","not found","0","0","0","0","0","0","0"
"JBL BAR 5.1","not found","0","0","0","0","0","0","0"
"HK Citation One (Black)","not found","0","0","0","0","0","0","0"
