"Product_Name","Image_Name","required_issue","business","vendor_price","unit","brand","category","sub_category","price"
"Gaming Monitor 27'' GM271SF","not found","0","0","0","0","0","0","0","0"
"Headset Stand AC3001 BLACK","not found","0","0","0","0","0","0","0","0"
"2.0 USB Spaker Pink GS202 SAKURA EDITION","not found","0","0","0","0","0","0","0","0"
"2.0 USB Speaker black GS203","not found","0","0","0","0","0","0","0","0"
"Wired Mouse G13","not found","0","0","0","0","0","0","0","0"
"Wired Mouse X9","not found","0","0","0","0","0","0","0","0"
"Wired Mouse X17","not found","0","0","0","0","0","0","0","0"
"Wired Mouse black X17 pro","not found","0","0","0","0","0","0","0","0"
"Wiredless Mouse Pink XD3 SAKURA EDITION","not found","0","0","0","0","0","0","0","0"
"Wired Mouse UX3 SPACE EDITION","not found","0","0","0","0","0","0","0","0"
"Wired Gaming Mouse White VX7 SPACE EDITION","not found","0","0","0","0","0","0","0","0"
