"Product_Name","Image_Name","required_issue","un_business","un_vendor_price","un_unit","un_brand","un_category","un_sub_category","un_price","business","name","unit","per_unit_value","brand","category","sub_category","sub_category2","vendor_price","price","is_offer_enable","offer_price","featured_image","short_resolation_image","type","keywords","alert_quantity","slug","sku","delivery_time","status","enable_stock","current_stock","description","shipping_charge","image1","image2","image3","image4","image5","image6"
"Starry Night Notebook SN201903104","not found","0","0","0","0","0","0","0","0","sevendaysnotes","Starry Night Notebook SN201903104","Piece","1","deshi-bazaar-book's-collections","home-&-decor","home-&-decor","","100","120","0","","","","","home-&-decor,home-&-decor","10","","","10080","active","1","100","","","","","","","",""
"business","not found","0","0","0","0","0","0","0","0","sevendaysnotes","business","Piece","1","deshi-bazaar-book's-collections","home-&-decor","media,-music-and-books","","100","120","0","","","","","home-&-decor,home-&-decor","10","","","10080","active","1","100","","","","","","","",""
"Happy Birthday Notebook","not found","0","0","0","0","0","0","0","0","sevendaysnotes","Happy Birthday Notebook","Piece","1","deshi-bazaar-book's-collections","home-&-decor","media,-music-and-books","","100","120","0","","","","","home-&-decor,home-&-decor","10","","","10080","active","1","100","","","","","","","",""
"Shuvo Noboborsho Orange & Red Colour Spiral Notebook","not found","0","0","0","0","0","0","0","0","sevendaysnotes","Shuvo Noboborsho Orange & Red Colour Spiral Notebook","Piece","1","deshi-bazaar-book's-collections","home-&-decor","media,-music-and-books","","216","260","0","","","","","home-&-decor,home-&-decor","10","","","10080","active","1","100","","","","","","","",""
"May Day ‍Spiral Notebook SN201903201","not found","0","0","0","0","0","0","0","0","sevendaysnotes","May Day ‍Spiral Notebook SN201903201","Piece","1","deshi-bazaar-book's-collections","home-&-decor","media,-music-and-books","","108","130","0","","","","","home-&-decor,home-&-decor","10","","","10080","active","1","100","","","","","","","",""
"Memo Book Black & White Double-O Ring Notebook","not found","0","0","0","0","0","0","0","0","sevendaysnotes","Memo Book Black & White Double-O Ring Notebook","Piece","1","deshi-bazaar-book's-collections","home-&-decor","media,-music-and-books","","199","240","0","","","","","home-&-decor,home-&-decor","10","","","10080","active","1","100","","","","","","","",""
"Memo Book White & Silver Double-O Ring Notebook","not found","0","0","0","0","0","0","0","0","sevendaysnotes","Memo Book White & Silver Double-O Ring Notebook","Piece","1","deshi-bazaar-book's-collections","home-&-decor","media,-music-and-books","","199","240","0","","","","","home-&-decor,home-&-decor","10","","","10080","active","1","100","","","","","","","",""
"Memo Book Black & Silver Double-O Ring Notebook 2-Pack","not found","0","0","0","0","0","0","0","0","sevendaysnotes","Memo Book Black & Silver Double-O Ring Notebook 2-Pack","Piece","1","deshi-bazaar-book's-collections","home-&-decor","media,-music-and-books","","199","240","0","","","","","home-&-decor,home-&-decor","10","","","10080","active","1","100","","","","","","","",""
"Memo Book White Black & Silver Double-O Ring Notebook","not found","0","0","0","0","0","0","0","0","sevendaysnotes","Memo Book White Black & Silver Double-O Ring Notebook","Piece","1","deshi-bazaar-book's-collections","home-&-decor","media,-music-and-books","","299","360","0","","","","","home-&-decor,home-&-decor","10","","","10080","active","1","100","","","","","","","",""
"Executive Series Kraft & White Cover Spiral Notebook 2-Pack","not found","0","0","0","0","0","0","0","0","sevendaysnotes","Executive Series Kraft & White Cover Spiral Notebook 2-Pack","Piece","1","deshi-bazaar-book's-collections","home-&-decor","media,-music-and-books","","249","300","0","","","","","home-&-decor,media,-music-and-books","10","","","10080","active","1","100","","","","","","","",""
"Executive Series Kraft & Black Spiral Notebook 2-Pack","not found","0","0","0","0","0","0","0","0","sevendaysnotes","Executive Series Kraft & Black Spiral Notebook 2-Pack","Piece","1","deshi-bazaar-book's-collections","home-&-decor","media,-music-and-books","","299","360","0","","","","","home-&-decor,media,-music-and-books","10","","","10080","active","1","100","","","","","","","",""
"Designer Series Dot-Grid & Graph/Grid Notebook 2-Pack","not found","0","0","0","0","0","0","0","0","sevendaysnotes","Designer Series Dot-Grid & Graph/Grid Notebook 2-Pack","Piece","1","deshi-bazaar-book's-collections","home-&-decor","media,-music-and-books","","398","480","0","","","","","home-&-decor,media,-music-and-books","10","","","10080","active","1","100","","","","","","","",""
"Explorer Notebook Jute Handmade Orange Board Cover","none","1","0",,"0","0","0","1","0","sevendaysnotes","Explorer Notebook Jute Handmade Orange Board Cover","Piece","1","deshi-bazaar-book's-collections","home-&-decor","","","125","150","0","","","","","home-&-decor,media,-music-and-books","10","","","10080","active","1","100","","","","","","","",""
"Artist Notebook Black & Silver Spiral 2-Pack","not found","0","0","0","0","0","0","0","0","sevendaysnotes","Artist Notebook Black & Silver Spiral 2-Pack","Piece","1","deshi-bazaar-book's-collections","home-&-decor","media,-music-and-books","","266","320","0","","","","","home-&-decor,media,-music-and-books","10","","","10080","active","1","100","","","","","","","",""
