business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
electroneeds,SHARP MICROWAVE OVEN (R-20MT-S) BASIC - 20L,piece,1,sharp,home-appliances,large-appliances,,11500,0,,,,,,10,,10080,100,100,,active,<p>Details Sharp Microwave Oven gives you the freedom to enjoy freshly baked foods in your home. The Sharp Microwave Oven R-20MT(S) offers the ideal way to cook and reheat small amounts of food in quick time. It makes the use of a 800W motor that helps you in finishing your cooking tasks in less time. This microwave is made of top grade materials that make it durable and long-lasting. Designed for Everyday Use This Sharp Microwave Oven is ergonomically designed and is incredibly easy to use. The digital display controls present in this microwave oven gives you a convenient way to operate.</p>,,,,,,
electroneeds,SHARP MICROWAVE OVEN (R-20CT-S) BASIC - 20L,piece,1,sharp,home-appliances,large-appliances,,11000,0,,,,,,10,,10080,100,100,,active,<p>SHARP Microwave Oven R20CT (S) 20 Liters.Capacity: 20 L.255mm diameter turntable.5 Power levels.Timer function.Silver with black glass finish door.Power Output: Microwave 800W.<strong>Warranty: 1 Year service warranty without parts.</strong></p>,,,,,,
electroneeds,SHARP MICROWAVE OVEN (R-28CT-S) BASIC - 28L,piece,1,sharp,home-appliances,large-appliances,,18000,0,,,,,,10,,10080,100,100,,active,<h5><strong>Microwave OvenTouch/ Membrane Control 315 mm Diameter Turntable10 Power LevelsBlack Glass DoorEnergy Saving ModeYellow Green DisplayGrey Painted CavityTimer FunctionLED Cavity LightWith External HandlStainless SteelCapacity &ndash; 28L</strong></h5>,,,,,,
electroneeds,SHARP MICROWAVE OVEN (R-72EO-S) HOT & GRILL - 25L,piece,1,sharp,home-appliances,large-appliances,,14000,0,,,,,,10,,10080,100,100,,active,<p>Powerful output (900W) for quick and efficient cookingPowerful Grill Function25L capacity with 315mm glass turntableEasy-to-use door with handleTouch Control8 Auto MenusClock &amp; Kitchen Timer</p>,,,,,,
electroneeds,SHARP MICROWAVE OVEN (R-75MT) HOT & GRILL - 25L,piece,1,sharp,home-appliances,large-appliances,,13500,0,,,,,,10,,10080,100,100,,active,<div>6 Auto Cooking Menu&rsquo;s11 Power Levels315mm Diameter Turntable Mirror FinishDooSilverColorwithGreyPaintedCavity&nbsp;Child LockTimerFunctionPowerOutput: Microwave 900W&nbsp;Grill 1000W</div>,,,,,,
electroneeds,SHARP MICROWAVE OVEN (R-77ATR-ST) HOT & GRILL - 34L,piece,1,sharp,home-appliances,large-appliances,,20000,0,,,,,,10,,10080,100,100,,active,<p>Colour Grey<br />Installation Countertop<br />Model Number R-77AT-ST<br />Product Length 59.5 cm<br />Product Height 59.5 cm<br />Product Width/Depth 54.8 cm<br />Capacity 20 L<br />Touch Panel Yes<br />Display Type Digital<br />Child Lock Yes<br />Energy Used Electric<br />Additional Feature 1 Corded<br />Additional Feature 2 Portable<br />Capacity 34 l</p>,,,,,,
electroneeds,SHARP MICROWAVE OVEN (R-45BT-ST) HOT & GRILL - 43L,piece,1,sharp,home-appliances,large-appliances,,23000,0,,,,,,10,,10080,100,100,,active,"<div class=""s-top"">
<p>This microwave oven is a device that can be used to cook or heat food using the heat produced by an electronic vacuum tube. Magnetron converts electricity into heat by electromagnetic radiation, which is made up of waves of electrical and magnetic energy. Inside the cooking area, microwaves are absorbed by food, which is cooked or heated in a few minutes or seconds. It has a timer / auto cook menu / turntable / child lock and alarm features.1100W output power17Kg weight</p>
</div>",,,,,,
electroneeds,SHARP MICROWAVE OVEN (R-92AO-ST-V) HOT + GRILL & CONVECTION - 32L,piece,1,sharp,home-appliances,large-appliances,,25000,0,,,,,,10,,10080,100,100,,active,<p>32 Litres CapacityPowerful Output Power (1000 W1100 W top grill2100 W convection)10 Auto-Cook MenusTime &amp; Weight DefrostChild LockLED DisplayAdditional 30-Second Function</p>,,,,,,
electroneeds,SHARP MICROWAVE OVEN (R-94AO-ST-V) HOT + GRILL & CONVECTION - 42L,piece,1,sharp,home-appliances,large-appliances,,26500,0,,,,,,10,,10080,100,100,,active,"<table id=""product-attribute-specs-table"" class=""data table additional-attributes""><caption class=""table-caption"">More Information</caption>
<tbody>
<tr>
<th class=""col label"" scope=""row"">SKU</th>
<td class=""col data"" data-th=""SKU"">50300097</td>
</tr>
<tr>
<th class=""col label"" scope=""row"">Price</th>
<td class=""col data"" data-th=""Price""><span class=""price"">Tk. 27,500</span></td>
</tr>
<tr>
<th class=""col label"" scope=""row"">Brand</th>
<td class=""col data"" data-th=""Brand"">Sharp</td>
</tr>
<tr>
<th class=""col label"" scope=""row"">Model</th>
<td class=""col data"" data-th=""Model"">R 94AO (ST) V</td>
</tr>
<tr>
<th class=""col label"" scope=""row"">Oven Technology</th>
<td class=""col data"" data-th=""Oven Technology"">Convection Oven</td>
</tr>
<tr>
<th class=""col label"" scope=""row"">Capacity (Litres)</th>
<td class=""col data"" data-th=""Capacity (Litres)"">42</td>
</tr>
<tr>
<th class=""col label"" scope=""row"">Display Type</th>
<td class=""col data"" data-th=""Display Type"">ELD</td>
</tr>
<tr>
<th class=""col label"" scope=""row"">Features</th>
<td class=""col data"" data-th=""Features"">Preheat, Timer, Defrost, Steam Cook, Auto Cook Menu, Cooking Completion Indicator, Turntable, Child Lock, Interior Light, Deodorizer, In Door Controls</td>
</tr>
<tr>
<th class=""col label"" scope=""row"">Power Levels</th>
<td class=""col data"" data-th=""Power Levels"">5</td>
</tr>
<tr>
<th class=""col label"" scope=""row"">Door Opening Mechanism</th>
<td class=""col data"" data-th=""Door Opening Mechanism"">Handle</td>
</tr>
<tr>
<th class=""col label"" scope=""row"">Color</th>
<td class=""col data"" data-th=""Color"">Multiple Colors</td>
</tr>
<tr>
<th class=""col label"" scope=""row"">Country of Origin</th>
<td class=""col data"" data-th=""Country of Origin"">Japan</td>
</tr>
<tr>
<th class=""col label"" scope=""row"">Country of Assemble</th>
<td class=""col data"" data-th=""Country of Assemble"">China</td>
</tr>
<tr>
<th class=""col label"" scope=""row"">Power Supply (V-Hz)</th>
<td class=""col data"" data-th=""Power Supply (V-Hz)"">230V-240V/50Hz</td>
</tr>
<tr>
<th class=""col label"" scope=""row"">Power Consumption (W)</th>
<td class=""col data"" data-th=""Power Consumption (W)"">2800 W (Convection) | 1400 w (Grill)</td>
</tr>
<tr>
<th class=""col label"" scope=""row"">Weight</th>
<td class=""col data"" data-th=""Weight"">19.500000</td>
</tr>
<tr>
<th class=""col label"" scope=""row"">Dimension (WxDxH)</th>
<td class=""col data"" data-th=""Dimension (WxDxH)"">535 x 550 x 326</td>
</tr>
<tr>
<th class=""col label"" scope=""row"">Features</th>
<td class=""col data"" data-th=""Features"">Anti-bacteria Filter, Dehumidification, Dust Filter</td>
</tr>
<tr>
<th class=""col label"" scope=""row"">Delivery</th>
<td class=""col data"" data-th=""Delivery"">Delivery countrywide,&nbsp;<a href=""https://www.mke.com.bd/showrooms"" target=""_blank"" rel=""noopener"">Showroom pickup</a></td>
</tr>
<tr>
<th class=""col label"" scope=""row"">Warranty</th>
<td class=""col data"" data-th=""Warranty"">1 year service warranty</td>
</tr>
<tr>
<th class=""col label"" scope=""row"">Special Price</th>
<td class=""col data"" data-th=""Special Price""><span class=""price"">Tk. 24,750</span></td>
</tr>
</tbody>
</table>",,,,,,
electroneeds,SHARP MICROWAVE OVEN (R78BR-ST) HOT + GRILL - 43L,piece,1,sharp,home-appliances,large-appliances,,22400,0,,,,,,10,,10080,100,100,,active,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li><span class=""a-list-item"">Brand: Sharp</span></li>
<li><span class=""a-list-item"">Manufacturer Number: R-78BR(ST)</span></li>
<li><span class=""a-list-item"">Energy consumption: 1000 watts</span></li>
<li><span class=""a-list-item"">Package weight in KGs: 20</span></li>
<li><span class=""a-list-item"">Capacity: 43 liters</span></li>
<li><span class=""a-list-item"">Type: Microwaves with Grill</span></li>
</ul>",,,,,,
electroneeds,SHARP ELECTRIC OVEN (EO-35K3) - 35L,piece,1,sharp,home-appliances,large-appliances,,10900,0,,,,,,10,,10080,100,100,,active,"<ul class="""" data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.56d6pQK5pQK5Nj"">
<li class="""">35 Liter Capacity</li>
<li class="""">1500 Watt Power</li>
<li class="""">Adjustable temperatures of up to 250 degrees Celsius</li>
<li class="""">60 minute Timer</li>
<li class="""">Toast, Grill &amp; Bake Function</li>
<li class="""">4 Stainless Steel Heating Element</li>
<li class="""">Rotisserie + Convection</li>
<li class="""">3 Level Heater Settings</li>
<li class="""" data-spm-anchor-id=""a2a0e.pdp.product_detail.i2.56d6pQK5pQK5Nj"">Dimension: (L X W X H): 54 X 37 X 35.8</li>
</ul>",,,,,,
electroneeds,SHARP ELECTRIC OVEN (EO-42K3) - 42L,piece,1,sharp,home-appliances,large-appliances,,12500,0,,,,,,10,,10080,100,100,,active,"<ul class="""">
<li class="""">Capacity : 42 Liter</li>
<li class="""">Glass Door, Double Glass</li>
<li class="""">Convection function</li>
<li class="""">Rotisserie function</li>
<li class="""">Adjustable Temperature Control up to 230&deg;</li>
<li class="""">60 Minute Timer with Chime</li>
<li class="""">With Lamp Inside</li>
<li class="""">4 Stainless Steel Heating Elements</li>
<li class="""" data-spm-anchor-id=""a2a0e.pdp.product_detail.i1.1153u5Wtu5WtT3"">Accessories: Handle Rack, Rotisserie Pack &amp; Spit, Crumb Tray, Food Tray, Handle Tray, Grill Rack</li>
</ul>",,,,,,
electroneeds,SHARP ELECTRIC OVEN (EO-60K3) - 60L,piece,1,sharp,home-appliances,large-appliances,,13500,0,,,,,,10,,10080,100,100,,active,"<div id=""content"" class=""site-content"">
<div class=""container"">
<div class=""row"">
<div id=""primary"" class=""content-area col-md-12"">
<div id=""product-1372"" class=""mf-single-product mf-product-layout-1 mf-has-buy-now product type-product post-1372 status-publish first instock product_cat-microwave-oven has-post-thumbnail shipping-taxable purchasable product-type-simple"">""woocommerce-Tabs-panel woocommerce-Tabs-panel--description panel entry-content wc-tab"" role=""tabpanel"" aria-labelledby=""tab-title-description""&gt;Type: Electric OvenCapacity: 60 LitreFeatures: Sharp 60 Liters Electric Oven With Grill, Stainless Steel Heating Element, Temperature Control Up To 250 Degree.Microwave Power Output: 2000 WFunctions: Toast,Grill,Bake,Roast,Rotisserie &amp; Convection. Selector Knobs For Lower,Upper And Both Heater.</div>",,,,,,
electroneeds,BLACK+DECKER MICROWAVE OVEN (MZ2800PG) (HOT + GRILL + CONVECTION) - 28L,piece,1,black+-decker,home-appliances,large-appliances,,26000,0,,,,,,10,,10080,100,100,,active,"<p>Defrost by weght&amp; time, digital control, 8 Auto cook menu options, 5 power levels, child safety lock, 1150W grill power, clock and timer, quick start.</p>",,,,,,
electroneeds,PANASONIC BLENDER (2 IN ONE) - MX-M200 (450WATT),piece,1,panasonic,home-appliances,small-kitchen-applia,,4800,0,,,,,,10,,10080,100,100,,active,<p>450 watt Powerful MotorBlender Jar Capacity: 1.0 LiterDry Mill Jar Capacity: 50 gmSharp &amp; Durable Stainless Steel Cutting BladeScraper for Easy MixingSimple ON/OFF SwitchCircuit Breaker &amp; Safety LockMade in Malaysia</p>,,,,,,
