"business","name","unit","per_unit_value","brand","category","sub_category","sub_category2","vendor_price","price","is_offer_enable","offer_price","featured_image","short_resolation_image","type","keywords","alert_quantity","slug","sku","delivery_time","status","enable_stock","current_stock","description","shipping_charge","image1","image2","image3","image4","image5","image6"
"newazenterprise","Laptop Cooler RGB NC20","Piece","1","fantech","electronic-accessori","mobile-accessories","",,"4,000.00৳","0","","laptop-cooler-rgb-nc20-deshibazaarbd---23-1639200060-1639200060-61b4353c45965.webp","laptop-cooler-rgb-nc20-deshibazaarbd---23-1639200060-1639200060-61b4353c45965.webp","","electronic-accessori,mobile-accessories","3",,"","10080","active","1","10","","","","","","","",""
"newazenterprise","Wired Headset EG2","Piece","1","fantech","electronic-accessori","mobile-accessories","",,"1,650.00৳","0","","wired-headset-eg2-deshibazaarbd---53-1639200062-1639200062-61b4353e01ef7.webp","wired-headset-eg2-deshibazaarbd---53-1639200062-1639200062-61b4353e01ef7.webp","","electronic-accessori,mobile-accessories","3",,"","10080","active","1","10","","","","","","","",""
"newazenterprise","Wired Headset EG1","Piece","1","fantech","electronic-accessori","mobile-accessories","",,"1,450.00৳","0","","wired-headset-eg1-deshibazaarbd---52-1639200061-1639200061-61b4353de99f1.webp","wired-headset-eg1-deshibazaarbd---52-1639200061-1639200061-61b4353de99f1.webp","","electronic-accessori,mobile-accessories","3",,"","10080","active","1","10","","","","","","","",""
"newazenterprise","Blutooth TWS Earphones TX-1","Piece","1","fantech","electronic-accessori","mobile-accessories","",,"3,200.00৳","0","","blutooth-tws-earphones-tx-1-deshibazaarbd---12-1639200059-1639200059-61b4353baa0ee.webp","blutooth-tws-earphones-tx-1-deshibazaarbd---12-1639200059-1639200059-61b4353baa0ee.webp","","electronic-accessori,mobile-accessories","3",,"","10080","active","1","10","","","","","","","",""
"newazenterprise","Blutooth TWS Earphones TX-1 PRO","Piece","1","fantech","electronic-accessori","mobile-accessories","",,"4,800.00৳","0","","blutooth-tws-earphones-tx-1-pro-deshibazaarbd---11-1639200059-1639200059-61b4353b9c2a1.webp","blutooth-tws-earphones-tx-1-pro-deshibazaarbd---11-1639200059-1639200059-61b4353b9c2a1.webp","","electronic-accessori,mobile-accessories","3",,"","10080","active","1","10","","","","","","","",""
"newazenterprise","Blutooth Headphone WH01","Piece","1","fantech","electronic-accessori","mobile-accessories","",,"4,300.00৳","0","","blutooth-headphone-wh01-deshibazaarbd---8-1639200059-1639200059-61b4353b6d3ca.webp","blutooth-headphone-wh01-deshibazaarbd---8-1639200059-1639200059-61b4353b6d3ca.webp","","electronic-accessori,mobile-accessories","3",,"","10080","active","1","10","","","","","","","",""
"newazenterprise","Blutooth Earphones WN01","Piece","1","fantech","electronic-accessori","mobile-accessories","",,"2,800.00৳","0","","blutooth-earphones-wn01-deshibazaarbd---7-1639200059-1639200059-61b4353b5edcf.webp","blutooth-earphones-wn01-deshibazaarbd---7-1639200059-1639200059-61b4353b5edcf.webp","","electronic-accessori,mobile-accessories","3",,"","10080","active","1","10","","","","","","","",""
"newazenterprise","Wired Headphone HQ52","Piece","1","fantech","electronic-accessori","mobile-accessories","",,"1,450.00৳","0","","wired-headphone-hq52-deshibazaarbd---42-1639200061-1639200061-61b4353d608bd.webp","wired-headphone-hq52-deshibazaarbd---42-1639200061-1639200061-61b4353d608bd.webp","","electronic-accessori,mobile-accessories","3",,"","10080","active","1","10","","","","","","","",""
"newazenterprise","Wired Headphone HQ52S","Piece","1","fantech","electronic-accessori","mobile-accessories","",,"1,500.00৳","0","","wired-headphone-hq52s-deshibazaarbd---43-1639200061-1639200061-61b4353d6d021.webp","wired-headphone-hq52s-deshibazaarbd---43-1639200061-1639200061-61b4353d6d021.webp","","electronic-accessori,mobile-accessories","3",,"","10080","active","1","10","","","","","","","",""
"newazenterprise","Wired 7.1 Headphones HG11 BLACK","Piece","1","fantech","electronic-accessori","mobile-accessories","",,"3,300.00৳","0","","wired-71-headphones-hg11-black-deshibazaarbd---24-1639200060-1639200060-61b4353c56386.webp","wired-71-headphones-hg11-black-deshibazaarbd---24-1639200060-1639200060-61b4353c56386.webp","","electronic-accessori,mobile-accessories","3",,"","10080","active","1","10","","","","","","","",""
