business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,status,enable_stock,current_stock,description,shipping_charge,image1,image2,image3,image4,image5,image6
bdfoodslimited,BD Turmeric Powder 15gm,Piece,1,bd-food,,,,8.00,0,,,,,,5,,10080,,1,50,,60,samsung-j10-3---1-1636316728-1636316728-618836380643c.webp,product-featured-1613726021--1613726021.jpeg,,,,
bdfoodslimited,BD Turmeric Powder 50gm,Piece,1,bd-food,,,,28.00,0,,,,,,5,,10080,,1,50,,100,samsung-j10-3---1-1636316728-1636316728-618836380643c.webp,product-featured-1613726021--1613726021.jpeg,,,,
bdfoodslimited,BD Turmeric Powder 100gm,Piece,1,bd-food,,,,50.00,0,,,,,,5,,10080,,1,50,,,,,,,,
bdfoodslimited,BD Turmeric Powder 200gm,Piece,1,bd-food,,,,95.00,0,,,,,,5,,10080,,1,50,,,,,,,,
bdfoodslimited,BD Turmeric Powder 500gm,Piece,1,bd-food,,,,200.00,0,,,,,,5,,10080,,1,50,,,,,,,,
bdfoodslimited,BD Turmeric Powder1000gm,Piece,1,bd-food,,,,335.00,0,,,,,,5,,10080,,1,50,,,,,,,,
bdfoodslimited,BD Chilli Powder,Piece,1,bd-food,,,,53.00,0,,,,,,5,,10080,,1,50,,,,,,,,
bdfoodslimited,BD Chilli Powder,Piece,1,bd-food,,,,100.00,0,,,,,,5,,10080,,1,50,,,,,,,,
bdfoodslimited,BD Chilli Powder,Piece,1,bd-food,,,,245.00,0,,,,,,5,,10080,,1,50,,,,,,,,
bdfoodslimited,BD Chilli Powder,Piece,1,bd-food,,,,470.00,0,,,,,,5,,10080,,1,50,,,,,,,,
bdfoodslimited,BD Coriander Powder,Piece,1,bd-food,,,,6.00,0,,,,,,5,,10080,,1,50,,,,,,,,
bdfoodslimited,BD Coriander Powder,Piece,1,bd-food,,,,20.00,0,,,,,,5,,10080,,1,50,,,,,,,,
bdfoodslimited,BD Coriander Powder,Piece,1,bd-food,,,,33.00,0,,,,,,5,,10080,,1,50,,,,,,,,
bdfoodslimited,BD Coriander Powder,Piece,1,bd-food,,,,63.00,0,,,,,,5,,10080,,1,50,,,,,,,,
bdfoodslimited,BD Coriander Powder,Piece,1,bd-food,,,,145.00,0,,,,,,5,,10080,,1,50,,,,,,,,
bdfoodslimited,BD Coriander Powder,Piece,1,bd-food,,,,250.00,0,,,,,,5,,10080,,1,50,,,,,,,,
bdfoodslimited,BD Cumin Powder,Piece,1,bd-food,,,,43.00,0,,,,,,5,,10080,,1,50,,,,,,,,
bdfoodslimited,BD Turmeric Powder (JAR),Piece,1,bd-food,,,,110.00,0,,,,,,5,,10080,,1,50,,,,,,,,
bdfoodslimited,BD Chilli Powder (JAR),Piece,1,bd-food,,,,130.00,0,,,,,,5,,10080,,1,50,,,,,,,,
bdfoodslimited,BD Coriander Powder (JAR),Piece,1,bd-food,,,,98.00,0,,,,,,5,,10080,,1,50,,,,,,,,
bdfoodslimited,BD Cumin Powder (JAR),Piece,1,bd-food,,,,240.00,0,,,,,,5,,10080,,1,50,,,,,,,,
bdfoodslimited,BD Cumin Powder,Piece,1,bd-food,,,,155.00,0,,,,,,5,,10080,,1,50,,,,,,,,
bdfoodslimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
