business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,status,enable_stock,current_stock,shipping_charge,description,image1,image2,image3,image4,image5,image6
Camera Source,K&F Concept KF10.012 CM10 Wireless Lavalier Microphone System - Black,Piece,1,k&f,electronic-accessori,camera-accessories-1,lighting-and-studio-equipment,29990,0,,,,,,10,,1440,,1,100,,"<p>&bull; Support real time monitoring: you can test whether it is working normally during recording. Brings you more professional and convenient recording. you can use earphone to monitor from microphone directly instead from camera<br />&bull; With dual channel UHF wireless receiving technology, two transmitter can be connected at the same time; Up to 100 wireless frequency is available; 50 signal channels can work at the same time.<br />&bull; Separate control of monitor and record volume output, with memory function. Sent with 3.5mm audio cable and 3.5mm to XLR cable, suitable for DSLR camera and camcorders, and comes with 3.5mm TRRS Output Cable for Smartphones and Tablets<br />&bull; Professional LOW CUT and mixing function. Support real-time fold back for earphone monitoring the recording effect.<br />&bull; Professional recording quality with 30Hz &ndash; 18 kHz wide frequency response. Adopt acoustic technology for environment noise cancellation to retrain environmental noise and wind noise. Integrated high-performance audio compressor-expander which can withstand high dynamic sound pressure level, guarantee sound fidelity. Albumen housing enable excellent shielding performance and mechanical strength.<br />Specifications:<br />Brand: KandF CONCEPT<br />Model: CM-10<br />Color: Black<br />Microphone Type: Condenser, Omni-directional<br />Frequency Range: 538-594MHz<br />Frequency Response: 30Hz-18kHz<br />Modulation Mode: F3E<br />Number of Channels: 100<br />Frequency Control: PLL Synthesizer<br />Transmit Power: &le;10mW<br />S/N Ratio: ＞90dB<br />Operating Range: 100 Meters(At outdoor open area.)<br />Power Supply: 2pcs DC 3V AA Batteries (Not included.)<br />Operating Time: &ge;10 Hours<br />Length of Microphone Cable: 1.2m / 47.2in<br />Operating Temperature: -50℃ to 55℃<br />Storage Temperature: -20℃ to 55℃<br />Transmitter Size: 17.7 * 6 * 2cm / 7 * 2.4 * 0.8in<br />Receiver Size: 8.6 * 6 * 2cm / 3.4 * 2.4 * 0.8in<br />Transmitter Weight(A): 158g / 5.6oz<br />Transmitter Weight(B): 112g / 4oz<br />Receiver Weight: 184g / 6.5oz<br />Package Size: 28.5 * 21.8 * 6cm / 11.2 * 8.6 * 2.4in<br />Package Weight: 1050g / 37oz<br />Package List:<br />2 * Transmitter<br />1 * Receiver<br />2 * Foldable Receiving Antenna<br />1 * Audio Cable<br />1 * 3.5mm to XLR Conversion Cable<br />2 * Lapel Microphone<br />1 * Shoe Mount Adapter<br />2 * Windproof Muff<br />1 * User Manual (Chinese and English)<br />1 * Cleaning Cloth</p>",,,,,,
Camera Source,K&F Concept KF10.011 CM9 Wireless Lavalier Microphone System - Black,Piece,1,k&f,electronic-accessori,camera-accessories-1,lighting-and-studio-equipment,17490,0,,,,,,10,,1440,,1,100,,"<p>Wireless Frequency: 648 674MHz<br />Modulation Mode: FM<br />Audio Frequency Response: 40Hz &ndash; 18 kHz<br />Microphone: Omnidirectional Condenser Mic<br />Number of Channel: 100<br />Frequency Controller: PLL Synthesizer<br />Wireless Transmitting Power: &le;10mW<br />SNR: ＞85dB<br />Power Supply: DC 3V (2pcs AA batteries, not included.)<br />Battery Runtime: &ge;10h<br />Reference Working Distance: 100m (Outdoor open space)<br />Working Temperature: 0 55℃<br />Storage Temperature: ( 20℃) &ndash; (+55℃)<br />Highlight<br />Two transmitter can be connected at the same time.<br />The working distance can up to 100m (outdoor open space).<br />Product Size<br />Receiver/Transmitter Size: 10 * 6.1 * 2.2cm / 4 * 2.4 * 0.9 Inch<br />Receiver Weight: 220g / 7.7oz<br />Transmitter Weight: 213g / 7.5g<br />Package Size: 28.8 * 20.7 * 7.2cm / 11.3 * 8.1 * 2.8 Inch<br />Use 2 AA battery, the duration of which can last up to 10 hours.<br />So you don\&rsquo;t have to worry about breaking the interview or other activities.<br />Made of quality material: zinc aluminum alloy<br />Provide excellent shielding performance and mechanical strength.<br />Up to 100 wireless frequency is available;<br />Dual-channel UHF wireless receiving technology.<br />High-end customized metal packing box;<br />Provide professional and assured protection for products.</p>",,,,,,
Camera Source,K&F Concept KF10.002 M8 Wireless Lavalier Microphone System - Black,Piece,1,k&f,electronic-accessori,camera-accessories-1,lighting-and-studio-equipment,12990,0,,,,,,10,,1440,,1,100,,"<p>This microphone is suitable for professional photography, video recording, news coverage, lectures and other occasions; Wireless transmission distance (without obstacles) can reach up to 70 meters.<br />Lightweight, the receiver and transmitter are both only 85g, easy to carry and wear on the body.<br />Uses UHF frequency band and complex interference free circuit, and 6 preset channels are available; With strong anti interference capability, more than 4 sets of devices can be used simultaneously without mutual interference.<br />Uses WNCR noise control technology, featuring extremely low bottom noise, real sound reduction details; Applies noise valve control system, with auto mute if no signal.<br />Use AA batteries, battery life up to 15 hours. (Note: Battery are not included)<br />Specifications:<br />Brand: KandF CONCEPT<br />Model: M 8<br />Frequency Response: 40Hz-12 KHz<br />Number of Channels: 6<br />Transmit Power: &le;10dBm<br />Receiving Sensitivity: S/N: 12dB 3uV<br />S/N Ratio: ＞80dB<br />Operating Range: 70m<br />Power Supply: 2pcs 1.5V AA Batteries (Not included.)<br />Battery: 15h<br />Package Size: 23.2 * 18 * 4.7cm / 9.1 * 7.1 * 1.8\&rdquo;<br />Package Weight: 309g / 10.9oz<br />Package List:<br />1 * Mini Mic<br />1 * Clip Mic<br />1 * Receiver<br />1 * Transmitter<br />1 * Metal Fixing Buckle<br />1 * 3.5mm Connecting Cable<br />1 * User Manual (English/Chinese/Japanese/German)<br /><br /></p>",,,,,,
Camera Source,K&F Concept KF10.016 M9 Wireless Lavalier Microphone System - Black,Piece,1,k&f,electronic-accessori,camera-accessories-1,lighting-and-studio-equipment,11990,0,,,,,,10,,1440,,1,100,,"<p>The real time monitoring function on the receiver, plug in headphones to monitor and check, so as to complete the recording at one time, professional, convenient<br />Equipped with a standard TRRS and TRRS interface conversion line, supporting the link between SLR cameras and digital cameras; equipped with a standard 3.5mm and TRRS interface conversion line, supporting the receiver to be compatible with Android smart phones, laptops, and DV.<br />It is powered by a built in lithium battery instead of the conventional two AA batteries. As a result, the size and weight are greatly reduced, and the battery life reaches 5 hours, and it also supports charging and use.<br />The built in omnidirectional condenser microphone can capture sounds from all directions, while ignoring distortion and annoying sounds. Metal body, anodizing process. The texture is better than the plastic shell.<br />Technical parameters: frequency range: 570-579.5MHz, number of channels: 20, wireless distance: 80 meters (open and without interference), working temperature: -20℃ to +55℃ Transmitter: RF output power: \&rdquo;10mW, antenna: 1/4&lambda; wire antenna, audio input interface: 3.5mm interface, input frequency range: 20Hz-20KHz, battery life: 6-8 hours, size ：86*59*17mm Receiver: Antenna: 1/4&lambda; wire antenna, audio output interface: 3.5mm interface, frequency response: 50Hz-18KHz, signal-to-noise ratio: \&rdquo;88dB, audio output level: &gt;-60dbv, power supply: battery life Time: 5-7 hours, size: 86*59*17mm Weight: 120g Lavalier microphone: sensor: back-pole electret capacitor, pickup mode: omnidirectional, plug: 3.5mm (locking mini plug), cord length: 1.2 meters<br /><br /><br /></p>",,,,,,
Camera Source,K&F Concept KF10.010 M1 Wired Lavalier Microphone System - Black,Piece,1,k&f,electronic-accessori,camera-accessories-1,lighting-and-studio-equipment,2590,0,,,,,,10,,1440,,1,100,,"<p>【For Phone, Cameras and PC】: Lavalier Microphone is equipped with a multi compatible 3.5mm TRRS interface, which supports cameras, computers, Android and iOS smartphones (original 3.5mm lightning adapter is required, which is not included).<br />【Rechargeable】: Built in 230 mAh lithium battery, takes only 15-30 minutes to fully charge (depending on the output current of the charger), and the camera can be used continuously for more than 24 hours in normal state.<br />【Quality Sounds】: Lavalier Microphones record clean and clear sound for professional results. Rejects low noise pollution, and is equipped with a sponge cap to reduce the influence of ambient sound and wind sound, This microphone retains high, medium and low full frequency bands, which can record very low frequencies such as instruments, pure cable compare to wireless microphones.<br />【6m Microphone Cable】: The lapel mic has a 6-meter cable, provides larger recording free movement space, suitable for recording short video, instrumental performance, sound effects, food programs, personal interviews, out-of-town recordings, etc. This microphone retains high, medium and low full frequency bands, which can record very low frequencies such as instruments compare to wireless microphones.<br />【Working Indicator Light】: Bright blue light means the microphone is recording, needn&rsquo;t more testing to check its working condition. It\&rsquo;s prefect for YouTube Podcast and vlogging on your phones or cameras. This lavalier microphone purchased from KandF Concept covers 1-year warranty, please feel free to contact us if there is anything you need help.<br />Microphone: resident capacitor I<br />Input impedance: &le;1000&Omega; D<br />Directivity: omnidirectional I<br />Interface: 3.5mm gold plated plug F<br />Frequency range: 65Hz-18 KHz L<br />Line length: 6 meters S<br />Signal to analog ratio: 74dB SPL W<br />Eight: 120g S<br />Sensitivity: 5.2mm<br />ONE FOR ALL: Compatible with cameras, mobile phone and computer (iPhone needs an adapter, not include)<br />TRANSFORM YOUR AUDIO TO HIGH QUALITY &ndash; Capture high-quality stereo sound with this Lavalier Microphone kit. It&rsquo;s durable, light, and discreet, so you can create compelling recordings and videos with confidence.<br />When used on camera/camcorder:<br />Slide the microphone function button to the \&rdquo;Camera\&rdquo;, bright blue light means the microphone is recording, easy to judge if it\&rsquo;s on work condition or not.<br />When used on mobile phone/computer<br />Slide the microphone function button to OFF/Smartphone. At this time, the microphone light goes out (the phone then powers the microphone). When not using the product, you can switch it to OFF.<br />3.5mm gold plated Jack and ideal for those who use DSLR, camera, headset and professional audio devices, like Canon EOS Digital SLR Camera, Canon Power Shot, and Nikon Coolpix Digital Camera and so on<br />Built-in 230 mAh lithium battery it only takes 15-30 minutes to fully charge (depending on the output current of the charger), and the camera can be used continuously for more than 24 hours in normal state.<br />Smartphones*: iPhone (needs adapter, not included), Samsung, Android Phones, LG, and More (Domestic mobile phone like Huawei Xiaomi, need to use with a software)&hellip;<br />GoPro: HERO2, HERO3, HERO3+, HERO4, HERO5*, HERO6*<br />Cameras: DSLR, Camcorder, Action Cam<br />IPads, Android tablet<br />Computers: Laptop, PC / Desktop, MacBook<br />Zoom Recorders*: H1, H2N, H4N, H5, H6 (X/Y Capsule Required)<br />Tascam Recorders*<br />PS4 Joysticks<br />KandF Concept M1 microphone retains high, medium and low full frequency band, even the low frequency of Musical Instruments can be well recorded, professional for recording short video, musical instrument playing, sound effects, food programs, personal interviews, outdoor recording and other recording scenes.<br />1*6 meters Lavalier Microphone<br />1*Carry Bag<br />1*USB Charging Cable<br />1*Instruction manual</p>",,,,,,
Camera Source,K&F Concept KF10.014 CMM-800 Vlogger Camera Video Microphone Kit - Black,Piece,1,k&f,electronic-accessori,camera-accessories-1,lighting-and-studio-equipment,5990,0,,,,,,10,,1440,,1,100,,"<p>KandF Concept CMM800 Microphone Portable, Versatile and High quality<br />KandF Concept CM600 has an anodized metal cavity which could provide you ultra wide sound pick up (cardioid polar pattern), low noise and dynamic surrounding and HD sound quality and noise reduction ability. And the holder is made of aluminum alloy sturdy and durable.<br />Light-weight and portable as it is, you could take it with you everywhere like video shooting, outdoor livestream, indoor interviewed.<br /><br />Cardioid pointing, sensitive sound pickup<br />This anodized metal cavity capsule has a wide range sound pickup (270degree) with the cardioid pointing function. Better to extract your voice clearly and no worries about lose the important info when interviewing, live streaming and so on. Battery Free and Portable Mini tripod<br />There is no battery need for this microphone, it could be powered on by plugging it into your electronic devices. And with a mini tripod, portable to hold it in your hands or extend the tripod easily to make a livestream, video shooting. Multi-channel to motivate your microphone<br />There are two 3.5mm cables with this microphone, which could help it power on by plugging it into your phone, camera laptop, camcorder, etc. as long as your devices are on, the microphone will always work. No need to worry about the lasting time.<br />Product Specifications<br />&bull; Power supply: plug for use, battery free<br />&bull; Directivity: cardioid polar directional pattern<br />&bull; Sensor: electret condenser microphone<br />&bull; Polarity mode: cardioid polar pattern<br />&bull; Frequency response: 35-18KHz+/-3dB<br />&bull; Sensitivity: -42dB+/-1dB<br />&bull; Signal to noise ratio: 76dB<br />&bull; Size: 20 * 80mm<br />&bull; Box size: 14.3 * 8.3 * 4.6cm<br />What is concluded in the box?<br />&bull; 1&times; CM600 Microphone<br />&bull; 1&times; Mini tripod<br />&bull; 1&times;Wind shield<br />&bull; 1&times;3.5mm TRS cable for cameras and camcorders<br />&bull; 1&times;3.5mm TRRS cable for cellphones, tablets and laptops.<br />&bull; 1&times;Manual instruction</p>",,,,,,
Camera Source,K&F Concept KF33.001 10*42 Waterproof High-Power Binoculars - Black,Piece,1,k&f,electronic-accessori,camera-accessories-1,lighting-and-studio-equipment,5990,0,,,,,,10,,1440,,1,100,,"<p>KandF Concept 10&times;42 BAK4 Prism FMC Binocular Telescope 1042E<br />&bull; 1.7Inch diameter objective lens provides ultra large field of view, multi coated lens offers crisp clear images with improved transmittance, and non slip rubber armor absorbs shock.<br />&bull; Want to see dew drops glistening on the field. Feather tips fluttering in the wind. Birds fly in the blue sky. Help you to observe more subtle and clear perspective of the world.<br />&bull; BAK-4 prisms for enhanced color fidelity and multi-coated lenses for exceptional contrast and brightness.<br />&bull; 10x magnification, 42mm objective lens binoculars. Lightweight, open bridge body design with large, precise focus wheel.<br />&bull; For watching games or concert, opera, travelling, hunting, etc. (Item size:5.9\&rdquo;*4.9\&rdquo;*2.3\&rdquo;,and the Net weight is 1.4lbs, also fit for kids)<br />EASY TO FOCUS<br />&bull; For those who do not wear glasses, twist up the eyepiece by rotating anticlockwise to gain the maximum view, and twist down it by rotating clockwise for glasses wearer.<br />&bull; Adjust the pupil distance. Expanding or folding the binocular to adjust the distance between the two eyes to make the viewing picture a circle<br />&bull; Get the best view and clarity by adjusting the center focus wheel.<br />Specifications:<br />&bull; Magnification: 10x<br />&bull; Objective lens diameter: 42mm<br />&bull; type of prism : BAK4<br />&bull; Waterproof: IP64<br />&bull; Eye Relief : 17mm<br />&bull; Exit pupil: 4.1mm<br />&bull; Field Angle: 5.8&deg;<br />&bull; Field of view: 101m/1000m<br />&bull; Resolution : 5.65&rdquo;<br />&bull; Close Focus: 5m<br />&bull; Product Dimensions:150x126x58 mm<br />&bull; net weight: 615g<br />High Powered Binoculars<br />&bull; FMC coating lens and Bak4 prism with high refractive index to create crisp, ultra-high-definition images.<br />&bull; The folding binoculars suitable for both adults and kids. Easy to hold without getting tired.<br />Adjustable pupil distance<br />&bull; Twist-up eyecup, easy to operate<br />&bull; Users with visual differences between the two eyes, adjusting the diopter ring to make the picture the same.<br />Easily mounts binoculars to tripod<br />&bull; Remove the middle cover and attach it to the tripod with an adapter (adapter not included).<br />&bull; Non-slip soft rubber armor, absorbs moisture and makes you comfortable.<br />Low Light Night Vision andWaterproof binoculars<br />&bull; Low Light Night Vision, you can see stuffs clearly in weak light condition but not for completely dark night.<br />&bull; Waterproof binoculars can resist light water, you can use this item in different situations in your daily life, but cannot be used in a heavy rain for a long time or soaked in the water.<br />Package contain:<br />&bull; Binocular*1<br />&bull; Strap*1<br />&bull; Eye-pieces cap*1<br />&bull; Objective-lens cap*1<br />&bull; Cleaning cloth*1<br />&bull; Manual*1<br />&bull; EVA backpack*1<br />&bull; Packing box*1<br />Application:<br />&bull; Outdoors, birdwatching, climbing, hiking, sightseeing, traveling, sport Game, concerts, star gazing, etc.<br />&bull; This super portable binoculars will bring outdoor enthusiasts so much fun in outdoor activities. It would also make a good kids present to get them interested in outdoor!<br /><br /></p>",,,,,,
Camera Source,K&F Concept KF34.001 Ring Light with Phone Holder Clamp & Remote - Black,Piece,1,k&f,electronic-accessori,camera-accessories-1,lighting-and-studio-equipment,1990,0,,,,,,10,,1440,,1,100,,"<p>&bull; No more unflattering shadows.<br />&bull; A professional tool combines the selfie ring light and cell phone holder, designed with upgraded 24 high quality LED lights.<br />&bull; The prefect tools for live stream, live broadcast, live show, selfie, video call, make up. Perfect for YouTube, Facebook. Live musical.ly, live.me, live.ly, twice, Blog, twitter etc.<br /><br />&bull; &ndash; MULTI USAGE: Built in 12 cold light LED and 12 warm LED, support cold white light, warm white light and mixed 3 mode light source; 10 level brightness can be adjusted to improve the image quality of the selfie live; You will be able to make videos at night or take great selfie in dark areas; It is a professional tool for creating live videos with smartphone or computer, perfect for Facebook, YouTube, Twitter, Snapchat, FaceTime, live.me, live.ly, Twitch, musical.ly.<br />&ndash; FLEXIBLE: The 27 Inch and 14 Inch hose brackets can bend to any shape, 360 degree rotating and can adjust to any angle you need; both the hose brackets are made of aluminum alloy.<br />&ndash; EASY TO USE: Easy control on cord to power on/off or switch to your preferred lighting mode. USB powered, no battery needed, works well with multiple devices like PC, notebook, mobile power, mobile phone plug.<br />&ndash; The remote control can be connected to the phone, to provide you with a better solution and experience when taking selfie, so that you can free your hands and make more harmonious and richer pictures.<br />&ndash; APPLICATION: With an extra width that ranges up to 3.35 Inch, our phone mount holder is compatible with almost all smartphones, apply to iPhone 8, x, plus 7, 6, Samsung S8, Note8, etc. Suitable for make up, selfie, live stream, live performances, video chat, making video; It can also be used as a lounger stand and reading desk lamp.<br />Long Lasting LED Bulbs<br />3 Light Mode and 10 level Brightness: cold, warm and mixed light USB powered, no battery needed<br />Free to adjust any angle as you like for convenient reviewing, taking photos or shooting videos. High quality<br />360&deg;rotate with 27 Inch long arm Hand Free<br />Clamp on table/desk/bed and rotate any angle to free your hands.<br />Extendable Holder<br />Cell phone holder up to 8.5cm, widely compatible with most of smart phones Clip On<br />The width of the fixed section can be adjusted from 0 to 3.35 Inch(8.5cm) Remote Control<br />Bluetooth control suits for both iPhone and Android.<br />Take photos whenever you are ready. Easy to Operate<br />Button control.<br />Adjustable 10 levels brightness</p>",,,,,,
Camera Source,K&F Concept KF09.080 SA234 Aluminum Portable Tripod with Ball Head - Black,Piece,1,k&f,electronic-accessori,camera-accessories-1,tripods-and-monopods,5990,0,,,,,,10,,1440,,1,100,,"<p>KandF Concept SA234 Tripod with Ball Head Overview<br />The SA234 DSLR Aluminum Camera Tripod with Ball Head from KandF Concept is made of lightweight, rigid aluminum legs with flip lock releases for fast setup and breakdown. This convenient tripod has a maximum height of 61.6\&rdquo; and has independent leg spread to allow a minimum height of 16.3\&rdquo; for low level perspectives and macro photography. The legs are also reversible for inverted camera positions as low as floor level. This tripod has a load capacity of 22 lb and includes a ball head with an Arca type compatible quick release plate.<br /><br />KandF Concept SA234 Tripod With Ball Head Specs<br />Head<br />Head Type Ball Head<br />Quick Release Plate Type Arca-Type<br />Pan and Tilt Range<br />Vertical Tilt 90&deg;<br />Panning Range 360&deg;<br />General<br />Load Capacity 22 lb / 10 kg<br />Maximum Working Height 61.6\&rdquo; / 156.5 cm<br />Minimum Working Height 16.3\&rdquo; / 41.5 cm<br />Materials Aluminum Alloy<br />Legs<br />Leg Lock Type Flip Lock<br />Leg Sections 4<br />Leg Diameter 0.9\&rdquo; / 23 mm (Maximum)<br />0.6\&rdquo; / 14 mm (Minimum)<br />Feet Features Rubber<br />Center Column<br />Center Column Extension Type Rapid<br />Packaging Info<br />Package Weight 4.175 lb<br />Box Dimensions (LxWxH) 20.5 x 5.3 x 5.1\&rdquo;<br />In the Box<br />KandF Concept SA234 DSLR Aluminum Camera Tripod with Ball Head<br />Arca-Type Quick Release Plate</p>",,,,,,
Camera Source,K&F Concept KF09.089 SA254M2 Aluminum Portable Tripod with Monopod - Black,Piece,1,k&f,electronic-accessori,camera-accessories-1,tripods-and-monopods,5990,0,,,,,,10,,1440,,1,100,,"<p>KandF Concept SA254M2 Tripod Overview<br />The SA254M2 DSLR Camera Aluminum Tripod from KandF Concept is a lightweight travel tripod that is rich in the kind of features found in much larger tripods. The legs may be positioned independently to multiple angles for use on uneven terrain, and they open or close quickly with large flip locks. The legs may be inverted for ultra low level shooting and reverse fully and fold to a travel ready 18.1\&rdquo; length. For shoots where an even more compact support is called for a removable leg converts into a monopod, and the center column may be combined with it to form an full-sized tall monopod. The included tripod ball head incorporates an Arca-type quick release clamp and quick release plate set and features quick single knob release and an independent pan locking knob for panoramic imaging.<br /><br />Tripod Converts to monopod<br />Ball head with Arca-type quick release plate compatibility<br />Ball head features engraved scales for precision alignment and repeatability<br />Two-segment center column is reversible<br />Center column ballast hook increases stability<br />KandF Concept SA254M2 Tripod Specs<br />Head<br />Head Type Ball Head<br />Base Mount 3/8\&rdquo;-16 Female<br />Camera Mounting Screw None<br />Quick Release Plate Type Arca-Type<br />Number of Bubble Levels 1<br />Friction Control No<br />Independent Pan Lock Yes<br />Ball Sphere Diameter 1.10\&rdquo; / 28 mm<br />Pan and Tilt Range<br />Lateral Tilt 45&deg;<br />Vertical Tilt 90&deg;<br />Panning Range 360&deg;<br />General<br />Load Capacity 22.05 lb / 10 kg<br />Maximum Working Height 68.9\&rdquo; / 175 cm<br />Max Height without Center Column 49.61\&rdquo; / 126 cm<br />Minimum Working Height 22\&rdquo; / 56 cm<br />Folded Length 18.11\&rdquo; / 46 cm<br />Materials Aluminum Alloy<br />Weight 3.73 lb / 1.69 kg<br />Legs<br />Leg Lock Type Flip Lock<br />Leg Positions 3 Positions<br />Independent Leg Spread Yes<br />Leg Sections 4<br />Feet Features Rubber<br />Detachable Monopod<br />Maximum Working Height 72.83\&rdquo; / 185 cm<br />Leg Sections 3<br />Monopod Foot Features Rubber<br />Center Column<br />Center Column Features Ballast Hook, Removable, Reversible<br />Center Column Shape Round<br />Center Column Sections 2<br />Center Column Extension Type Rapid<br />Lateral / 90-Degree Center Column No<br />Packaging Info<br />Package Weight 4.82 lb<br />Box Dimensions (LxWxH) 20.6 x 5.6 x 5\&rdquo;<br />In the Box<br />KandF Concept SA254M2 DSLR Camera Aluminum Tripod with Monopod and Ball Head Kit<br />Arca-Type Quick Release Plate<br />Allen Wrench<br />Carrying Case with Shoulder Strap</p>",,,,,,
