business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,current_stock,enable_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
nazatelectronics1,Half in-ear Headphone HF170,Piece,1,lenovo,electronic-accessori,audio,,300,0,,,,,,10,,10080,100,100,100,,active,"<ul>
<li>Half In-ear wired headphone</li>
<li>40db &plusmn; 4db Microphone</li>
<li>14.2mm speaker</li>
<li>96&plusmn;5dB earphone sensitivity</li>
<li>20-2000Hz frequency range</li>
<li>32&plusmn;3Ω speaker impedance</li>
<li>Sweat proof</li>
</ul>",,,,,,
nazatelectronics1,Wired In Ear Headphone HF130,Piece,1,lenovo,electronic-accessori,audio,,350,0,,,,,,10,,10080,100,100,100,,active,"<ul>
<li>Brand: Lenovo</li>
<li>Model: HF130</li>
<li>Type: Earphone</li>
<li>Impedance: 32&Omega;</li>
<li>Microphone: -42&plusmn;ddB</li>
<li>Sensitivity: 88&plusmn;3dB</li>
<li>Speaker Size: 10mm</li>
<li>Frequency Range: 20-2000kHZ</li>
<li>Cable Length: 1.15m</li>
<li>Plug: 3.5mm</li>
</ul>",,,,,,
nazatelectronics1,Bluetooth Neckband HE05,Piece,1,lenovo,electronic-accessori,audio,,690,0,,,,,,10,,10080,100,100,100,,active,"<p><span class=""a-list-item""><span class=""a-size-base"">Fast, stable wireless Bluetooth connection</span></span><span class=""a-list-item""><span class=""a-size-base"">Larger 10mm driver unit for better bass</span></span><span class=""a-list-item""><span class=""a-size-base"">Built-in noise-cancelling Mic for hands-free calling</span></span><span class=""a-list-item""><span class=""a-size-base"">Magnetic earbuds, tangle-free and never falling off</span></span><span class=""a-list-item""><span class=""a-size-base"">One button to adjust music, volume and answer/reject phone call</span></span><span class=""a-list-item""><span class=""a-size-base"">Waterproof, born for sports and fitness</span></span><span class=""a-list-item""><span class=""a-size-base"">Silicone neck, comfortable and bendable</span></span></p>",,,,,,
nazatelectronics1,Single earpiece HX106,Piece,1,lenovo,electronic-accessori,audio,,780,0,,,,,,10,,10080,100,100,100,,active,"<ul class="""" data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.233fJbORJbORUl"">
<li class="""">With the new improved BT 5.0, the signal connected with the mobile device is more stable and the transmission is faster.</li>
<li class="""">Composite Diaphragm Horn Unit Brings Balanced Optimization Of High And Low Clearer Call</li>
<li class="""">Dual noise reduction system can filter noise from external environment, reduce interference during call, and deeply reduce noise.</li>
<li class="""">Ear hanging design, according to the shape of the human ear, disperses stress points, so that the ear is evenly tensioned, stable and not easy to fall.</li>
<li class="""">Small and light, long time use without discomfort.</li>
<li class="""">180 &deg; free rotation design, suitable for left and right ear, to meet your needs.</li>
<li class="""" data-spm-anchor-id=""a2a0e.pdp.product_detail.i1.233fJbORJbORUl"">Built-in 160mAh large capacity battery to provide 120 hours of standby time, 300 minutes of talk time or 20 hours of music time, no need to worry about power shortage.</li>
</ul>",,,,,,
nazatelectronics1,Headphone HD200,Piece,1,lenovo,electronic-accessori,audio,,2150,0,,,,,,10,,10080,100,100,100,,active,"<div class=""html-content pdp-product-highlights"">
<p>HD200 Bluetooth HeadsetLenovo HD200 Bluetooth HeadsetStereo Bluetooth HeadsetWireless HeadphonesDeep Bass Bluetooth HeadsetModel: HD200Function: music supportSound channel: 2Bluetooth version: 5.0Playback time: 20HoursStandby time: 300HoursCharge time: 1.5hBattery: 500mAhUsage: headwearTransmission radius: 10MColour:blackMaterial:plasticPackage Contents:1 x Bluetooth Headset1 x USB Cable</p>
</div>",,,,,,
nazatelectronics1,Headphone HD800,Piece,1,lenovo,electronic-accessori,audio,,3400,0,,,,,,10,,10080,100,100,100,,active,"<ul class="""">
<li class="""">Bluetooth v5.0, most stable transmission and smooth music deliveryMade of premium material intergrated with superior noise cancellation40mm powerful driver, enable the impressive stereo music and enhanced bassComes with 3.5mm port that also support enjoying wired-musicSupplies you 20Hrs of long paying time within 1.5hrs fast-charging</li>
</ul>",,,,,,
nazatelectronics1,Wired In Ear Headphone HF140,Piece,1,lenovo,electronic-accessori,audio,,400,0,,,,,,10,,10080,100,100,100,,active,"<p>● Ergonomic design, perfectly fit in ear canal, comfortable and stress free, enjoy free. ● 1.2 meter flexible durable material, no winding and metal shell, looks elegant. ● Built-in Microphone and In-line control, perfect for you to make handsfree calls, play music and change songs. ● High-quality dynamic 14.2mm speaker makes HD clear sound, with super bass stereo 6D effect. ● Smartly compatible with all Andriod and IOS phones, and other audio devices such as tablets, computer, PC, mp3 mp4 mp5 player, etc. Warranty: 1 Months</p>",,,,,,
nazatelectronics1,Neckband HE01,Piece,1,lenovo,electronic-accessori,audio,,590,0,,,,,,10,,10080,100,100,100,,active,<p>Brand Name: LenovoStyle: In-EarVocalism Principle: DynamicOrigin: CN(Origin)Control Button: YesActive Noise-Cancellation: NoCommunication: WirelessVolume Control: YesSensitivity: 95Wireless Type: BluetoothIs wireless: YesMax Output: 0.1Line Length: 0Support APP: NoFunction: SportNumber Of Drivers: 2Plug Type: LineTypePackage List: User ManualImpedance Range: up to 32 ΩConnectors: Type cModel Number: Lenovo HE01Earcups Type: Semi-openHeadphone Pads Material: SILICONEBluetooth Version: 5.0Codecs: NONESupport Memory Card: NoDriver Diameter: 8Resistance: 32Waterproof: YesTotal Harmonic Distortion: 0.1With Microphone: YesFeatures: waterproofFeatures: With MicrophoneCharging Method: CABLE</p>,,,,,,
nazatelectronics1,Neckband HE06,Piece,1,lenovo,electronic-accessori,audio,,890,0,,,,,,10,,10080,100,100,100,,active,"<ul>
<li>Brand: Lenovo</li>
<li>Model: HE06</li>
<li>Wearing Type: Neckband</li>
<li>With Microphone: Yes</li>
<li>BT Version: V5.0</li>
<li>Supported Profiles: HSP/HFP/A2DP/AVRCP</li>
<li>Transmission Distance: 33 feet/10m(Barrier-free)</li>
<li>Frequency Response: 20Hz-20kHz</li>
<li>Charging Time (h): about 2h</li>
<li>Music Time (h): about 10h</li>
</ul>",,,,,,
nazatelectronics1,Neckband HE08,Piece,1,lenovo,electronic-accessori,audio,,1090,0,,,,,,10,,10080,100,100,100,,active,"<ul>
<li>Bluetooth version: 5.0</li>
<li>Transmission distance: 10m</li>
<li>Waterproof: IPX5</li>
<li>Working time: 8 hours</li>
<li>Warranty:&nbsp;1 Month Replacement Warranty.</li>
</ul>",,,,,,
nazatelectronics1,Ear Buds HT18,Piece,1,lenovo,electronic-accessori,audio,,1750,0,,,,,,10,,10080,100,100,100,,active,"<p>The Lenovo HT18 True Wireless Earbuds features&nbsp;Adopting advanced Bluetooth 5.0 technology, the wireless Bluetooth earbuds have strong anti-interference capability, faster and more stable transmission, and can realize the synchronization of game sounds and pictures with low latency. The earbuds have incredible sound quality with deep bass and clear treble, bringing you an incomparable 3D surround music experience.&nbsp;Built-in high-definition microphone, intelligent noise reduction, delivers clearer and more real talking sound in stereo mode. It features intelligent noise reduction technology, and delivers a truly unparalleled clear sound quality, bringing you an amazing wireless music experience and call clarity. The earphones will automatically turn on and pair with the last device when removed from the charging pod. The TWS Bluetooth earbuds can be used in Mono or Twin mode. earbuds are ergonomically designed, comfortable to wear and not easy to fall off in sports, and will not make you feel pain in the ears after a long time wearing. It has no warranty.</p>",,,,,,
nazatelectronics1,Smart Watch C2,Piece,1,lenovo,electronic-accessori,audio,,1990,0,,,,,,10,,10080,100,100,100,,active,"<ul class="""">
<li class="""">Made of glass fiber reinforced PC, it has ultra high strength, impact resistance, high and low temperature resistance.</li>
<li class="""">Silicone strap is skin-friendly, soft and comfortable to touch.</li>
<li class="""">Support real-time monitoring of heart rate/blood pressure/blood oxygen/sleep monitoring, real-time analysis of sleep data to score the quality of sleep.</li>
<li class="""">Clear backlight makes the figures visible in the darkness and the FSTN display also makes it clear under strong light.</li>
<li class="""">80m waterproof rating enables the watch to effectively resist water or sweat.</li>
<li class="""" data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.4aeaL49zL49ziC"">Other functions: Daily step counting, sedentary reminder, world time, phone reminder, information reminder, stopwatch, etc</li>
</ul>",,,,,,
nazatelectronics1,Smart Wrist Band WD06,Piece,1,lenovo,electronic-accessori,audio,,3390,0,,,,,,10,,10080,100,100,100,,active,"<ul class="""">
<li class="""">MULTI-FUNCTIONS: Lenovo WD06 fitness Tracker has power functions, including dynamic heart rate monitor, IP67 Waterproof, Pedometer, Distance Calculator, Calories Burned Measurement, Sleep Monitor, Sedentary Reminder, SMS Content Shows and Reminding, Call Reminder, APP Message Reminder (Like Facebook, Wechat, Twitter, etc)</li>
<li class="""">HEALTHY ASSISTENT: This activity tracker can monitor your heart rate in dynamic and resting model. Intelligently identify your effective sleep time and motions( including light sleep and deep sleep). It also can remind you to stretch your body up when you sit too long</li>
<li class="""">COlOR DISPLAY and FULL TOUCH SCREEN: TFT 0.96"" screen and 160*80 screen resolution bring excellent HD image quality.You can directly check the time(12-hour or 24-hour time display) and temperature(Centigrade or Fahrenheit format) with one touch on the screen</li>
<li class="""" data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.1018s8YEs8YEoV"">BUILT-IN USB PLUG: Specially designed USB plug makes it easy to charge through your PC or phone adapter ; No extra cable and dock needed. It's more convenient to get charged everywhere. Full charge gives you up to 7 days of working time. Get one and enjoy a healthier life now</li>
</ul>",,,,,,
