business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
alohaishoppe,MBP 13 inch 1.4Ghz -8GB 512Gb SG G,Piece,1,apple,electronic-accessori,mobile-accessories,,170000,0,,,,,,10,,10080,50,50,,active,"<ul>
<li>CPU / Processor :1.4GHz quad‑core 8th‑generation Intel Core i5</li>
<li>Memory:8GB of 2133MHz LPDDR3 onboard memory</li>
<li>Storage:512GB SSD</li>
<li>Display Screen : Retina display,13.3‑inch (diagonal) LED-backlit display with IPS technology</li>
<li>Resolution :2560‑by‑1600 native resolution at 227 pixels per inch with support for millions of colors</li>
<li>Camera:720p FaceTime HD camera</li>
<li>Operation System : macOS</li>
</ul>",,,,,,
alohaishoppe,MBP 13 inch TB M1- 8C 8GB 512GB S,Piece,1,apple,electronic-accessori,mobile-accessories,,170000,0,,,,,,10,,10080,50,50,,active,"<p><strong>Technical Details</strong></p><p>&nbsp;</p><table class=""table-data-sheet""><tbody><tr class=""odd<td>Chip</td<td><p>&nbsp;</p><p class=""badge"">Apple M1 chip</p><ul class=""techspecs-list"" role=""list"">
<li role=""listitem"">8-core CPU with 4 performance cores and 4 efficiency cores</li><li role=""listitem"">8-core GPU</li<lirole=""listitem"">16-core Neural Engine</li></ul><p>&nbsp;</p></td</tr><tr class=""even""><td>Memory</td>
<td>
<p>&nbsp;</p>
<ul class=""techspecs-list"" role=""list"">
<li role=""listitem"">8GB unified memory</li></ul>
<p>&nbsp;</p></td></tr>
<tr class=""odd""><td>Storage</td>
<td><p>&nbsp;</p><ul>
<li>512GB SSD</li></ul><p>&nbsp;</p></td></tr>
<tr class=""even"">
<td>Display Screen / Design / Resolution</td><td>
<p class=""techspecs-subheader"">Retina display</p>
<p>13.3‑inch (diagonal) LED-backlit display with IPS technology; 2560‑by‑1600 native resolution at 227 pixels per inch with support for millions of colors</p>
<p>Supported scaled resolutions:</p><ul>
<li>1680 by 1050</li>
<li>1440 by 900</li>
<li>1024 by 640</li></ul>
<p>500 nits brightness</p>
<p>Wide color (P3)</p>
<p>True Tone technology</p></td></tr>
<tr class=""even"">
<td>Camera</td>
<td>720p FaceTime HD camera</td></tr>
<tr class=""odd"">
<td>Operation System</td>
<td>macOS</td</tr>
<tr class=""even"">
<td>Audio</td>
<td>
<ul class=""techspecs-list"" role=""list"">
<li role=""listitem"">Stereo speakers with high dynamic range</li>
<li role=""listitem"">Wide stereo sound</li>
<li role=""listitem"">Support for Dolby Atmos playback</li>
<li role=""listitem"">Studio-quality three-mic array with high signal-to-noise ratio and directional‑beamforming</li>
<li role=""listitem"">3.5 mm headphone jack</li>
</ul>
</td>
</tr>
<tr class=""even"">
<td>Video</td>
<td>
<p class=""techspecs-subheader"">Simultaneously supports full native resolution on the built-in display at millions of colors&nbsp;and:</p>
<ul class=""techspecs-list"" role=""list"">
<li role=""listitem"">One external display with up to 6K resolution at&nbsp;60Hz</li>
</ul>
<ul class=""techspecs-list"" role=""list"">
<li role=""listitem"">Native DisplayPort output over USB-C</li>
<li role=""listitem"">VGA, HDMI, DVI, and Thunderbolt 2 output supported using adapters (sold&nbsp;separately)</li>
</ul>
</td>
</tr>
<tr class=""odd"">
<td>Network / Connectivity Technology</td>
<td>
<p class=""techspecs-subheader"">Wi-Fi</p>
<ul class=""techspecs-list"" role=""list"">
<li role=""listitem"">802.11ax Wi-Fi 6 wireless networking</li>
<li role=""listitem"">IEEE 802.11a/b/g/n/ac compatible</li>
</ul>
<p class=""techspecs-subheader"">Bluetooth</p>
<ul class=""techspecs-list"" role=""list"">
<li role=""listitem"">Bluetooth 5.0 wireless technology</li>
</ul>
</td>
</tr>
<tr class=""even"">
<td>Keyboard Feature</td>
<td>
<p class=""techspecs-subheader"">Backlit Magic&nbsp;Keyboard with:</p>
<ul class=""techspecs-list"" role=""list"">
<li role=""listitem"">65 (U.S.) or 66 (ISO) keys including 4 arrow keys in an inverted‑T arrangement</li>
<li role=""listitem"">Touch Bar</li>
<li role=""listitem"">Touch ID sensor</li>
<li role=""listitem"">Ambient light sensor</li>
<li role=""listitem"">Force&nbsp;Touch trackpad for precise cursor control and pressure‑sensing capabilities; enables Force clicks, accelerators, pressure‑sensitive drawing, and Multi‑Touch&nbsp;gestures</li>
</ul>
</td>
</tr>
<tr class=""odd"">
<td>Interface</td>
<td>
<p class=""techspecs-subheader"">Two Thunderbolt / USB 4 ports with support for:</p>
<ul class=""techspecs-list"" role=""list"">
<li role=""listitem"">Charging</li>
<li role=""listitem"">DisplayPort</li>
<li role=""listitem"">Thunderbolt 3 (up to 40Gb/s)</li>
<li role=""listitem"">USB 3.1 Gen 2 (up to 10Gb/s)</li>
</ul>
</td>
</tr>
<tr class=""even"">
<td>Battery / Power Supply</td>
<td>
<ul class=""techspecs-list"" role=""list"">
<li role=""listitem"">Up to 17 hours wireless web</li>
<li role=""listitem"">Up to 20 hours Apple TV app movie&nbsp;playback</li>
<li role=""listitem"">Built-in 58.2-watt-hour lithium-polymer&nbsp;battery</li>
<li role=""listitem"">61W USB-C Power Adapter</li>
</ul>
</td>
</tr>
<tr class=""odd"">
<td>Dimensions</td>
<td>Height:&nbsp;0.61 inch (1.56 cm)<br />Width:&nbsp;11.97 inches (30.41 cm)<br />Depth:&nbsp;8.36 inches (21.24 cm)</td>
</tr>
<tr class=""even"">
<td>Weight</td>
<td>
<div class=""column large-12"">
<div class=""column large-12"">
<p>3.0 pounds (1.4 kg)<sup class=""footnote footnote-number""><a href=""https://www.apple.com/macbook-pro-13/specs/#footnote-3"" aria-label=""Footnote 3"">3</a></sup></p>
</div>
</div>
</td>
</tr>
<tr class=""odd"">
<td>Remark</td>
<td>
<ul>
<li>
<p>7 days replacements&nbsp;for manufacturer faulty&nbsp;and 1 year Service Warranty (no local parts). OS, Software, Support and and hardware Diagnosis.</p>
<div dir=""auto"">&nbsp;</div>
<div dir=""auto""><span class=""pq6dq46d tbxw36s4 knj5qynh kvgmc6g5 ditlmg2l oygrvhab nvdbi5me sf5mxxl7 gl3lb2sf hhz5lgdu""><img src=""https://static.xx.fbcdn.net/images/emoji.php/v9/tb4/2/16/2705.png"" alt=""✅"" width=""16"" height=""16"" /></span>&nbsp;Replacement Guarantee for 7 Days.</div>
<div dir=""auto""><span class=""pq6dq46d tbxw36s4 knj5qynh kvgmc6g5 ditlmg2l oygrvhab nvdbi5me sf5mxxl7 gl3lb2sf hhz5lgdu""><img src=""https://static.xx.fbcdn.net/images/emoji.php/v9/tb4/2/16/2705.png"" alt=""✅"" width=""16"" height=""16"" /></span>&nbsp;Sealed Inactive Brand New Genuine Authentic Products.</div>
</li>
<li>
<div dir=""auto"">Apple International Warranty &nbsp;just like All Apple Products by standard default from Apple.</div>
</li>
<li>Without/No Apple international Warranty Claim Support from abroad by Custom Mac BD.&nbsp;</li>
</ul>
</td>
</tr>
</tbody>
</table>",,,,,,
alohaishoppe,MBP 14 inch M1 Pro 8C CPU 14C GPU,Piece,1,apple,electronic-accessori,mobile-accessories,,170000,0,,,,,,10,,10080,50,50,,active,"<ul>
<li>Apple M1 Pro chip for faster performance</li>
<li>8-core CPU up to 3.7x faster</li>
<li>14-core GPU up to 13x faster</li>
<li>16-core Neural Engine</li>
<li>Longer battery life, up to 17 hours</li>
<li>16GB of unified memory</li>
<li>512GB of superfast SSD storage</li>
<li>Six-speaker sound system</li>
</ul>",,,,,,
alohaishoppe,MBP 14 inch M1 Pro 10C CPU 16C GP,Piece,1,apple,electronic-accessori,mobile-accessories,,268000,0,,,,,,10,,10080,50,50,,active,"<ul>
<li>Apple M1 Pro chip for faster performance</li>
<li>8-core CPU up to 3.7x faster</li>
<li>14-core GPU up to 13x faster</li>
<li>16-core Neural Engine</li>
<li>Longer battery life, up to 17 hours</li>
<li>16GB of unified memory</li>
<li>512GB of superfast SSD storage</li>
<li>Six-speaker sound system</li>
</ul>",,,,,,
alohaishoppe,MBP 16 inch M1 Pro 10C CPU 16C GPU16GB 512SG,Piece,1,apple,electronic-accessori,mobile-accessories,,150000,0,,,,,,10,,10080,50,50,,active,"<ul>
<li>14-inch Liquid Retina XDR display</li>
<li>16-core Neural Engine</li>
<li>Three Thunderbolt 4 ports, HDMI port, SDXC card slot, MagSafe 3 port</li>
<li>Magic Keyboard with Touch ID</li>
<li>Force Touch trackpad</li>
<li><strong>Space Grey and Silver Color</strong></li>
<li>64GB memory option only available with M1 Max chip.</li>
<li>Select M1 Max if you want to be able to maximize the memory in your MacBook Pro to 64GB.</li>
</ul>",,,,,,
alohaishoppe,MBA 13 inch M1 8C 7G -8GB-256GBSS,Piece,1,apple,electronic-accessori,mobile-accessories,,110000,0,,,,,,10,,10080,50,50,,active,"<p><span class="""">Apple M1 chip with 8‑core CPU, 7‑core GPU, and 16‑core Neural&nbsp;Engine</span><span class="""">8GB unified memory</span><span class="""">256GB SSD storage</span><span class="""">Retina display with True Tone</span><span class="""">Backlit Magic Keyboard - US English</span><span class="""">Touch&nbsp;ID</span><span class="""">Force Touch trackpad</span><span class="""">Two Thunderbolt / USB 4 ports</span></p>",,,,,,
alohaishoppe,GMB 12 inch 1.3Ghz8GB512GB Gold,Piece,1,apple,electronic-accessori,mobile-accessories,,160000,0,,,,,,10,,10080,50,50,,active,"<p>td style=""width: 100.017%;"" colspan=""2""&gt;<strong>Product Identifiers</strong></p>
<p>Brand</p>
<p>le=""width: 65%;"" width=""65%""&gt;Apple</p>
<p>Model Number</p>
<p>MNYG2B/A</p>
<p><strong>Product Key Features</strong></p>
<p>Series</p>
<p>MacBook</p>
<p>Screen Size</p>
<p>12 inch</p>
<p>yle=""width: 35.0167%;"" width=""35%""&gt;Screen Resolution</p>
<p>2304x1440</p>
<p>Exterior Colour</p>
<p>Gold</p>
<p>Processor</p>
<p>Intel Core i5 (I5-7Y54)</p>
<p>Processor Speed</p>
<p>1.3GHz Turbo Boost to 3.20Ghz</p>
<p>Number of Cores</p>
<p>Dual-Core</p>
<p>Storage</p>
<p>PCIe-based flash storage</p>
<table class=""Table"" width=""100%"">
<tbody>
<tr>
<td style=""width: 35.0167%;"" width=""35%"">
<p>Storage Capacity</p>
</td>
<td style=""width: 65%;"" width=""65%"">
<p>512GB</p>
</td>
</tr>
<tr>
<td style=""width: 35.0167%;"" width=""35%"">
<p>RAM Memory</p>
</td>
<td style=""width: 65%;"" width=""65%"">
<p>8GB</p>
</td>
</tr>
<tr>
<td style=""width: 35.0167%;"" width=""35%"">
<p>Operating System</p>
</td>
<td style=""width: 65%;"" width=""65%"">
<p>OS X 11 Big Sur</p>
</td>
</tr>
<tr>
<td style=""width: 35.0167%;"" width=""35%"">
<p>Backlit Keyboard</p>
</td>
<td style=""width: 65%;"" width=""65%"">
<p>Yes</p>
</td>
</tr>
<tr>
<td style=""width: 35.0167%;"" width=""35%"">
<p>Battery Run Time</p>
</td>
<td style=""width: 65%;"" width=""65%"">
<p>Up to 11 Hours</p>
</td>
</tr>
<tr>
<td style=""width: 100.017%;"" colspan=""2"">
<p><strong>Additional Product Features</strong></p>
</td>
</tr>
<tr>
<td style=""width: 35.0167%;"" width=""35%"">
<p>Graphic Processor</p>
<td style=""width: 65%;"" width=""65%"">
<p>Intel HD Graphics 615</p>
<td style=""width: 35.0167%;"" width=""35%"">
<p>Display Technology</p>
<td style=""width: 65%;"" width=""65%"">
<p>LED-IPS</p>
<td style=""width: 35.0167%;"" width=""35%"">
<p>2nd Display Support</p>
<td style=""width: 65%;"" width=""65%"">&nbsp;</td>
<td style=""width: 35.0167%;"" width=""35%"">
<p>Connection Ports</p>
<td style=""width: 65%;"" width=""65%"">
<p>1X USB-C<br />Single analog audio output/headphone jack. Supports Apple iPhone headset with remote and microphone.</p>
<td style=""width: 35.0167%;"" width=""35%"">
<p>Release Date</p>
<td style=""width: 65%;"" width=""65%"">
<p>2017 Model</p>",,,,,,
alohaishoppe,Imac 24 inch GRN M1 8C CPU-8C G,Piece,1,apple,electronic-accessori,mobile-accessories,,195000,0,,,,,,10,,10080,50,50,,active,"<ul>
<li>MPN: MGPH3ZP/A</li>
<li>Model: Apple iMac 24"" M1 Green 2021</li>
<li>Apple M1 chip (8 Core CPU and 8 Core GPU)</li>
<li>8GB RAM + 256GB SSD</li>
<li>24"" 4K Retina Display (4096 x 2304) P3</li>
<li>1080p FaceTime HD camera, M1 ISP</li>
<li>The Apple Green (MGPH3ZP/A) iMac comes with Apple M1 chip (8 Core CPU and 8 Core GPU), Retina 24"" 4K 4096 x 2304 P3 display, 8GB RAM + 256GB SSD, Apple Integrated 8-core GPU, 1080p FaceTime HD camera with M1 ISP. The 802.11ax Wi-Fi 6 wireless networking, IEEE 802.11a/b/g/n/ac, and Bluetooth 5.0 wireless technology are compatible with this Apple iMac. In this Apple iMac, Wide stereo sound, Studio-quality three-mic array with high signal-to-noise ratio and directional beamforming, Two Thunderbolt, USB 4 ports with support for DisplayPort, Thunderbolt 3 (up to 40Gb/s), USB 4 (up to 40Gb/s), USB 3.1 Gen 2 (up to 10Gb/s) Ports are also available. This Exclusive Apple iMac 24"" Green (MGPH3ZP/A) has 01 Year International Warranty.</li>
</ul>",,,,,,
alohaishoppe,Imac 24 inch Purple M1 8C CPU-8C GP,Piece,1,apple,electronic-accessori,mobile-accessories,,173000,0,,,,,,10,,10080,50,50,,active,"<ul>
<li>MPN: MGPH3ZP/A</li>
<li>Model: Apple iMac 24"" M1 Green 2021</li>
<li>Apple M1 chip (8 Core CPU and 8 Core GPU)</li>
<li>8GB RAM + 256GB SSD</li>
<li>24"" 4K Retina Display (4096 x 2304) P3</li>
<li>1080p FaceTime HD camera, M1 ISP</li>
<li>The Apple Green (MGPH3ZP/A) iMac comes with Apple M1 chip (8 Core CPU and 8 Core GPU), Retina 24"" 4K 4096 x 2304 P3 display, 8GB RAM + 256GB SSD, Apple Integrated 8-core GPU, 1080p FaceTime HD camera with M1 ISP. The 802.11ax Wi-Fi 6 wireless networking, IEEE 802.11a/b/g/n/ac, and Bluetooth 5.0 wireless technology are compatible with this Apple iMac. In this Apple iMac, Wide stereo sound, Studio-quality three-mic array with high signal-to-noise ratio and directional beamforming, Two Thunderbolt, USB 4 ports with support for DisplayPort, Thunderbolt 3 (up to 40Gb/s), USB 4 (up to 40Gb/s), USB 3.1 Gen 2 (up to 10Gb/s) Ports are also available. This Exclusive Apple iMac 24"" Green (MGPH3ZP/A) has 01 Year International Warranty.</li>
</ul>",,,,,,
alohaishoppe,Mac Mini M1 8GB 256GB SG,Piece,1,apple,electronic-accessori,mobile-accessories,,79000,0,,,,,,10,,10080,50,50,,active,"<ul>
<li>MPN: MGNR3ZP/A</li>
<li>Model: Apple Mac Mini M1 chip</li>
<li>8‑core CPU, 16‑Core Neural Engine</li>
<li>Capacity: 256GB Storage</li>
<li>8GB of Unified Memory</li>
<li>Gigabit Ethernet</li>
<li>The exclusiveApple M1 chip comes with 8-core Processor and 8-core GPU 256GB storage. This latest Apple M1 chip designed for a giant leap in CPU, GPU, and machine learning performance. The 8-core CPU featured with up to 3x faster performance to fly through workflows quicker than ever and also the 8-core GPU featured with up to 6x faster graphics for graphics-intensive apps and games; 16-core Neural Engine for advanced machine learning. Here, Advanced cooling system sustains breakthrough performance. It supports Next-generation Wi-Fi 6 (802.11ax Wi-Fi 6 wireless networking IEEE, 802.11a/b/g/n/ac compatible, Bluetooth 5.0 wireless technology) for faster connectivity with Two Thunderbolt / USB 4 ports with support for: DisplayPort, Thunderbolt 3 (up to 40 Gbps), USB 3.1 Gen 2 (up to 10 Gbps), Thunderbolt 2, HDMI, DVI, and VGA supported using adapters (sold separately), Two USB-A ports (up to 5 Gbps), HDMI 2.0 port, Gigabit Ethernet port (configurable to 10Gb Ethernet), 3.5 mm headphone jack and also the macOS Big Sur with a bold new design and major app updates for Safari, Messages, and Maps.This Apple Mac Mini comes with 01 year International warranty.</li>
</ul>",,,,,,
