business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,status,enable_stock,current_stock,description,shipping_charge,image1,image2,image3,image4,image5,image6
fogg,Body Spray Marco  120ml Male,1,Piece,fogg,health-and-beauty-1,fragrances,,  325 ,0,,,,,"health-and-beauty-1,fragrances",10,,10080,active,1,100,"<p>Product details of Fogg Perfumed Body spray (Marco) 120ml About FOGG FOGG is a product of Vini Cosmetics with a punch tagline of &Atilde;&cent;&Acirc;&Acirc;without gas body spray&Atilde;&cent;&Acirc;&Acirc; and &Atilde;&cent;&Acirc;&Acirc;again finished&Atilde;&cent;&Acirc;&Acirc;. It came with a basic USP of long lasting fragrance and guaranteeing 800 sprays for a single FOGG bottle. Businesses are successful if they prioritize consumer behavior and innovation. When all the Deodorants brands were coming with the same type of product, Vini cosmetics came up with a different type of product, a liquid based product instead of gas. FOGG understood this human behavior and delivered a product in Indian market with demonstrating this product with only liquid and no gas. FOGG, on the other hand was concentrating on more fragrances by keeping an image of cool and iconic brand. Specifications of Fogg Perfumed Body spray (Marco) 120ml</p>",,,,,,,
fogg,Body Spray Royal  120ml Male,1,Piece,fogg,health-and-beauty-1,fragrances,,  325 ,0,,,,,"health-and-beauty-1,fragrances",10,,10080,active,1,100,"<p>Product details of Actions smart Updated Latest Body perfume party cent body spray Fo gg (Royal) used for Male/ boy&rsquo;s/ men/ gentleman/ Female/ lady/ girl&rsquo;s/ women - 120 ml It is very refreshing The day that will leave you smelling delicious Made In: United Arob Emirates Size: 120 ml Used For Unisex Oriental fragrance Long Lasting Fragrance Makes you feel refined as well as powerful Fogg body spray is dedicated to inspiring and self confident unisex whose are passionate and authentic. The composition open with fresh aromatic tones of bergamot, lavender and verbena. The heart emphasizes oak moss with geranium and apple. The base is rich with goodness of sandal and tonka. Please try yours. Thank you!</p>",,,,,,,
fogg,Body Spray Nepoleon 120ml Male,1,Piece,fogg,health-and-beauty-1,fragrances,,  325 ,0,,,,,"health-and-beauty-1,fragrances",10,,10080,active,1,100,"<p>Fogg Napoleon Fragrance Body Spray &ndash; 120 ml (For Men) Walk down the street with a spritz of this Fogg Napoleon Deodorant Spray that prepares you for a tough day ahead. Neutralises Body Odours and Perspiration A pleasant and invigorating fragrance, this deodorant spray helps you fight against body odour and perspiration. Feel Fresh and Cool All Day Long Inspired by the Mass Premium fragrance segment, the Fogg Napoleon Deodorant Spray gives you a refreshing and cool feeling all day long. Inspired by the Great Napoleon The Fogg Napoleon Deodorant Spray lends a bit of Napoleon&rsquo;s victorious arrogance to your energetic personality.</p>",,,,,,,
fogg,Body Spray Majestic 120ml Male,1,Piece,fogg,health-and-beauty-1,fragrances,,  325 ,0,,,,,"health-and-beauty-1,fragrances",10,,10080,active,1,100,<p>Soothing experience throughout the day The beautiful scent that will surely captivate your senses Long lasting fragrance Fragrance to keep you fresh all day long Keeps you fresh and energized all day Ideal For : Men Package Contents: 1 Body Spray Country of Origin: India 100% Original Guarantee</p>,,,,,,,
fogg,Body Spray Monarch 120ml Male,1,Piece,fogg,health-and-beauty-1,fragrances,,  325 ,0,,,,,"health-and-beauty-1,fragrances",10,,10080,active,1,100,<p>Packaging Size 120 ml Gender Male Brand Fogg Fragrance Lavender Shelf Life 36 Months</p>,,,,,,,
fogg,Body Spray Victor 120ml Male,1,Piece,fogg,health-and-beauty-1,fragrances,,  325 ,0,,,,,"health-and-beauty-1,fragrances",10,,10080,active,1,100,<p>Product Type :Deo SprayBrand: FOGGQuantity: 120 mlContainer Type: BottleFragrance: Cool and refreshing aromaIdeal For:Men</p>,,,,,,,
fogg,Body Spray Women Essence 120ml Female,1,Piece,fogg,health-and-beauty-1,fragrances,,  325 ,0,,,,,"health-and-beauty-1,fragrances",10,,10080,active,1,100,<p>Product details of Actions smart Updated Latest Body perfume party cent body spray Fo gg (Essence) used for Male/ boy&rsquo;s/ men/ gentleman/ Female/ lady/ girl&rsquo;s/ women - 120 ml It is very refreshing The day that will leave you smelling delicious Made In: United Arob Emirates Size: 120 ml Used For Unisex Oriental fragrance Long Lasting Fragrance Makes you feel refined as well as powerful</p>,,,,,,,
fogg,Body Spray Women Paradise 120ml Female,1,Piece,fogg,health-and-beauty-1,fragrances,,  325 ,0,,,,,"health-and-beauty-1,fragrances",10,,10080,active,1,100,<p>FOGG Body Spray Women Paradise - 120ml. Brand: FOGG. Product Type: Body Spray. Model: Paradise. Capacity: 120ml. Gender: Women.</p>,,,,,,,
fogg,Body Spray Women Radiate 120ml Female,1,Piece,fogg,health-and-beauty-1,fragrances,,  325 ,0,,,,,"health-and-beauty-1,fragrances",10,,10080,active,1,100,<p>Fragrance: Fogg Radiate Deodorant spray is formulated to provide complete protection from body odor Infused with sweat prevention properties this deodorant spray helps to control sweat Invigorating fragrance stays on your skin for long hours and keeps you smelling good till the end of the day This deodorant doesn&rsquo;t cause any irritation to the skin and leaves no stain on clothes Ensures 800 sprays &ldquo;NO GAS&rdquo; formula Long lasting fragrance that lasts for 10-12 hours</p>,,,,,,,
fogg,Black Series - Fougere 120ml Male,1,Piece,fogg,health-and-beauty-1,fragrances,,  385 ,0,,,,,"health-and-beauty-1,fragrances",10,,10080,active,1,100,<p>Product Types:Body Spray Model: Fougere Series: Black Series Brand: FOGG Gender: Men Capacity: 120ml Made in India</p>,,,,,,,
fogg,Black Series - Spicy 120ml Male,1,Piece,fogg,health-and-beauty-1,fragrances,,  385 ,0,,,,,"health-and-beauty-1,fragrances",10,,10080,active,1,100,<p>Brand: FOGG. Series: Black Series. Product Type: Body Spray. Model: Spicy. Soothing experience throughout the day. Consists of refreshing. Long lasting fragrance. Gender: Men. Capacity: 120ml.</p>,,,,,,,
fogg,Black Series - Aromatic 120ml Male,1,Piece,fogg,health-and-beauty-1,fragrances,,  385 ,0,,,,,"health-and-beauty-1,fragrances",10,,10080,active,1,100,"<p>Product details of Fogg Black Men Body spray (Aromatics) 120ml About FOGG FOGG is a product of Vini Cosmetics with a punch tagline of &ldquo;without gas body spray&rdquo; and &ldquo;again finished&rdquo;. It came with a basic USP of long lasting fragrance and guaranteeing 800 sprays for a single FOGG bottle. Businesses are successful if they prioritize consumer behavior and innovation. When all the Deodorants brands were coming with the same type of product, Vini cosmetics came up with a different type of product, a liquid based product instead of gas. FOGG understood this human behavior and delivered a product in Indian market with demonstrating this product with only liquid and no gas. FOGG, on the other hand was concentrating on more fragrances by keeping an image of cool and iconic brand.</p>",,,,,,,
fogg,Black Series - Woody 120ml Male,1,Piece,fogg,health-and-beauty-1,fragrances,,  385 ,0,,,,,"health-and-beauty-1,fragrances",10,,10080,active,1,100,<p>Brand: FOGG. Series: Black Series. Product Type: Body Spray. Model: Woody. Soothing experience throughout the day. Consists of refreshing. Long lasting fragrance. Gender: Men. Capacity: 120ml.</p>,,,,,,,
fogg,Black Series - Oriental 120ml Male,1,Piece,fogg,health-and-beauty-1,fragrances,,  385 ,0,,,,,"health-and-beauty-1,fragrances",10,,10080,active,1,100,"<p>Brand: FOGG Soothing experience throughout the day. Consists of refreshing. Long lasting fragrance. Fogg Black Men Body Spray (Oriental) 120ml is an ideal daily wear Body Spray that has a pleasant fragrance. It will envelop you for the whole day. It leaves you with a fresh, cool feeling. Once you wear this deo no need to worry about sweat odor.</p>",,,,,,,
