business,name,unit, per_unit_value , brand ,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,slug,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
abelectronics,43UP7550PTC Crystal UHD Smart LED TV 4K 43  inch Slim Black,Piece,1,lg,home-appliances,televisions,,57375,67500,0,,,,,"Electronic accessories,Mobile accessories,Audio,Wearable,Console accessories,Camera accessories,Computer accessories,Storage,Printers,Computer components,Network components,Software,Ips",5,,,,30,1,,active,,,,,,,
abelectronics,KDL-32W600D-602D Full HD Wifi Smart 32 inch LED TV,Piece,1,sony,home-appliances,televisions,,29750,35000,0,,,,,"Electronic accessories,Mobile accessories,Audio,Wearable,Console accessories,Camera accessories,Computer accessories,Storage,Printers,Computer components,Network components,Software,Ips",5,,,,500,1,,active,,,,,,,
abelectronics,KDL-43W660G Smart Full HD 43 inch LED TV,Piece,1,sony,home-appliances,televisions,,48875,57500,0,,,,,"Electronic accessories,Mobile accessories,Audio,Wearable,Console accessories,Camera accessories,Computer accessories,Storage,Printers,Computer components,Network components,Software,Ips",5,,,,120,1,,active,,,,,,,
abelectronics,KDL-50W660G Smart Full HD 50 inch LED TV,Piece,1,sony,home-appliances,televisions,,61625,72500,0,,,,,"Electronic accessories,Mobile accessories,Audio,Wearable,Console accessories,Camera accessories,Computer accessories,Storage,Printers,Computer components,Network components,Software,Ips",5,,,,87,1,,active,,,,,,,
abelectronics,KD-55x8000H Smart 4K UHD Android 55 inch LED TV (2020 Model),Piece,1,sony,home-appliances,televisions,,87125,102500,0,,,,,"Electronic accessories,Mobile accessories,Audio,Wearable,Console accessories,Camera accessories,Computer accessories,Storage,Printers,Computer components,Network components,Software,Ips",5,,,,20,1,,active,,,,,,,
abelectronics,KD-55x7500H Smart 4K UHD Android 55 inch LED TV (2020 Model),Piece,1,sony,home-appliances,televisions,,79688,93750,0,,,,,"Electronic accessories,Mobile accessories,Audio,Wearable,Console accessories,Camera accessories,Computer accessories,Storage,Printers,Computer components,Network components,Software,Ips",5,,,,180,1,,active,,,,,,,
abelectronics,KD-55X80J Ultra HD Smart LED TV 4K 55  inch Slim Black,Piece,1,sony,home-appliances,televisions,,99875,117500,0,,,,,"Electronic accessories,Mobile accessories,Audio,Wearable,Console accessories,Camera accessories,Computer accessories,Storage,Printers,Computer components,Network components,Software,Ips",5,,,,50,1,,active,,,,,,,
abelectronics,KD-55X85J Ultra HD Smart LED TV 4K 55  inch Slim Black,Piece,1,sony,home-appliances,televisions,,114750,135000,0,,,,,"Electronic accessories,Mobile accessories,Audio,Wearable,Console accessories,Camera accessories,Computer accessories,Storage,Printers,Computer components,Network components,Software,Ips",5,,,,2,1,,active,,,,,,,
abelectronics,KD-65x8000H Smart 4K UHD Android 65 inch LED TV,Piece,1,sony,home-appliances,televisions,,127500,150000,0,,,,,"Electronic accessories,Mobile accessories,Audio,Wearable,Console accessories,Camera accessories,Computer accessories,Storage,Printers,Computer components,Network components,Software,Ips",5,,,,20,1,,active,,,,,,,
abelectronics,KD-65x7500H Smart 4K UHD Android 65 inch LED TV (2020 Model),Piece,1,sony,home-appliances,televisions,,117937,138750,0,,,,,"Electronic accessories,Mobile accessories,Audio,Wearable,Console accessories,Camera accessories,Computer accessories,Storage,Printers,Computer components,Network components,Software,Ips",5,,,,50,1,,active,,,,,,,
