business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,status,enable_stock,current_stock,description,shipping_charge,image1,image2,image3,image4,image5,image6
akcollection,optical frame polycarbonate medium,Piece,1,un-categorized,fashion,watches-and-accessories,,719,0,,,,,"un-categorized,fashion",10,,10080,active,1,100,<p>male female both can wear it polycarbonate</p>,,,,,,,
akcollection,optical frame metal medium,Piece,1,un-categorized,fashion,watches-and-accessories,,839,0,,,,,"un-categorized,fashion",10,,10080,active,1,100,<p>male female both can wear it metal</p>,,,,,,,
akcollection,optical frame   metal and polycarbonate medium,Piece,1,un-categorized,fashion,watches-and-accessories,,839,0,,,,,"un-categorized,fashion",10,,10080,active,1,100,<p>male female both can wear it metal and polycarbonate</p>,,,,,,,
akcollection,optical frame metal   medium,Piece,1,un-categorized,fashion,watches-and-accessories,,839,0,,,,,"un-categorized,fashion",10,,10080,active,1,100,<p>male female both can wear it metal</p>,,,,,,,
akcollection,optical frame metal medium 01,Piece,1,un-categorized,fashion,watches-and-accessories,,839,0,,,,,"un-categorized,fashion",10,,10080,active,1,100,<p>male female both can wear it metal</p>,,,,,,,
akcollection,optical frame metal medium 02,Piece,1,un-categorized,fashion,watches-and-accessories,,839,0,,,,,"un-categorized,fashion",10,,10080,active,1,100,<p>male female both can wear it metal</p>,,,,,,,
akcollection,optical frame metal and polycarbonate medium 03,Piece,1,un-categorized,fashion,watches-and-accessories,,719,0,,,,,"un-categorized,fashion",10,,10080,active,1,100,<p>male female both can wear it metal and polycarbonate</p>,,,,,,,
akcollection,optical frame polycarbonate medium 04,Piece,1,un-categorized,fashion,watches-and-accessories,,719,0,,,,,"un-categorized,fashion",10,,10080,active,1,100,<p>male female both can wear it polycarbonate</p>,,,,,,,
akcollection,optical frame metal and polycarbonate medium 05,Piece,1,un-categorized,fashion,watches-and-accessories,,719,0,,,,,"un-categorized,fashion",10,,10080,active,1,100,<p>male female both can wear it metal and polycarbonate</p>,,,,,,,
akcollection,optical frame metal and polycarbonate medium 06,Piece,1,un-categorized,fashion,watches-and-accessories,,839,0,,,,,"un-categorized,fashion",10,,10080,active,1,100,<p>male female both can wear it metal and polycarbonate</p>,,,,,,,
akcollection,optical frame metal and polycarbonate medium 07,Piece,1,un-categorized,fashion,watches-and-accessories,,839,0,,,,,"un-categorized,fashion",10,,10080,active,1,100,<p>female metal and polycarbonate</p>,,,,,,,
akcollection,optical frame polycarbonate medium 08,Piece,1,un-categorized,fashion,watches-and-accessories,,599,0,,,,,"un-categorized,fashion",10,,10080,active,1,100,<p>male female both can wear it polycarbonate</p>,,,,,,,
akcollection,optical frame metal and polycarbonate medium 09,Piece,1,un-categorized,fashion,watches-and-accessories,,839,0,,,,,"un-categorized,fashion",10,,10080,active,1,100,<p>female metal and polycarbonate</p>,,,,,,,
akcollection,optical frame  metal  medium 10,Piece,1,un-categorized,fashion,watches-and-accessories,,839,0,,,,,"un-categorized,fashion",10,,10080,active,1,100,<p>male female both can wear it metal</p>,,,,,,,
akcollection,optical frame metal and polycarbonate medium 11,Piece,1,un-categorized,fashion,watches-and-accessories,,839,0,,,,,"un-categorized,fashion",10,,10080,active,1,100,<p>male female both can wear it metal and polycarbonate</p>,,,,,,,
akcollection,optical frame metal and polycarbonate medium 12,Piece,1,un-categorized,fashion,watches-and-accessories,,719,0,,,,,"un-categorized,fashion",10,,10080,active,1,100,<p>male female both can wear it metal and polycarbonate</p>,,,,,,,
