business,name,unit,per unit value,brand,category,sub category,sub category2,price,is offer enable,offer price,featured image,short resolation image,type,keywords,alert quantity,sku,delivery time,current stock,enable stock,shipping charge,status,description,image1,image2,image3,image4,image5,image6
kazifoodindustries,Strawberry jam 340 gm,Piece,1,kazi food industries,groceries,snacks and instant food,,260,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Orange jelly 340 gm,Piece,1,kazi food industries,groceries,snacks and instant food,,130,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Chocolate Muffin 25gm,Piece,1,kazi food industries,groceries,snacks and instant food,,10,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Vanilla Muffin 25gm,Piece,1,kazi food industries,groceries,snacks and instant food,,10,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Sliced Fruit Cake 100gm,Piece,1,kazi food industries,groceries,snacks and instant food,,30,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Pound Cake Chocolate 250gm,Piece,1,kazi food industries,groceries,snacks and instant food,,80,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Mixed Fruit Cake 250gm,Piece,1,kazi food industries,groceries,snacks and instant food,,100,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Pound Cake Vanilla,Piece,1,kazi food industries,groceries,snacks and instant food,,80,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Plain Toast 350gm,Piece,1,kazi food industries,groceries,snacks and instant food,,50,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Chicken Burger,Piece,1,kazi food industries,groceries,snacks and instant food,,160,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Chicken Cutlet,Piece,1,kazi food industries,groceries,snacks and instant food,,165,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Chicken Nuggets Kids,Piece,1,kazi food industries,groceries,snacks and instant food,,170,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Chicken Nuggets Original,Piece,1,kazi food industries,groceries,snacks and instant food,,165,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Chicken Nuggets Spicy,Piece,1,kazi food industries,groceries,snacks and instant food,,165,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Chicken Strips,Piece,1,kazi food industries,groceries,snacks and instant food,,215,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Chicken Teasers,Piece,1,kazi food industries,groceries,snacks and instant food,,180,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Chicken Meat Ball,Piece,1,kazi food industries,groceries,snacks and instant food,,175,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Aloo Puri,Piece,1,kazi food industries,groceries,snacks and instant food,,105,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Chicken Samosa,Piece,1,kazi food industries,groceries,snacks and instant food,,160,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Chicken Spring Roll,Piece,1,kazi food industries,groceries,snacks and instant food,,165,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Dal Puri,Piece,1,kazi food industries,groceries,snacks and instant food,,105,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Chicken Sausage Plain,Piece,1,kazi food industries,groceries,snacks and instant food,,120,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Chicken Sausage   Spicy,Piece,1,kazi food industries,groceries,snacks and instant food,,120,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Plain Paratha,Piece,1,kazi food industries,groceries,snacks and instant food,,80,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Plain Paratha,Piece,1,kazi food industries,groceries,snacks and instant food,,265,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Vegetable Samosa,Piece,1,kazi food industries,groceries,snacks and instant food,,125,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Vegetable Spring Roll,Piece,1,kazi food industries,groceries,snacks and instant food,,125,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Chicken Sausage Plain,Piece,1,kazi food industries,groceries,snacks and instant food,,230,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Chicken Sausage   Spicy 1,Piece,1,kazi food industries,groceries,snacks and instant food,,230,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Chicken Meat ball Spicy,Piece,1,kazi food industries,groceries,snacks and instant food,,175,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Chicken Lollypop,Piece,1,kazi food industries,groceries,snacks and instant food,,225,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Vegetable Singara,Piece,1,kazi food industries,groceries,snacks and instant food,,90,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Keema Paratha,Piece,1,kazi food industries,groceries,snacks and instant food,,100,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Filo Pastry Sheet,Piece,1,kazi food industries,groceries,snacks and instant food,,170,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Shrimp Samosa,Piece,1,kazi food industries,groceries,snacks and instant food,,200,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Shrimp Spring Roll,Piece,1,kazi food industries,groceries,snacks and instant food,,200,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
kazifoodindustries,Shammi Kabab,Piece,1,kazi food industries,groceries,snacks and instant food,,200,0,,,,,,10,,10080,100,1,,active,"<ul>
<li>Hygienic</li>
<li>High nutritional value</li>
<li>Nominal rates</li>
</ul>",,,,,,
