business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
electroneeds,Xiaomi Mijia 60Pcs DIY Tool Kit,piece,1,xiaomi,home-&-lifestyle,stationery-and-craft,,3150,0,,,,,,3,,10080,5,5,,active,"<div class=""ui-box-title"">Item specifics<span class=""propery-title"">Gyro:</span>&nbsp;<span class=""propery-des"" title=""Xiaomi Mijia 60Pcs DIY Tool Kit Toolbox General Household Hand Tool"">Xiaomi Mijia 60Pcs DIY Tool Kit Toolbox General Household Hand Tool</span><span class=""propery-title"">Features:</span>&nbsp;<span class=""propery-des"" title=""Slot"">Slot</span><span class=""propery-title"">Scale:</span>&nbsp;<span class=""propery-des"" title=""1:5"">1:5</span><span class=""propery-title"">Max Speed:</span>&nbsp;<span class=""propery-des"" title=""Xiaomi Mijia 60Pcs DIY Tool Kit Toolbox General Household Hand Tool"">Xiaomi Mijia 60Pcs DIY Tool Kit Toolbox General Household Hand Tool</span><span class=""propery-title"">State of Assembly:</span>&nbsp;<span class=""propery-des"" title=""Ready-to-Go"">Ready-to-Go</span><span class=""propery-title"">Control Channels:</span>&nbsp;<span class=""propery-des"" title=""2 Channels"">2 Channels</span><span class=""propery-title"">Model Number:</span>&nbsp;<span class=""propery-des"" title=""Xiaomi Mijia 60Pcs DIY Tool Kit Toolbox General Household Hand Tool"">Xiaomi Mijia 60Pcs DIY Tool Kit Toolbox General Household Hand Tool</span><span class=""propery-title"">Brand Name:</span>&nbsp;<span class=""propery-des"" title=""XIAOMI"">XIAOMI</span>Product DescriptionPackaging DetailsUnit Type:&nbsp;<span class=""packaging-des"">piece</span>Package Weight:&nbsp;<span class=""packaging-des"">1.8kg </span>Package Size:&nbsp;<span class=""packaging-des"">10cm x 5cm x 5cm (3.94in x 1.97in x 1.97in)</span></div>",,,,,,
electroneeds,Xiaomi Mijia smart folding WalkingPad,piece,1,xiaomi,health-and-beauty-1,health-care,,46200,0,,,,,,3,,10080,5,5,,active,"<p>Xiaomi Mijia Smart WalkingPad Folding Non-slip Sports Treadmill Running Walking Machine Gym Electricl Fitness EquipmentMain Features: IML technology for the panel, sandblasting texture cladding technology and aluminized molding lines of the bodyLightweight aluminum alloy structure to reduce the weight of the whole machineMultiple protections: child lock protection, overload protection, 10-minute automatic standby, and novice speed limit protectionBottom wheel design to move easilyWalking platform distance from the ground is only 57mm when in normal useJust for less than half a square meter and 12.9cm thickness after foldingDifferent speed selection for the new beginner or experienced athletesHas been integrated into Xiaomi&rsquo;s smart home ecosystem and can be set up and adjusted through the Mijia App ( can be downloaded from the App Store )Installation-free designThe walking machine powered by the plug to do exercise, the remote control is powered by a button battery ( included in the product )&nbsp;Suitable for doing exercise at home, office, garden, etc.</p>",,,,,,
electroneeds,Xiaomi Leban Ergonomic Adjustable Backrest Comfortable Cushion,piece,1,xiaomi,home-appliances,large-appliances,,4050,0,,,,,,3,,10080,5,5,,active,"<p>Wrap around support<br />One key lift<br />Torsional spring design<br />Sitting for a long time without tiredness<br />Are you tired of sitting for a long time? You have to sit anyway. Why dont you sit comfortably?<br /><br />Features:<br /><br />- Dynamic Support Back<br />Most spinal problems are caused by the wrong posture. Leband adjustable ergonomic back pad dynamic support back, alleviate the pressure of the spine.<br /><br />- Adaptive Adjustment Structure Makes The Back More Comfortable<br />According to ergonomics, the back support is designed in wrap-around style to cater to the natural curvature of the human spine. The back support will automatically adjust the stress direction according to the relying posture, and transfer the pressure on the spine to the support back plate, so that you are not tired of sitting for a long time. * the physiological curve of the normal and healthy lumbar spine is about 26 &deg;.<br /><br />- One-key Lift<br />Leband adjustable ergonomic back support built-in lifting mechanical structure, you can complete the dynamic lifting according to one-key without other tools, after adjustment, both sides are the same height, the sliding design is not easy to slide down, making it more comfortable to rely on.<br /><br />- Double Torsional Spring Design Dynamic Buffer Dispersion Pressure<br />Leband adjustable ergonomic back support adopts a double-diameter torsion spring support structure. The lower end is a 3.0mm diameter torsion spring, which can stabilize the pressure from the waist, and the upper end is a 2.8mm diameter torsion spring, which can flexibly support the pressure from the back and back shoulder<br /><br />- Two-way Ventilation Vent Can Breathe And Not Sweat<br />There are 306 air holes in the back support, providing a comfortable environment for the back to rely on.<br /><br />Specification:<br /><br />Brand: Leband (Xiaomi cooperation brand)<br />Name: Leband adjustable ergonomic back support<br />Model: LB-YK002<br />Size: 415&times;383&times;175mm<br />Net weight:1.3kg<br />Executive Standard: GB/T 14774-1993<br /><br />Package Included:<br /><br />1x Leband Adjustable Ergonomic Back Support.</p>",,,,,,
electroneeds,Xiaomi Mijia Smart Electric Oven 32L,piece,1,xiaomi,home-appliances,large-appliances,,11200,0,,,,,,3,,10080,5,5,,active,<p>Xiaomi Mijia Smart Electric Oven 32L.<br />Product Type: Electric Oven.<br />Capacity: 32L.<br />Power: 1600W.<br />Voltage: 220V / 50Hz.<br />Plug: China National Standard Plug (We will base on your country to send the corresponding adapter plug).<br />Dimension Product Weight: 6.70 kg.<br />Package Weight: 9.50 kg.<br />Product Size: 507.00 x 382.00 x 308.00 mm</p>,,,,,,
electroneeds,Xiaomi Viomi Electronic 360° rotation Oven 32L,piece,1,xiaomi,home-appliances,large-appliances,,12600,0,,,,,,3,,10080,5,5,,active,<p>Description<br />Xiaomi VO3201 Viomi Electronic 360&deg; Rotation Oven 32L<br />Brand: Xiaomi<br />Model: VO3201<br />Material: Anti scalding Coating / Explosion proof Glass / Stainless Steel<br />Net Weight: 7.3kg<br />Size: 510 x 435 x 305 mm<br />Capacity: 32L<br />Temperature: 100℃-230℃<br />Power: 1500W<br />Voltage: 220V / 50Hz<br />Color: White (As given picture).</p>,,,,,,
electroneeds,Xiaomi Youban Multifunctional Air Fryer 2.6L,piece,1,xiaomi,home-appliances,large-appliances,,9800,0,,,,,,3,,10080,5,5,,active,"<p>Description<br />Xiaomi Youban Multifunctional Air Fryer 2.6L<br />Brand: Xiaomi<br />Model: YB 2208T<br />Rated Power: 1000W<br />Rated Voltage: 220V 50Hz (please confirm whether you can use the voltage in your country, thank you)<br />Rated Capacity: 2.6L<br />Net Weight: 3.0kg<br />Product Size: Approx. 22.8*22.8*31.5cm<br />Basket Size: Approx. 18*19*10cm<br />Package Size: Approx. 28.6*28.6*35.5cm<br />Package Weight: Approx.3.8kg<br />Color: White (As given picture).<br />Features:220V, 1000W large power<br />Oil free food frying, low fat, more healthier<br />360 &deg; hot air high-speed circulation technology, constant temperature penetration and even heating<br />80-200℃ precise temperature control and 0-30min convenient timing<br />Integrated design, anti-fingerprint keys, leave no trace when touched<br />Small and convenient, the air fryer can be placed on the kitchen without pressure<br />2.6L gold capacity meets the daily needs of 4 family members<br />Food grade non-stick coating, more durable and easy to clean<br />Pull-out split basket, power off memory, automatically start and stop.</p>",,,,,,
electroneeds,Xiaomi Deerma Bread Toaster,piece,1,xiaomi,home-appliances,large-appliances,,4750,0,,,,,,3,,10080,5,5,,active,"<p>&lt;p&gt;The two way surround heating technology is adopted, and the heating tube is wound in the body in two directions, so that the heat can quickly penetrate every inch of the bread, and the same color can be baked in 2 minutes; the dense and loose surrounding manner can make the bread heat evenly and effectively avoid The uneven heating of the bread&lt;br /&gt;Uses an independent push operated lever that can be activated by pressing and pressing, and the lever automatically pops up as soon as the time is up&lt;br /&gt;Built-in 6-stop baking setting, you can choose your gear according to different requirements and make your own breakfast.&lt;br /&gt;XIAOMI Deerma Bread Baking Machine has thaw function. The toast can be returned to the room temperature just after the 30S of the refrigerator is thawed. After the baked bread is cold, you can choose to reheat.&lt;br /&gt;Specification:&lt;br /&gt;Brand Deerma ( XIAOMI )&lt;br /&gt;Model DEM-SL281&lt;br /&gt;Material Stainless Steel / ABS / PP&lt;br /&gt;Color Silver&lt;br /&gt;Weight 2.6kg&lt;br /&gt;Size 185 x 155 x 275 mm&lt;br /&gt;Rated Voltage / Frequency&lt;br /&gt;220V-50Hz&lt;br /&gt;Rated Power 770W&lt;/p&gt;</p>",,,,,,
electroneeds,Xiaomi youpin Pinlo Blender Pro ultra,piece,1,xiaomi,home-appliances,large-appliances,,7000,0,,,,,,3,,10080,5,5,,active,"<p>A blender is a kitchen and laboratory appliance used to mix, pur&eacute;e, or emulsify food and other. Grind semi solid ingredients, such as fresh fruits and vegetables, into smooth. Specialized blenders for making smoothies are becoming popular, chiefly resembling an ordinary model with a spigot added for quick serving.<br /><br />Product Type: Blender<br />Power: 500W<br />Brand: Xiaomi</p>",,,,,,
electroneeds,Xiaomi Pinlo Food Processor Blender Juicer,piece,1,xiaomi,home-appliances,large-appliances,,3125,0,,,,,,3,,10080,5,5,,active,"<p>if you have special requirement, please leave a message when place order.</p>",,,,,,
electroneeds,Xiaomi HuoHou Kitchen Set 4 PCS Nano-ceramic Knife 4 6 8 Inch,piece,1,xiaomi,home-appliances,large-appliances,,35000,0,,,,,,3,,10080,5,5,,active,<p>Xiaomi HuoHou Kitchen Set 4 Pcs Nano-ceramic Knife 4 6 8 Inch<br />Brand: Xiaomi<br />Material: Ceramic<br />It's made of Australian zircon sand<br />Using the high temperature &lsquo;Vacuum Carburizing&rsquo; technology<br />More environmentally friendly and safer<br />Japan's vertical grinding technology<br />It's farewell to hurt and more save effort by using ergonomic design principles<br />Color: Black&nbsp;(As given picture)</p>,,,,,,
