business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
Electromartltd,Pular Split H&C Inverter,Piece,1,gree,home-appliances,cooling-and-heating,,  53500.00 ,0,,,,,,5,,10080,5,5,,active,"<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-12PUV410 (1.0 TON)</p>",,,,,,
Electromartltd,Pular Split  H&C Inverter 1,Piece,1,gree,home-appliances,cooling-and-heating,,  75000.00 ,0,,,,,,5,,10080,5,5,,active,"<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE </a>Product Code: GSH-18PUV410 (1.5 TON)</p>",,,,,,
Electromartltd,Pular Split  H&C Inverter 2,Piece,1,gree,home-appliances,cooling-and-heating,,  86000.00 ,0,,,,,,5,,10080,5,5,,active,"<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-24PUV410 (2.0 TON)</p>",,,,,,
Electromartltd,Fairy  Split,Piece,1,gree,home-appliances,cooling-and-heating,,  45000.00 ,0,,,,,,5,,10080,5,5,,active,Brand: GREE Product Code: GS-12FA410 (1.0 TON),,,,,,
Electromartltd,Fairy  Split H&C,Piece,1,gree,home-appliances,cooling-and-heating,,  46000.00 ,0,,,,,,5,,10080,5,5,,active,"<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-12FA410 Fairy-Split, Hot &amp; Cool (1.0 TON)</p>",,,,,,
Electromartltd,Fairy  Split  H&C 1,Piece,1,gree,home-appliances,cooling-and-heating,,  62000.00 ,0,,,,,,5,,10080,5,5,,active,"<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-18FA410 (1.5 TON) Availability: 0</p>",,,,,,
Electromartltd,Fairy  Split 2,Piece,1,gree,home-appliances,cooling-and-heating,,  60000.00 ,0,,,,,,5,,10080,5,5,,active,"<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-18FA410 (1.5 TON) Availability: 0</p>",,,,,,
Electromartltd,Fairy Split  H&C 2,Piece,1,gree,home-appliances,cooling-and-heating,,  62000.00 ,0,,,,,,5,,10080,5,5,,active,"<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-18FA410 (1.5 TON) Availability: 0</p>",,,,,,
Electromartltd,Fairy  Split 3,Piece,1,gree,home-appliances,cooling-and-heating,,  70000.00 ,0,,,,,,5,,10080,5,5,,active,"<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-18FA410 (1.5 TON) Availability: 0</p>",,,,,,
Electromartltd,Fairy  Split  H&C,Piece,1,gree,home-appliances,cooling-and-heating,,  72000.00 ,0,,,,,,5,,10080,5,5,,active,"<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-18FA410 (1.5 TON) Availability: 0</p>",,,,,,
Electromartltd,Fairy  Split H&C  Inverter 3,Piece,1,gree,home-appliances,cooling-and-heating,,  74000.00 ,0,,,,,,5,,10080,5,5,,active,"<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-18FA410 (1.5 TON) Availability: 0</p>",,,,,,
Electromartltd,Fairy  Split H&C  Inverter 4,Piece,1,gree,home-appliances,cooling-and-heating,,  85000.00 ,0,,,,,,5,,10080,5,5,,active,"<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-18FA410 (1.5 TON) Availability: 0</p>",,,,,,
Electromartltd,Fairy  Split  H&C  Inverter 5,Piece,1,gree,home-appliances,cooling-and-heating,,  85000.00 ,0,,,,,,5,,10080,5,5,,active,"<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-24FV410 (2.0 TON)Availability: 10</p>",,,,,,
Electromartltd,Lomo  Split 1,Piece,1,gree,home-appliances,cooling-and-heating,,  45000.00 ,0,,,,,,5,,10080,5,5,,active,"<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-12PUV410 (1.0 TON)</p>",,,,,,
Electromartltd,Lomo  Split 2,Piece,1,gree,home-appliances,cooling-and-heating,,  58500.00 ,0,,,,,,5,,10080,5,5,,active,"<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-12PUV410 (1.0 TON)</p>",,,,,,
Electromartltd,Lomo  Split 3,Piece,1,gree,home-appliances,cooling-and-heating,,  71500.00 ,0,,,,,,5,,10080,5,5,,active,"<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-12PUV410 (1.0 TON)</p>",,,,,,
Electromartltd,Cozy  Split 4,Piece,1,gree,home-appliances,cooling-and-heating,,  99000.00 ,0,,,,,,5,,10080,5,5,,active,"<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-12PUV410 (1.0 TON)</p>",,,,,,
Electromartltd,Cozy  Split 5,Piece,1,gree,home-appliances,cooling-and-heating,,  119000.00 ,0,,,,,,5,,10080,5,5,,active,"<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-12PUV410 (1.0 TON)</p>",,,,,,
Electromartltd,Floor Standing ,Piece,1,gree,home-appliances,cooling-and-heating,,  95000.00 ,0,,,,,,5,,10080,5,5,,active,"<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-12PUV410 (1.0 TON)</p>",,,,,,
Electromartltd,Floor Standing 1,Piece,1,gree,home-appliances,cooling-and-heating,,  137000.00 ,0,,,,,,5,,10080,5,5,,active,"<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-12PUV410 (1.0 TON)</p>",,,,,,
Electromartltd,Floor Standing 2,Piece,1,gree,home-appliances,cooling-and-heating,,  177000.00 ,0,,,,,,5,,10080,5,5,,active,"<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-12PUV410 (1.0 TON)</p>",,,,,,
Electromartltd,Ceiling Type,Piece,1,gree,home-appliances,cooling-and-heating,,  135000.00 ,0,,,,,,5,,10080,5,5,,active,"<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-12PUV410 (1.0 TON)</p>",,,,,,
Electromartltd,Ceiling Type 1,Piece,1,gree,home-appliances,cooling-and-heating,,  158000.00 ,0,,,,,,5,,10080,5,5,,active,"<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-12PUV410 (1.0 TON)</p>",,,,,,
Electromartltd,Ceiling Type 2,Piece,1,gree,home-appliances,cooling-and-heating,,  177500.00 ,0,,,,,,5,,10080,5,5,,active,"<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-12PUV410 (1.0 TON)</p>",,,,,,
Electromartltd,Ceiling Type H&C Inverter,Piece,1,gree,home-appliances,cooling-and-heating,,  179900.00 ,0,,,,,,5,,10080,5,5,,active,"<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-12PUV410 (1.0 TON)</p>",,,,,,
Electromartltd,Ceiling Type H&C Inverter 1,Piece,1,gree,home-appliances,cooling-and-heating,,  209900.00 ,0,,,,,,5,,10080,5,5,,active,"<p>GREE GSH-48DWV410 INVERTER I-Sense is an advanced feature designed for your utmost comfort. Normally, air conditioners have only one temperature sensor on the indoor unit which senses the temperature around the unit and not necessarily near the user, leading to discomfort for the user, especially in large rooms. Conditioner range comes equipped with 2 sensors, one on the unit and the other on the remote handset. In a large room, you may choose to enable this feature on the remote. The sensor in the remote will then sense the temperature around you and will control the air conditioner to match the set temperature with that of your location, providing the utmost comfort. Now, get what you set</p>",,,,,,
Electromartltd,Ceiling Type H&C Inverter 2,Piece,1,gree,home-appliances,cooling-and-heating,,  230000.00 ,0,,,,,,5,,10080,5,5,,active,"<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-24PUV410 (2.0 TON)</p>",,,,,,
Electromartltd,Cassette Type,Piece,1,gree,home-appliances,cooling-and-heating,,  80000.00 ,0,,,,,,5,,10080,5,5,,active,"<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-24PUV410 (2.0 TON)</p>",,,,,,
Electromartltd,Cassette Type 1,Piece,1,gree,home-appliances,cooling-and-heating,,  106000.00 ,0,,,,,,5,,10080,5,5,,active,"<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-24PUV410 (2.0 TON)</p>",,,,,,
Electromartltd,Cassette Type 2,Piece,1,gree,home-appliances,cooling-and-heating,,  142000.00 ,0,,,,,,5,,10080,5,5,,active,"<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-24PUV410 (2.0 TON)</p>",,,,,,
Electromartltd,Cassette Type 3,Piece,1,gree,home-appliances,cooling-and-heating,,  160000.00 ,0,,,,,,5,,10080,5,5,,active,"<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-24PUV410 (2.0 TON)</p>",,,,,,
