business,name,unit, per_unit_value , brand ,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,slug,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
jahantradebd,HP USB 3.0 Pendrive 16 GB HP Steel Color,Piece,1,hp,electronic-accessori,audio,,330,550,0,,,,,,5,,,,50,1,,active,,,,,,,
jahantradebd,HP 32 GB USB 3.1 Pen Drive - Silver,Piece,1,hp,electronic-accessori,audio,,350,750,0,,,,,,5,,,,50,1,,active,,,,,,,
jahantradebd,Awei Y900 - Wireless Bluetooth Speaker - Black and Yellow,Piece,1,awei,electronic-accessori,audio,,1100,1300,0,,,,,,5,,,,50,1,,active,,,,,,,
jahantradebd,Lenovo Wireless Headsets HE05 Sport Earphone Magnetic Bluetooth 5.0,Piece,1,lenovo,electronic-accessori,audio,,450,700,0,,,,,,5,,,,50,1,,active,,,,,,,
jahantradebd,Lenovo HE05X Bluetooth 5.0 Neckband Wireless Earphone BT5.0 Sports Sweatproof Headset IPX5 with Mic Noise Cancelling,Piece,1,lenovo,electronic-accessori,audio,,500,1200,0,,,,,,5,,,,50,1,,active,,,,,,,
jahantradebd,Plextone Mowi RX3 Dual Microphone Gaming Earphone,Piece,1,un-categorized,electronic-accessori,audio,,550,950,0,,,,,,5,,,,50,1,,active,,,,,,,
jahantradebd,Plextone G30 In-Ear Gaming Headphones WITH MIC,Piece,1,un-categorized,electronic-accessori,audio,,1050,1550,0,,,,,,5,,,,50,1,,active,,,,,,,
jahantradebd,M19 Earbuds TWS Earphone Intelligente Touch Control Wireless Bluetooth 5.1 Headphones Waterproof LED Display With Microphone,Piece,1,un-categorized,electronic-accessori,audio,,800,1000,0,,,,,,5,,,,50,1,,active,,,,,,,
jahantradebd,M11 Tws Earphone with Led Bluetooth Headset Q32,Piece,1,un-categorized,electronic-accessori,audio,,750,900,0,,,,,,5,,,,50,1,,active,,,,,,,
jahantradebd,M10 TWS Wireless Earphone Bluetooth Earplugs,Piece,1,un-categorized,electronic-accessori,audio,,650,1500,0,,,,,,5,,,,50,1,,active,,,,,,,
jahantradebd,F9 Bluetooth Earphone V5.0 TWS Wireless Earphone LED Display Sports Wireless Headset With Microphone,Piece,1,un-categorized,electronic-accessori,audio,,500,1350,0,,,,,,5,,,,50,1,,active,,,,,,,
jahantradebd,V25 Best Wireless Sports Earphones with Mic HD Stereo Bluetooth Headphones,Piece,1,un-categorized,electronic-accessori,audio,,420,800,0,,,,,,5,,,,50,1,,active,,,,,,,
jahantradebd,Uiisii C100 Super Bass Stereo In Ear Headphone - Black,Piece,1,un-categorized,electronic-accessori,audio,,140,300,0,,,,,,5,,,,50,1,,active,,,,,,,
jahantradebd,Uiisii Hm 12 Super Bass Stereo In Ear-Phone,Piece,1,un-categorized,electronic-accessori,audio,,300,350,0,,,,,,5,,,,50,1,,active,,,,,,,
jahantradebd,Mibro Lite Smart Watch Global Version - Black,Piece,1,un-categorized,fashion,watches-and-accessories,,3400,3700,0,,,,,,5,,,,50,1,,active,,,,,,,
