business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,slug,sku,delivery_time,status,enable_stock,current_stock,description,shipping_charge,image1,image2,image3,image4,image5,image6
shamaworldwide,Avonee Pant Diaper Small (S) (4-8 kg) 42pcs,Packet,1,avonee-pants,babies-&-toys,diapers-and- potty,diapers bags,668,890,0,,,,,"Avonee Pant Diaper Small (S) (4-8 kg) 42pcs, avonee-pants",5,,,10080,active,1,100,,,,,,,,
shamaworldwide,Avonee Pant Diaper Large (L) (9-14 kg) 34pcs,Packet,1,avonee-pants,babies-&-toys,diapers-and- potty,diapers bags,668,890,0,,,,,"Avonee Pant Diaper Large (L) (9-14 kg) 34pcs, avonee-pants",5,,,10080,active,1,100,,,,,,,,
shamaworldwide,Avonee Pant Diaper Midi (M) (7-12 kg) - 40pcs,Packet,1,avonee-pants,babies-&-toys,diapers-and- potty,diapers bags,668,890,0,,,,,"Avonee Pant Diaper Midi (M) (7-12 kg) - 40pcs, avonee-pants",5,,,10080,active,1,100,,,,,,,,
shamaworldwide,Avonee Pant Diaper Junior (XL) (12-17 kg) - 32pcs,Packet,1,avonee-pants,babies-&-toys,diapers-and- potty,diapers bags,668,890,0,,,,,"Avonee Pant Diaper Junior (XL) (12-17 kg) - 32pcs, avonee-pants",5,,,10080,active,1,100,,,,,,,,
shamaworldwide,Avonee Pant Diaper Extra Large (XXL) (14-25 kg) - 24pcs,Packet,1,avonee-pants,babies-&-toys,diapers-and- potty,diapers bags,668,890,0,,,,,"Avonee Pant Diaper Extra Large (XXL) (14-25 kg) - 24pcs, avonee-pants",5,,,10080,active,1,100,,,,,,,,
shamaworldwide,Love Baby Maxi Belt Diaper (L) (7-18 kg) - 50pcs,Packet,1,love-baby,babies-&-toys,diapers-and- potty,diapers bags,960,1360,0,,,,,"Love Baby Maxi Belt Diaper (L) (7-18 kg) - 50pcs, love-baby",5,,,10080,active,1,100,,,,,,,,
shamaworldwide,Love Baby Junior Belt Diaper (XL) (11-25 kg) - 48pcs,Packet,1,love-baby,babies-&-toys,diapers-and- potty,diapers bags,960,1360,0,,,,,"Love Baby Junior Belt Diaper (XL) (11-25 kg) - 48pcs, love-baby",5,,,10080,active,1,100,,,,,,,,
shamaworldwide,Love Baby Extra Large Belt Diaper (XXL) (16+ kg) - 44pcs,Packet,1,love-baby,babies-&-toys,diapers-and- potty,diapers bags,960,1360,0,,,,,"Love Baby Extra Large Belt Diaper (XXL) (16+ kg) - 44pcs, love-baby",5,,,10080,active,1,100,,,,,,,,
shamaworldwide,Love Baby Mini Belt Diaper (S) (3-6 kg) - 31pcs,Packet,1,love-baby,babies-&-toys,diapers-and- potty,diapers bags,520,700,0,,,,,"Love Baby Mini Belt Diaper (S) (3-6 kg) - 31pcs, love-baby",5,,,10080,active,1,100,,,,,,,,
shamaworldwide,Love Baby Super Diaper Midi Belt (M) (4-9 kg) - 29pcs,Packet,1,love-baby,babies-&-toys,diapers-and- potty,diapers bags,520,700,0,,,,,"Love Baby Super Diaper Midi Belt (M) (4-9 kg) - 29pcs, love-baby",5,,,10080,active,1,100,,,,,,,,
