business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,status,enable_stock,current_stock,description,shipping_charge,image1,image2,image3,image4,image5,image6
mssumaiyarice,Rashid Special Minikat (25kg),1,Packet,rashid-group,groceries,cooking-items,rice,1480,1675,0,,,,,"groceries,cooking-items,rice",5,,,active,1,100,,,,,,,,
mssumaiyarice,Rashid Special Minikat (50kg),1,Packet,rashid-group,groceries,cooking-items,rice,2870,3200,0,,,,,"groceries,cooking-items,rice",5,,,active,1,100,,,,,,,,
mssumaiyarice, Shagor pecial Minikat (25kg),1,Packet,sagar-rice,groceries,cooking-items,rice,1550,1700,0,,,,,"groceries,cooking-items,rice",5,,,active,1,100,,,,,,,,
mssumaiyarice, Shagor pecial Minikat (50kg),1,Packet,sagar-rice,groceries,cooking-items,rice,3100,3320,0,,,,,"groceries,cooking-items,rice",5,,,active,1,100,,,,,,,,
mssumaiyarice,Mozammel Special Miniket Rice - 25Kg,1,Packet,mozammel-rice,groceries,cooking-items,rice,1550,1675,0,,,,,"groceries,cooking-items,rice",5,,,active,1,100,,,,,,,,
mssumaiyarice,Mozammel Special Miniket Rice - 50Kg,1,Packet,mozammel-rice,groceries,cooking-items,rice,3000,3250,0,,,,,"groceries,cooking-items,rice",5,,,active,1,100,,,,,,,,
mssumaiyarice,Mozammel Special Chinigura Rice 25Kg,1,Packet,mozammel-rice,groceries,cooking-items,rice,2250,2450,0,,,,,"groceries,cooking-items,rice",5,,,active,1,100,,,,,,,,
mssumaiyarice,Mozammel Special Chinigura Rice 50Kg,1,Packet,mozammel-rice,groceries,cooking-items,rice,4500,4720,0,,,,,"groceries,cooking-items,rice",5,,,active,1,100,,,,,,,,
mssumaiyarice,Dolphin Miniket Rice- 25kg,1,Packet,dolphin-rice,groceries,cooking-items,rice,1480,1620,0,,,,,"groceries,cooking-items,rice",5,,,active,1,100,,,,,,,,
mssumaiyarice,Dolphin Miniket Rice- 50kg,1,Packet,dolphin-rice,groceries,cooking-items,rice,2870,3000,0,,,,,"groceries,cooking-items,rice",5,,,active,1,100,,,,,,,,
mssumaiyarice,Paalki Nazirshail Rice Standard 25 kg,1,Packet,paalki-rice,groceries,cooking-items,rice,1650,1750,0,,,,,"groceries,cooking-items,rice",5,,,active,1,100,,,,,,,,
mssumaiyarice,Paalki Nazirshail Rice Standard 50 kg,1,Packet,paalki-rice,groceries,cooking-items,rice,3200,3400,0,,,,,"groceries,cooking-items,rice",5,,,active,1,100,,,,,,,,
mssumaiyarice,DURGA Chinigura (25 Kg) ,1,Packet,durga,groceries,cooking-items,rice,1750,1890,0,,,,,"groceries,cooking-items,rice",5,,,active,1,100,,,,,,,,
mssumaiyarice,DURGA Chinigura (50 Kg) ,1,Packet,durga,groceries,cooking-items,rice,3620,3850,0,,,,,"groceries,cooking-items,rice",5,,,active,1,100,,,,,,,,
mssumaiyarice,Katari Bhog Rice 25kg,1,Packet,katarivog-rice,groceries,cooking-items,rice,2200,2350,0,,,,,"groceries,cooking-items,rice",5,,,active,1,100,,,,,,,,
mssumaiyarice,Katari Bhog(Sidho) Rice 25kg,1,Packet,katarivog-rice,groceries,cooking-items,rice,1500,1650,0,,,,,"groceries,cooking-items,rice",5,,,active,1,100,,,,,,,,
mssumaiyarice,Katari Bhog(Sidho) Rice 50kg,1,Packet,katarivog-rice,groceries,cooking-items,rice,2950,3150,0,,,,,"groceries,cooking-items,rice",5,,,active,1,100,,,,,,,,
mssumaiyarice,Deshi Basmoti Rice 25kg,1,Packet,deshi-basmoti-rice,groceries,cooking-items,rice,1750,1900,0,,,,,"groceries,cooking-items,rice",5,,,active,1,100,,,,,,,,
mssumaiyarice,Deshi Basmoti Rice 50kg,1,Packet,deshi-basmoti-rice,groceries,cooking-items,rice,3400,3640,0,,,,,"groceries,cooking-items,rice",5,,,active,1,100,,,,,,,,
