business,name,unit, per_unit_value , brand ,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,slug,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
dreamelectronicsbd,MI 4S 43inch 4K ANDROID LED TV,Piece,1,xiaomi,home-appliances,televisions,,48000,40500,0,,,,,"TV & HOME APPLIANCES.TELEVISIONS,HOME AUDIO.\,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CAE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS


",5,,,,50,1,,active,,,,,,,
dreamelectronicsbd,MI 32inch P1 ANDROID,Piece,1,xiaomi,home-appliances,televisions,,29900,22000,0,,,,,"TV & HOME APPLIANCES.TELEVISIONS,HOME AUDIO.\,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CAE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS


",5,,,,50,1,,active,,,,,,,
dreamelectronicsbd,MI 4S 43inch 4K ANDROID  RUSSIAN,Piece,1,xiaomi,home-appliances,televisions,,42000,36000,0,,,,,"TV & HOME APPLIANCES.TELEVISIONS,HOME AUDIO.\,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CAE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS


",5,,,,50,1,,active,,,,,,,
dreamelectronicsbd,MI 43inch P1 ANDROID LED TV,Piece,1,xiaomi,home-appliances,televisions,,40000,40000,0,,,,,"TV & HOME APPLIANCES.TELEVISIONS,HOME AUDIO.\,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CAE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS


",5,,,,50,1,,active,,,,,,,
dreamelectronicsbd,MI 4A 43inch SMART LED TV,Piece,1,xiaomi,home-appliances,televisions,,43000,34000,0,,,,,"TV & HOME APPLIANCES.TELEVISIONS,HOME AUDIO.\,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CAE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS


",5,,,,50,1,,active,,,,,,,
dreamelectronicsbd,MI 4S 55inch 4K ANDROID LED TV,Piece,1,xiaomi,home-appliances,televisions,,67000,59000,0,,,,,"TV & HOME APPLIANCES.TELEVISIONS,HOME AUDIO.\,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CAE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS


",5,,,,50,1,,active,,,,,,,
dreamelectronicsbd,MI 55inch P1 4K ANDROID,Piece,1,xiaomi,home-appliances,televisions,,72000,62500,0,,,,,"TV & HOME APPLIANCES.TELEVISIONS,HOME AUDIO.\,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CAE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS


",5,,,,50,1,,active,,,,,,,
dreamelectronicsbd,MI 4S 65inch 4K ANDROID LED TV,Piece,1,xiaomi,home-appliances,televisions,,95000,82000,0,,,,,"TV & HOME APPLIANCES.TELEVISIONS,HOME AUDIO.\,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CAE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS


",5,,,,50,1,,active,,,,,,,
dreamelectronicsbd,MI 4X 65inch 4K ANDROID LED TV,Piece,1,xiaomi,home-appliances,televisions,,98000,78000,0,,,,,"TV & HOME APPLIANCES.TELEVISIONS,HOME AUDIO.\,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CAE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS


",5,,,,50,1,,active,,,,,,,
dreamelectronicsbd,Vezio 24inch HD LED TV,Piece,1,vezio,home-appliances,televisions,,8500,8000,0,,,,,"TV & HOME APPLIANCES.TELEVISIONS,HOME AUDIO.\,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CAE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS


",5,,,,50,1,,active,,,,,,,
