business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,slug,sku,delivery_time,status,enable_stock,current_stock,description,shipping_charge,image1,image2,image3,image4,image5,image6
electroworld,Hip HD LED TV - 32Black smile,Piece,1,hip,home-appliances,televisions,smart-televisions,11900,17375,0,,,,,"Hip HD LED TV - 32Black smile, hip",10,,,10080,active,1,100,,,,,,,,
electroworld,Hip 32'' smart wifi ( RAM-1 GB-ROM 8 GB )HD LED TV smile,Piece,1,hip,home-appliances,televisions,smart-televisions,13900,19375,0,,,,,"Hip 32'' smart wifi ( RAM-1 GB-ROM 8 GB )HD LED TV smile, hip",10,,,10080,active,1,100,,,,,,,,
electroworld,Hip 32'' Double glass smartwifi ( RAM-1 GB-ROM 8 GB )HD LED TV Glorious,Piece,1,hip,home-appliances,televisions,smart-televisions,14500,20625,0,,,,,"Hip 32'' Double glass smartwifi ( RAM-1 GB-ROM 8 GB )HD LED TV Glorious, hip",10,,,10080,active,1,100,,,,,,,,
electroworld,Hip 40 '' Smart wifi LED TV (ram 1 gb -rom 8 gb ) - Black,Piece,1,hip,home-appliances,televisions,smart-televisions,17900,23625,0,,,,,"Hip 40 '' Smart wifi LED TV (ram 1 gb -rom 8 gb ) - Black, hip",10,,,10080,active,1,100,,,,,,,,
electroworld,Hip 43''Smile Smart wifi LED TV ( RAM-1 GB-ROM 8 GB )- Black,Piece,1,hip,home-appliances,televisions,smart-televisions,20900,29875,0,,,,,"Hip 43''Smile Smart wifi LED TV ( RAM-1 GB-ROM 8 GB )- Black, hip",10,,,10080,active,1,100,,,,,,,,
electroworld,Sony 32'' KDL-32W600D  32W602D Internet SMART TV SLIM ( MALAYSIA )new version,Piece,1,sony,home-appliances,televisions,smart-televisions,26900,34375,0,,,,,"Sony 32'' KDL-32W600D  32W602D Internet SMART TV SLIM ( MALAYSIA )new version, sony",10,,,10080,active,1,100,,,,,,,,
electroworld,SONY 43'' bravia 43 W660F  W660G - Full HD SMART  TV - Black (MALAYSIA) new version,Piece,1,sony,home-appliances,televisions,smart-televisions,42900,57375,0,,,,,"SONY 43'' bravia 43 W660F  W660G - Full HD SMART  TV - Black (MALAYSIA) new version, sony",10,,,10080,active,1,100,,,,,,,,
electroworld,MIDEA Ac 1 ton  splite type non inverter,Piece,1,midea,home-appliances,cooling-&-heating,air-conditioner,27900,36125,0,,,,,"MIDEA Ac 1 ton  splite type non inverter, midea",10,,,10080,active,1,100,,,,,,,,
electroworld,MIDEA Ac1.5 Ton Split Type  Non inverter,Piece,1,midea,home-appliances,cooling-&-heating,air-conditioner,32900,43125,0,,,,,"MIDEA Ac1.5 Ton Split Type  Non inverter, midea",10,,,10080,active,1,100,,,,,,,,
electroworld,MIDEA Ac Split Air Conditioner-2 Ton ,Piece,1,midea,home-appliances,cooling-&-heating,air-conditioner,42900,57375,0,,,,,"MIDEA Ac Split Air Conditioner-2 Ton , midea",10,,,10080,active,1,100,,,,,,,,
electroworld,ELITE Ac 1.5 ton Split type  non inverter,Piece,1,elite,home-appliances,cooling-&-heating,air-conditioner,31900,41874,0,,,,,"ELITE Ac 1.5 ton Split type  non inverter, elite",10,,,10080,active,1,100,,,,,,,,
electroworld,ELITE 2 ton Split type ac non inverter low energy,Piece,1,elite,home-appliances,cooling-&-heating,air-conditioner,41900,56125,0,,,,,"ELITE 2 ton Split type ac non inverter low energy, elite",10,,,10080,active,1,100,,,,,,,,
electroworld,DAHUA 4 CC CAMERA PAKAGE WITHOUT MONITOR PKG–DAH-104,Piece,1,dahua,electronics,security-cameras,cctv-security-camera,14500,19375,0,,,,,"DAHUA 4 CC CAMERA PAKAGE WITHOUT MONITOR PKG–DAH-104, dahua",10,,,10080,active,1,100,,,,,,,,
electroworld,DAHUA 6 CC CAMERA PAKAGE WITHOUT MONITOR PKG–DAH-107,Piece,1,dahua,electronics,security-cameras,cctv-security-camera,20500,28125,0,,,,,"DAHUA 6 CC CAMERA PAKAGE WITHOUT MONITOR PKG–DAH-107, dahua",10,,,10080,active,1,100,,,,,,,,
electroworld,Dahua 8 Cc Camera Pakage Without Monitor Pkg–Dah-110,Piece,1,dahua,electronics,security-cameras,cctv-security-camera,29900,39875,0,,,,,"Dahua 8 Cc Camera Pakage Without Monitor Pkg–Dah-110, dahua",10,,,10080,active,1,100,,,,,,,,
electroworld,DAHUA 10 CC CAMERA PAKAGE WITHOUT MONITOR PKG–DAH-113,Piece,1,dahua,electronics,security-cameras,cctv-security-camera,33500,44375,0,,,,,"DAHUA 10 CC CAMERA PAKAGE WITHOUT MONITOR PKG–DAH-113, dahua",10,,,10080,active,1,100,,,,,,,,
electroworld,Dahua 12 Cc Camera Pakage Without Monitor Pkg–Dah-115,Piece,1,dahua,electronics,security-cameras,cctv-security-camera,42900,56125,0,,,,,"Dahua 12 Cc Camera Pakage Without Monitor Pkg–Dah-115, dahua",10,,,10080,active,1,100,,,,,,,,
electroworld,HiKVISION 4 CC CAMERA PAKAGE WITHOUT MONITOR PKG– Hik -204,Piece,1,sony,electronics,security-cameras,cctv-security-camera,14500,19875,0,,,,,"HiKVISION 4 CC CAMERA PAKAGE WITHOUT MONITOR PKG– Hik -204, sony",10,,,10080,active,1,100,,,,,,,,
electroworld,Hikvision 6 Cc Camera Pakage Without Monitor Pkg– Hik -207,Piece,1,sony,electronics,security-cameras,cctv-security-camera,20500,28625,0,,,,,"Hikvision 6 Cc Camera Pakage Without Monitor Pkg– Hik -207, sony",10,,,10080,active,1,100,,,,,,,,
electroworld,Hikvision 8 Cc Camera Pakage Without Monitor Pkg– Hik -210,Piece,1,sony,electronics,security-cameras,cctv-security-camera,29900,40625,0,,,,,"Hikvision 8 Cc Camera Pakage Without Monitor Pkg– Hik -210, sony",10,,,10080,active,1,100,,,,,,,,
electroworld,Hikvision 10 Cc Camera Pakage Without Monitor Pkg– Hik -213,Piece,1,sony,electronics,security-cameras,cctv-security-camera,33500,46875,0,,,,,"Hikvision 10 Cc Camera Pakage Without Monitor Pkg– Hik -213, sony",10,,,10080,active,1,100,,,,,,,,
electroworld,Hikvision 12 CC CAMERA PAKAGE WITHOUT MONITOR PKG– Hik -215,Piece,1,sony,electronics,security-cameras,cctv-security-camera,42900,58125,0,,,,,"Hikvision 12 CC CAMERA PAKAGE WITHOUT MONITOR PKG– Hik -215, sony",10,,,10080,active,1,100,,,,,,,,
electroworld,Sony Tv Power Adapter Up To 32'' To 43'' 19.5V-4.7A,Piece,1,sony,home-appliances,TV-Accessories-&-Video-Device,,950,1187,0,,,,,"Sony Tv Power Adapter Up To 32'' To 43'' 19.5V-4.7A, sony",10,,,10080,active,1,100,,,,,,,,
electroworld,Sony Tv Power Adapter Up To 32'' To 75''TV- 19.5V-6.2a ( Big Size),Piece,1,sony,home-appliances,TV-Accessories-&-Video-Device,,1250,1490,0,,,,,"Sony Tv Power Adapter Up To 32'' To 75''TV- 19.5V-6.2a ( Big Size), sony",10,,,10080,active,1,100,,,,,,,,
electroworld,Wall mount moving wall mount  braket 14-42 '' (sc-E78),Piece,1,un-categorized,home-appliances,TV-Accessories-&-Video-Device,,590,815,0,,,,,"Wall mount moving wall mount  braket 14-42 '' (sc-E78), un-categorized",10,,,10080,active,1,100,,,,,,,,
electroworld,Wall mount Braket for SmartLED Television (14-42 Inch),Piece,1,un-categorized,home-appliances,TV-Accessories-&-Video-Device,,180,450,0,,,,,"Wall mount Braket for SmartLED Television (14-42 Inch), un-categorized",10,,,10080,active,1,100,,,,,,,,
electroworld,"Wall mount braket big size 26''-55''
",Piece,1,un-categorized,home-appliances,TV-Accessories-&-Video-Device,,390,650,0,,,,,"Wall mount braket big size 26''-55''
, un-categorized",10,,,10080,active,1,100,,,,,,,,
electroworld,Smart Android Tv Box Tanix  Tx3 Mini Hi Quility ( 2GB RAM +16GB ROM ),Piece,1,un-categorized,home-appliances,TV-Accessories-&-Video-Device,,2350,3000,0,,,,,"Smart Android Tv Box Tanix  Tx3 Mini Hi Quility ( 2GB RAM +16GB ROM ), un-categorized",10,,,10080,active,1,100,,,,,,,,
electroworld,Tanix Tx6 Smart Android 9.0 Tv Box (RAM 4 GB - ROM 32 GB ),Piece,1,un-categorized,home-appliances,TV-Accessories-&-Video-Device,,3450,4500,0,,,,,"Tanix Tx6 Smart Android 9.0 Tv Box (RAM 4 GB - ROM 32 GB ), un-categorized",10,,,10080,active,1,100,,,,,,,,
