business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,slug,sku,delivery_time,status,enable_stock,current_stock,description,shipping_charge,image1,image2,image3,image4,image5,image6
globalvillageinternational,Layerr Shot 135ML Blue Blaze,Piece,1,layerr-shot,health-and-beauty-1,fragrances,,310.25,  365 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Layerr Shot 135ML Deep Desire,Piece,1,layerr-shot,health-and-beauty-1,fragrances,,310.25,  365 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Layerr Shot 135ML Power Play,Piece,1,layerr-shot,health-and-beauty-1,fragrances,,310.25,  365 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Layerr Shot 135ML Red Stallion,Piece,1,layerr-shot,health-and-beauty-1,fragrances,,310.25,  365 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Layerr Shot 135ML Royal Jade,Piece,1,layerr-shot,health-and-beauty-1,fragrances,,310.25,  365 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Layerr Shot 135ML Smokin Hot,Piece,1,layerr-shot,health-and-beauty-1,fragrances,,310.25,  365 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Layerr Shot Gold 135ML Dynamic,Piece,1,layerr-shot,health-and-beauty-1,fragrances,,318.75,  375 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Layerr Shot Gold 135ML Iconic,Piece,1,layerr-shot,health-and-beauty-1,fragrances,,318.75,  375 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Layerr Shot Gold 135ML Imperial,Piece,1,layerr-shot,health-and-beauty-1,fragrances,,318.75,  375 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Layerr Shot Gold 135ML Passion,Piece,1,layerr-shot,health-and-beauty-1,fragrances,,318.75,  375 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Layerr Shot Absolute 135ML Craze,Piece,1,layerr-shot,health-and-beauty-1,fragrances,,335.75,  395 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Layerr Shot Absolute 135ML Game,Piece,1,layerr-shot,health-and-beauty-1,fragrances,,335.75,  395 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Layerr Shot Absolute 135ML Power,Piece,1,layerr-shot,health-and-beauty-1,fragrances,,335.75,  395 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Layerr Wottagirl 135ML Amber Kiss,Piece,1,layerr-shot,health-and-beauty-1,fragrances,,310.25,  365 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Layerr Wottagirl 135ML Deep Space,Piece,1,layerr-shot,health-and-beauty-1,fragrances,,310.25,  365 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Layerr Wottagirl 135ML Fresh Citrus,Piece,1,layerr-shot,health-and-beauty-1,fragrances,,310.25,  365 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Layerr Wottagirl 135ML Mystic Island,Piece,1,layerr-shot,health-and-beauty-1,fragrances,,310.25,  365 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Layerr Wottagirl 135ML Pink Angel,Piece,1,layerr-shot,health-and-beauty-1,fragrances,,310.25,  365 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Layerr Wottagirl 135ML Pure Paradise,Piece,1,layerr-shot,health-and-beauty-1,fragrances,,310.25,  365 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Layerr Wottagirl 135ML Secret Crush,Piece,1,layerr-shot,health-and-beauty-1,fragrances,,310.25,  365 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Layerr Wottagirl 135ML Spell Bound,Piece,1,layerr-shot,health-and-beauty-1,fragrances,,310.25,  365 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Layerr Wottagirl 135ML Vanilla Twist,Piece,1,layerr-shot,health-and-beauty-1,fragrances,,310.25,  365 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss Canned Mushroom Whole 425gr,Piece,1,clariss,health-and-beauty-1,fragrances,,127.5,  150 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss Canned Sweet Corn 425gr,Piece,1,clariss,health-and-beauty-1,fragrances,,102,  120 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss Canned Baby Corn 425gr,Piece,1,clariss,health-and-beauty-1,fragrances,,136,  160 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss Canned Red Kidney Beans 425gr,Piece,1,clariss,health-and-beauty-1,fragrances,,127.5,  150 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss Whitening Milk Lotion 200ML,Piece,1,clariss,health-and-beauty-1,fragrances,,552.5,  650 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss Fragrances Deodorant 100ML Dark Desire,Piece,1,clariss,health-and-beauty-1,fragrances,,297.5,  350 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss Fragrances Deodorant 100ML Rave Culture,Piece,1,clariss,health-and-beauty-1,fragrances,,297.5,  350 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss Fragrances Deodorant 100ML Ventura,Piece,1,clariss,health-and-beauty-1,fragrances,,297.5,  350 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss Fragrances Deodorant 100ML Wild Forest,Piece,1,clariss,health-and-beauty-1,fragrances,,297.5,  350 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss Fragrances Deodorant (W) 100ML Infinite Girl,Piece,1,clariss,health-and-beauty-1,fragrances,,318.75,  375 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss Fragrances Deodorant (W) 100ML Lady Secret,Piece,1,clariss,health-and-beauty-1,fragrances,,318.75,  375 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss Fragrances Deodorant (W) 100ML Pink Love,Piece,1,clariss,health-and-beauty-1,fragrances,,318.75,  375 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss Fragrances Deodorant (W) 100ML Romantic,Piece,1,clariss,health-and-beauty-1,fragrances,,318.75,  375 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss No Gas Deodorant 120ML Fame,Piece,1,clariss,health-and-beauty-1,fragrances,,250.75,  295 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss No Gas Deodorant 120ML Honor,Piece,1,clariss,health-and-beauty-1,fragrances,,250.75,  295 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss No Gas Deodorant 120ML Note,Piece,1,clariss,health-and-beauty-1,fragrances,,250.75,  295 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss No Gas Deodorant 120ML Repute,Piece,1,clariss,health-and-beauty-1,fragrances,,250.75,  295 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss Face Wash 100ML Lemon [Oil Control],Piece,1,clariss,health-and-beauty-1,skin-care,,225.25,  265 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss Face Wash 100ML Milk [All Skin Types],Piece,1,clariss,health-and-beauty-1,skin-care,,225.25,  265 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss Face Wash 100ML Neem [Pimple Defense],Piece,1,clariss,health-and-beauty-1,skin-care,,225.25,  265 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss Face Wash 100ML Papaya [Blemish Reduction],Piece,1,clariss,health-and-beauty-1,skin-care,,225.25,  265 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss Face Wash 100ML Tea Tree [Acne Care],Piece,1,clariss,health-and-beauty-1,skin-care,,225.25,  265 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss Men Face Wash 100ML Bamboo Charcoal,Piece,1,clariss,health-and-beauty-1,skin-care,,250.75,  295 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss Men Face Wash 100ML Intense Whitening,Piece,1,clariss,health-and-beauty-1,skin-care,,250.75,  295 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss Organic Face Wash 100ML Aloe Vera,Piece,1,clariss,health-and-beauty-1,skin-care,,250.75,  295 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss Organic Face Wash 100ML Dead Sea Mineral,Piece,1,clariss,health-and-beauty-1,skin-care,,250.75,  295 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss Organic Face Wash 100ML Moroccan Argan Oil,Piece,1,clariss,health-and-beauty-1,skin-care,,250.75,  295 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss Organic Face Wash 100ML Rose Otto,Piece,1,clariss,health-and-beauty-1,skin-care,,250.75,  295 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss Baby Daily Shampoo 200ML,Piece,1,clariss,babies-&-toys,mother-and-baby,,250.75,  295 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss Baby Daily Bath 200ML,Piece,1,clariss,babies-&-toys,mother-and-baby,,403.75,  475 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss Baby Daily Lotion 200ML,Piece,1,clariss,babies-&-toys,mother-and-baby,,331.5,  390 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss Baby Daily Powder 200g,Piece,1,clariss,babies-&-toys,mother-and-baby,,531.25,  625 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss Hand Sanitizer 100ML,Piece,1,clariss,health-and-beauty-1,sanitizer,,416.5,  490 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss Hand Sanitizer 50ML,Piece,1,clariss,health-and-beauty-1,sanitizer,,127.5,  150 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
globalvillageinternational,Clariss Black Seed Oil 100ML Pet Bottle,Piece,1,clariss,babies-&-toys,mother-and-baby,,68,  80 ,0,,,,,,10,,,10080,active,1,100,,,,,,,,
