business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
muslimcorporation,OLITALIA SUNFLOWER OIL-5 LTR Tin,Piece,1,olitalia,groceries,cooking-items,Oil,1775,0,,,,,,10,,10080,100,100,,active,<p>OLITALIA SUNFLOWER OIL 5 LTR Tin</p>,,,,,,
muslimcorporation,NEOCARE DIAPER LARGE 7-18 KG 50PCS,Piece,1,neo-care,babies-&-toys,diapers-and-wipes,disposable-diapers,1600,0,,,,,,10,,10080,100,100,,active,<p>NEOCARE DIAPER LARGE (7 18) KG 50PCS</p>,,,,,,
muslimcorporation,NEOCARE BELT SYSTEM BABY DIAPER SMALL SIZE 3-6 KG  50PCS,Piece,1,neo-care,babies-&-toys,diapers-and-wipes,disposable-diapers,1150,0,,,,,,10,,10080,100,100,,active,<p>NEOCARE BELT SYSTEM BABY DIAPER SMALL SIZE (3 6)KG 50PCS</p>,,,,,,
muslimcorporation,NEOCARE BELT SYSTEM BABY DIAPER MEDIUM 4-9 KG - 50PCS,Piece,1,neo-care,babies-&-toys,diapers-and-wipes,disposable-diapers,1400,0,,,,,,10,,10080,100,100,,active,<p>NEOCARE BELT SYSTEM BABY DIAPER MEDIUM (4 9)KG 50PCS</p>,,,,,,
muslimcorporation,NEOCARE BELT SYSTEM BABY DIAPER XL 11-25 KG - 50PCS,Piece,1,neo-care,babies-&-toys,diapers-and-wipes,disposable-diapers,1900,0,,,,,,10,,10080,100,100,,active,<p>NEOCARE BELT SYSTEM BABY DIAPER XL (11 25 KG) 50PCS</p>,,,,,,
muslimcorporation,Thai Baby Diapers (Pant Style) XL 13-18 kg - 32 Pcs,Piece,1,thai-diapper,babies-&-toys,diapers-and-wipes,disposable-diapers,885,0,,,,,,10,,10080,100,100,,active,<p>Thai Baby Diapers (Pant Style) XL (13 18 kg) 32 Pcs</p>,,,,,,
muslimcorporation,Thai Baby Diapers (Pant Style) XXL 18+ kg - 24 Pc,Piece,1,thai-diapper,babies-&-toys,diapers-and-wipes,disposable-diapers,885,0,,,,,,10,,10080,100,100,,active,<p>Thai Baby Diapers (Pant Style) XXL (18+ kg) 24 Pc</p>,,,,,,
muslimcorporation,Thai Diaper M 40 Pcs 7-12 kg,Piece,1,thai-diapper,babies-&-toys,diapers-and-wipes,disposable-diapers,885,0,,,,,,10,,10080,100,100,,active,<p>Thai Diaper M 40 Pcs (7 12) kg</p>,,,,,,
muslimcorporation,Thai Diaper S 4-8kg,Piece,1,thai-diapper,babies-&-toys,diapers-and-wipes,disposable-diapers,885,0,,,,,,10,,10080,100,100,,active,<p>Thai Diaper S (4 8kg)</p>,,,,,,
muslimcorporation,Thai Diaper L 34 Pcs 9-16 kg,Piece,1,thai-diapper,babies-&-toys,diapers-and-wipes,disposable-diapers,885,0,,,,,,10,,10080,100,100,,active,<p>Thai Diaper L 34 Pcs (9 16) kg</p>,,,,,,
