business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,slug,sku,delivery_time,current_stock,status,enable_stock,description,shipping_charge,image1,image2,image3,image4,image5,image6
liteelectronicsltd,Mi Smart Band 5 Strap (3-Pack),Piece,1,xiaomi,electronic-accessori,wearable,,750,1150,0,,,,,"electronic-accessori,wearable",5,,,,100,active,1,"<p>3 in 1 Strap pack
Black Orange and Teal Colors
Skin-friendly TPU material
Single body design
Easy to install
Strap material: Thermoplastic elastomer
Clasp material: Aluminum alloy
Strap length: 24.7 cm
Adjustable length: 15.5 – 21.6 cm</p>",,,,,,,
liteelectronicsltd,Mi Watch Lite (Black),Piece,1,xiaomi,electronic-accessori,wearable,,4200,5790,0,,,,,"electronic-accessori,wearable",5,,,,100,active,1,"<p>Item Package Dimensions L x W x H ?0.39 x 0.39 x 0.29 inches
Package Weight ?0.18 Kilograms
Brand Name ?Mi.
Color ?Black
Material ?Plastic
Number of Items ?1
Manufacturer ?Mi.
Sport Type ?Cycling Running Swimming Yoga Fitness</p>",,,,,,,
liteelectronicsltd,10000mAh MI 18W Fast Charge Power Bank 3 (Black) CN,Piece,1,xiaomi,electronic-accessori,mobile-accessories,,1130,1380,0,,,,,"electronic-accessori,mobile-accessories",5,,,,100,active,1,"
<p>Xiaomi V3 10000mAh 18W Dual Input/Output Fast Charge Power Bank

    Battery type: lithium-ion polymer battery
    Battery energy: 37Wh 3.7V 10000mAh
    Rated capacity: 5500mAh (5.1V/2.6A)
    Input interface: Micro-USB/USB-C
    Output interface: USB-A
    Charging time: about four hours (9V/2A 12V/1.5A charger) about six hours (5V/2A charger)</p",,,,,,,
liteelectronicsltd,10000mAh Redmi Power Bank Dual Output & Dual Input CN,Piece,1,xiaomi,electronic-accessori,mobile-accessories,,920,1100,0,,,,,"electronic-accessori,mobile-accessories",5,,,,100,active,1,"<p>Model: PB100LZM
Battery Type: lithium ion polymer battery
Capacity: 37Wh 3.7V 10000mAh
Output Ports: 2 x USB-A (USB cable not included)
Input Ports: 1 x Micro USB 1 x USB-C
Input: 5V-2.1A
Output: 5.1V-2.4A (Single Port) 5.1V-2.6A (Dual Ports)
Size: 150.5 X 73.6 X 15.1mm
Package weight: Approx. 350g /12.35os
Package size: Approx. 18×9.5×3.5cm / 7.09 x 3.74 x 1.38 inches
Warranty : 6 Months Replacement</p>",,,,,,,
liteelectronicsltd,20000mAh Redmi 18W Fast Charge Power Bank (White) CN,Piece,1,xiaomi,electronic-accessori,mobile-accessories,,1490,1990,0,,,,,"electronic-accessori,mobile-accessories",5,,,,100,active,1,"
<p>Product Details: 

Product Name: Redmi 10000mAh Fast Charge Power Bank - Black (Cable included in pack)

Warranty: 6 Month  

Features:

20000mAh Large Capacity
Dual USB Input and Output
Up to 18W Power Input
High-density Lithium Polymer Batteries
20000mAh Large Capacity

More durable and optimizes charging efficiency offer constant power
Dual USB Input and Output

Two USB ports which can charge the devices at the same time the USB-C and Micro USB provide two charging ways convenient and fast
Up to 18W Power Input

12V / 1.5A 9V / 2.1A up to 18W power input deliver fast and efficient charging for each connected device.
High-density Lithium Polymer Batteries

Adopts premium Lithium polymer battery cells. It’s compatible with smartphones and tablets as well as a variety of digital cameras and handheld gaming devices. </p>",,,,,,,
liteelectronicsltd,Mi In-Ear Headphones Basic (Black),Piece,1,xiaomi,electronic-accessori,audio,,350,450,0,,,,,"electronic-accessori,audio",5,,,,100,active,1,"<p>Highlighted Features:

Aluminum sound chamber
Optimization tuning aerospace composite metal diaphragm technology;
The third generation balance damping system;
Fashion flat line design durable and easy to incorporate;
Built-in microphone to talkremote control compatible with millet and mainstream Android phonesenabling play/pauseanswer/hang up the phone and other functionsand supports iPhoneiPadiPod and some other functions of the device to use (do not support volume control);
Effort concave plugstreamline curved edge of the wire.
Fit for:for iPhone 5/5s/6/6s Plus;for Xiaomi Samsung etc most Android phone;for MP3 MP4
Specification:

Brand Xiaomi
Model Basic
Type In-Ear
Speaker impedance 32?
Weight 14g
Cable length 1.25m
Jack type 3.5mm nickel-plated
Rated power 5mW
Frequency Response Range 20-20000Hz
Standard GB / T 14471-2013</p>",,,,,,,
liteelectronicsltd,Mi In-Ear Headphones Basic (Silver),Piece,1,xiaomi,electronic-accessori,audio,,350,450,0,,,,,"electronic-accessori,audio",5,,,,100,active,1,"<p>Highlighted Features:

Aluminum sound chamber
Optimization tuning aerospace composite metal diaphragm technology;
The third generation balance damping system;
Fashion flat line design durable and easy to incorporate;
Built-in microphone to talkremote control compatible with millet and mainstream Android phonesenabling play/pauseanswer/hang up the phone and other functionsand supports iPhoneiPadiPod and some other functions of the device to use (do not support volume control);
Effort concave plugstreamline curved edge of the wire.
Fit for:for iPhone 5/5s/6/6s Plus;for Xiaomi Samsung etc most Android phone;for MP3 MP4
Specification:

Brand Xiaomi
Model Basic
Type In-Ear
Speaker impedance 32?
Weight 14g
Cable length 1.25m
Jack type 3.5mm nickel-plated
Rated power 5mW
Frequency Response Range 20-20000Hz
Standard GB / T 14471-2013</p>",,,,,,,
liteelectronicsltd,MI TWS Earbuds-2s Gaming Version - Black,Piece,1,xiaomi,electronic-accessori,audio,,2000,2860,0,,,,,"electronic-accessori,audio",5,,,,100,active,1,"<p>
Type TWS (True Wireless)
Design In-Ear
Bluetooth Version: 5.0
Effective distance 10 meters
Protocols HFP / A2DP / HSP / AVRCP
capacity 46 mAh (each)
Charging case capacity 600 mAh
Autonomy in playback mode 
Up to 4 hours (a single charge of the headphones) Up to 12 hours (with all charges in the case) 

Headphone charging time 1.5 hours approx
Charging time of the case 
2.5 hours approx</p>",,,,,,,
liteelectronicsltd,Mi True Wireless Earphones 2SE Basic - white,Piece,1,xiaomi,electronic-accessori,audio,,2100,2649,0,,,,,"electronic-accessori,audio",5,,,,100,active,1,"<p>Product model: TWSEJ04WM
Net weight: 48g
Charging port: Type-C
Speaker impedance: 32 Q
Input parameter: 5V — 1A
Wireless connection: Bluetooth 5.0
Charging time: about 1.5h
Support codec: SBC / AAC
Single battery life: about 5h
Executive standard: Q / WMSX 002-2016
Overall battery life with charging case: 20 h
Bluetooth protocol: BL E / HSP / HFP / A2DP / AVRCP
Working distance: 10 m (barrier-free and open environment)
packing list: Charging case x 1 Left and right headphones x 1 Type-C charging cable x 1 Manual x </p>",,,,,,,
liteelectronicsltd,Mi Compact Mini Bluetooth Speaker 2,Piece,1,xiaomi,electronic-accessori,audio,,720,890,0,,,,,"electronic-accessori,audio",5,,,,100,active,1,"
<p>Specification
Primary Features Brand: Xiaomi
Design: MiniPortableStylish
Compatible with: ComputerLaptopMobile phonePCTablet PC
Supports: Bluetooth
Connection: Wireless
Interface: Micro USB
Audio Source: Bluetooth Enabled Devices
Technical Parameters Bluetooth Version: Bluetooth 4.2
Protocol: A2DPAVRCPHFP
Transmission Distance: W/O obstacles 10m
Number of Speakers: 1
Sound channel: Two-channel (stereo)
Power Output: 3W
Freq: 60Hz-20KHz
S/N: No less than 80db
Other Parameters Battery Capacity: 480mAh
Charging Time: 2h
Working Time: 4 ‰ÛÒ 5h
Lasting Time: 20 days
Battery Information Battery Type: Built-in Li-ion Battery
Dimension and Weight Product weight: 0.0520 kg
Package weight: 0.1500 kg

Product size (L x W x H): 6.00 x 6.00 x 7.00 cm / 2.36 x 2.36 x 2.76 inches

Package size (L x W x H): 10.00 x 10.00 x 9.00 cm / 3.94 x 3.94 x 3.54 inches </p>",,,,,,,
