business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
accuratetime,Michael Kors Drew Multifunction Black Wrap Leather Strap Womens Watch,Piece,1,michael-kors,fashion,watches-and-accessories,,14000,0,,,,,"michael-kors,fashion,watches-and-accessories,emporio-armani,milk-and-dairy,fashion,snacks-and-instant-food,snacks-and-instant-food",5,,,10,1,,active,<p>Model: MK2769<br />Case Size: 35MM<br />Movement: Quartz Multifunction<br />Platform: DREW<br />Strap Material: Leather<br />Water Resistance: 5 ATM<br />Case Color: Gold<br />Case Material: Stainless Steel<br />Dial Color: Mother Of Pearl<br />Strap Width: 20MM<br />Closure: Single Prong Strap Buckle<br />Warranty:1 Years</p>,,,,,,
accuratetime,Michael Kors Wren Chronograph Golden Crystal Pave Dial Ladies Watch,Piece,1,michael-kors,fashion,watches-and-accessories,,14600,0,,,,,"michael-kors,fashion,watches-and-accessories,emporio-armani,milk-and-dairy,fashion,snacks-and-instant-food,snacks-and-instant-food",5,,,10,1,,active,<p>Brand: Michael Kors Model: MK6095 Case: Gold PVD/Stainless Steel Strap: Gold PVD/Stainless Steel Case width: 41mm Fastening: Push Button Deployment clasp Movement: Quartz Gender: Women Warranty: 10ATM Warranty: 1 Year</p>,,,,,,
accuratetime,Michael Kors Dylan Steel Case Chronograph Silicon Black Band Quartz,Piece,1,michael-kors,fashion,watches-and-accessories,,14800,0,,,,,"michael-kors,fashion,watches-and-accessories,emporio-armani,milk-and-dairy,fashion,snacks-and-instant-food,snacks-and-instant-food",5,,,10,1,,active,<p>Brand : Michael Kors Collection: Dylan Features: Chronograph Model: MK8152 Case Material: Stainless Steel PVD Coating Case width: 48mm Strap Material: Silicon Strap Colour: Black Dial Colour: Black Water resistant: 10ATM Warranty: 1 Years</p>,,,,,,
accuratetime,Michael Kors Dylan Steel Rose Gold Case Chronograph Silicon Black Band Quartz,Piece,1,michael-kors,fashion,watches-and-accessories,,14900,0,,,,,"michael-kors,fashion,watches-and-accessories,emporio-armani,milk-and-dairy,fashion,snacks-and-instant-food,snacks-and-instant-food",5,,,10,1,,active,<p>Sku: MK8184 Case Size: 48MM Movement: Chronograph Platform: DYLAN Strap Material: Silicone Water Resistance: 10 ATM Case Color: Rose Gold Case Material: Stainless Steel Dial Color: Black Strap Width: 28MM Closure: Single Prong Strap Buckle Warranty: 1 Years</p>,,,,,,
accuratetime,MICHAEL KORS Bradshaw Chronograph Silver-tone Quartz,Piece,1,michael-kors,fashion,watches-and-accessories,,16000,0,,,,,"michael-kors,fashion,watches-and-accessories,emporio-armani,milk-and-dairy,fashion,snacks-and-instant-food,snacks-and-instant-food",5,,,10,1,,active,<p>Brand: Michael Kors Model: MK5535 Case: Stainless Steel Strap: Stainless Steel Case width: 42mm Fastening: Deployment clasp Movement: Quartz Gender: Male Water resistance: 5ATM Warranty: 2 Years</p>,,,,,,
accuratetime,Michael Kors Lexington Chronograph Stainless Steel Golden Watch,Piece,1,michael-kors,fashion,watches-and-accessories,,15000,0,,,,,"michael-kors,fashion,watches-and-accessories,emporio-armani,milk-and-dairy,fashion,snacks-and-instant-food,snacks-and-instant-food",5,,,10,1,,active,<p>Brand: Michael Kors Model: MK8281 Case Size: 45MM Movement: Quartz Chronograph Platform: LEXINGTON Strap Material: Stainless Steel Water Resistance: 10 ATM Case Color: Gold Case Material: Stainless Steel Dial Color: Gold Strap Width: 22MM Closure: Bracelet Deployant Warranty: 1 Years</p>,,,,,,
accuratetime,Michael Kors Dylan Steel Rose Gold Case Chronograph Silicon Blue Band Quartz,Piece,1,michael-kors,fashion,watches-and-accessories,,14900,0,,,,,"michael-kors,fashion,watches-and-accessories,emporio-armani,milk-and-dairy,fashion,snacks-and-instant-food,snacks-and-instant-food",5,,,10,1,,active,<p>Brand: Michael Kors Series: Dylan Case Diameter: 48 mm Case thickness: 13.00mm Case Material: PVD rose gold stainless steel Chronograph: Yes Dial Colour: Dark Blue Glass: Crystal Movement: Quartz Strap colour: Blue Strap Type: Rubber Strap Water Resistance: 10 ATM Warranty: 1 years seller warranty</p>,,,,,,
accuratetime,Michael Kors Brecken Chronograph Full Black Quartz Watch,Piece,1,michael-kors,fashion,watches-and-accessories,,15500,0,,,,,"michael-kors,fashion,watches-and-accessories,emporio-armani,milk-and-dairy,fashion,snacks-and-instant-food,snacks-and-instant-food",5,,,10,1,,active,<p>Model: MK8437 Gender: Male Face Shape: Round Strap Type: Stainless Steel Case Diameter: 44mm Case Thickness: 11mm Band Material :Stainless Steel Color: Silver &amp; Gold Dial Colour: Blue Case Material: Stainless Steel Date: Yes Chronograph: Yes Movement: Quartz Water Resistance: 100M Warranty: 1 Years</p>,,,,,,
accuratetime,Michael Kors Lexington Chronograph Grey Dial Two Tone Quartz,Piece,1,michael-kors,fashion,watches-and-accessories,,15400,0,,,,,"michael-kors,fashion,watches-and-accessories,emporio-armani,milk-and-dairy,fashion,snacks-and-instant-food,snacks-and-instant-food",5,,,10,1,,active,<p>Brand: Michael Kors Model: MK8561 Case Size: 44MM Movement: Quartz Chronograph Platform: LEXINGTON Strap Material: Stainless Steel Water Resistance: 10 ATM Case Color: Gunmetal Case Material: Stainless Steel Dial Color: Gray Strap Width: 22MM Warranty: 1 Years</p>,,,,,,
accuratetime,Michael Kors Brecken Chronograph Grey Dial Full Silver Quartz Watch,Piece,1,michael-kors,fashion,watches-and-accessories,,15500,0,,,,,"michael-kors,fashion,watches-and-accessories,emporio-armani,milk-and-dairy,fashion,snacks-and-instant-food,snacks-and-instant-food",5,,,10,1,,active,<p>Brand: Michael Kors Model: MK8609 Case Size: 44MM Movement: Quartz Chronograph Platform: BRECKEN Strap Material: Stainless Steel Water Resistance: 5 ATM Case Color: Silver Case Material: Stainless Steel Dial Color: Gray Strap Width: 24MM Closure: Bracelet Deployant Warranty: 1 Years</p>,,,,,,
accuratetime,Armani Exchange Chronograph Silver Stainless Steel Quartz,Piece,1,armani-exchange,fashion,watches-and-accessories,,16500,0,,,,,"michael-kors,fashion,watches-and-accessories,emporio-armani,milk-and-dairy,fashion,snacks-and-instant-food,snacks-and-instant-food",5,,,10,1,,active,<p>Brand: Emporio Armani<br />Model: AX1602<br />Case Size: 45MM<br />Movement: Quartz Chronograph<br />Strap Material: Stainless Steel<br />Water Resistance: 5 ATM<br />Case Color: Silver<br />Case Material: Stainless Steel<br />Dial Color: Gray<br />Strap Width: 20MM<br />Warranty: 1 Years</p>,,,,,,
accuratetime,Armani Exchange Chronograph Black Dial Stainless Steel Quartz,Piece,1,armani-exchange,fashion,watches-and-accessories,,16500,0,,,,,"michael-kors,fashion,watches-and-accessories,emporio-armani,milk-and-dairy,fashion,snacks-and-instant-food,snacks-and-instant-food",5,,,10,1,,active,<p>Brand: Armani Exchange Gender: Men's Model: AX1604 Movement: Quartz Case Size: 45 mm Case Thickness: 13 mm Case Material: Stainless Steel Case Color: Black Ion-plated Case Shape: Round Case Back: Solid Band Width: 22 mm Water Resistance: 50 meters Warranty: 1 Years</p>,,,,,,
accuratetime,Armani Exchange Chronograph Blue Dial Stainless Steel Quartz,Piece,1,armani-exchange,fashion,watches-and-accessories,,16500,0,,,,,"michael-kors,fashion,watches-and-accessories,emporio-armani,milk-and-dairy,fashion,snacks-and-instant-food,snacks-and-instant-food",5,,,10,1,,active,<p>Brand: Emporio Armani. Model: AX1607 Case Material: Steel Case size: 45mm Movement: Quartz Water Resistance: 10ATM Warranty: 1 Years</p>,,,,,,
accuratetime,Armani Exchange ENZO Chronograph Black Two-Tone Stainless Steel Quartz,Piece,1,armani-exchange,fashion,watches-and-accessories,,16500,0,,,,,"michael-kors,fashion,watches-and-accessories,emporio-armani,milk-and-dairy,fashion,snacks-and-instant-food,snacks-and-instant-food",5,,,10,1,,active,<p>Model: AX1813 Case Size: 46MM Movement: Quartz Chronograph Strap Material: Stainless Steel Water Resistance: 10 ATM Case Color: Silver Case Material: Stainless Steel Dial Color: Black Strap Width: 22MM Closure: 2 Pusher Foldover Clasp Warranty: 1 Years seller warrant</p>,,,,,,
accuratetime,Armani Exchange Enzo Analog Black Dial Quartz Watch for Men,Piece,1,armani-exchange,fashion,watches-and-accessories,,16000,0,,,,,"michael-kors,fashion,watches-and-accessories,emporio-armani,milk-and-dairy,fashion,snacks-and-instant-food,snacks-and-instant-food",5,,,10,1,,active,<p>Brand: Armani Exchange Model: AX1826 Case Size: 46MM Movement: Three Hand Date Strap Material: Stainless Steel Water Resistance: 10 ATM Case Color: Black Case Material: Stainless Steel Dial Color: Black Strap Width: 20MM Closure: 2 Pusher Foldover Clasp Warranty: 1 Years</p>,,,,,,
accuratetime,Armani Exchange Cayde Stainless Steel Watch for Men,Piece,1,armani-exchange,fashion,watches-and-accessories,,15400,0,,,,,"michael-kors,fashion,watches-and-accessories,emporio-armani,milk-and-dairy,fashion,snacks-and-instant-food,snacks-and-instant-food",5,,,10,1,,active,<p>Model No : AX2700 Series: Cayde Case Colour: Silver Case Size : 42MM Case Shape: Round Case Material: Stainless Steel Dial Colour: Black Strap Colour: Silver Strap Material: Stainless Steel Gender: Men Water Resistance (M): 5 ATM Waranty: 1 Year</p>,,,,,,
accuratetime,Armani Exchange Cayde Grey Dial Men's Quartz Watch,Piece,1,armani-exchange,fashion,watches-and-accessories,,15400,0,,,,,"michael-kors,fashion,watches-and-accessories,emporio-armani,milk-and-dairy,fashion,snacks-and-instant-food,snacks-and-instant-food",5,,,10,1,,active,<p>Brand: Armani Exchange Band material type: Stainless Steel Watch movement: Quartz Dial colour: Gray Band colour: Grey Case material type: Stainless Steel Display type: Analog Case Size: 42mm Case thickness: 08mm Band width: 20 millimetres Water Resistance: 50 metres Warranty: 1 Years</p>,,,,,,
