business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,slug,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
ssbleather,Leather Black Belt SB B49,Piece,1,ssb leather,fashion,mens-fashion,accessories,849,1280,0,,,,,,5,,,,100,1,,active,"<ul>
  <li>Brand: SSB Leather.</li>
  <li>Origin: Bangladesh.</li>
  <li>Model(SKU): SB B49</li>
  <li>Measurement of Leather:124 cm x 4 cm</li>
  <li>Measurement in Inch:48″ x 2″</li>
  <li>Leather Color: Black.</li>
  <li>Buckles Color : Antique Black.</li>
  <li>Material: Premium Cowhide Leather.</li>
  <li>Get free exclusive Gift Box.</li>
  <li>Fits both Casual and Formal.</li>
  <li>100% Quality &amp; Durable Leather.</li>
  <li>Nice men's leather belt.</li>
</ul>",,,,,,
ssbleather,Black Stiff Belt For Men SB B47,Piece,1,ssb leather,fashion,mens-fashion,accessories,594,980,1,,,,,,5,,,,100,1,,active,"<ul>
  <li>Brand: SSB Leather.</li>
  <li>Origin: Bangladesh.</li>
  <li>Model: SB-B47</li>
  <li>Measurement of Leather:120 cm x 3.5cm</li>
  <li>Measurement in Inch: 43&quot;- 50&quot; x 1.5&quot;</li>
  <li>Leather Color: Black &amp; Grey.</li>
  <li>Buckles Color: Multi Color.</li>
  <li>Material: Leather.</li>
  <li>Exclusive Gift Box.</li>
  <li>Fits both Casual and Formal.</li>
</ul>",,,,,,
ssbleather,White Plaited Leather Belt SB B68,Piece,1,ssb leather,fashion,mens-fashion,accessories,1444,1880,2,,,,,,5,,,,100,1,,active,"Brand : SSB Leather.<br />
Model (SKU): SB-B68<br />
Origin: Bangladesh.<br />
Design: Plaited Belt.<br />
Material: Leather.<br />
Buckles Color : Silver Multi .<br />
Color:White.<br />
Measures: 124 CM x 4 CM.<br />
Weight Belt : 0.2 KG.<br />
Packed in excellent gift box.",,,,,,
ssbleather,Black Plaited Leather Belt SB B67,Piece,1,ssb leather,fashion,mens-fashion,accessories,1444,1880,3,,,,,,5,,,,100,1,,active,"Brand : SSB Leather.<br />
Model (SKU): SB-B67<br />
Origin: Bangladesh.<br />
Design: Plaited Belt.<br />
Material: Leather.<br />
Buckles Color : Black .<br />
Color:Black.<br />
Measures: 124 CM x 4 CM.<br />
Weight Belt : 0.2 KG.<br />
Packed in excellent gift box.",,,,,,
ssbleather,Plaited Leather Belt SB B66,Piece,1,ssb leather,fashion,mens-fashion,accessories,1444,1880,4,,,,,,5,,,,100,1,,active,"Brand : SSB Leather.<br />
Model (SKU): SB-B66<br />
Origin: Bangladesh.<br />
Design: Plaited Belt.<br />
Material: Leather.<br />
Buckles Color : Silver Multi.<br />
Color:Dark Meroon.<br />
Measures: 124 CM x 4 CM.<br />
Weight Belt : 0.2 KG.<br />
Packed in excellent gift b",,,,,,
ssbleather,Croco Print Leather Belt SB B65,Piece,1,ssb leather,fashion,mens-fashion,accessories,849,1380,5,,,,,,5,,,,100,1,,active,"Brand: SSB Leather.
Origin: Bangladesh.
Model(SKU): SB-B61
100% Full Grain Bangladeshi Leather.
Color:Black on one side, opposite side Brown.
Buckle: Stainless Steal Reversible Silver color.
Measurement of Leather: 124 cm x 3.5 cm.
Measurement in Inch: 48″ x 2″.
This durable leather creates a solid feel around your waist.
You can flip the side from black to brown and vice versa.
The striking belt is great for both formal and casual outfits.
That belt will be a beautifully packed SSB gift belt box. Best gift item for choosing.",,,,,,
ssbleather,Hercules Reversible Leather Belt SB B61,Piece,1,ssb leather,fashion,mens-fashion,accessories,1019,1580,6,,,,,,5,,,,100,1,,active,"<ul>
  <li>Brand: SSB Leather.</li>
  <li>Origin: Bangladesh.</li>
  <li>Model(SKU): SB-B62</li>
  <li>100% Full Grain Bangladeshi Leather.</li>
  <li>Measurement of Leather: 124 cm x 3.5 cm.</li>
  <li>Measurement in Inch: 48″ x 2″.</li>
  <li>Color:Black on one side, opposite side Chocolate.</li>
  <li>Buckle: Stainless Steal Reversible Antique color.</li>
  <li>This durable belt is adjustable in any size of waist.</li>
  <li>You can flip the side from black to chocolate.</li>
  <li>The Dark Knight belt is great for both formal and casual outfits.</li>
  <li>That belt will be a beautifully packed SSB gift belt box. Best gift item for choosing.</li>
</ul>",,,,,,
ssbleather,Dark Knight Reversible Leather Belt SB B62,Piece,1,ssb leather,fashion,mens-fashion,accessories,1019,1480,7,,,,,,5,,,,100,1,,active,"<ul>
  <li>Brand: SSB Leather.</li>
  <li>Handmade in Bangladesh.</li>
  <li>Color: Deep Grey.</li>
  <li>Model(SKU): SB-B59</li>
  <li>Black Buckle.</li>
  <li>Measurement of Leather:124 cm x 4 cm.</li>
  <li>Measurement in Inch:48″ x 2″.</li>
  <li>We only use the highest quality, ethically produced full grain leather.</li>
  <li>Fits both casual and formal.</li>
  <li>100% quality &amp; durable leather.</li>
</ul>",,,,,,
ssbleather,Deep Grey Leather Belt SB B59,Piece,1,ssb leather,fashion,mens-fashion,accessories,849,1280,8,,,,,,5,,,,100,1,,active,"<ul>
  <li>Brand: SSB Leather.</li>
  <li>Origin: Bangladesh.</li>
  <li>Model(SKU): SB-B58.</li>
  <li>Measurement of Leather:124 cm x 4 cm.</li>
  <li>Measurement in Inch:48″ x 2″</li>
  <li>Leather Color: Antique Maroon Black.</li>
  <li>Buckles Color : Black.</li>
  <li>Material: Premium Cowhide Leather.</li>
  <li>Fits Both Casual and Formal.</li>
  <li>100% Quality &amp; Durable Leather.</li>
  <li>Nice Men's Leather Belt.</li>
</ul>",,,,,,
ssbleather,Antique Maroon Black Leather Belt for Men SB B58,Piece,1,ssb leather,fashion,mens-fashion,accessories,849,1280,9,,,,,,5,,,,100,1,,active,"<ul>
  <li>Brand: SSB Leather.</li>
  <li>Origin: Bangladesh.</li>
  <li>Model: SB-B53</li>
  <li>Size:124 cm x 4 cm.</li>
  <li>Color: Brown.</li>
  <li>Golden Buckle.</li>
  <li>Material: Premium Cowhide Leather.</li>
  <li>Exclusive Gift Box.</li>
  <li>100% Quality &amp; Durable Leather.</li>
</ul>",,,,,,
