business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,slug,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
innovativetrading,ALL PURPOSE SCOURING PAD AS-0407,Packet,1,proclean,groceries,homeandcleaning,,  34 ,  45 ,0,,,,,"Groceries,Laundry & household,Breakfast,Beverages,Snacks & instant foods,Cooking ingredients,Perishable foods,Milk & dairy",5,,,,50,1,,active,"<p>1.Tough Mesh Surface Is Great for Dealing with Tough Cleaning Job.<br /> 2. Non-scratch, fungus-free and long-lasting.<br /> Remove oil, dirt, and smudges.<br /> 3. For everyday kitchen cleaning.<br /> High Durability.<br /> 4. Red, yellow, green, blue (13 x 9x 1.7 cm)</p>",,,,,,
innovativetrading,ALL PURPOSE SCOURING PAD AS-0414,Piece,1,proclean,groceries,homeandcleaning,,  60 ,  80 ,0,,,,,"Groceries,Laundry & household,Breakfast,Beverages,Snacks & instant foods,Cooking ingredients,Perishable foods,Milk & dairy",5,,,,50,1,,active,"<p>""1.Tough Mesh Surface Is Great for Dealing with Tough Cleaning Job. 2. Non-scratch, fungus-free and long-lasting. Remove oil, dirt, and smudges. 3. For everyday kitchen cleaning. High Durability. 4. Red, yellow, green, blue (13 x 9x 1.7 cm)""</p>",,,,,,
innovativetrading,ABRASIVE SCOURING PAD ( BROWN ) ASP-0223,Piece,1,proclean,groceries,homeandcleaning,,  41 ,  54 ,0,,,,,"Groceries,Laundry & household,Breakfast,Beverages,Snacks & instant foods,Cooking ingredients,Perishable foods,Milk & dairy",5,,,,50,1,,active,"<p>""1. Use for everyday cleaning of most cooking utensils and equipment 2. Abrasives distributed throughout the pad provide long-lasting scouring power 3. Heavy Duty Household Cleaning &acirc;&euro;&ldquo; High Quality Scrubber with Non-Scratch Anti-Grease Technology 4. Scouring Pads removes grease from your kitchenware, utensils and cooking appliances. 5. Our scourer sponge will never fungus, or have a bad odor like many sponges and dishcloths 6. Size : 14.5 x 9 x 1 cm""</p>",,,,,,
innovativetrading,ABRASIVE SCOURING PAD - BLUE ASP-0537,Piece,1,proclean,groceries,homeandcleaning,,  41 ,  54 ,0,,,,,"Groceries,Laundry & household,Breakfast,Beverages,Snacks & instant foods,Cooking ingredients,Perishable foods,Milk & dairy",5,,,,50,1,,active,"<p>""1. Use for everyday cleaning of most cooking utensils and equipment 2. Abrasives distributed throughout the pad provide long-lasting scouring power 3. Heavy Duty Household Cleaning &acirc;&euro;&ldquo; High Quality Scrubber with Non-Scratch Anti-Grease Technology 4. Scouring Pads removes grease from your kitchenware, utensils and cooking appliances. 5. Our scourer sponge will never fungus, or have a bad odor like many sponges and dishcloths 6. Size : 14.5 x 9 x 1 cm""</p>",,,,,,
innovativetrading,BIG SPONGE SCOURING PAD BS-0469,Piece,1,proclean,groceries,homeandcleaning,,  30 ,  40 ,0,,,,,"Groceries,Laundry & household,Breakfast,Beverages,Snacks & instant foods,Cooking ingredients,Perishable foods,Milk & dairy",5,,,,50,1,,active,"<p>""Tough Mesh Surface Is Great for Dealing with Tough Cleaning Job.

Non-scratch, fungus-free and long-lasting.

Remove oil, dirt, and smudges.

For everyday kitchen cleaning.

High Durability.""</p>",,,,,,
innovativetrading,SS BALL WITH SPONGE SCOURER BSS-9999,Piece,1,proclean,groceries,homeandcleaning,,  60 ,  80 ,0,,,,,"Groceries,Laundry & household,Breakfast,Beverages,Snacks & instant foods,Cooking ingredients,Perishable foods,Milk & dairy",5,,,,50,1,,active,"<p>""Stronger cleaning ability. Easy to clean the bowl or the pan. Not easy to change the shape. Soft for hand, and would not hurt the skin. Use it in normal environment, no chemical, no moist Keep product in dry place after use, and keep it far away from kids""</p>",,,,,,
innovativetrading,COLORFUL SCRATCH FREE  SCOURING PAD  CS-0513,Piece,1,proclean,groceries,homeandcleaning,,  38 ,  50 ,0,,,,,"Groceries,Laundry & household,Breakfast,Beverages,Snacks & instant foods,Cooking ingredients,Perishable foods,Milk & dairy",5,,,,50,1,,active,"<p>""Use for everyday cleaning of most cooking utensils and equipment Abrasives distributed throughout the pad provide long-lasting scouring power Heavy Duty Household Cleaning &acirc;&euro;&ldquo; High Quality Scrubber with Non-Scratch Anti-Grease Technology Scouring Pads removes grease from your kitchenware, utensils and cooking appliances. Our scourer sponge will never rust, or have a bad odor like many sponges and dishcloths. Size : 14.3 x 9 x 0.8 cm""</p>",,,,,,
innovativetrading,3 LAYER ABRASIVE SCOURING SPONGE CS-0520,Piece,1,proclean,groceries,homeandcleaning,,  90 ,  120 ,0,,,,,"Groceries,Laundry & household,Breakfast,Beverages,Snacks & instant foods,Cooking ingredients,Perishable foods,Milk & dairy",5,,,,50,1,,active,"<p>""1. High water absorbability and gentle cleaning of sponge as well as different detergent of scouring pad series 2. Ideal for removal of greasy dirt by making plenty foam 3. Designed for ceramics, rice-cooker, microwave oven, glass, non-stick pans and plastic product etc.""</p>",,,,,,
innovativetrading,CELLULOSE SPONGE WITH SCOURING PAD  CS-0230,Piece,1,proclean,groceries,homeandcleaning,,  60 ,  80 ,0,,,,,"Groceries,Laundry & household,Breakfast,Beverages,Snacks & instant foods,Cooking ingredients,Perishable foods,Milk & dairy",5,,,,50,1,,active,"<p>""Number 1 selling scrub sponge in Bangladesh Removes tough,baked-on messes 50% faster than other competitive sponges Great for the kitchen,garage and outdoors Sanitize in the dishwasher and reuse! Scrubbing Fibers Made From 100% Recycled Content""</p>",,,,,,
innovativetrading,THICK CELLULOSE CLEANING SPONGE  CS-0247,Piece,1,proclean,groceries,homeandcleaning,,  75 ,  100 ,0,,,,,"Groceries,Laundry & household,Breakfast,Beverages,Snacks & instant foods,Cooking ingredients,Perishable foods,Milk & dairy",5,,,,50,1,,active,"<p>""Cellulose sponges work well on dishes, countertops, bathroom surfaces, and everyday spills. High flexibility, eco-friendly. Very well abusability and release capacity. Longlist, Absorbent, Suitable for cleaning. No peculiar smell &amp; Odor-proof. Anti-microbial, Mildew-proof. Comfortable, Convenient, Attractive. Dimensions and shapes can be customized.""</p>",,,,,,
