business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,slug,sku,delivery_time,status,enable_stock,current_stock,description,shipping_charge,image1,image2,image3,image4,image5,image6
romaniafood&beverageltd.,Romania  Butter Cookies 240gm,Packet,6,romania,groceries,snacks-and-instant-food,biscuits,288,360,0,,,,,"Romania  Butter Cookies 240gm, romania",10,,,4320,active,1,100,"<ul>
  <li>Product Type: Biscuit</li>
  <li>Brand: Romania</li>
  <li>Net Weight: 250gm</li>
  <li>Quantity: 6pcs</li>
  <li>Premium Quality Product</li>
</ul>",,,,,,,
romaniafood&beverageltd.,Romania  Chocobiz Biscuits Family 280gm,Packet,12,romania,groceries,snacks-and-instant-food,biscuits,960,1200,0,,,,,"Romania  Chocobiz Biscuits Family 280gm, romania",10,,,4320,active,1,100,"<ul>
  <li>Product Type: Biscuit</li>
  <li>Brand: Romania</li>
  <li>Net Weight: 300gm</li>
  <li>Quantity: 12pcs</li>
  <li>Premium Quality Product</li>
</ul>",,,,,,,
romaniafood&beverageltd.,Romania  Choco Chip Cookies 240gm,Packet,6,romania,groceries,snacks-and-instant-food,biscuits,288,360,0,,,,,"Romania  Choco Chip Cookies 240gm, romania",10,,,4320,active,1,100,"<ul>
  <li>Product Type: Biscuit</li>
  <li>Brand: Romania</li>
  <li>Net Weight: 250gm</li>
  <li>Quantity: 6pcs</li>
  <li>Premium Quality Product</li>
</ul>",,,,,,,
romaniafood&beverageltd.,Romania  Nonta Cookies 240gm,Packet,6,romania,groceries,snacks-and-instant-food,biscuits,288,360,0,,,,,"Romania  Nonta Cookies 240gm, romania",10,,,4320,active,1,100,"<ul>
  <li>Product Type: Biscuit</li>
  <li>Brand: Romania</li>
  <li>Net Weight: 250gm</li>
  <li>Quantity: 6pcs</li>
  <li>Premium Quality Product</li>
</ul>",,,,,,,
romaniafood&beverageltd.,Romania  Chocofudge Cookies Family 240gm,Packet,6,romania,groceries,snacks-and-instant-food,biscuits,288,360,0,,,,,"Romania  Chocofudge Cookies Family 240gm, romania",10,,,4320,active,1,100,"<ul>
  <li>Product Type: Biscuit</li>
  <li>Brand: Romania</li>
  <li>Net Weight: 250gm</li>
  <li>Quantity: 6pcs</li>
  <li>Premium Quality Product</li>
</ul>",,,,,,,
romaniafood&beverageltd.,Romania  Coconut Milk Biscuits Standard 60gm,Packet,24,romania,groceries,snacks-and-instant-food,biscuits,192,240,0,,,,,"Romania  Coconut Milk Biscuits Standard 60gm, romania",10,,,4320,active,1,100,"<ul>
  <li>Product Type: Biscuit</li>
  <li>Brand: Romania</li>
  <li>Net Weight: 65gm</li>
  <li>Quantity: 24pcs</li>
  <li>Premium Quality Product</li>
</ul>",,,,,,,
romaniafood&beverageltd.,Romania  Dry Cake 36gm  48 ,Packet,48,romania,groceries,snacks-and-instant-food,biscuits,384,480,0,,,,,"Romania  Dry Cake 36gm  48 , romania",10,,,4320,active,1,100,"<ul>
  <li>Product Type: Biscuit</li>
  <li>Brand: Romania</li>
  <li>Net Weight: 36gm</li>
  <li>Quantity: 48pcs</li>
  <li>Premium Quality Product</li>
</ul>",,,,,,,
romaniafood&beverageltd.,Romania  Dry Cake 330gm,Packet,6,romania,groceries,snacks-and-instant-food,biscuits,576,720,0,,,,,"Romania  Dry Cake 330gm, romania",10,,,4320,active,1,100,"<ul>
  <li>Product Type: Biscuit</li>
  <li>Brand: Romania</li>
  <li>Net Weight: 350gm</li>
  <li>Quantity: 6pcs</li>
  <li>Premium Quality Product</li>
</ul>",,,,,,,
romaniafood&beverageltd.,Romania  Horlicks Cookies 240gm,Packet,6,romania,groceries,snacks-and-instant-food,biscuits,288,360,0,,,,,"Romania  Horlicks Cookies 240gm, romania",10,,,4320,active,1,100,"<ul>
  <li>Product Type: Biscuit</li>
  <li>Brand: Romania</li>
  <li>Net Weight: 250gm</li>
  <li>Quantity: 6pcs</li>
  <li>Premium Quality Product</li>
</ul>",,,,,,,
romaniafood&beverageltd.,Romania  Lemon Biscuits 132gm,Packet,12,romania,groceries,snacks-and-instant-food,biscuits,288,360,0,,,,,"Romania  Lemon Biscuits 132gm, romania",10,,,4320,active,1,100,"<ul>
  <li>Product Type: Biscuit</li>
  <li>Brand: Romania</li>
  <li>Net Weight: 135gm</li>
  <li>Quantity: 12pcs</li>
  <li>Premium Quality Product</li>
</ul>",,,,,,,
romaniafood&beverageltd.,Romania  Lexus Vegetable Biscuits Improved 240gm,Packet,12,romania,groceries,snacks-and-instant-food,biscuits,960,1200,0,,,,,"Romania  Lexus Vegetable Biscuits Improved 240gm, romania",10,,,4320,active,1,100,"<ul>
  <li>Product Type: Biscuit</li>
  <li>Brand: Romania</li>
  <li>Net Weight: 240gm</li>
  <li>Quantity: 12pcs</li>
  <li>Premium Quality Product</li>
</ul>",,,,,,,
romaniafood&beverageltd.,Romania  Lexus Vegetable Biscuits Improved 65gm,Packet,24,romania,groceries,snacks-and-instant-food,biscuits,288,360,0,,,,,"Romania  Lexus Vegetable Biscuits Improved 65gm, romania",10,,,4320,active,1,100,"<ul>
  <li>Product Type: Biscuit</li>
  <li>Brand: Romania</li>
  <li>Net Weight: 65gm</li>
  <li>Quantity: 24pcs</li>
  <li>Premium Quality Product</li>
</ul>",,,,,,,
romaniafood&beverageltd.,Romania  Lexus Vegetable Biscuits Improved 700gm,Tin,1,romania,groceries,snacks-and-instant-food,biscuits,260,315,0,,,,,"Romania  Lexus Vegetable Biscuits Improved 700gm, romania",10,,,4320,active,1,100,"<ul>
  <li>Product Type: Biscuit</li>
  <li>Brand: Romania</li>
  <li>Net Weight: 700gm</li>
  <li>Quantity: 1tin</li>
  <li>Premium Quality Product</li>
</ul>",,,,,,,
romaniafood&beverageltd.,Romania  Lexus vegetable Biscuits Buy Two Get One Free 240gm,Packet,3,romania,groceries,snacks-and-instant-food,biscuits,160,200,0,,,,,"Romania  Lexus vegetable Biscuits Buy Two Get One Free 240gm, romania",10,,,4320,active,1,100,"<ul>
  <li>Brand: Romania.</li>
  <li>Type: Lexus Vegetable Crackers Biscuits (Buy 2 Get 1 Free).</li>
  <li>Weight: 240 gm.  </li>
  <li>Made in Bangladesh.</li>
  <li>Nutrition: Energy, protein, fat, carbohydrate, dietary fiber, vitamin A, vitamin C, calcium, iron.</li>
</ul>",,,,,,,
