business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,status,enable_stock,current_stock,description,shipping_charge,image1,image2,image3,image4,image5,image6
dreamelectronicsbd,SAMSUNG N4010 - HD LED TV-32Inch,Piece,1,samsung,home-appliances,televisions,,24000,0,,,,,"home-appliances,televisions",10,,100890,active,1,100,"<p>Product details of Samsung 32Inch N4010 HD LED TV Brand: Samsung. Model: UA32N4010ARLXL Model Name: 32Inch N4010 HD LED TV - Series 4. Display Size: 32 inch. Screen Type: LED. Color: Black. Features Format: Standard. HD Technology: HD Ready, 1366 x 768. Resolution: HD Ready. Launch Year: 2018. No of HDMI Port: 2. No of USB Port: 1. Mobile High-Definition Link: Yes. Analog Audio Input: Yes. Number of Speakers: 2. Speaker Type: 2.0 Channel Speaker. Speaker Output RMS: 10 W. Power Requirement: AC 100 - 240 V, 50/60 Hz. Power Consumption: 59 W, 0.5 W (Standby). Contrast Ratio: Mega Contrast (Static). Panel Type: A+ Panel. LED Display Type: Direct. Refresh Rate: 60 Hz. Specifications of Samsung 32Inch N4010 HD LED TV Brand Samsung Bangladesh SKU 165246933_BD-1098542590 Curved TV No TV Technology LED Number of USB ports 2 TvResolution HD (720p / 1280&times;720) Number of HDMI Ports 2 Smart TV No Display Size (inches) 32 Model N4010</p>",,,,,,,
dreamelectronicsbd,SAMSUNG T4500 - SMART HD LED TV-32,Piece,1,samsung,home-appliances,televisions,,27900,0,,,,,"home-appliances,televisions",10,,100890,active,1,100,"<p>Product details of Samsung 32 Inch Smart / WIFI HD TV UA32T4500AR VOICE CONTROL( OFFICIAL SAMSUNG WARRYNTEE ) Name:32 Inch Smart HD TV UA32T4500AR-VOICE CONTROL Operating System : Tizen Color: Black Processor: Quad Core Smart View: Yes Connect Share: Yes HDMI: 2 Social App: Yes Contrast Ratio: No Series: 4 WiFi: Yes Sports Mode: Yes USB Port: 1 VOICE CONTROL REMOTE FREE WALLMOUNT AND INSTALLED ALL BANGLADESH WARRYNTEE FOR ( OFFICIAL SAMSUNG WARRYNTEE ) HOME SERVICE ALL BANGLADESH Warranty POLICY : LED Panel: 2 years, Spare Parts: 1 Year, Free Service: 5 Years ANY PROBLEM PLEASE PHON SAMSUNG HOTLINE NAMBER This product comes with very attractive design. The material used in it will meet your expectation and need also. Now with a new look it is even better than before and its quality will definitely meet your desire. So you may take this to bring smile and enjoy the feel of good quality product. Specifications of Samsung 32 Inch Smart / WIFI HD TV UA32T4500AR VOICE CONTROL( OFFICIAL SAMSUNG WARRYNTEE ) BrandSamsungSKU166284483_BD-1099852982Display Size (inches)32 What&rsquo;s in the box SAMSUNG 32InchSmart / WIFI HD TV UA32T4500ARVOICE CONTROL ( OFFICIAL SAMSUNG WARRYNTEE )</p>",,,,,,,
dreamelectronicsbd,SAMSUNG J5008 - FULL HD LED TV-40Inch,Piece,1,samsung,home-appliances,televisions,,35500,0,,,,,"home-appliances,televisions",10,,100890,active,1,100,"<p>Samsung J5008 series 5 LED TV has 40 inch screen with full HD resolution, clear motion rate 100Hz, ConnectShare movie, wide color enhancer, digital noise filter, 2 HDMI, 1 USB, AV, USB playback, picture-in-picture, dolby digital plus, HyperReal picture engine, RMS sound output 10Wx2, DTS 2.0, auto volume leveler, analog clean view, mega contrast, vibrant colors and outstanding images, 75W television power consumption. Full Specification Screen Size 40Inch Panel Flat Resolution 1920 x 1080 Technology LED 3D Technology 2D Response Time 5 ms Refresh Rate XR 100Hz Sound 10W+10W, Dolby Digital, Dolby Digital Plus, Dolby Pulse Connectivity HDMI, USB Remote Yes Dimension Package Size (WxHxD).1150 x 619 x 142 mm Set Size with Stand (WxHxD).922.7 x 590.5 x 288.1 mmSet Size without Stand (WxHxD).922.7 x 530.7 x 72.0 mm Product Warranty This product comes with 5 years service warranty.</p>",,,,,,,
dreamelectronicsbd,SAMSUNG AU7700 - 4K UHD LED TV-43Inch,Piece,1,samsung,home-appliances,televisions,,59000,0,,,,,"home-appliances,televisions",10,,100890,active,1,100,"<p>Product details of Samsung 1m 08cm (43Inch) AU7700 Crystal 4K UHD Smart TV Specificationsundefined7 Resolution3,840 x 2,160 Connectivity3 USB1Specifications DetailProduct TypeLEDSeries7DisplayScreen Size1m 08cm (43Inch) Resolution3,840 x 2,160VideoPicture EngineCrystal Processor 4K One Billion ColorYes PQI (Picture Quality Index)2000 HDR (High Dynamic Range)HDR HDR 10+Support HLG (Hybrid Log Gamma)Yes ContrastMega Contrast ColorPur Color Contrast EnhancerYes Auto Motion PlusYes Film ModeYesAudioDolby Digital PlusYes Q-SymphonyQ-Symphony Sound Output (RMS)20W Speaker Type2CH Blutooth AudioYesSmart ServiceOperating SystemTizen&trade; BixbyUS English, UK English, India English, Korean, French, German, Italian, Spanish, Portuguese (features vary by language) Multi Voice AssistantYes (India Only) Works with Google AssistantYes (India Only) Works With AlexaYes (India Only) SmartThings App SupportYes Universal GuideYes GalleryYesConvergenceMobile to TV - Mirroring, DLNAYes Tap ViewYes Easy SetupYes App CastingYes Bluetooth Low EnergyYes WiFi DirectYes TV Sound to MobileYes Sound MirroringYesDifferentiationTune StationYes (India,Bangladesh,Bhutan,Srilanka,Nepal) Auto Hotspot ConnectYes (India,Bangladesh,Bhutan,Srilanka,Nepal) S-ShareYes (India Only) Auto Data BackupYes (India,Bangladesh,Bhutan,Srilanka,Nepal) Dongle Compatibility (3G / LTE / WiFi)Yes (India Only) Analog Clean ViewYes Triple ProtectionYesGame FeatureAuto Game Mode (ALLM)YesTuner/BroadcastingDigital BroadcastingDVB-T2 Analog TunerYes TV KeyYesConnectivityHDMI3 USB1 Digital Audio Out (Optical)1 RF In (Terrestrial / Cable input)1/1(Common Use for Terrestrial)/0 HDMI A / Return Ch. SupportYes eARCYes HDMI Quick SwitchYes BluetoothYes (BT5.2)DesignDesignNew Bezel-less Bezel Type3 Bezel-less Slim TypeSlim look Front ColorTITAN GRAY Stand TypeSLIM FEET Stand ColorTITAN GRAYAdditional FeatureAdaptive SoundAdaptive Sound Brightness/Color DetectionBrightness Detection Accessibillity - Voice GuideUK English Accessibility - Learn TV Remote / Learn Menu ScreenUK English Accessibility - OthersEnlarge / High Contrast / Color Inversion / Grayscale / Sign Language Zoom / Multi-output Audio / Slow Button Repeat Digital Clean ViewYes Auto Channel SearchYes Connect Share&trade; (HDD)Yes ConnectShare&trade; (USB 2.0)Yes EPGYes Wireless DexYes Cloud ServiceMicrosoft 365 Filmmaker Mode (FMM)Yes OSD Language22 Local Languages, English BT HID Built-inYes USB HID SupportYes Teletext (TTX)Yes IPv6 SupportYes MBR SupportYesEco FeatureEco SensorYesPowerPower SupplyAC220-240V 50/60Hz Power Consumption (Max)120 WDimensionPackage Size (WxHxD)1081 x 670 x 143 mm Set Size with Stand (WxHxD)963.9 x 627.8 x 192.5 mm Set Size without Stand (WxHxD)963.9 x 558.9 x 59.6 mm Stand (Basic) (WxD)841.7 x 192.5 mm VESA Spec200 x 200 mmWeightPackage Weight11.8 kg Set Weight with Stand8.3 kg Set Weight without Stand8.1 kgAccessoryRemote Controller ModelTM2180A Batteries (for Remote Control)Yes Mini Wall Mount SupportYes Vesa Wall Mount SupportYes User ManualYes E-ManualYes Power CableYes</p>",,,,,,,
dreamelectronicsbd,SAMSUNG AU8100 - 4K UHD LED TV-43Inch,Piece,1,samsung,home-appliances,televisions,,81000,0,,,,,"home-appliances,televisions",10,,100890,active,1,100,"<p>Samsung AU8100 43&rdquo; Crystal UHD 4K Smart TV Samsung AU8100 43&rdquo; Crystal UHD 4K Smart TV Display Screen Size 43&Prime; Resolution 3,840 x 2,160 Video Picture EngineCrystal Processor 4K PQI (Picture Quality Index)2100 HDR (High Dynamic Range)HDR HDR 10+Support HLG (Hybrid Log-Gamma)Yes ContrastMega Contrast ColorDynamic Crystal Color Micro DimmingUHD Dimming Contrast EnhancerYes Auto Motion PlusYes Film Mode Yes Natural Mode Support Yes</p>",,,,,,,
dreamelectronicsbd,SAMSUNG AU8000 - 4K UHD LED TV-43Inch,Piece,1,samsung,home-appliances,televisions,,76000,0,,,,,"home-appliances,televisions",10,,100890,active,1,100,"<p>Product details of SAMSUNG 43Inch AU8000 Crystal UHD 4K Smart TV (2021) undefined 8 Resolution 3,840 x 2,160 Connectivity 3 USB 2 LED 8 Screen Size 43Inch Resolution 3,840 x 2,160 Screen Curvature N/A Picture Engine Crystal Processor 4K Motion Rate 100 PQI (Picture Quality Index) N/A HDR (High Dynamic Range) HDR HDR 10+Supported HLG (Hybrid Log-Gamma) Yes ContrastMega Contrast ColourDynamic Crystal Color Viewing AngleN/A Micro DimmingUHD Dimming Auto Depth EnhancerN/A Contrast Enhancer Yes Auto Motion Plus Yes Film Mode Yes Natural Mode Support Yes Dolby Digital PlusYes Dolby 5.1 Decoder N/A Object Tracking Sound N/A Q-Symphony Q-Symphony Audio Pre-selection Descriptor N/A Hole Array Speaker N/A Sound Output (RMS) 20W Speaker Type 2CH Woofer N/A Multiroom Link Yes Bluetooth Audio Yes Samsung SMART TVSmart Operating System Tizen&trade; Bixby Yes Voice Interaction N/A Far-Field Voice Interaction N/A Multi-Voice Assistant Yes Google Assistant Built-in N/A Works with Google Assistant Yes Works With Alexa Yes TV Plus Yes Web Browser Yes SmartThings App Support Yes (requires Android 6.0&uarr; or iPhone iOS 10.0&uarr;) SmartThings N/A Samsung Health N/A Universal Browse &amp; Play N/A GalleryYes TV to Mobile - MirroringN/A Mobile to TV - Mirroring, DLNAYes (requires Android 6.0&uarr; with Screen Cast capabilities or iPhone iOS 11.4&uarr; with AirPlay 2 support) NFC on TVN/A Tap ViewYes (requires Android 8.1&uarr; with Screen Cast capabilities) Digital ButlerN/A Multi-View N/A Music Wall Yes Remote AccessBasic (support and stability may vary by PC) 360 Video PlayerN/A 360 Camera SupportN/A Bluetooth Low EnergyYes WiFi DirectYes TV Sound to MobileYes (requires Android 6.0&uarr; or iPhone iOS 10.0&uarr;) Sound MirroringYes Tune StationN/A Auto Hotspot ConnectN/A S-ShareN/A Auto Data BackupN/A Dongle Compatibility (3G / LTE / WiFi)N/A Analog Clean ViewN/A Triple ProtectionN/A Digital BroadcastingDVB-T(T2 Ready) Analog TunerYes 2 TunerN/A CI (Common Interface)N/A Data BroadcastingHbbTV 2.0.2 TV Key SupportN/A HDMI3 USB2 Component In (Y/Pb/Pr) N/A Composite In (AV)1 Ethernet (LAN) Yes Audio Out (Mini Jack)N/A Digital Audio Out (Optical)1 RF In (Terrestrial / Cable input / Satellite input)1/1(Common Use for Terrestrial)/0 Ex-Link ( RS-232C )N/A CI SlotN/A HDMI A / Return Ch. Support Yes eARC Yes HDMI Quick Switch Yes Wireless LAN Built-in Yes (WiFi5) BluetoothYes (BT5.2) Anynet+ (HDMI-CEC) Yes Design AirSlim Bezel Type 3 Bezel-less Slim Type Slim look Front Colour Black Speaker Jersey Colour N/A Light Effect (Deco) N/A Stand Type Float Lift Stand Colour Black Adaptive Picture N/A Active Voice Amplifier N/A Adaptive Sound Adaptive Sound AI Streaming N/A AI Upscale N/A Auto Rotation N/A D&eacute;cor Mode N/A Motion Detection (Frame) N/A Ambient Mode Ambient Mode Brightness/Colour Detection Brightness Detection Portrait ModeN/A Accessibility - Voice GuideAU English, Mandarin Chinese, Korean, French, Italian, German, Spanish Accessibility - Learn TV Remote / Learn Menu ScreenAU English, French, Spanish Accessibility - OthersEnlarge / High Contrast / Multi-output Audio / Colour Inversion / Grayscale / Sign Language Zoom / Slow Button Repeat Digital Clean View Yes Auto Channel Search Yes Auto Power Off Yes Caption (Subtitle) Yes Connect Share&trade; (HDD) Yes ConnectShare&trade; (USB 2.0) Yes EPGYes Extended PVR N/A Game ModeYes (Auto Game Mode (ALLM), Game Motion Plus) Freesync N/A G-SYNC N/A Filmmaker Mode (FMM) Yes OSD LanguageLocal Languages Picture-In-Picture N/A BT HID Built-in Yes USB HID Support Yes Teletext (TTX) Yes IPv6 Support Yes MBR Support Yes Eco Sensor Yes Energy Efficiency Class 4 Power Supply AC220-240V 50/60Hz Power Consumption (Max) 130 W Power Consumption (Stand-by) 0.5 W Power Consumption (Energy Saving Mode) N/A Power Consumption (Typical) 70.0 W Peak Luminance Ratio N/A Yearly Power Consumption (EU standard) 259 kWh Package Size (WxHxD) 1093 x 677 x 129 mm Set Size with Stand (WxHxD) 965.5 x 599.8 x 205.6 mm Set Size without Stand (WxHxD) 965.5 x 559.8 x 25.7 mm Stand (Basic) (WxD) 683.5 x 205.6 mm Stand (Minimum) (WxD) N/A Package Weight 12.1 kg Net Weight with Stand 8.9 kg Net Weight without Stand 8.4 kg Batteries (for Remote Control) Yes Samsung Smart Control (Included) Yes Optional Stand Support (Y20 Studio) N/A Optional One Connect Cable Support No Mini Wall Mount Support Yes VESA Wall Mount Support Yes User Manual Yes E-Manual Yes ANT-Cable N/A Power Cable Yes HDMI Cable N/A Crystal UHD 4K Smart TV - AU8000 Designed for the way you live Transform your entertainment with 4K Resolution on AU8000 Crystal UHD TV. Showcasing an ultra-thin Air</p>",,,,,,,
dreamelectronicsbd,SAMSUNG T5500 - SMART FHD LED TV-43Inch,Piece,1,samsung,home-appliances,televisions,,46900,0,,,,,"home-appliances,televisions",10,,100890,active,1,100,"<p>Product details of 43Inch SAMSUNG T5500 SMART FHD VOICE CONTROL LED TV (OFFICIAL SAMSUNG WARRYNTEE) Product Type LED Series 5 Resolution1,920 x 1,080 Picture EngineHyper Real HDMI2 USB1 LED 5 Screen Size1m 08cm (43Inch) Resolution1,920 x 1,080 Picture EngineHyper Real PQI (Picture Quality Index)1000 HDR (High Dynamic Range)HDR ContrastMega Contrast Color Pur Color Contrast Enhancer Yes Film Mode Yes Dolby Digital Plus Yes Sound Output (RMS) 20W Speaker Type 2CH Multiroom Link Yes Bluetooth Audio Yes Operating SystemTizen&trade; Bixby US English, Korean, UK English, French, German, Italian, Spanish, Indian English (features vary by language) Multi-Voice Assistant Yes Works with Google Assistant Yes Works With Alexa Yes SmartThings App Support Yes Universal Guide Yes Gallery Yes Mobile to TV - Mirroring, DLNA Yes Remote Access Yes Bluetooth Low EnergyYes WiFi Direct Yes TV Sound to MobileYes Sound MirroringYes Tune StationYes Auto Hotspot Connect Yes S-Share Yes Auto Data Backup Yes Dongle Compatibility (3G / LTE / WiFi) Yes Analog Clean View Yes Triple Protection Yes Digital BroadcastingDVB-T2 Analog Tuner Yes TV Key Yes HDMI2 USB1 Component In (Y/Pb/Pr)1 Composite In (AV)1 (Common Use for Component Y) Digital Audio Out (Optical)1 RF In (Terrestrial / Cable input)1/1(Common Use for Terrestrial)/0 HDMI A / Return Ch. Support Yes HDMI Quick Switch Yes BluetoothYes (BT4.2) DesignMold Bezel TypeVNB Slim TypeSlim Front Color BLACK (HAIR LINE) Stand Type MINI ARC Stand Color BLACK Brightness/Color DetectionBrightness Detection Accessibility - Voice GuideUK English Accessibility - Learn TV Remote / Learn Menu ScreenUK English Accessibility - OthersEnlarge / High Contrast / Multi-output Audio / Slow Button Repeat Ultra Clean ViewYes Digital Clean ViewYes Auto Channel Search Yes Connect Share&trade; (HDD) Yes ConnectShare&trade; (USB 2.0) Yes EPG Yes Game ModeYes (Basic) OSD Language22 Local Languages, English BT HID Built-in Yes USB HID Support Yes Teletext (TTX) Yes IPv6 Support Yes MBR Support Yes Eco Sensor Yes Energy Efficiency Class2 Power SupplyAC220-240V 50/60Hz Power Consumption (Max)110 W Package Size (WxHxD)1145.0 x 659.0 x 136.0 mm Set Size with Stand (WxHxD)979.9 x 596.6 x 170.3 mm Set Size without Stand (WxHxD)979.9 x 571.9 x 77.3 mm Stand (Basic) (WxD)887.5 x 170.3 mm Package Weight11.0 kg Set Weight with Stand8.2 kg Set Weight without Stand8.0 kg Remote Controller ModelTM1950A Batteries (for Remote Control) Yes Samsung Smart Control (Included) Yes Mini Wall Mount Support Yes Vesa Wall Mount Support Yes User Manual Yes E-Manual Yes Power Cable Yes voice control remote FREE WALLMOUNT AND INSTALLED ALL BANGLADESH WARRYNTEE FOR( OFFICIAL SAMSUNG WARRYNTEE ) HOME SERVICE ALL BANGLADESH Warranty POLICY : LED Panel: 2 years, Spare Parts: 1 Year, Free Service: 5 Years ANY PROBLEM PLEASE PHON SAMSUNG HOTLINE NAMBER</p>",,,,,,,
dreamelectronicsbd,SAMSUNG T5700 - SMART FHD LED TV-43Inch,Piece,1,samsung,home-appliances,televisions,,46900,0,,,,,"home-appliances,televisions",10,,100890,active,1,100,"<p>Product details of Samsung T5700 43Inch FHD Smart LED TV Resolution1,920 x 1,080 undefined5 HDMI2 USB1 LED 5 Screen Size43Inch Resolution1,920 x 1,080 Ultra BlackN/A Screen CurvatureN/A Picture EngineHyper Real PQI (Picture Quality Index)1000 HDR (High Dynamic Range)HDR HDR 10+N/A HLG (Hybrid Log Gamma)N/A ContrastMega Contrast ColorPurColor Viewing AngleN/A Dual LEDN/A Local DimmingN/A Contrast EnhancerYes Auto Motion PlusN/A Film Mode Yes Dolby Digital PlusYes Dolby 5.1 DecoderN/A Object Tracking SoundN/A Q-SymphonyN/A Dialog EnhancementN/A Audio Pre-selection DescriptorN/A Hole Array Speaker Yes Sound Output (RMS)40W Speaker Type4CH WooferN/A Multiroom Link Yes Bluetooth AudioYes Operating SystemTizen&trade; Bixby English, UK English, India English, Korean, French, German, Italian, Spanish (features vary by language) Voice InteractionN/A Far-Field Voice InteractionN/A Multi-Voice AssistantN/A Google Assistant Built-inN/A Works with Google AssistantN/A Works With AlexaN/A TV PlusN/A SmartThings App SupportYes SmartThingsN/A Samsung HealthN/A Universal GuideN/A Gallery Yes TV to Mobile - MirroringN/A Mobile to TV - Mirroring, DLNAYes NFC on TVN/A Tap ViewN/A Digital ButlerN/A Multi-ViewN/A Sound WallN/A Personal ScreenN/A Remote Access Yes Camera SupportN/A 360 Video PlayerN/A 360 Camera SupportN/A Bluetooth Low EnergyYes WiFi DirectYes TV Sound to MobileYes Sound MirroringYes Tune StationYes Auto Hotspot ConnectYes S-ShareN/A Auto Data BackupYes Dongle Compatibility (3G / LTE / WiFi)N/A Analog Clean ViewYes Triple ProtectionYes Image BoosterN/A Local Cinema ModeN/A Digital BroadcastingN/A Analog TunerYes 2 TunerN/A CI (Common Interface)N/A Data BroadcastingN/A TV KeyN/A HDMI2 USB1 Component In (Y/Pb/Pr)1 Composite In (AV)1 (Common Use for Component Y) Audio Out (Mini Jack)N/A Digital Audio Out (Optical)1 RF In (Terrestrial / Cable input)1/1(Common Use for Terrestrial)/0 Ex-Link ( RS-232C )N/A CI SlotN/A HDMI A / Return Ch. SupportYes eARCN/A HDMI Quick Switch Yes BluetoothYes (BT4.2) DesignMold Bezel TypeVNB Slim TypeSlim Front ColorBLACK(HAIR LINE) Speaker Jersey ColorN/A Light Effect (Deco)N/A Stand TypeMINI ARC Stand ColorBLACK Adaptive PictureN/A Active Voice AmplifierN/A Adaptive SoundN/A AI StreamingN/A AI UpscaleN/A Auto RotationN/A Art Mode (The Frame)N/A Motion Detection (Frame)N/A AmbienceN/A Brightness/Color DetectionBrightness Detection Portrait ModeN/A Accessibility - Voice GuideUK English Accessibility - Learn TV Remote / Learn Menu ScreenUK English Accessibility - OthersEnlarge / High Contrast / Multi-output Audio / Slow Button Repeat Ultra Clean ViewYes Digital Clean ViewYes Auto Channel searches Connect Share&trade; (HDD)Yes ConnectShare&trade; (USB 2.0)Yes EPGN/A Extended PVRN/A Game ModeYes (Basic) FreesyncN/A G-SYNCN/A Filmmaker Mode (FMM)N/A OSD Language22 Local Languages, English Picture-In-PictureN/A BT HID Built-in Yes USB HID SupportYes Teletext (TTX)Yes Time ShiftN/A V-ChipN/A IPv6 SupportYes MBR SupportYes Eco SensorYes Energy Efficiency ClassN/A Power SupplyAC100-240V 50/60Hz Power Consumption (Stand-by)N/A Power Consumption (Typical)N/A Package Size (WxHxD)1142.0 x 659.0 x 134.0 mm Set Size with Stand (WxHxD)979.9 x 596.6 x 170.3 mm Set Size without Stand (WxHxD)979.9 x 571.9 x 77.3 mm Stand (Basic) (WxD)887.5 x 170.3 mm Stand (Minimum) (WxD)N/A Remote Controller ModelTM1950A Batteries (for Remote Control)Yes Samsung Smart Control (Included)Yes No-Gap Wall-mountN/A Optional Stand SupportN/A Optional Stand Support (Y20 Studio)N/A 15m/10m One Invisible Connection SupportN/A Mini Wall Mount SupportYes Vesa Wall Mount SupportYes User Manual Yes E-ManualYes ANT-CableN/A Power Cable Yes HDMI CableN/A Slim Gender CableN/A</p>",,,,,,,
dreamelectronicsbd,SAMSUNG TU7000 - 4K UHD LED TV-43Inch,Piece,1,samsung,home-appliances,televisions,,54000,0,,,,,"home-appliances,televisions",10,,100890,active,1,100,"<p>Product details of Samsung 43Inch TU7000 (2020) Crystal UHD 4K HDR Smart TV HDR powered by HDR10+ 4K Upscaling Slim Design Smart TV apps: Netflix, Disney+, BT Sport, Prime and more&hellip; Resolution3,840 x 2,160 Picture EngineCrystal Processor 4K PQI (Picture Quality Index )2000 ContrastMega Contrast Dolby Digital PlusYes Speaker Type2CH Sound Output (RMS)20W Operating SystemTizen&trade; Samsung SMART TVSmart Web BrowserYes Mobile to TV - Mirroring, DLNAYes WiFi DirectYes TV Sound to MobileYes Sound MirroringYes Digital BroadcastingDVB-T2C BluetoothYes (BT4.2) Wireless LAN Built-inYes (WiFi5) Slim TypeSlim look Adaptive SoundAdaptive Sound ConnectShare&trade; (USB 2.0)Yes Crystal Display: lose yourself in crystal clear colour .Crystal Processor 4K, 4K Upscaling &amp; Adaptive Sound: relax as your TV adapts to give you the very best 4K picture and targeted sound .HDR Powered by HDR 10+: enjoy a true-to-life picture with brighter colour and broader contrast .Smart TV powered by Tizen: only the No. 1 selling Smart TV brand&sup1; can give you access to the largest collection of 4K content and all your catch-up TV apps .What's in the box: Samsung 43Inch TU7100 HDR Smart 4K TV, One Remote Control, standard remote, batteries, user manual and power cable Specifications of Samsung 43Inch TU7000 (2020) Crystal UHD 4K HDR Smart TV BrandNo BrandSKU180668732_BD-1121952003TV TechnologyLEDNumber of USB ports1TvResolution4K Ultra HD (2160p / 3840x2160)Number of HDMI Ports2Smart TVYesDisplay Size (inches)43ModelTU7100Warranty Policy EN05-Year's Free Service warranty Without Parts &amp; panel What&rsquo;s in the box Samsung 43Inch TU7100 (2020) Crystal UHD 4K HDR Smart TV</p>",,,,,,,
dreamelectronicsbd,SAMSUNG J5000 - FULL HD LED TV-48Inch,Piece,1,samsung,home-appliances,televisions,,56000,0,,,,,"home-appliances,televisions",10,,100890,active,1,100,"<p>Series 5 Display Screen Size 48Inch Resolution 1920 x 1080 Video Picture Engine HyperReal Clear Motion Rate 100 Dynamic Contrast Ratio Mega Contrast Wide Colour Enhancer (Plus) Yes Film Mode Yes Natural Mode Support Yes Audio Sound Output (RMS) 20 W (L: 10 W, R: 10 W) Speaker Type 2 CH (Down Firing + Base Reflex) Connectivity HDMI 2 USB 1 Component In (Y/Pb/Pr) 1 Composite In (AV) 1 Audio Out (Mini Jack) 1 RF In (Terrestrial / Cable input) 1 DHAKA ELECTRONICS. 53/3/3 PURANA POLTON,DHAKA 1000. SAIFIN ABEDIN. (01766234363)  Always best price in Bangladesh.  We give more importance to customer service.  We import products from Malaysia, Singapore.  Air conditioner Series: Split, Cassette, Ceiling and portable ac.5 YEARS SERVICE WARRANTY.</p>",,,,,,,
