business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,status,enable_stock,current_stock,description,shipping_charge,image1,image2,image3,image4,image5,image6
newazenterprise,Bluetooth MIX-KK,piece,1,kisonli,electronic-accessori,audio,bluetooth-speakers,1400,0,,,,,"electronic-accessoris,audio,bluetooth-speakers",5,,,active,1,100,"<p>Colour：Black, Output power :10W Battery : 1800mAh Weight : 0.82KG Pcs/ctn : 30 PCS</p>",,,,,,,
newazenterprise,Bluetooth LED-800B,piece,1,kisonli,electronic-accessori,audio,bluetooth-speakers,1300,0,,,,,"electronic-accessoris,audio,bluetooth-speakers",5,,,active,1,100,"<p>Colour：Black, Output power :10W Battery : 1800mAh Weight : 0.82KG Pcs/ctn : 30 PCS</p>",,,,,,,
newazenterprise,Bluetooth LED-800,piece,1,kisonli,electronic-accessori,audio,bluetooth-speakers,1700,0,,,,,"electronic-accessoris,audio,bluetooth-speakers",5,,,active,1,100,<p>Colour：Black/Gold/Silver/Red/Blue Output power :10W Battery : 1800mAh Weight : 0.82KG Pcs/ctn : 30 PCS</p>,,,,,,,
newazenterprise,Bluetooth Speaker -X1,piece,1,kisonli,electronic-accessori,audio,bluetooth-speakers,1500,0,,,,,"electronic-accessoris,audio,bluetooth-speakers",5,,,active,1,100,<p>Bluetooth/AUX/TF card/Udis/RGB light<br />2.Speaker:4&Omega;3.5W 3.Output Power：5W*2 4.Frequency Response：150Hz-18KHz 5.Distortion：80Hz-20KHz&le;1％ 6.SNR：&ge;80dB 7. Charge：DC 5V</p>,,,,,,,
newazenterprise,Bluetooth Speaker -X2,piece,1,kisonli,electronic-accessori,audio,bluetooth-speakers,1450,0,,,,,"electronic-accessoris,audio,bluetooth-speakers",5,,,active,1,100,"<p>Colour：Black, Output power :10W Battery : 1800mAh Weight : 0.82KG Pcs/ctn : 30 PCS</p>",,,,,,,
newazenterprise,Bluetooth M3,piece,1,kisonli,electronic-accessori,audio,bluetooth-speakers,1200,0,,,,,"electronic-accessoris,audio,bluetooth-speakers",5,,,active,1,100,<p>Colour：Black/Red/Blue Output power<br />:5W*2 Battery :1200mAh Weight : 0.70KG Pcs/ctn : 40 PCS</p>,,,,,,,
newazenterprise,Bluetooth M8,piece,1,kisonli,electronic-accessori,audio,bluetooth-speakers,1650,0,,,,,"electronic-accessoris,audio,bluetooth-speakers",5,,,active,1,100,<p>Colour：Black+/Silver/Orange White+Blue Output power :10W Battery<br />: 2000mAh Weight : 0.70KG Pcs/ctn : 30 PCS</p>,,,,,,,
newazenterprise,Bluetooth Q1,piece,1,kisonli,electronic-accessori,audio,bluetooth-speakers,1250,0,,,,,"electronic-accessoris,audio,bluetooth-speakers",5,,,active,1,100,"<p>Speaker: 4&Omega; 5W,Supports micro SD card, handsfree call answer,TF card, USB playing, FM radio, Aux-in</p>",,,,,,,
newazenterprise,Bluetooth Q3,piece,1,kisonli,electronic-accessori,audio,bluetooth-speakers,950,0,,,,,"electronic-accessoris,audio,bluetooth-speakers",5,,,active,1,100,<p>Colour：Black/Silver/Gold/Red/Blue Output power :6W Battery : 1200mAh Weight : 0.565KG Pcs/ctn : 50 PCS</p>,,,,,,,
newazenterprise,Bluetooth Q10,piece,1,kisonli,electronic-accessori,audio,bluetooth-speakers,1250,0,,,,,"electronic-accessoris,audio,bluetooth-speakers",5,,,active,1,100,"<p>Speaker: 4&Omega; 5W,Supports micro SD card, handsfree call answer,TF card, USB playing, FM radio, Aux-in</p>",,,,,,,
