business,name,unit, per_unit_value , brand ,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,slug,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
gadgethouse,Miyako Pink Panther 3 in 1 Multi Purpose Mixer Blender machine  750 Watt,Set,1,miyako,home-appliances,Small-Kitchen-Appliances,,3400,4490,0,,,,,"TV & HOME APPLIANCES,TELEVISIONS,HOME AUDIO,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CARE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS",5,,,,20,1,,active,,,,,,,
gadgethouse,Miyako BullDozer Mixer Grinder,Set,1,miyako,home-appliances,Small-Kitchen-Appliances,,3950,4650,0,,,,,"TV & HOME APPLIANCES,TELEVISIONS,HOME AUDIO,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CARE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS",5,,,,20,1,,active,,,,,,,
gadgethouse,Miyako Vitamix Electric Blender 1100W,Set,1,miyako,home-appliances,Small-Kitchen-Appliances,,3950,4650,0,,,,,"TV & HOME APPLIANCES,TELEVISIONS,HOME AUDIO,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CARE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS",5,,,,20,1,,active,,,,,,,
gadgethouse,Miyako Red Bull 3 In 1 Electric Blender   750W,Set,1,miyako,home-appliances,Small-Kitchen-Appliances,,3600,3250,0,,,,,"TV & HOME APPLIANCES,TELEVISIONS,HOME AUDIO,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CARE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS",5,,,,20,1,,active,,,,,,,
gadgethouse,Miyako Ezeemi Mixer Grinder & Blender 750 Watt India,Set,1,miyako,home-appliances,Small-Kitchen-Appliances,,3450,4450,0,,,,,"TV & HOME APPLIANCES,TELEVISIONS,HOME AUDIO,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CARE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS",5,,,,20,1,,active,,,,,,,
gadgethouse,Miyako Sparco 750W 3 in 1 Mixer Grinder,Set,1,miyako,home-appliances,Small-Kitchen-Appliances,,3150,3550,0,,,,,"TV & HOME APPLIANCES,TELEVISIONS,HOME AUDIO,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CARE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS",5,,,,20,1,,active,,,,,,,
gadgethouse,Miyako Electric Grinder MC 07  Miyako Mixer Grinder Machine,Set,1,miyako,home-appliances,Small-Kitchen-Appliances,,1750,2200,0,,,,,"TV & HOME APPLIANCES,TELEVISIONS,HOME AUDIO,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CARE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS",5,,,,20,1,,active,,,,,,,
gadgethouse,Miyako 4 in 1 Electric Blender YT 2004 CH,Set,1,miyako,home-appliances,Small-Kitchen-Appliances,,1700,2150,0,,,,,"TV & HOME APPLIANCES,TELEVISIONS,HOME AUDIO,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CARE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS",5,,,,20,1,,active,,,,,,,
gadgethouse,Nowakee Electric Blender BL 999,Set,1,nowakee,home-appliances,Small-Kitchen-Appliances,,950,1400,0,,,,,"TV & HOME APPLIANCES,TELEVISIONS,HOME AUDIO,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CARE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS",5,,,,20,1,,active,,,,,,,
gadgethouse,Mercusys MW302R 300mbps 2 Antenna Multi Mode Wireless N Router,Piece,1,mercusys,electronic-accessori,network-components,,850,1090,0,,,,,"ELECTRONIC ACCESSORIES ,MOBILE ACCESSORIES,AUDIO,WEARABLE,CONSOLE ACCESSORIES,CAMERA ACCESSORIES,COMPUTER ACCESSORIES,STORAGE,PRINTERS
COMPUTERCOMPONENT,NETWORK COMPONENTS,SOFTWARE,IPS",5,,,,20,1,,active,,,,,,,
