business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,slug,sku,delivery_time,status,enable_stock,current_stock,description,shipping_charge,image1,image2,image3,image4,image5,image6
masterkitchen,Fast and Smooth Food Preparation Capsule Cutter  Multi Color,Piece,1,uncategorized,home-appliances,Small-Kitchen-Appliances,,700,1200,0,,,,,"Fast and Smooth Food Preparation Capsule Cutter  Multi Color,Small-Kitchen-Appliances",10,,,10800,active,1,100,,,,,,,,
masterkitchen,Outdoor Portable BBQ Stove  Black,Piece,1,uncategorized,home-appliances,Small-Kitchen-Appliances,,720,1500,0,,,,,"Outdoor Portable BBQ Stove  Black,Small-Kitchen-Appliances",10,,,10800,active,1,100,,,,,,,,
masterkitchen,BBQ Grills Big Size Outdoor Camping Mini Barbecue Grill Machine 17 Inch,Piece,1,uncategorized,home-appliances,Small-Kitchen-Appliances,,850,1500,0,,,,,"BBQ Grills Big Size Outdoor Camping Mini Barbecue Grill Machine 17 Inch,Small-Kitchen-Appliances",10,,,10800,active,1,100,,,,,,,,
masterkitchen,BBQ Net Holder Clip,Piece,1,uncategorized,home-appliances,Small-Kitchen-Appliances,,320,500,0,,,,,"BBQ Net Holder Clip,Small-Kitchen-Appliances",10,,,10800,active,1,100,,,,,,,,
masterkitchen,10 Pieces BBQ Grill Sticks Set  Brown and Silver,Piece,1,uncategorized,home-appliances,Small-Kitchen-Appliances,,200,500,0,,,,,"10 Pieces BBQ Grill Sticks Set  Brown and Silver,Small-Kitchen-Appliances",10,,,10800,active,1,100,,,,,,,,
masterkitchen,12Pcs Stainless Steel Barbecue String with Wooden Handle BBQ Stick Needles,Piece,1,uncategorized,home-&-decor,"tools,-diy-and-outdoor",,130,499,0,,,,,"12Pcs Stainless Steel Barbecue String with Wooden Handle BBQ Stick Needles,tools,-diy-and-outdoor",10,,,10800,active,1,100,,,,,,,,
masterkitchen,Professional BBQ Meat Tenderizer Stainless Steel Needles,Piece,1,uncategorized,home-appliances,Small-Kitchen-Appliances,,150,400,0,,,,,"Professional BBQ Meat Tenderizer Stainless Steel Needles,Small-Kitchen-Appliances",10,,,10800,active,1,100,,,,,,,,
masterkitchen,Anti Mosquto Killing Lamp 3W  Blue,Piece,1,uncategorized,home-&-decor,"tools,-diy-and-outdoor",,90,200,0,,,,,"Anti Mosquto Killing Lamp 3W  Blue,tools,-diy-and-outdoor",10,,,10800,active,1,100,,,,,,,,
masterkitchen,LED Sensor Mushroom Lamp MultiColor,Piece,1,uncategorized,home-&-decor,lighting,,80,199,0,,,,,"LED Sensor Mushroom Lamp MultiColor,lighting",10,,,10800,active,1,100,,,,,,,,
masterkitchen,Electric LED Mosquito Insect Killer Lamp,Piece,1,uncategorized,home-&-decor,lighting,,380,1000,0,,,,,"Electric LED Mosquito Insect Killer Lamp,lighting",10,,,10800,active,1,100,,,,,,,,
masterkitchen,Portable Travel Hot Water Heater  1000W,Piece,1,uncategorized,home-appliances,cooling-&-heating,,120,300,0,,,,,"Portable Travel Hot Water Heater  1000W,cooling-&-heating",10,,,10800,active,1,100,,,,,,,,
