business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,status,enable_stock,current_stock,description,shipping_charge,image1,image2,image3,image4,image5,image6
MZ FURNITURE,Three Sutter Almirah 01,Piece,1,mz-furniture,home-&-decor,furniture,,35000,0,,,,,"MZ Furniture,furniture",5,,10080,active,1,100,"<p>Material Malaysian Processing Wood, Size 5/6Ft,No Partex Board Used.</p>",,,,,,,
MZ FURNITURE,Three Sutter Almirah 02,Piece,1,mz-furniture,home-&-decor,furniture,,35000,0,,,,,"MZ Furniture,furniture",5,,10080,active,1,100,"<p>Material Malaysian Processing Wood, Size 5/6Ft,No Partex Board Used.</p>
",,,,,,,
MZ FURNITURE,Three Sutter Almirah 03,Piece,1,mz-furniture,home-&-decor,furniture,,35000,0,,,,,"MZ Furniture,furniture",5,,10080,active,1,100,"<p>Material Malaysian Processing Wood, Size 5/6Ft,No Partex Board Used.</p>
",,,,,,,
MZ FURNITURE,Two Sutter Almirah 01,Piece,1,mz-furniture,home-&-decor,furniture,,26000,0,,,,,"MZ Furniture,furniture",5,,10080,active,1,100,"<p>Material Malaysian Processing Wood, Size 5/3.5Ft,No Partex Board Used.</p>",,,,,,,
MZ FURNITURE,Two Sutter Almirah 02,Piece,1,mz-furniture,home-&-decor,furniture,,26000,0,,,,,"MZ Furniture,furniture",5,,10080,active,1,100,"<p>Material Malaysian Processing Wood, Size 5/3.5Ft,No Partex Board Used.</p>",,,,,,,
MZ FURNITURE,Three Sutter Almirah 06,Piece,1,mz-furniture,home-&-decor,furniture,,35000,0,,,,,"MZ Furniture,furniture",5,,10080,active,1,100,"<p>Material Malaysian Processing Wood, Size 5/6Ft,No Partex Board Used.</p>",,,,,,,
MZ FURNITURE,Two Sutter Almirah 03,Piece,1,mz-furniture,home-&-decor,furniture,,26000,0,,,,,"MZ Furniture,furniture",5,,10080,active,1,100,"<p>Material Malaysian Processing Wood, Size 5/3.5Ft,No Partex Board Used.</p>",,,,,,,
MZ FURNITURE,Three Sutter Almirah 05,Piece,1,mz-furniture,home-&-decor,furniture,,35000,0,,,,,"MZ Furniture,furniture",5,,10080,active,1,100,"<p>Material Malaysian Processing Wood, Size 5/6Ft,No Partex Board Used.</p>",,,,,,,
MZ FURNITURE,Three Sutter Almirah 06,Piece,1,mz-furniture,home-&-decor,furniture,,35000,0,,,,,"MZ Furniture,furniture",5,,10080,active,1,100,"Material Malaysian Processing Wood, Size 5/6Ft,No Partex Board Used.",,,,,,,
MZ FURNITURE,Three Sutter Almirah 07,Piece,1,mz-furniture,home-&-decor,furniture,,35000,0,,,,,"MZ Furniture,furniture",5,,10080,active,1,100,"<p>Material Malaysian Processing Wood, Size 5/6Ft,No Partex Board Used.</p>",,,,,,,
MZ FURNITURE,Three Sutter Almirah 08,Piece,1,mz-furniture,home-&-decor,furniture,,35000,0,,,,,"MZ Furniture,furniture",5,,10080,active,1,100,"<p>Material Malaysian Processing Wood, Size 5/6Ft,No Partex Board Used.</p>",,,,,,,
