business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,slug,sku,delivery_time,status,enable_stock,current_stock,description,shipping_charge,image1,image2,image3,image4,image5,image6
walton,Walton Refrigerator WFD-1B6-GDEH-XX-Gross -205 Ltr,Piece,1,walton,home-appliances,large-appliances,freezer,22596,26900,0,,,,,"Walton Refrigerator WFD-1B6-GDEH-XX-Gross -205 Ltr, ,walton",10,,,10080,active,1,100,"Type: Direct Cool<br />
  Gross Volume: 132 Ltr<br />
    Net Volume: 129 Ltr<br />
   Refrigerant: R600a / R134a",,,,,,,
walton,Walton Refrigerator WCG-3J0-DDGE-XX-Gross 300 Ltr,Piece,1,walton,home-appliances,large-appliances,freezer,27216,32400,0,,,,,"Walton Refrigerator WCG-3J0-DDGE-XX-Gross 300 Ltr, ,walton",10,,,10080,active,1,100,"
  WCG-3J0-DDGE-XX<br />
Type: DECS<br />
Category: Freezer<br />
Gross Volume: 300 Ltr<br />
Net Volume: 300 Ltr<br />
Refrigerant: R600a",,,,,,,
walton,Walton Split Type Air Conditioner-WSN-RIVERINE-24B 2 Ton,Piece,1,walton,home-appliances,cooling-&-heating,air-conditioner,48636,57900,0,,,,,"Walton Split Type Air Conditioner-WSN-RIVERINE-24B 2 Ton, ,walton",10,,,10080,active,1,100,"<h2 data-spm-anchor-id=""a2a0e.pdp.0.i1.53f8bHjmbHjmwn"">Product details of Walton Split AC 7034 Watts (24000 BTU/hr) 2 Ton WSN-RIVERINE-24B<br />
  Product Type:Air Conditioner<br />
  Function: Cooling<br />
  BTU/hr: 24000<br />
  Cooling Capacity (watts): 7034<br />
  COP: 3.08<br />
  Rated Input Power (Watts): 2280<br />
  Power Supply (phase/voltage (V) /frequency (Hz) /current (A)): single/ 220-240/ 50/ 10.70<br />
  Air Circulation (m3/h): 1100<br />
Cooling Features</h2>",,,,,,,
walton,Walton Split Type Air Conditioner-WSI-RIVERINE-24C 2 Ton,Piece,1,walton,home-appliances,cooling-&-heating,air-conditioner,47796,56900,0,,,,,"Walton Split Type Air Conditioner-WSI-RIVERINE-24C 2 Ton, ,walton",10,,,10080,active,1,100,"Product details of Walton Split AC 7034 Watts (24000 BTU/hr) 2 Ton WSN-RIVERINE-24B
Product Type:Air Conditioner
Function: Cooling
BTU/hr: 24000
Cooling Capacity (watts): 7034
COP: 3.08
Rated Input Power (Watts): 2280
Power Supply (phase/voltage (V) /frequency (Hz) /current (A)): single/ 220-240/ 50/ 10.70
Air Circulation (m3/h): 1100
Cooling Features",,,,,,,
walton,Walton Split Type Air Conditioner WSI-RIVERINE-12A  1 Ton,Piece,1,walton,home-appliances,cooling-&-heating,air-conditioner,62916,74900,0,,,,,"Walton Split Type Air Conditioner WSI-RIVERINE-12A  1 Ton, ,walton",10,,,10080,active,1,100,"Air Conditioner Type        Intelligent Inverter
Function        Cooling
Cooling Capacity        3517 Watts (12000 BTU/h)
Compressor        Rotary (Inverter)
Refrigerant        R-32",,,,,,,
walton,WALTON Split Type Air Conditioner WSN-DIAMOND-24B  2 Ton,Piece,1,walton,home-appliances,cooling-&-heating,air-conditioner,38220,45500,0,,,,,"WALTON Split Type Air Conditioner WSN-DIAMOND-24B  2 Ton, ,walton",10,,,10080,active,1,100,"Air Conditioner Type	Non-Inverter<br />
Function	Cooling<br />
Cooling Capacity	7034 Watts (24000 BTU/hr)<br />
Compressor	Rotary (Fixed Speed)<br />
Refrigerant	R-410a",,,,,,,
walton,WALTON Split Type Air conditioner WSI-OCEANUS (VOICE CONTROL)-12A  1 Ton,Piece,1,walton,home-appliances,cooling-&-heating,air-conditioner,47796,56900,0,,,,,"WALTON Split Type Air conditioner WSI-OCEANUS (VOICE CONTROL)-12A  1 Ton, ,walton",10,,,10080,active,1,100,"Air Conditioner Type	Intelligent Inverter<br />
Function	Cooling<br />
Cooling Capacity	3517 Watts (12000 BTU/h)<br />
Compressor	Rotary (Inverter)<br />
Refrigerant	R-32",,,,,,,
walton,WALTON Split Type Air Conditioner WSN-KRYSTALINE-18F  1.5 Ton,Piece,1,walton,home-appliances,cooling-&-heating,air-conditioner,40236,47900,0,,,,,"WALTON Split Type Air Conditioner WSN-KRYSTALINE-18F  1.5 Ton, ,walton",10,,,10080,active,1,100,"Air Conditioner Type	Non-Inverter<br />
Function	Cooling<br />
Cooling Capacity	5275 Watts (18000 BTU/hr)<br />
Compressor	Rotary (Fixed Speed)<br />
Refrigerant	R-410a",,,,,,,
walton,WALTON Split Type Air Conditioner WSI-OCEANUS (VOICE CONTROL)-18F  1.5 Ton,Piece,1,walton,home-appliances,cooling-&-heating,air-conditioner,42756,50900,0,,,,,"WALTON Split Type Air Conditioner WSI-OCEANUS (VOICE CONTROL)-18F  1.5 Ton, ,walton",10,,,10080,active,1,100,"Air Conditioner Type	Intelligent Inverter Technology<br />
Function	Cooling<br />
Cooling Capacity	5275 Watts (18000 BTU/hr)<br />
Compressor	Rotary (Inverter)<br />
Refrigerant	Version 0608: R-32<br />
Version 0611: R-410",,,,,,,
walton,WALTON Split Type Air Conditioner WSI-OCEANUS (VOICE CONTROL)-18F (UV CARE)  1.5 Ton,Piece,1,walton,home-appliances,cooling-&-heating,air-conditioner,55440,66000,0,,,,,"WALTON Split Type Air Conditioner WSI-OCEANUS (VOICE CONTROL)-18F (UV CARE)  1.5 Ton, ,walton",10,,,10080,active,1,100,"Air Conditioner Type	Intelligent Inverter Technology<br />
Function	Cooling<br />
Cooling Capacity	5275 Watts (18000 BTU/hr)<br />
Compressor	Rotary (Inverter)<br />
Refrigerant	Version 0608: R-32<br />
Version 0611: R-410",,,,,,,
