business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
micromedbangladesh,SOFTOUCH PERISTALTIC PLUS WN PP 330ML,Piece,1,pigeon,baby-&-toddler-toys,mother-and-baby,,725,0,,,,,"Health & beauty,Women's care,Family planning,Health care,Hair care,Body soaps & shower gels,Perfume,Sanitizer,Body scrubs & massage oils,Body moisturizers & sun care,Beauty tools,Makeup,Personal care,Skin care",10,,10080,100,1,,active,"<p>Health & beauty,Women's care,Family planning,Health care,Hair care,Body soaps & shower gels,Perfume,Sanitizer,Body scrubs & massage oils,Body moisturizers & sun care,Beauty tools,Makeup,Personal care,Skin care</p>",,,,,,
micromedbangladesh,SOFTOUCH PERISTALTIC PLUS TWIN PACK 160ML,Piece,1,pigeon,baby-&-toddler-toys,mother-and-baby,,"1,160",0,,,,,"Health & beauty,Women's care,Family planning,Health care,Hair care,Body soaps & shower gels,Perfume,Sanitizer,Body scrubs & massage oils,Body moisturizers & sun care,Beauty tools,Makeup,Personal care,Skin care",10,,10080,100,1,,active,"<p>Health & beauty,Women's care,Family planning,Health care,Hair care,Body soaps & shower gels,Perfume,Sanitizer,Body scrubs & massage oils,Body moisturizers & sun care,Beauty tools,Makeup,Personal care,Skin care</p>",,,,,,
micromedbangladesh,SOFTOUCH PERISTALTIC PLUS TWIN PACK 240ML,Piece,1,pigeon,baby-&-toddler-toys,mother-and-baby,,"1,230",0,,,,,"Health & beauty,Women's care,Family planning,Health care,Hair care,Body soaps & shower gels,Perfume,Sanitizer,Body scrubs & massage oils,Body moisturizers & sun care,Beauty tools,Makeup,Personal care,Skin care",10,,10080,100,1,,active,"<p>Health & beauty,Women's care,Family planning,Health care,Hair care,Body soaps & shower gels,Perfume,Sanitizer,Body scrubs & massage oils,Body moisturizers & sun care,Beauty tools,Makeup,Personal care,Skin care</p>",,,,,,
micromedbangladesh,SOFTOUCH TM PPERISTALTIC PLUS WN PP NURSING BOTTLE 160ML,Piece,1,pigeon,baby-&-toddler-toys,mother-and-baby,,690,0,,,,,"Health & beauty,Women's care,Family planning,Health care,Hair care,Body soaps & shower gels,Perfume,Sanitizer,Body scrubs & massage oils,Body moisturizers & sun care,Beauty tools,Makeup,Personal care,Skin care",10,,10080,100,1,,active,"<p>Health & beauty,Women's care,Family planning,Health care,Hair care,Body soaps & shower gels,Perfume,Sanitizer,Body scrubs & massage oils,Body moisturizers & sun care,Beauty tools,Makeup,Personal care,Skin care</p>",,,,,,
micromedbangladesh,SOFTOUCH TM PPERISTALTIC PLUS WN PP NURSING BOTTLE 240ML,Piece,1,pigeon,baby-&-toddler-toys,mother-and-baby,,725,0,,,,,"Health & beauty,Women's care,Family planning,Health care,Hair care,Body soaps & shower gels,Perfume,Sanitizer,Body scrubs & massage oils,Body moisturizers & sun care,Beauty tools,Makeup,Personal care,Skin care",10,,10080,100,1,,active,"<p>Health & beauty,Women's care,Family planning,Health care,Hair care,Body soaps & shower gels,Perfume,Sanitizer,Body scrubs & massage oils,Body moisturizers & sun care,Beauty tools,Makeup,Personal care,Skin care</p>",,,,,,
micromedbangladesh,FLEXIBLE PERISTALTIC NIPPLE NURSING BOTTLE PP 160ML (S),Piece,1,pigeon,baby-&-toddler-toys,mother-and-baby,,400,0,,,,,"Health & beauty,Women's care,Family planning,Health care,Hair care,Body soaps & shower gels,Perfume,Sanitizer,Body scrubs & massage oils,Body moisturizers & sun care,Beauty tools,Makeup,Personal care,Skin care",10,,10080,100,1,,active,"<p>Health & beauty,Women's care,Family planning,Health care,Hair care,Body soaps & shower gels,Perfume,Sanitizer,Body scrubs & massage oils,Body moisturizers & sun care,Beauty tools,Makeup,Personal care,Skin care</p>",,,,,,
micromedbangladesh,FLEXIBLE PERISTALTIC NIPPLE NURSING BOTTLE PP 240ML (M),Piece,1,pigeon,baby-&-toddler-toys,mother-and-baby,,430,0,,,,,"Health & beauty,Women's care,Family planning,Health care,Hair care,Body soaps & shower gels,Perfume,Sanitizer,Body scrubs & massage oils,Body moisturizers & sun care,Beauty tools,Makeup,Personal care,Skin care",10,,10080,100,1,,active,"<p>Health & beauty,Women's care,Family planning,Health care,Hair care,Body soaps & shower gels,Perfume,Sanitizer,Body scrubs & massage oils,Body moisturizers & sun care,Beauty tools,Makeup,Personal care,Skin care</p>",,,,,,
micromedbangladesh,RPP 120ML WITH S TYPE NIPPLE (S),Piece,1,pigeon,baby-&-toddler-toys,mother-and-baby,,240,0,,,,,"Health & beauty,Women's care,Family planning,Health care,Hair care,Body soaps & shower gels,Perfume,Sanitizer,Body scrubs & massage oils,Body moisturizers & sun care,Beauty tools,Makeup,Personal care,Skin care",10,,10080,100,1,,active,"<p>Health & beauty,Women's care,Family planning,Health care,Hair care,Body soaps & shower gels,Perfume,Sanitizer,Body scrubs & massage oils,Body moisturizers & sun care,Beauty tools,Makeup,Personal care,Skin care</p>",,,,,,
micromedbangladesh,RPP 240ML WITH S TYPE NIPPLE (M),Piece,1,pigeon,baby-&-toddler-toys,mother-and-baby,,260,0,,,,,"Health & beauty,Women's care,Family planning,Health care,Hair care,Body soaps & shower gels,Perfume,Sanitizer,Body scrubs & massage oils,Body moisturizers & sun care,Beauty tools,Makeup,Personal care,Skin care",10,,10080,100,1,,active,"<p>Health & beauty,Women's care,Family planning,Health care,Hair care,Body soaps & shower gels,Perfume,Sanitizer,Body scrubs & massage oils,Body moisturizers & sun care,Beauty tools,Makeup,Personal care,Skin care</p>",,,,,,
micromedbangladesh,PERISTALTIC NIPPLE SN GLASS BOTTLE 120ML,Piece,1,pigeon,baby-&-toddler-toys,mother-and-baby,,750,0,,,,,"Health & beauty,Women's care,Family planning,Health care,Hair care,Body soaps & shower gels,Perfume,Sanitizer,Body scrubs & massage oils,Body moisturizers & sun care,Beauty tools,Makeup,Personal care,Skin care",10,,10080,100,1,,active,"<p>Health & beauty,Women's care,Family planning,Health care,Hair care,Body soaps & shower gels,Perfume,Sanitizer,Body scrubs & massage oils,Body moisturizers & sun care,Beauty tools,Makeup,Personal care,Skin care</p>",,,,,,
