business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,status,enable_stock,current_stock,description,shipping_charge,image1,image2,image3,image4,image5,image6
smarttechnologies(bd)ltd.,Huawei P 40 Pro (5G),Piece,1,huawei,electronics,mobile-and-gadgets,,  109999 ,0,,,,,,5,,10080,active,1,100,,,,,,,,
smarttechnologies(bd)ltd.,Huawei Mate 30 Pro,Piece,1,huawei,electronics,mobile-and-gadgets,,  99999 ,0,,,,,,5,,10080,active,1,100,,,,,,,,
smarttechnologies(bd)ltd.,Huawei Y8P,Piece,1,huawei,electronics,mobile-and-gadgets,,  23999 ,0,,,,,,5,,10080,active,1,100,,,,,,,,
smarttechnologies(bd)ltd.,Huawei Y7P,Piece,1,huawei,electronics,mobile-and-gadgets,,  18999 ,0,,,,,,5,,10080,active,1,100,,,,,,,,
smarttechnologies(bd)ltd.,Huawei Y6P,Piece,1,huawei,electronics,mobile-and-gadgets,,  15499 ,0,,,,,,5,,10080,active,1,100,,,,,,,,
smarttechnologies(bd)ltd.,Huawei MatePad T10 (4GLTE),Piece,1,huawei,electronics,mobile-and-gadgets,,  20999 ,0,,,,,,5,,10080,active,1,100,,,,,,,,
smarttechnologies(bd)ltd.,Huawei MatePad T10s (Wifi),Piece,1,huawei,electronics,mobile-and-gadgets,,  16999 ,0,,,,,,5,,10080,active,1,100,,,,,,,,
smarttechnologies(bd)ltd.,Huawei MatePad 10.4 (Wifi),Piece,1,huawei,electronics,mobile-and-gadgets,,  31999 ,0,,,,,,5,,10080,active,1,100,,,,,,,,
smarttechnologies(bd)ltd.,Huawei Band A2,Piece,1,huawei,electronics,mobile-and-gadgets,,  2599 ,0,,,,,,5,,10080,active,1,100,,,,,,,,
smarttechnologies(bd)ltd.,Huawei Band 2 ,Piece,1,huawei,electronics,mobile-and-gadgets,,  1599 ,0,,,,,,5,,10080,active,1,100,,,,,,,,
smarttechnologies(bd)ltd.,Huawei Watch GT-2 Pro,Piece,1,huawei,electronic-accessori,wearable,,  24999 ,0,,,,,,5,,10080,active,1,100,,,,,,,,
smarttechnologies(bd)ltd.,Huawei Watch GT-2 pro,Piece,1,huawei,electronic-accessori,wearable,,  18999 ,0,,,,,,5,,10080,active,1,100,,,,,,,,
smarttechnologies(bd)ltd.,Huawei Watch GT-2,Piece,1,huawei,electronic-accessori,wearable,,  16999 ,0,,,,,,5,,10080,active,1,100,,,,,,,,
smarttechnologies(bd)ltd.,Huawei Watch GT2 42mm,Piece,1,huawei,electronic-accessori,wearable,,  15999 ,0,,,,,,5,,10080,active,1,100,,,,,,,,
smarttechnologies(bd)ltd.,Huawei Watch GT2e 46mm,Piece,1,huawei,electronic-accessori,wearable,,  12499 ,0,,,,,,5,,10080,active,1,100,,,,,,,,
smarttechnologies(bd)ltd.,Huawei Watch GT,Piece,1,huawei,electronic-accessori,wearable,,  8999 ,0,,,,,,5,,10080,active,1,100,,,,,,,,
smarttechnologies(bd)ltd.,Huawei Watch Fit,Piece,1,huawei,electronic-accessori,wearable,,  9999 ,0,,,,,,5,,10080,active,1,100,,,,,,,,
smarttechnologies(bd)ltd.,Huawei GT2-Latona Strap,Piece,1,huawei,electronic-accessori,wearable,,  1999 ,0,,,,,,5,,10080,active,1,100,,,,,,,,
smarttechnologies(bd)ltd.,Huawei GT2-Latona Strap,Piece,1,huawei,electronic-accessori,wearable,,  1599 ,0,,,,,,5,,10080,active,1,100,,,,,,,,
smarttechnologies(bd)ltd.,Huawei BT Speaker-CM510,Piece,1,huawei,electronic-accessori,wearable,,  1399 ,0,,,,,,5,,10080,active,1,100,,,,,,,,
smarttechnologies(bd)ltd.,Huawei BT Free Buds 3,Piece,1,huawei,electronic-accessori,wearable,,  14999 ,0,,,,,,5,,10080,active,1,100,,,,,,,,
smarttechnologies(bd)ltd.,Huawei BT Free Buds Pro,Piece,1,huawei,electronic-accessori,wearable,,  14999 ,0,,,,,,5,,10080,active,1,100,,,,,,,,
smarttechnologies(bd)ltd.,Huawei BT Free Buds 4,Piece,1,huawei,electronic-accessori,wearable,,  13999 ,0,,,,,,5,,10080,active,1,100,,,,,,,,
smarttechnologies(bd)ltd.,Huawei BT Freelace Pro,Piece,1,huawei,electronic-accessori,wearable,,  7999 ,0,,,,,,5,,10080,active,1,100,,,,,,,,
smarttechnologies(bd)ltd.,Huawei BT Free Buds 3i,Piece,1,huawei,electronic-accessori,wearable,,  7999 ,0,,,,,,5,,10080,active,1,100,,,,,,,,
smarttechnologies(bd)ltd.,Huawei BT Free Buds 4i,Piece,1,huawei,electronic-accessori,wearable,,  6999 ,0,,,,,,5,,10080,active,1,100,,,,,,,,
smarttechnologies(bd)ltd.,Huawei BT Free Buds-Lite,Piece,1,huawei,electronic-accessori,wearable,,  5499 ,0,,,,,,5,,10080,active,1,100,,,,,,,,
smarttechnologies(bd)ltd.,Huawei Freelace-CM70,Piece,1,huawei,electronic-accessori,wearable,,  4999 ,0,,,,,,5,,10080,active,1,100,,,,,,,,
smarttechnologies(bd)ltd.,Huawei Sports BT Headphone-AM61,Piece,1,huawei,electronic-accessori,wearable,,  2299 ,0,,,,,,5,,10080,active,1,100,,,,,,,,
smarttechnologies(bd)ltd.,Huawei Headphone-AM115,Piece,1,huawei,electronic-accessori,wearable,,  550 ,0,,,,,,5,,10080,active,1,100,,,,,,,,
