business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,slug,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
mshossainenterprise,Molfix Twin New Born Belt 2-5 kg 44,Packet,1,molfix,babies-&-toys,diapers-and- potty,disposable-diapers,827,1100,0,,,,,,5,,,,100,1,,active,"<ul>
<li>Product Type: Diaper</li>
<li>Molfix belt diaper is skin-friendly</li>
<li><span class=""a-list-item"">Color changing wetness indicator</span></li>
<li>Comfortable and flexible central elastic system</li>
<li>Double absorbent area</li>
<li>Extremely gentle on your baby&rsquo;s sensitive skin</li>
<li>Molfix belt is easy to wear, simply taken off, easy to dispose through waste band</li>
<li>Molfix belt has air-soft technology &amp; anatomic-fit technology</li>
<li>Anatomic-fit technology takes the shape of my baby&rsquo;s body, elastic bands helps in covering my baby&rsquo;s body</li>
<li>When my baby drinks, breathes, the waist band is not hurting him/her</li>
<li><span class=""a-list-item"">Extra absorbent green layer, soaking up all your baby&rsquo;s pee<br /></span></li>
<li><span class=""a-list-item"">Leak-proof barriers, to prevent leakages of any sort</span></li>
<li><span class=""a-list-item"">Colorful designs, to give your little ones wardrobe some zing!</span></li>
<li><span class=""a-list-item"">Super elastic side bands, giving your baby freedom of movement and also allows the diaper adjust to your baby&rsquo;s changing tummy size as they feed. No need to re-adjust</span></li>
<li><span class=""a-list-item"">Breathable back sheet, allowing free flow of air and prevent diaper rash. Soft top sheet, which is friendly with your baby&rsquo;s skin and very comfortable too</span></li>
<li><span class=""a-list-item"">Composition is 100% natural; Latex and Paraben and Bisphenol-A FREE!<br /></span></li>
<li><span class=""a-list-item"">Brand: Molfix</span></li>
<li><span class=""a-list-item"">Type: Disposable baby diapers</span></li>
<li><span class=""a-list-item"">Diaper types: Belt<br /></span></li>
<li><span class=""a-list-item"">Size: 44pcs</span></li>
<li><span class=""a-list-item"">Diaper size:</span>&nbsp;1 New born 2-5 kg</li>
</ul>",,,,,,
mshossainenterprise,Molfix Jumbo Mini Belt 3-6 kg 80,Packet,1,molfix,babies-&-toys,diapers-and- potty,disposable-diapers,1315,1755,0,,,,,,5,,,,100,1,,active,"1. Product Type: Diaper<br />
2. Brand: Molfix<br />
3. For the child: 3-6 kg<br />
4. Quantity: 80pcs<br />
5. Good for baby skin<br />
6. Country of origin: Turkey",,,,,,
mshossainenterprise,Molfix Jumbo Midi Belt 4-9 kg 68,Packet,1,molfix,babies-&-toys,diapers-and- potty,disposable-diapers,1315,1755,0,,,,,,5,,,,100,1,,active,"<ul>
  <li>MORE ELASTIC – SIDE BANDS.</li>
  <li>ANTI LEAKAGE – ELASTIC BARRIERS.</li>
  <li>COMFORTABLE AND FLEXIABLE.</li>
  <li>DOUBLE ABSORBENT AREA.</li>
  <li>SOFT BREATHABLE INTERNAL AND EXTERNAL LAYERS.</li>
  <li>COLOR- CHANGING WETNESS INDICATOR.</li>
  <li>SKIN FRIENDLY APPROVED.</li>
  <li>ALOE VERA &amp; CHAMOMILE EXTRACTS.</li>
  <li>HYPOALLERGENIC &amp; LATEX,PARABEAN AND BPA FREE.</li>
</ul>",,,,,,
mshossainenterprise,Molfix Twin Midi Belt 4-9 kg 46,Packet,1,molfix,babies-&-toys,diapers-and- potty,disposable-diapers,903,1210,0,,,,,,5,,,,100,1,,active,"<ul>
  <li>MORE ELASTIC – SIDE BANDS.</li>
  <li>ANTI LEAKAGE – ELASTIC BARRIERS.</li>
  <li>COMFORTABLE AND FLEXIABLE.</li>
  <li>DOUBLE ABSORBENT AREA.</li>
  <li>SOFT BREATHABLE INTERNAL AND EXTERNAL LAYERS.</li>
  <li>COLOR- CHANGING WETNESS INDICATOR.</li>
  <li>SKIN FRIENDLY APPROVED.</li>
  <li>ALOE VERA &amp; CHAMOMILE EXTRACTS.</li>
  <li>HYPOALLERGENIC &amp; LATEX,PARABEAN AND BPA FREE.</li>
</ul>",,,,,,
mshossainenterprise,Molfix Super Advanced Pants Midi 6-11 kg 94,Packet,1,molfix,babies-&-toys,diapers-and- potty,disposable-diapers,1760,2350,0,,,,,,5,,,,100,1,,active,"<ul>
  <li>Product Type: Diaper</li>
  <li>Molfix baby diaper pants have gained the trust of mothers all over the world for its anatomic fit and maximum protection against leakage. </li>
  <li>The flexible waist and body system makes babies comfortable. Its soft, breathable waist and body are built with airsoft technology. A color-changing wetness indicator lets you know when the diaper is wet. </li>
  <li>Double absorbent area and anti-leakage elastic barrier ensure no leakage. These pants contain aloe-vera and chamomile extracts to moisturize the baby&rsquo;s skin and prevent diaper rash. </li>
  <li>These diapers are dermatologically tested.</li>
  <li>Brand: Molfix </li>
  <li> Size: 3 Midi Allowable weight of baby 6-11 kg </li>
  <li> Quantity : 94 pieces </li>
  <li> Wetness indicator: Yes Contains moisturizer.</li>
</ul>",,,,,,
mshossainenterprise,Molfix Jumbo Pants Midi 6-11 kg 60,Packet,1,molfix,babies-&-toys,diapers-and- potty,disposable-diapers,1190,1590,0,,,,,,5,,,,100,1,,active,"<p data-reactid="".1dps8yg33ho.7.2.0.0.0.0.0.1.0.0.1.4.$line-0"">Origin: Turkey</p>
<p data-reactid="".1dps8yg33ho.7.2.0.0.0.0.0.1.0.0.1.4.$line-1"">Are you looking for a trusted brand of diaper for your baby? Molfix baby diaper pants have gained the trust of mothers all over the world for its anatomic fit and maximum protection against leakage. The flexible waist and body system makes babies comfortable. Its soft, breathable waist and body are built with airsoft technology. A colour-changing wetness indicator lets you know when the diaper is wet. Double absorbent area and anti-leakage elastic barrier ensure no leakage. These pants contain aloe-vera and chamomile extracts to moisturize the baby&rsquo;s skin and prevent diaper rash. These diapers are dermatologically tested.</p>
<p data-reactid="".1dps8yg33ho.7.2.0.0.0.0.0.1.0.0.1.4.$line-2"">Brand: Molfix</p>
<p data-reactid="".1dps8yg33ho.7.2.0.0.0.0.0.1.0.0.1.4.$line-3"">Size: 3 Midi</p>
<p data-reactid="".1dps8yg33ho.7.2.0.0.0.0.0.1.0.0.1.4.$line-4"">Allowable weight of baby 6-11 kg</p>
<p data-reactid="".1dps8yg33ho.7.2.0.0.0.0.0.1.0.0.1.4.$line-5"">Quantity: 60 pieces</p>
<p data-reactid="".1dps8yg33ho.7.2.0.0.0.0.0.1.0.0.1.4.$line-6"">Wetness indicator: Yes</p>
<p>Contains moisturizer.</p>
<p>Pant system.</p>",,,,,,
mshossainenterprise,Molfix Twin Pants Midi 6-11 kg 26,Packet,1,molfix,babies-&-toys,diapers-and- potty,disposable-diapers,558,750,0,,,,,,5,,,,100,1,,active,"<ul>
  <li>MORE ELASTIC – SIDE BANDS.</li>
  <li>ANTI LEAKAGE – ELASTIC BARRIERS.</li>
  <li>COMFORTABLE AND FLEXIABLE.</li>
  <li>DOUBLE ABSORBENT AREA.</li>
  <li>SOFT BREATHABLE INTERNAL AND EXTERNAL LAYERS.</li>
  <li>COLOR- CHANGING WETNESS INDICATOR.</li>
  <li>SKIN FRIENDLY APPROVED.</li>
  <li>ALOE VERA &amp; CHAMOMILE EXTRACTS.</li>
  <li>HYPOALLERGENIC &amp; LATEX,PARABEAN AND BPA FREE.</li>
</ul>",,,,,,
mshossainenterprise,Molfix Giant Maxi Belt 7-14 kg 80,Packet,1,molfix,babies-&-toys,diapers-and- potty,disposable-diapers,1700,2270,0,,,,,,5,,,,100,1,,active,"<ul>
  <li>Product Type: Diaper</li>
  <li>These diapers have a comfortable and flexible central elastic system. Have more elastic sidebands than the previous versions of Molfix diapers. Colour changing wetness indicator lets you know when the diaper is wet. </li>
  <li>Double absorbent area, anti-leakage elastic barrier ensure no leakage. Soft breathable inside and outside layers are skin-friendly. These pants contain aloe-vera and chamomile extracts to moisturize the baby&rsquo;s skin and prevent diaper rash. </li>
  <li>These diapers are dermatologically tested.</li>
  <li>System: Belt </li>
  <li> Brand: Molfix </li>
  <li> Size: 4 Mini </li>
  <li> Allowable weight of baby 7-14 kg </li>
  <li> Quantity: 80 pieces</li>
</ul>",,,,,,
mshossainenterprise,Molfix Twin Maxi Belt 7-14 kg 40,Packet,1,molfix,babies-&-toys,diapers-and- potty,disposable-diapers,903,1210,0,,,,,,5,,,,100,1,,active,"<p>Molfix diapers produced with utmost care that gives babies full protection and keeps their sensitive skin dry and healthy.<br />
  The water-resistant barriers prevent leaks perfectly. The absorbent layer of diaper provides perfect dryness while the outer surface of the diaper protects the skin.</p>
<p>Product Type: Molfix Baby Diaper <strong>(Belt)</strong><br />
  Size             : 07 to 14 kg (04)<br />
  Quantity       : 40 pcs in a bag<br />
  Origin           : Turkey</p>
",,,,,,
mshossainenterprise,Molfix Super Advanced Pants Maxi 9-14 kg 76,Packet,1,molfix,babies-&-toys,diapers-and- potty,disposable-diapers,1690,2250,0,,,,,,5,,,,100,1,,active,"<ul>
  <li>Style: Pant</li>
  <li>Size: 9-14 Kg</li>
  <li>Quantity: 76 Pcs</li>
</ul>",,,,,,
