business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,status,enable_stock,current_stock,description,shipping_charge,image1,image2,image3,image4,image5,image6
farmroots,Farmroots Turmeric - Holud (Powder)-100gm,gram,100,farmroots,groceries,cooking-items,,59,0,,,,,"groceries,cooking-items",10,,4920,active,1,100,"<p>Product details of Farmroots Turmeric Powder - Holuder Gura 100gm FARMROOTS TURMERIC POWDER - 100 gm Turmeric powder which is rich in taste and full of health benefits include anti-inflammatory, boosts immune system, reduces joint pain, improve digestion. Our aromatic turmeric powder is the purest you'll find the country. Specifications of Farmroots Turmeric Powder - Holuder Gura 100gm Brand FARMROOTS SKU 128624121_BD-1048464357 Capacity 100gm Pack Size 1 Country of Origin Bangladesh Flavour Not Specified What&rsquo;s in the box Farmroots Turmeric - Holud (Powder) - 100gm</p>",,,,,,,
farmroots,Farmroots Turmeric - Holud (Powder)-200gm,gram,200,farmroots,groceries,cooking-items,,109,0,,,,,"groceries,cooking-items",10,,4920,active,1,100,"<p>Product details of Farmroots Turmeric Powder - Holuder Gura 200gm FARMROOTS TURMERIC POWDER - 200 gm Turmeric powder which is rich in taste and full of health benefits include anti-inflammatory, boosts immune system, reduces joint pain, improve digestion. Our aromatic turmeric powder is the purest you'll find the country. Specifications of Farmroots Turmeric Powder - Holuder Gura 200gm Brand FARMROOTS SKU 128628102_BD-1048464365 Capacity 200gm Pack Size 1 Country of Origin Bangladesh Flavour Not Specified</p>",,,,,,,
farmroots,Farmroots Turmeric - Holud (Powder)-500gm,gram,500,farmroots,groceries,cooking-items,,219,0,,,,,"groceries,cooking-items",10,,4920,active,1,100,"<p>Product details of Farmroots Turmeric Powder - Holuder Gura 500gm FARMROOTS TURMERIC POWDER - 500 gm Turmeric powder which is rich in taste and full of health benefits include anti-inflammatory, boosts immune system, reduces joint pain, improve digestion. Our aromatic turmeric powder is the purest you'll find the country. Specifications of Farmroots Turmeric Powder - Holuder Gura 500gm Brand FARMROOTS SKU 128618220_BD-1048460670 Capacity 500gm Pack Size 1 Country of Origin Bangladesh Flavour Not Specified What&rsquo;s in the box Farmroots Turmeric - Holud (Powder) - 500gm</p>",,,,,,,
farmroots,Farmroots Red Chilli - Lal Morich (Powder)-100gm,gram,100,farmroots,groceries,cooking-items,,69,0,,,,,"groceries,cooking-items",10,,4920,active,1,100,<p>Product details of Farmroots Chilli Powder - Moricher Gura - 100gm FARMROOTS CHILLI POWDER 100 gm Specifications of Farmroots Chilli Powder - Moricher Gura - 100gm Brand FARMROOTS SKU 128626070_BD-1048456729 Capacity 100gm Pack Size 1 Country of Origin Bangladesh Flavour Not Specified What&rsquo;s in the box Farmroots Red Chilli - Lal Morich (Powder) - 100gm</p>,,,,,,,
farmroots,Farmroots Red Chilli - Lal Morich (Powder)-200gm,gram,200,farmroots,groceries,cooking-items,,119,0,,,,,"groceries,cooking-items",10,,4920,active,1,100,<p>Product details of Farmroots Chilli Pwder - Moricher Gura - 200gm FARMROOTS CHILLI POWDER 200 gm Specifications of Farmroots Chilli Pwder - Moricher Gura - 200gm Brand FARMROOTS SKU 128624069_BD-1048462337 Capacity 200gm Pack Size 1 Country of Origin Bangladesh Flavour Not Specified What&rsquo;s in the box Farmroots Red Chilli - Lal Morich (Powder) - 200gm</p>,,,,,,,
farmroots,Farmroots Red Chilli - Lal Morich (Powder)-500gm,gram,500,farmroots,groceries,cooking-items,,249,0,,,,,"groceries,cooking-items",10,,4920,active,1,100,<p>Product details of Farmroots Chilli Pwder - Moricher Gura - 500gm FARMROOTS CHILLI POWDER - 500 gm Specifications of Farmroots Chilli Pwder - Moricher Gura - 500gm Brand FARMROOTS SKU 128626082_BD-1048464257 Capacity 500gm Pack Size 1 Country of Origin Bangladesh Flavour Not Specified What&rsquo;s in the box Farmroots Red Chilli - Lal Morich (Powder) - 500gm</p>,,,,,,,
farmroots,Farmroots Mustard Oil-250ml,gram,250,farmroots,groceries,cooking-items,,89,0,,,,,"groceries,cooking-items",10,,4920,active,1,100,"<p>Product details of Farmroots Mustard Oil - Shorishar Tel 250 ml Farmroots mustard oil is manufactured from the finest grade of indigenous mustard seeds &amp; purified using cold press method. Which is good for the heart, lightens skin &amp; helps in hair growth. Specifications of Farmroots Mustard Oil - Shorishar Tel 250 ml Brand FARMROOTS SKU 131444440_BD-1051592148 Capacity 250 ml Country of Origin Bangladesh What&rsquo;s in the box Farmroots Mustard Oil - Shorishar Tel 250 ml</p>",,,,,,,
farmroots,Farmroots Mustard Oil-500ml,gram,500,farmroots,groceries,cooking-items,,159,0,,,,,"groceries,cooking-items",10,,4920,active,1,100,"<p>Product details of Farmroots Mustard Oil - Shorishar Tel 250 ml Farmroots mustard oil is manufactured from the finest grade of indigenous mustard seeds &amp; purified using cold press method. Which is good for the heart, lightens skin &amp; helps in hair growth. Specifications of Farmroots Mustard Oil - Shorishar Tel 250 ml Brand FARMROOTS SKU 131444440_BD-1051592148 Capacity 250 ml Country of Origin Bangladesh What&rsquo;s in the box Farmroots Mustard Oil - Shorishar Tel 250 ml</p>",,,,,,,
farmroots,Farmroots Cinnamon - Daruchini (Whole)-50gm,gram,50,farmroots,groceries,cooking-items,,39,0,,,,,"groceries,cooking-items",10,,4920,active,1,100,<p>Product details of Farmroots Whole Cinnamon - Daruchini 50gm PRODUCT TYPE :Whole Cinnamon BRAND : FARMROOTS WEIGHT : 50gm PRODUCT OF BANGLADESH 100% PURE &amp; SAFE PREMIER QUALITY PRODUCT Asto Daruchini Darchini</p>,,,,,,,
farmroots,Farmroots Cinnamon - Daruchini (Whole)-100gm,gram,100,farmroots,groceries,cooking-items,,79,0,,,,,"groceries,cooking-items",10,,4920,active,1,100,<p>Product details of Farmroots Whole Cinnamon - Daruchini 100gm PRODUCT TYPE :Whole Cinnamon BRAND : FARMROOTS WEIGHT : 100gm PRODUCT OF BANGLADESH 100% PURE &amp; SAFE PREMIER QUALITY PRODUCT Cinnamon Darchini</p>,,,,,,,
