business,name,unit, per_unit_value , brand ,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,slug,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
innovativetrading,Multi-Purpose Cleaning Cloth  STS-9166-06P,Set,  1 ,proclean,groceries,homeandcleaning,,  54 ,  72 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
innovativetrading,Multi-Purpose Cleaning Cloth STS-9449-12P,Set,  1 ,proclean,groceries,homeandcleaning,,  90 ,  120 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
innovativetrading,REGULAR TOILET BRUSH TB-0681,Set,  1 ,proclean,groceries,homeandcleaning,,  281 ,  375 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
innovativetrading,REGULAR TOILET BRUSH - E-1206 TB-0742,Set,  1 ,proclean,groceries,homeandcleaning,,  263 ,  350 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
innovativetrading,REGULAR TOILET BRUSH - A-110 TB-0759,Set,  1 ,proclean,groceries,homeandcleaning,,  225 ,  300 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
innovativetrading,REGULAR TOILET BRUSH-F-5101 TB-0766,Set,  1 ,proclean,groceries,homeandcleaning,,  206 ,  275 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
innovativetrading,PREMIUM TOILET BRUSH -  E-1501 TB-0711,Set,  1 ,proclean,groceries,homeandcleaning,,  319 ,  425 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
innovativetrading,PREMIUM TOILET BRUSH - E-3016 TB-0704,Set,  1 ,proclean,groceries,homeandcleaning,,  431 ,  575 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
innovativetrading,SENSOR TRASH CAN ST-0667,Set,  1 ,proclean,groceries,homeandcleaning,,  3375 ,  4500 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
innovativetrading,BIG SCOURING PAD BS-0957,Piece,  3 ,proclean,groceries,homeandcleaning,,  75 ,  100 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
innovativetrading,BATH BRUSH BB-0964,Piece,  1 ,proclean,groceries,homeandcleaning,,  113 ,  150 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
innovativetrading,BATH SPONGE SET BS-0889,Piece,  1 ,proclean,groceries,homeandcleaning,,  135 ,  180 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
innovativetrading,GALVANIZED SCOURER GS-0988,Piece,  4 ,proclean,groceries,homeandcleaning,,  45 ,  60 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
innovativetrading,SLIVER GOLD SCOURER WITH HANDLE SS-0971,Piece,  4 ,proclean,groceries,homeandcleaning,,  98 ,  130 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
innovativetrading,FACE AND HANDTOWEL FT-9371,Piece,  5 ,proclean,groceries,homeandcleaning,,  203 ,  270 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
innovativetrading,MICROFIBER CLOTH MF-9791,Piece,  3 ,proclean,groceries,homeandcleaning,,  135 ,  180 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
innovativetrading,PREMIUM WIPING RAGS -WHITE-1KG PRC-9371,Kg,  1 ,proclean,groceries,homeandcleaning,,  188 ,  250 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
innovativetrading,PROCLEAN BROOM premium PB-0520,Piece,  1 ,proclean,groceries,homeandcleaning,,  113 ,  150 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
innovativetrading,PROCLEAN BROOM REGULAR PB-1015,Piece,  1 ,proclean,groceries,homeandcleaning,,  75 ,  100 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
innovativetrading,PROCLEAN MAGIC ERASER ME-0964,Piece,  1 ,proclean,groceries,homeandcleaning,,  38 ,  50 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
innovativetrading,REGULAR ROTARY MOP -RED RM-0032,Piece,  1 ,proclean,groceries,homeandcleaning,,  1496 ,  1995 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
innovativetrading,REGULAR ROTARY MOP -BLUE RM-0032,Piece,  1 ,proclean,groceries,homeandcleaning,,  1496 ,  1995 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
innovativetrading,PREMIUM ROTARY MOP -PEST RM-0568,Piece,  1 ,proclean,groceries,homeandcleaning,,  1721 ,  2295 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
innovativetrading,PREMIUM ROTARY MOP -PINK RM-0575,Piece,  1 ,proclean,groceries,homeandcleaning,,  1796 ,  2395 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
innovativetrading,PREMIUM ROTARY MOP -BLUE RM-0575,Piece,  1 ,proclean,groceries,homeandcleaning,,  1796 ,  2395 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
innovativetrading,PREMIUM ROTARY MOP-BROWN RM-0582,Piece,  1 ,proclean,groceries,homeandcleaning,,1721,  2295 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
innovativetrading,PREMIUM ROTARY MOP-BLUE RM-0582,Piece,  1 ,proclean,groceries,homeandcleaning,,1721,  2295 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
innovativetrading,PREMIUM ROTARY MOP- PURPLE RM-0582,Piece,  1 ,proclean,groceries,homeandcleaning,,1721,  2295 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
innovativetrading,PREMIUM ROTARY MOP-PEST RM-0834,Piece,  1 ,proclean,groceries,homeandcleaning,,2621,  3495 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
innovativetrading,PREMIUM ROTARY MOP-PURPLE RM-0834,Piece,  1 ,proclean,groceries,homeandcleaning,,2621,  3495 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
innovativetrading,REGULAR ROTARY MOP -RED RM-9586,Piece,  1 ,proclean,groceries,homeandcleaning,,971,  1295 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
innovativetrading,REGULAR ROTARY MOP -GREEN RM-9586,Piece,  1 ,proclean,groceries,homeandcleaning,,971,  1295 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
innovativetrading,REGULAR ROTARY MOP -BLACK RM-9586,Piece,  1 ,proclean,groceries,homeandcleaning,,971,  1295 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
innovativetrading,REGULAR ROTARY MOP -BLUE RM-9586,Piece,  1 ,proclean,groceries,homeandcleaning,,971,  1295 ,0,,,,,GroceriesLaundry & householdBreakfastBeveragesSnacks & instant foodsCooking ingredientsPerishable foodsMilk & dairy,5,,,,50,1,,active,,,,,,,
