business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,status,enable_stock,current_stock,description,shipping_charge,image1,image2,image3,image4,image5,image6
nestlébangladeshlimited,LACTOGEN Recovery,gram,180,nestlé,babies-&-toys,feeding,,,0,,,,,"babies-&-toys,feeding",5,,,active,1,100,"<h4>Product Description:</h4>
<ul>
<li>&nbsp;Product Type: LACTOGEN Recovery</li>
<li>Brand - Nestle</li>
<li>Weight - 180 gm</li>
<li>Baby Food</li>
</ul>",,,,,,,
nestlébangladeshlimited,LACTOGEN1 Tin,gram,400,nestlé,babies-&-toys,feeding,,,0,,,,,"babies-&-toys,feeding",5,,,active,1,100,"<div class=""title""><strong>Description</strong></div>
<div class=""full-description"">
<p><strong>Product details:</strong></p>
<p>Nestle Lactogen 1 Infant Formula with Iron 400gm Tin<br />Item code: 1500000001<br />Net weight: 400gm<br />For babies from birth to 6 months old.<br />Nestle Lactogen Stage 1 Starter Infant Formula 400g is a specially formulated with all the essential vitamins and minerals your growing bundle of joy needs.<br />Remember breastmilk is the best food for babies.</p>
</div>",,,,,,,
nestlébangladeshlimited,LACTOGEN2 Tin,gram,400,nestlé,babies-&-toys,feeding,,,0,,,,,"babies-&-toys,feeding",5,,,active,1,100,"<div class=""title"">
<div class=""title""><strong>Description</strong></div>
<div class=""full-description"">
<p><strong>Product details:</strong></p>
<p>Nestle Lactogen 2 Follow Up Infant Formula 400gm Tin<br />Item code: 1500000003<br />Net weight: 400gm<br />Ideal for age group: 6-360 days<br />Infant formula powder formula for infants after 6 months when they are not&nbsp;<g class=""gr_ gr_43 gr-alert gr_spell gr_inline_cards gr_run_anim ContextualSpelling ins-del"" id=""43"" data-gr-id=""43"">breast-fed</g>.<br />Remember breastmilk is the best food for babies.</p>
</div>
</div>",,,,,,,
nestlébangladeshlimited,LACTOGEN3 Tin,gram,400,nestlé,babies-&-toys,feeding,,,0,,,,,"babies-&-toys,feeding",5,,,active,1,100,"<p>Origin: India.<br />Within a year since birth, a baby usually weighs thrice as much as he/she did during birth.<br />To help in the infant&rsquo;s proper growth and development, the infant needs a supply of essential nutrients such as protein, calcium and Vitamin D.<br />Alongside these nutrients, LACTOGEN 3 Gentle Grow contains Iron, Zinc and other Vitamins that help in the development of a child&rsquo;s brain.<br />LACTOGEN 3 is a spray dried Infant Formula for infants from 12 months onwards when they are not breastfed.<br />Weight: 400gm.</p>",,,,,,,
nestlébangladeshlimited,LACTOGEN1 BIB,gram,350,nestlé,babies-&-toys,feeding,,,0,,,,,"babies-&-toys,feeding",5,,,active,1,100,"<ul>
<li>Origin: India.</li>
<li>In most cases, babies have difficulties falling asleep.</li>
<li>Sometimes they cry for a prolonged period without being able to communicate the reason.</li>
<li>Lactogen 1 Gentle Start contains L. reuteri, a probiotic culture naturally present in breast milk.</li>
<li>This helps to reduce colic-related conditions which in turn helps diminish a baby&rsquo;s excessive crying.</li>
<li>Lactogen 1 is a spray dried Infant Formula for infants from birth onwards when they are not breastfed.</li>
<li>Weight: 180gm.</li>
</ul>",,,,,,,
nestlébangladeshlimited,LACTOGEN2 BIB,gram,350,nestlé,babies-&-toys,feeding,,,0,,,,,"babies-&-toys,feeding",5,,,active,1,100,"<p><strong>Product details:</strong></p>
<p>Nestle Lactogen 2 Follow Up Formula with Iron BIB 350gm<br />Item code: 1500000007<br />Net weight: 350gm<br />Nestle Lactogen Stage 2 Follow-up Formula contains essential vitamins and minerals to help nourish your baby.<br /><g class=""gr_ gr_39 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar multiReplace"" id=""39"" data-gr-id=""39"">This&nbsp;<g class=""gr_ gr_40 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar multiReplace"" id=""40"" data-gr-id=""40"">products</g></g>&nbsp;is not intended to be used as a breastmilk substitute, as breastmilk remains the best you can do for your baby.<br />Suitable for babies from 6 to 12 months.</p>
<p><span class=""Apple-converted-space"">*Remember breastmilk is the best food for babies.</span></p>",,,,,,,
nestlébangladeshlimited,LACTOGEN3 BIB,gram,350,nestlé,babies-&-toys,feeding,,,0,,,,,"babies-&-toys,feeding",5,,,active,1,100,"<p><strong>Product details:</strong></p>
<p>Nestl&eacute; LACTOGEN 3 Follow Up Formula 12th month Plus BIB 350gm<br />Item code: 1500000008<br />Net weight: 350gm<br />Lactogen 3 is a spray dried infant formula for infants after 12 months when they are not breastfed.</p>
<p><span class=""Apple-converted-space"">*Remember breastmilk is the best food for babies.</span></p>",,,,,,,
nestlébangladeshlimited,LACTOGEN-4 BIB,gram,350,nestlé,babies-&-toys,feeding,,,0,,,,,"babies-&-toys,feeding",5,,,active,1,100,"<h2>Description</h2>
<p>This Nestl&eacute; Lactogen 4 Infant Formula Milk Powder will support your baby&rsquo;s good health, growth and happiness during early childhood.</p>
<ul>
<li>Prepared with essential vitamins and minerals</li>
<li>It is a follow-up formula milk powder for 2 to 5 years old pre-school babies</li>
<li>Contains: L. re-uteri, a healthy probiotic culture, originating from a strain naturally occurring in human breast milk. B vitamins, essential micronutrients may help normal and efficient metabolism. DHA may help in brain and vision development.</li>
<li>Developed by combining blend of ingredients with unique process</li>
<li>Storage instructions: Follow instructions on the pack</li>
<li>Support your baby to grow in body and mind</li>
<li>Important Notice: There are no substitutes of or equivalent to breast-milk</li>
</ul>",,,,,,,
nestlébangladeshlimited,CERELAC BIB-W-3Fruits,gram,400,nestlé,babies-&-toys,feeding,,,0,,,,,"babies-&-toys,feeding",5,,,active,1,100,"<h4>Product Description:</h4>
<ul>
<li>Product Type: CERELAC BIB-W-3Fruits</li>
<li>Brand - Nestle</li>
<li>Weight - 400 gm</li>
<li>Baby Food</li>
</ul>",,,,,,,
nestlébangladeshlimited,CERELAC BIB-Wheat & Milk,gram,400,nestlé,babies-&-toys,feeding,,,0,,,,,"babies-&-toys,feeding",5,,,active,1,100,"<div class=""title""><strong>Description</strong></div>
<div class=""full-description"">
<p><strong>Product details:</strong></p>
<p>Cerelac BIB Wheat &amp; Milk 400gm<br />Item code: 1500000009<br />Net weight: 400gm<br />It is a fortified baby cereal with milk.<br />Each serve of&nbsp;<g class=""gr_ gr_38 gr-alert gr_spell gr_inline_cards gr_run_anim ContextualSpelling ins-del"" id=""38"" data-gr-id=""38"">Cerelac</g>&nbsp;provides the goodness of cereal with 18 important nutrients.<br />Important Notice<g class=""gr_ gr_49 gr-alert gr_gramm gr_inline_cards gr_run_anim Style replaceWithoutSep"" id=""49"" data-gr-id=""49"">:Mother's</g>&nbsp;milk is best for your baby.<br />It is free from added artificial&nbsp;<g class=""gr_ gr_51 gr-alert gr_spell gr_inline_cards gr_run_anim ContextualSpelling multiReplace"" id=""51"" data-gr-id=""51"">colours</g>,&nbsp;<g class=""gr_ gr_52 gr-alert gr_spell gr_inline_cards gr_run_anim ContextualSpelling multiReplace"" id=""52"" data-gr-id=""52"">flavours</g>&nbsp;<g class=""gr_ gr_50 gr-alert gr_gramm gr_inline_cards gr_run_anim Punctuation only-ins replaceWithoutSep"" id=""50"" data-gr-id=""50"">and</g>&nbsp;preservatives.</p>
<p><span class=""Apple-converted-space"">*Remember breastmilk is the best food for babies.</span></p>
</div>",,,,,,,
