,name,unit,per_unit_value,brand,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,slug,sku,delivery_time,status,enable_stock,current_stock,description,shipping_charge,image1,image2,image3,image4,image5,image6
sevendaysnotes,Starry Night Notebook SN201903104,Piece,1,deshi-bazaar-book's-collections,home-&-decor,home-&-decor,,100,120,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Night Café Notebook SN201909119,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,100,120,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Wheatfield with Crows Notebook SN201903105,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,100,120,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Starry Night & Wheatfield with Crows Notebook ,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,199,240,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Starry Night & Night Café Notebook SN201903104 & SN201909119,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,199,240,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Night Café & Wheatfield with Crows Notebook ,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,199,240,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Van Gogh Series Starry Night Night Café & Wheatfield with Crows Notebook ,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,299,360,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Happy Birthday Notebook ,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,100,120,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Happy Birthday Notebook with Trendy Badge SN20191211,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,125,150,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Dhaka Notebook SN202008122,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,100,120,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Dhaka Notebook with Badge SN202008122,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,125,150,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Ronge Vora Baishakh Notebook ,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,100,120,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Shuvo Nabobarsho Mukhosh Notebook,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,100,120,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Shuvo Noboborsho Red Colour Notebook ,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,83,100,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
