business,name,unit, per_unit_value , brand ,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,slug,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
abelectronics,AH-A18SED Split AC 1.5 Ton White,Piece,1,sharp,home-appliances,cooling-&-heating,,53125,62500,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,8,1,,active,,,,,,,
abelectronics,AH-A9LET (1.0 TON) Split AC 1 Ton White,Piece,1,sharp,home-appliances,cooling-&-heating,,39313,46250,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,10,1,,active,,,,,,,
abelectronics,AH-XP12WMT Inverter Split AC 1.0 Ton White,Piece,1,sharp,home-appliances,cooling-&-heating,,53125,62500,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,45,1,,active,,,,,,,
abelectronics,AH-XP18WMT Inverter Split AC 1.5 Ton White,Piece,1,sharp,home-appliances,cooling-&-heating,,71188,83750,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,85,1,,active,,,,,,,
abelectronics,AH-XP22WMT Inverter Split AC 2.0 Ton White,Piece,1,sharp,home-appliances,cooling-&-heating,,76500,90000,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,44,1,,active,,,,,,,
abelectronics,AXGT-18FHTC-B Window AC 1.5 Ton White,Piece,1,general,home-appliances,cooling-&-heating,,45688,53750,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,25,1,,active,,,,,,,
abelectronics,AXGT-24FHTA Window AC 2 Ton White,Piece,1,general,home-appliances,cooling-&-heating,,5313,6250,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,10,1,,active,,,,,,,
abelectronics,ASH12USCCW Split AC 1 Ton White,Piece,1,general,home-appliances,cooling-&-heating,,47813,56250,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,100,1,,active,,,,,,,
abelectronics,ASGA-24FMTB-AOGA24FMTBH Split AC 2 Ton White,Piece,1,general,home-appliances,cooling-&-heating,,77563,91250,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,45,1,,active,,,,,,,
abelectronics,BT-1209 Beard Trimmer,Piece,1,philips,fashion,mens-fashion,,2805,3300,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,15,1,,active,,,,,,,
abelectronics,BT-1214-15 Beard Trimmer Black,Piece,1,philips,fashion,mens-fashion,,3570,4200,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,10,1,,active,,,,,,,
abelectronics,BT-3206-14 Beard Trimmer,Piece,1,philips,fashion,mens-fashion,,4080,4800,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,20,1,,active,,,,,,,
abelectronics,BT-3216-14 Beard Trimmer,Piece,1,philips,fashion,mens-fashion,,4463,5250,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,10,1,,active,,,,,,,
abelectronics,HP-8108 Hair Dryer Pink,Piece,1,philips,health-and-beauty-1,hair-care,,1403,1650,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,150,1,,active,,,,,,,
abelectronics,BHC-010 Electric Hair Dryer Black,Piece,1,philips,health-and-beauty-1,hair-care,,1785,2100,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,35,1,,active,,,,,,,
abelectronics,BHC-015-05 Hair Dryer,Piece,1,philips,health-and-beauty-1,hair-care,,1913,2250,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,145,1,,active,,,,,,,
abelectronics,BHD-029-00 Efficient Hair Dryer,Piece,1,philips,health-and-beauty-1,hair-care,,3188,3750,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,20,1,,active,,,,,,,
abelectronics,BHD-300-10 Hair Dryer,Piece,1,philips,health-and-beauty-1,hair-care,,3570,4200,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,10,1,,active,,,,,,,
abelectronics,BHD-340-10 Hair Dryer,Piece,1,philips,health-and-beauty-1,hair-care,,3443,4050,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,30,1,,active,,,,,,,
abelectronics,BHD-350-10 Hair Dryer,Piece,1,philips,health-and-beauty-1,hair-care,,5100,6000,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,12,1,,active,,,,,,,
abelectronics,BHD-360-20 Hair Dryer,Piece,1,philips,health-and-beauty-1,hair-care,,5483,6450,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,14,1,,active,,,,,,,
abelectronics,GC-484-39 Garment Steamer,Piece,1,philips,home-appliances,Irons & Garment Steamers,,8925,10500,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,20,1,,active,,,,,,,
abelectronics,GC-486-39 Easy Touch Garment Steamer,Piece,1,philips,home-appliances,Irons & Garment Steamers,,10838,12750,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,12,1,,active,,,,,,,
abelectronics,GC-488-69 Easy Touch Garment Steamer,Piece,1,philips,home-appliances,Irons & Garment Steamers,,14025,16500,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,12,1,,active,,,,,,,
abelectronics,GC-558 Garment Steamer,Piece,1,philips,home-appliances,Irons & Garment Steamers,,15300,18000,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,18,1,,active,,,,,,,
abelectronics,HR-3705-00 Hand Mixer White,Set,1,philips,home-appliances,Small-Kitchen-Appliances,,3570,4200,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,50,1,,active,,,,,,,
abelectronics,MX-AC300WUA 3in1 Mixer-Grinder 2 L White,Set,1,panasonic,home-appliances,Small-Kitchen-Appliances,,9563,11250,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,22,1,,active,,,,,,,
abelectronics,MX-AC400WUA 4in1 Mixer-Grinder 1L White,Set,1,panasonic,home-appliances,Small-Kitchen-Appliances,,10965,12900,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,28,1,,active,,,,,,,
abelectronics,MX-AC555STZ Mixer Grinder,Set,1,panasonic,home-appliances,Small-Kitchen-Appliances,,12750,15000,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,10,1,,active,,,,,,,
abelectronics,Canca ABH-150 Electric Room Heater 1500W White,Piece,1,un-categorized,home-appliances,cooling-&-heating,,2500,29500,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,1000,1,,active,,,,,,,
abelectronics,EO-35K3 Electric Oven 35L Black,Piece,1,sharp,home-appliances,large-appliances,,8400,9500,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,100,1,,active,,,,,,,
abelectronics,EO-42K3 Electric Oven 42L Black,Piece,1,sharp,home-appliances,large-appliances,,9000,10999,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,100,1,,active,,,,,,,
studiomasonltd.,COMBO LOGITECH WIRELESS MK220,Set,1,logitech,electronic-accessori,computer-accessories,computers,1600,1900,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,100,1,,active,,,,,,,
studiomasonltd.,COMBO LOGITECH WIRELESS MK235,Set,1,logitech,electronic-accessori,computer-accessories,computers,1800,2200,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,100,1,,active,,,,,,,
studiomasonltd.,COMBO LOGITECH WIRELESS MK240 BLACK,Set,1,logitech,electronic-accessori,computer-accessories,computers,2100,2500,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,100,1,,active,,,,,,,
studiomasonltd.,COMBO LOGITECH WIRELESS MK345,Set,1,logitech,electronic-accessori,computer-accessories,computers,2700,3300,0,,,,,"Electronic accessories,Mobile accessories,Audio,Tv & home appliances,Televisions,Home audio,Tv accessories & video device,Large appliances,Small kitchen appliances,Cooling & heating",5,,,,100,1,,active,,,,,,,
