business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
ahmedfoodproducts(pvt.)ltd.,Sugar Free Apple Jelly 200 gm,Piece,1,ahmed,groceries,breakfast,,95,0,,,,,"Groceries,Laundry & household,Breakfast, choco & snacks,Beverages,Snacks & instant foods,Cooking ingredients,Perishable foods,Milk & dairy",5,,,500,1,,active,"<p>Made with fresh Apple Juice, Sorbitol (E-420i), Sweetener (E-951), Pectin (E-440), Water, Citric Acid (E-330), Sodium Benzoate (E-211), Permitted Food Color (Allura Red AC E-129 &amp; Sunset Yellow FCF E-110) &amp; Natural Apple Flavour.</p>",,,,,,
ahmedfoodproducts(pvt.)ltd.,Sugar Free Apple Jelly 375 gm,Piece,1,ahmed,groceries,breakfast,,180,0,,,,,"Groceries,Laundry & household,Breakfast, choco & snacks,Beverages,Snacks & instant foods,Cooking ingredients,Perishable foods,Milk & dairy",5,,,500,1,,active,"<p>Made with fresh Apple Juice, Sorbitol (E-420i), Sweetener (E-951), Pectin (E-440), Water, Citric Acid (E-330), Sodium Benzoate (E-211), Permitted Food Color (Allura Red AC E-129 &amp; Sunset Yellow FCF E-110) &amp; Natural Apple Flavour.</p>",,,,,,
ahmedfoodproducts(pvt.)ltd.,Sugar Free Guava Jelly 200gm,Piece,1,ahmed,groceries,breakfast,,95,0,,,,,"Groceries,Laundry & household,Breakfast, choco & snacks,Beverages,Snacks & instant foods,Cooking ingredients,Perishable foods,Milk & dairy",5,,,500,1,,active,"<p>Organic floured. Contain no Preservatives. prepared from fresh fruits picked up from own gardens There are one portion of fruite in every 150ml. have no excess sweeteners. This is our most popular recipe no peel no bits,just the smoothest &amp; testiest we have ever made in a smart carafe we hope it will brighten up your breakfast.</p>",,,,,,
ahmedfoodproducts(pvt.)ltd.,Sugar Free Guava Jelly 375gm,Piece,1,ahmed,groceries,breakfast,,180,0,,,,,"Groceries,Laundry & household,Breakfast, choco & snacks,Beverages,Snacks & instant foods,Cooking ingredients,Perishable foods,Milk & dairy",5,,,500,1,,active,"<p>Organic floured. Contain no Preservatives. prepared from fresh fruits picked up from own gardens There are one portion of fruite in every 150ml. have no excess sweeteners. This is our most popular recipe no peel no bits,just the smoothest &amp; testiest we have ever made in a smart carafe we hope it will brighten up your breakfast.</p>",,,,,,
ahmedfoodproducts(pvt.)ltd.,Sugar Free Orange Jelly 200gm,Piece,1,ahmed,groceries,breakfast,,95,0,,,,,"Groceries,Laundry & household,Breakfast, choco & snacks,Beverages,Snacks & instant foods,Cooking ingredients,Perishable foods,Milk & dairy",5,,,500,1,,active,"<p>Made with fresh Orange Juice, Sorbitol (E-420i), Sweetener (E-951), Pectin (E-440), Water, Citric Acid (E-330), Sodium Benzoate (E-211), Permitted Food Color (Sunset Yellow FCF E-110) &amp; Natural Orange Flavour.</p>",,,,,,
ahmedfoodproducts(pvt.)ltd.,SugarFree Orange Jelly 375 gm,Piece,1,ahmed,groceries,breakfast,,180,0,,,,,"Groceries,Laundry & household,Breakfast, choco & snacks,Beverages,Snacks & instant foods,Cooking ingredients,Perishable foods,Milk & dairy",5,,,500,1,,active,"<p>Made with fresh Orange Juice, Sorbitol (E-420i), Sweetener (E-951), Pectin (E-440), Water, Citric Acid (E-330), Sodium Benzoate (E-211), Permitted Food Color (Sunset Yellow FCF E-110) &amp; Natural Orange Flavour.</p>",,,,,,
ahmedfoodproducts(pvt.)ltd.,Sugar Free Mixed Fruit Jelly 375 gm,Piece,1,ahmed,groceries,breakfast,,180,0,,,,,"Groceries,Laundry & household,Breakfast, choco & snacks,Beverages,Snacks & instant foods,Cooking ingredients,Perishable foods,Milk & dairy",5,,,500,1,,active,"<p>Made with fresh Apple juice, Orange juice, Guava juice, Pineapple juice, Carrot juice, Papaya juice, Sorbitol (E-420i), Sweetener (E-951), Pectin (E-440), Water, Citric Acid (E-330), Sodium Benzoate (E-211), Permitted Food Color (Allura Red AC E-129 &amp; Sunset Yellow FCF E-110) &amp; Natural Mixed Fruit Flavour.</p>",,,,,,
ahmedfoodproducts(pvt.)ltd.,Ahmed Guava Jelly 500 gm,Piece,1,ahmed,groceries,breakfast,,135,0,,,,,"Groceries,Laundry & household,Breakfast, choco & snacks,Beverages,Snacks & instant foods,Cooking ingredients,Perishable foods,Milk & dairy",5,,,500,1,,active,"<p>Product Type: Jelly Organic floured Contain no Preservatives prepared from fresh fruits picked up from own gardens There are one portion of fruit in every 150ml Have no excess sweeteners This is most popular recipe of Ahmed Food,no peel no bits,just the smoothest &amp; testiest we have ever made in a smart carafe we hope it will brighten up your breakfast</p>",,,,,,
ahmedfoodproducts(pvt.)ltd.,Ahmed Orange Jelly 200 gm,Piece,1,ahmed,groceries,breakfast,,60,0,,,,,"Groceries,Laundry & household,Breakfast, choco & snacks,Beverages,Snacks & instant foods,Cooking ingredients,Perishable foods,Milk & dairy",5,,,500,1,,active,"<p>Made with fresh Orange Juice,Pectin (E-440), Water, Sugar, Citric Acid (E-330), Sodium Benzoate (E-211), Permitted Food Color (Sunset Yellow FCF e-110) &amp; Natural Orange Flavour.</p>",,,,,,
ahmedfoodproducts(pvt.)ltd.,Ahmed Orange Jelly 250 gm,Piece,1,ahmed,groceries,breakfast,,75,0,,,,,"Groceries,Laundry & household,Breakfast, choco & snacks,Beverages,Snacks & instant foods,Cooking ingredients,Perishable foods,Milk & dairy",5,,,500,1,,active,"<p>Made with fresh Orange Juice,Pectin (E-440), Water, Sugar, Citric Acid (E-330), Sodium Benzoate (E-211), Permitted Food Color (Sunset Yellow FCF e-110) &amp; Natural Orange Flavour.</p>",,,,,,
