business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,slug,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
partexbeverageltd,RC Lemon (1ltr),Piece,12,rc,groceries,beverages,soft-drinks,530,600,0,,,,,,5,,,,50,1,,active,"<p>Product Type:Soft Drinks  </p>
<p>RC Lemon-1000ml  </p>
<p>Brand:RC  </p>
<p>Net weight:1000ml</p>",,,,,,
partexbeverageltd,RC Upper -10 (1ltr),Piece,12,rc,groceries,beverages,soft-drinks,440,540,0,,,,,,5,,,,50,1,,active,"<ul>
  <li>Brand: Upper-10</li>
  <li>Product Type: Lime Soft Drinks</li>
  <li>Size: 1000ml</li>
  <li>Caffeine-free drink lemon-lime soft drink</li>
  <li>Mind Refreshing Drink</li>
  <li>Refreshing Soft Drink</li>
</ul>",,,,,,
partexbeverageltd,RC Orange (1ltr),Piece,6,rc,groceries,beverages,soft-drinks,225,300,0,,,,,,5,,,,50,1,,active,"<ul>
  <li>Brand: RC Orange</li>
  <li>Product Type: Soft Drinks</li>
  <li>Size: 1ltr</li>
  <li>Mind Refreshing Drink</li>
  <li>Refreshing Soft Drink</li>
</ul>",,,,,,
partexbeverageltd,RC Cola-10 2 Ltr,Piece,6,rc,groceries,beverages,soft-drinks,350,420,0,,,,,,5,,,,50,1,,active,"<table border=""0"" cellspacing=""0"" cellpadding=""2"">
  <tbody>
    <tr>
      <td colspan=""3"" bgcolor=""DFDFDF"">RC Cola 2 Liter</td>
    </tr>
    <tr bgcolor=""CCCCCC"">
      <td>Size</td>
      <td></td>
      <td>Color</td>
      <td colspan=""2"" align=""left"">Weight</td>
    </tr>
  </tbody>
</table>",,,,,,
partexbeverageltd,RC  Club Soda 500ml,Piece,24,rc,groceries,beverages,soft-drinks,610,720,0,,,,,,5,,,,50,1,,active,"<p>Royal Crown Club Soda 500ml<br />
  Brand: Olympic Industries LTD.<br />
Net weight: 500ml</p>",,,,,,
nafisfood,Premium Almond 100gm,Piece,1,nafis-food,groceries,snacks-and-instant-food,popcorn-and-nuts,98,130,0,,,,,,5,,,,50,1,,active,"<ul>
  <li>Product: Almond</li>
  <li>Net Weight: 100gm</li>
  <li>Brand: Nafis Food</li>
  <li>Origin: USA</li>
  <li>Premium Quality</li>
  <li>Pure &amp; Fresh</li>
  <li>Delicious</li>
  <li>Ready to use</li>
</ul>",,,,,,
nafisfood,Premium Almond 250gm,Piece,2,nafis-food,groceries,snacks-and-instant-food,popcorn-and-nuts,238,310,0,,,,,,5,,,,50,1,,active,"<ul>
  <li>Premium Almond 250gm.</li>
  <li>Product Type: Almond.</li>
  <li>Weight: 250gm.</li>
  <li>Pure &amp; Fresh &amp; Delicious.</li>
  <li>Premium quality product.</li>
</ul>",,,,,,
nafisfood,Premium Almond 500gm,Piece,3,nafis-food,groceries,snacks-and-instant-food,popcorn-and-nuts,426,550,0,,,,,,5,,,,50,1,,active,"<ul>
  <li>Organic Premium Almond - 500gm.</li>
  <li>Product Name: Almond.</li>
  <li>Net Weight: 500gm.</li>
  <li>Origin: USA.</li>
  <li>Premium Quality.</li>
  <li>Pure &amp; Fresh.</li>
  <li>Delicious.</li>
  <li>Organic.</li>
  <li>Ready to use.</li>
  <li>It helps to improve hair, skin, and brain.</li>
</ul>",,,,,,
nafisfood,Premium Almond 1kg,Piece,4,nafis-food,groceries,snacks-and-instant-food,popcorn-and-nuts,754,950,0,,,,,,5,,,,50,1,,active,"<p>Brand: Nafis Food</p>
<p>Weight: 1kg</p>
<p>Flavour: Almond</p>",,,,,,
nafisfood,Premium Cashew Nuts 100gm,Piece,5,nafis-food,groceries,snacks-and-instant-food,popcorn-and-nuts,123,170,0,,,,,,5,,,,50,1,,active,"<ul>
  <li>Premium Grade Cashew Nut (Kaju Badam) - 100gm.</li>
  <li>Product Type: Cashew Nut.</li>
  <li>Weight: 100gm.</li>
  <li>A premiqum quality product.</li>
  <li>Adulterated free.</li>
</ul>",,,,,,
nafisfood,Premium Cashew Nuts 250gm,Piece,6,nafis-food,groceries,snacks-and-instant-food,popcorn-and-nuts,295,410,0,,,,,,5,,,,50,1,,active,"<ul>
  <li>Product Types:Cashew Nut</li>
  <li>Weight: 250gm</li>
  <li>Highest quality guaranteed</li>
  <li>All thing buy at wholesale price</li>
  <li>Pure and Fresh</li>
  <li>Good for your healthy life</li>
</ul>
<p>Cashew nuts will keep your heart healthy. In fact, almonds are cholesterol free. So when you eat it, your heart will be fresh. Almonds contain a lot of calcium, potassium and magnesium. So your body bones will be better</p>",,,,,,
nafisfood,Premium Cashew Nuts 500gm,Piece,7,nafis-food,groceries,snacks-and-instant-food,popcorn-and-nuts,574,750,0,,,,,,5,,,,50,1,,active,"<ul>
  <li>Premium Quality Cashew Nuts - 500gm.</li>
  <li>Product Name: Cashew Nuts.</li>
  <li>Net Weight: 500gm.</li>
  <li>Brand: Nafis Food.</li>
  <li>Origin: Vietnam.</li>
  <li>Premium Quality.</li>
  <li>Pure &amp; Fresh.</li>
  <li>Delicious.</li>
  <li>Organic.</li>
  <li>Ready to use.</li>
  <li>It helps to improve hair, skin, and brain.</li>
</ul>",,,,,,
nafisfood,Premium Cashew Nuts 1kg,Piece,8,nafis-food,groceries,snacks-and-instant-food,popcorn-and-nuts,1066,1350,0,,,,,,5,,,,50,1,,active,"<ul>
  <li data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.f37dR532R532gW"">Cashew Nut</li>
  <li>কাজুবাদাম আস্ত.</li>
  <li>Weight: 1 kg</li>
  <li>Premium Quality.</li>
  <li>Good quality Product.</li>
</ul>",,,,,,
nafisfood,Premium Salted Cashew Nuts 100gm,Piece,9,nafis-food,groceries,snacks-and-instant-food,popcorn-and-nuts,139,190,0,,,,,,5,,,,50,1,,active,"<ul>
  <li>Product Type: Salted cashew nut.</li>
  <li>Pure &amp; Fresh.</li>
  <li>Delicious.</li>
  <li>Ready to use.</li>
  <li>Net weight: 100 gm.</li>
  <li>Use it with sweet dishes.</li>
  <li>Premium quality.</li>
  <li>Taste is Salted.</li>
</ul>",,,,,,
nafisfood,Premium Salted Cashew Nuts 250gm,Piece,10,nafis-food,groceries,snacks-and-instant-food,popcorn-and-nuts,340,450,0,,,,,,5,,,,50,1,,active,"<ul>
  <li>Product Types:Cashew Nut</li>
  <li>Weight: 250gm</li>
  <li>Highest quality guaranteed</li>
  <li>All thing buy at wholesale price</li>
  <li>Pure and Fresh</li>
  <li>Good for your healthy life</li>
</ul>
<p>Cashew nuts will keep your heart healthy. In fact, almonds are cholesterol free. So when you eat it, your heart will be fresh. Almonds contain a lot of calcium, potassium and magnesium. So your body bones will be better</p>",,,,,,
nafisfood,Premium Salted Cashew Nuts 500gm,Piece,11,nafis-food,groceries,snacks-and-instant-food,popcorn-and-nuts,648,850,0,,,,,,5,,,,50,1,,active,"<ul>
  <li>Premium Quality Salted Cashew Nuts - 500gm.</li>
  <li>Product Name: Salted Cashew Nuts.</li>
  <li>Net Weight: 500gm.</li>
  <li>Brand: Nafis Food.</li>
  <li>Origin: South Africa.</li>
  <li>Premium Quality.</li>
  <li>Pure &amp; Fresh.</li>
  <li>Delicious.</li>
  <li>Organic.</li>
  <li>It helps to improve hair, skin, and brain.</li>
</ul>",,,,,,
nafisfood,Premium Salted Cashew Nuts 1kg,Piece,12,nafis-food,groceries,snacks-and-instant-food,popcorn-and-nuts,1230,1550,0,,,,,,5,,,,50,1,,active,"<ul>
  <li>Product Types:Cashew Nut</li>
  <li>Weight:1kg</li>
  <li>Highest quality guaranteed</li>
  <li>All thing buy at wholesale price</li>
  <li>Pure and Fresh</li>
  <li>Good for your healthy life</li>
</ul>
<p>Cashew nuts will keep your heart healthy. In fact, almonds are cholesterol free. So when you eat it, your heart will be fresh. Almonds contain a lot of calcium, potassium and magnesium. So your body bones will be better</p>",,,,,,
nafisfood,Premium Roasted Peanuts 100gm,Piece,13,nafis-food,groceries,snacks-and-instant-food,popcorn-and-nuts,66,100,0,,,,,,5,,,,50,1,,active,"<ul>
  <li>Premium Roasted Peanuts 100g - RP003.</li>
  <li>Brand: Nafis Food.</li>
  <li>Net Weight: 100g.</li>
  <li>Origin: Bangladesh.</li>
  <li>Premium Quality.</li>
  <li>Pure &amp; Fresh.</li>
  <li>Organic &amp; Delicious.</li>
  <li>It helps to improve hair, skin, brain and sexuality.</li>
</ul>",,,,,,
nafisfood,Premium Roasted Peanuts 150gm,Piece,14,nafis-food,groceries,snacks-and-instant-food,popcorn-and-nuts,90,125,0,,,,,,5,,,,50,1,,active,"<div>
  <ul>
    <li>Product Name: Roasted Peanuts</li>
    <li>Net Weight: 150g</li>
    <li>Brand: Nafis Food</li>
    <li>Origin: Bangladesh</li>
    <li>Premium Quality</li>
    <li>Pure &amp; Fresh</li>
    <li>Delicious</li>
    <li>Organic</li>
    <li>Ready to use</li>
    <li>It is helps to improve hair, skin, brain and sexuality</li>
  </ul>
</div>",,,,,,
nafisfood,Premium Roasted Peanuts 300gm,Piece,15,nafis-food,groceries,snacks-and-instant-food,popcorn-and-nuts,164,230,0,,,,,,5,,,,50,1,,active,"<ul>
  <li>Roasted Peanuts 300gm.</li>
  <li>Product Type: Roasted Peanuts.</li>
  <li>Net Weight: 300gm.</li>
  <li>Origin: Bangladesh.</li>
  <li>Premium quality.</li>
  <li>Pure &amp; fresh.</li>
  <li>Organic.</li>
  <li>It helps to improve hair, skin, brain.</li>
</ul>",,,,,,
nafisfood,Premium Roasted Salted Peanuts 100gm,Piece,16,nafis-food,groceries,snacks-and-instant-food,popcorn-and-nuts,74,110,0,,,,,,5,,,,50,1,,active,"<ul>
  <li>Premium Roasted Salted Peanuts 100g - RSP003.</li>
  <li>Brand: Nafis Food.</li>
  <li>Net Weight: 100g</li>
  <li>Origin: Bangladesh.</li>
  <li>Premium Quality.</li>
  <li>Pure &amp; Fresh.</li>
  <li>Organic &amp; Delicious.</li>
  <li>It helps to improve hair, skin, brain and sexuality.</li>
</ul>",,,,,,
nafisfood,Premium Roasted Salted Peanuts 150gm,Piece,17,nafis-food,groceries,snacks-and-instant-food,popcorn-and-nuts,103,135,0,,,,,,5,,,,50,1,,active,"<ul>
  <li>Roasted Salted Peanuts 150gm.</li>
  <li>Product Type: Roasted Salted Peanuts.</li>
  <li>Net Weight: 150gm.</li>
  <li>Origin: Bangladesh.</li>
  <li>Premium quality.</li>
  <li>Pure &amp; fresh.</li>
  <li>Organic.</li>
  <li>It helps to improve hair, skin, brain.</li>
</ul>",,,,,,
nafisfood,Premium Roasted Salted Peanuts 300gm,Piece,18,nafis-food,groceries,snacks-and-instant-food,popcorn-and-nuts,189,250,0,,,,,,5,,,,50,1,,active,"<ul>
  <li>Premium Roasted Salted Peanuts 300gm - RSP002.</li>
  <li>Product Type: Peanuts.</li>
  <li>Brand: Nafis Food.</li>
  <li>Weight: 300gm.</li>
  <li>Premium Quality.</li>
  <li>Pure &amp; Fresh.</li>
  <li>Ready to use.</li>
  <li>It is helps to improve hair, skin, brain and sexuality etc.</li>
  <li>Origin: Bangladesh.</li>
</ul>",,,,,,
nafisfood,Peanut Butter (Creamy) 100gm,Piece,19,nafis-food,groceries,cooking-items,ghee,74,100,0,,,,,,5,,,,50,1,,active,"<ul>
  <li>Brand: Nafis Food.</li>
  <li>Net Weight: 100g.</li>
  <li>Flavor: Creamy.</li>
  <li>Premium Quality.</li>
  <li>Pure &amp; Fresh &amp; Delicious.</li>
  <li>Halal &amp; Healthy.</li>
  <li>Ready to Eat and Use.</li>
  <li>Made with 100% Roasted Peanuts.</li>
  <li>High in Protein, Gluten Free, Low Sodium.</li>
  <li>Store in a Cool, Dry &amp; Hygienic Place.</li>
  <li>No Preservatives.</li>
</ul>",,,,,,
nafisfood,Peanut Butter (Creamy) 215gm,Piece,20,nafis-food,groceries,cooking-items,ghee,148,210,0,,,,,,5,,,,50,1,,active,"<div>
  <div>
    <div>
      <p>Nafis Food is selling premium quality Peanut Butter (Creamy). It is made with 100% Roasted Peanuts. You can use it as a dip or spreading onto waffles or toast. This Peanut Butter is choice for you. Every bite of roasted peanut flavor will leave you longing for more. Made without any preservatives. It can be enjoyed straight from the jar, on top of your favorite ice creams and frozen yogurts, or as a base for your baking ideas. Whichever way you choose to have it, we&rsquo;re sure you will love the smooth taste of this classic.</p>
    </div>
  </div>
</div>
<div></div>
<div></div>
<br />",,,,,,
nafisfood,Peanut Butter (Creamy) 450gm,Piece,21,nafis-food,groceries,cooking-items,ghee,295,420,0,,,,,,5,,,,50,1,,active,"<ul>
  <li>Brand: Nafis Food.</li>
  <li>Net Weight: 450gm.</li>
  <li>Flavor: Creamy.</li>
  <li>Premium Quality.</li>
  <li>Pure &amp; Fresh &amp; Delicious.</li>
  <li>Halal &amp; Healthy.</li>
  <li>Ready to Eat and Use.</li>
  <li>Made with 100% Roasted Peanuts.</li>
  <li>High in Protein, Gluten Free, Low Sodium.</li>
  <li>Store in a Cool, Dry &amp; Hygienic Place.</li>
  <li>No Preservatives.</li>
</ul>",,,,,,
nafisfood,Peanut Butter (Crunchy) 100gm,Piece,22,nafis-food,groceries,cooking-items,ghee,78,110,0,,,,,,5,,,,50,1,,active,"<ul>
  <li>Brand: Nafis Food</li>
  <li>Product Type: Butter Crunchy.</li>
  <li>Weight: 100 gm.</li>
  <li>Flavor: Crunchy</li>
  <li>Pure, Fresh &amp; Delicious.</li>
  <li>Healthy &amp; Halal.</li>
  <li>Made with 100% Roasted Peanuts.</li>
  <li>High in Protein, Gluten Free, Low Sodium.</li>
  <li>Store in a Cool, Dry &amp; Hygienic Place.</li>
  <li>No Preservatives.</li>
</ul>",,,,,,
nafisfood,Peanut Butter (Crunchy) 215gm,Piece,23,nafis-food,groceries,cooking-items,ghee,156,230,0,,,,,,5,,,,50,1,,active,"<div>
<div>
<div>
<p><strong>Nafis Food Peanut Butter (Crunchy) 100g / 215gm / 450gm</strong></p>
<p><br />
</p>
<p>Nafis Food is selling premium quality Peanut Butter (Creamy). It is made with 100% Roasted Peanuts. You can use it as a dip or spreading onto waffles or toast. This Peanut Butter is choice for you. Every bite of roasted peanut flavor will leave you longing for more. Made without any preservatives. It can be enjoyed straight from the jar, on top of your favorite ice creams and frozen yogurts, or as a base for your baking ideas. Whichever way you choose to have it, we&rsquo;re sure you will love the smooth taste of this classic.</p>
</div>
</div>
</div>
<table>
<tbody>
<tr>
<td>Brand</td>
<td>Nafis Food</td>
</tr>
<tr>
<td>Product code</td>
<td>10010</td>
</tr>
<tr>
<td>Country</td>
<td>Bangladesh</td>
</tr>
<tr>
<td>Weight</td>
<td> 215 g</td>
</tr>
<tr>
<td>Flavour</td>
<td>crunchy</td>
</tr>
</tbody>
</table> ",,,,,,
nafisfood,Peanut Butter (Crunchy) 450gm,Piece,24,nafis-food,groceries,cooking-items,ghee,312,460,0,,,,,,5,,,,50,1,,active,"<ul>
  <li>Brand: Nafis Food.</li>
  <li>Product Type: Peanut Butter.</li>
  <li>Weight: 450g.</li>
  <li>Flavor: Creamy.</li>
  <li>Premium Quality.</li>
  <li>Pure &amp; Fresh.</li>
  <li>Type: Vegetarian.</li>
  <li>Ready to Eat and Use.</li>
  <li>Made with 100% Roasted Peanuts.</li>
  <li>High in Protein, Gluten Free, Low Sodium.</li>
  <li>Store in Cool, Dry &amp; Hygienic Place.</li>
  <li>No Preservatives.</li>
</ul>",,,,,,
nafisfood,Premium Black Cumin 100gm,Piece,25,nafis-food,groceries,cooking-items,spices,49,60,0,,,,,,5,,,,50,1,,active,"<ul>
  <li>Black Cumin - 100gm.</li>
  <li>Product Type: Black Cumin.</li>
  <li>Weight: 100gm.</li>
  <li>A good premium quality product.</li>
</ul>",,,,,,
nafisfood,Premium Black Cumin 200gm,Piece,26,nafis-food,groceries,cooking-items,spices,90,110,0,,,,,,5,,,,50,1,,active,"<ul>
  <li>*Brand: Nafis Food</li>
  <li>Product Name: Black Cumin</li>
  <li>*Net Wt: 200gm</li>
  <li>*Premium Quality</li>
  <li>*Pure &amp; Fresh</li>
  <li>*Delicious</li>
  <li>*Ready to use</li>
</ul>",,,,,,
nafisfood,Organic Cumin 100gm,Piece,27,nafis-food,groceries,cooking-items,spices,62,80,0,,,,,,5,,,,50,1,,active,"<ul>
  <li>Product Type: Cumin.</li>
  <li>Net Weight: 100gm.</li>
  <li>Origin: Iran.</li>
  <li>Premium quality.</li>
  <li>Pure &amp; fresh.</li>
  <li>Ensures fresh aroma of organic cumin.</li>
  <li>Maintains real taste in dishes.</li>
  <li>Perfect for fish, chicken, meat, beef, vegetables and other dishes.</li>
  <li>It helps to improve hair, skin, heart, kidney and cancer.</li>
  <li>Vitamin E.</li>
</ul>",,,,,,
