business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
electroneeds,Xiaomi Mitu Child Scooter,piece,1,xiaomi,fashion,men's-fashion,,7500,0,,,,,,3,,10080,5,5,,active,<p>Product Type: Child Scooter<br />Wheel: 3<br />Automatic: No<br />Maximum capacity: 50 Kg<br />Steering System: Yes</p>,,,,,,
electroneeds,"Mi Home LCD Blackboard 13.5
",piece,1,xiaomi,fashion,men's-fashion,,3200,0,,,,,,3,,10080,5,5,,active,"<p>Mi home LCD blackboard is safe and dust-free, it does not hurt the eyes, the screen does not self-illuminate, the characteristics are the same as the paper, and it is not easy to fatigue when used for a long time. Pressure sensitive writing, no dust, no ink, safe and healthy.<br /><br />Key Features:<br />-You could paint whenever you want, record the moment of inspiration<br />-Pressure-sensitive writing, super clear handwriting<br />-Magnetic absorption, light and easy to carry<br />-Customized LCD film formula, handwriting is clear<br />-Highly sensitive pressure sensing technology, handwriting thickness changes with force. One button to clear and low energy consumption, lasting battery life is more worry-free. Ultra-light magnetic pen for more comfortable storage<br />-The weight of the pen is the only 7g, and the whole machine adopts four magnets, which have strong adsorption capacity and long-lasting magnetic force<br />-The 7mm slim body is slim, light and portable, reducing the burden of travel<br />-Powered by 1 x CR2025 (built-in).<br /><br />Product Type: LCD Blackboard<br />Display: 13.5 Inch</p>",,,,,,
electroneeds,Mi Home LCD Blackboard 13.5 inch,piece,1,xiaomi,home-&-lifestyle,stationery-and-craft,,3150,0,,,,,,3,,10080,5,5,,active,<p>Item specifics<br />Gyro: Xiaomi Mijia 60Pcs DIY Tool Kit Toolbox General Household Hand Tool<br />Features: Slot<br />Scale: 1:5<br />Max Speed: Xiaomi Mijia 60Pcs DIY Tool Kit Toolbox General Household Hand Tool<br />State of Assembly: Ready-to-Go<br />Control Channels: 2 Channels<br />Model Number: Xiaomi Mijia 60Pcs DIY Tool Kit Toolbox General Household Hand Tool<br />Brand Name: XIAOMI<br />Product Description<br />Packaging Details<br />Unit Type: piece<br />Package Weight: 1.4kg (3.09lb.)<br />Package Size: 10cm x 5cm x 5cm (3.94in x 1.97in x 1.97in).</p>,,,,,,
electroneeds,Xiaomi Mijia 60Pcs DIY Tool Kit,piece,1,xiaomi,home-&-lifestyle,stationery-and-craft,,1650,0,,,,,,3,,10080,5,5,,active,<p>&lt;p&gt;Item specifics&lt;br /&gt;Gyro: Xiaomi Mijia 60Pcs DIY Tool Kit Toolbox General Household Hand Tool&lt;br /&gt;Features: Slot&lt;br /&gt;Scale: 1:5&lt;br /&gt;Max Speed: Xiaomi Mijia 60Pcs DIY Tool Kit Toolbox General Household Hand Tool&lt;br /&gt;State of Assembly: Ready-to-Go&lt;br /&gt;Control Channels: 2 Channels&lt;br /&gt;Model Number: Xiaomi Mijia 60Pcs DIY Tool Kit Toolbox General Household Hand Tool&lt;br /&gt;Brand Name: XIAOMI&lt;br /&gt;Product Description&lt;br /&gt;Packaging Details&lt;br /&gt;Unit Type: piece&lt;br /&gt;Package Weight: 1.4kg (3.09lb.)&lt;br /&gt;Package Size: 10cm x 5cm x 5cm (3.94in x 1.97in x 1.97in).&lt;/p&gt;</p>,,,,,,
electroneeds,Xiaomi Beebest Electric Lighter,piece,1,xiaomi,home-&-lifestyle,stationery-and-craft,,625,0,,,,,,3,,10080,5,5,,active,"<p>Features:<br />● Eco-friendly stapler,easy and convenient to use.● This stapler is compact and portable, to meet the needs of a variety of binding<br />&nbsp;Non-slip base:The bottom is designed with non-slip soft pad.● Suitable for office,school,home use.● Staple Size: 24/6, 26/6● Binding thickness: 20 sheets binding capacity ( 80g paper&nbsp;</p>",,,,,,
electroneeds,Xiaomi Mijia Kaco LEMO Stapler,piece,1,xiaomi,home-&-lifestyle,stationery-and-craft,,5300,0,,,,,,3,,10080,5,5,,active,"<p>Description-<br />Brand: Xiaomi<br />Product Type: Screwdriver Gun<br />Color: As given picture.<br /><br />Specifications:<br />Max torque: 5N.m<br />Rated power: 3.6V<br />Non-load speed: 200r/min<br />Charging time: 120-180min<br />Screw bit mode: C6.3X25mm<br />Screwdriver Size:124*130.5*4.2mm<br /><br />Features:<br />Powerful: Powerful 5N.m MAX Torque.<br />Portable Design: Built 2000mAh Battery Cordless Portable Design.<br />Large capacity battery: Full charged, power screwdriver can deal with 180Pcs screws.<br />Type-C Fast Charging: Split-type battery case, made of flame-retardant material, safe, and heat insulation</p>",,,,,,
electroneeds,xiaomi Mijia Electric Screwdriver Gun,piece,1,xiaomi,home-&-lifestyle,stationery-and-craft,,1125,0,,,,,,3,,10080,5,5,,active,<p>Main Features:<br /><br />Brand: LEMO ( XIAOMI Cooperation Brand )<br />Model: K1410<br />Material: ABS<br />Screen: LCD<br />Display Numbers: 12<br />Battery: AG10 button battery<br />Size: Approx. 16.2*10.8*2.65cm<br />Weight: Approx.150g</p>,,,,,,
electroneeds,XIAOMI Kaco Lemo Calculator LCD Display,piece,1,xiaomi,health-and-beauty-1,health-care,,46200,0,,,,,,3,,10080,5,5,,active,"<p>IML technology for the panel, sandblasting texture cladding technology and aluminized molding lines of the body Lightweight aluminum alloy structure to reduce the weight of the whole machine. Multiple protections : child lock protection, overload protection, 10-minute automatic standby, and novice speed limit protection. Bottom wheel design to move easily ,Walking platform distance from the ground is only 57mm when in normal use, Just for less than half a square meter and 12.9cm thickness after folding. Different speed selection for the new beginner or experienced athletes. Has been integrated into Xiaomi's smart home ecosystem and can be set up and adjusted through the Mijia App ( can be downloaded from the App Store ). Installation-free design, The walking machine powered by the plug to do exercise, the remote control is powered by a button battery ( included in the product ). Suitable for doing exercise at home, office, garden, etc.<br /><br />Folding design, noise reduction and foot feeling speed control.<br />Put the Mijia walker at home or in the office, take a walk and walk anytime, anywhere.<br />- Automatic speed control patent technology. Foot feeling speed control, easy shifting.<br />The athlete can realize the start and stop functions without manual operation, and the speed value of the walking machine<br />can be freely adjusted along with the change of position.<br />- Hidden LED display.<br />The number of movement steps, movement distance, exercise time, movement speed, and calorie consumption after the start is clearly visible.<br />- Aluminum alloy skeleton structure. Durable and durable.<br />The lightweight aluminum alloy frame greatly reduces the weight of the body and saves effort when moving. More sturdy and durable.<br />- Foldable design patent, the area after folding is less than half a square meter, the storage thickness is as low as 12.9cm,<br />the size is small, the body is slim, and the desk can be placed under the sofa at home.<br />- Intimate moving wheel, easy to move and save effort.<br />- Two sport modes are available.<br />The manual mode (M) is suitable for beginners to start, accelerate, decelerate, stop and switch modes via the remote control.<br />The automatic mode (A) is suitable for advanced users, and realizes the functions of starting, accelerating, uniform, decelerating,<br />and stopping by changing the position.<br />- Comfortable walking platform.<br />- Rugged high-density fiberboard, EVA cushioning layer for comfortable feet, smooth layer with low coefficient of friction,<br />and wear-resistant anti-slip walking layer.<br />- Linked to the Mijia APP, the sports data can be optimized. Through the data management of Mijia APP, you can record your every exercise data.<br /><br />Package Included:<br />1 x Xiaomi Mijia Walking Pad<br />1 x Charing Cable<br />1 x Remote control<br />1 x Hanging Rope<br />1 x Wrench<br />1 x Silicone Oil<br /><br />Brand: Xiaomi Mijia<br />Rated voltage: 220V~50Hz<br />Rated power: 746W<br />Sport Pattern: Manual Mode, Automatic Mode<br />Minimum speed: 0.5km/h<br />Maximum speed: 6.0km/h<br />Effective walking area: 1200X415mm<br />Maximum bearing weight: 90kg<br />Net weight: 28kg</p>",,,,,,
electroneeds,Xiaomi Mijia smart folding WalkingPad,piece,1,xiaomi,health-and-beauty-1,health-care,,77000,0,,,,,,3,,10080,5,5,,active,"<p>&lt;table style=""height: 244px; width: 93.7368%;"" border=""1"" cellspacing=""1"" cellpadding=""1""&gt;<br />&lt;tbody&gt;<br />&lt;tr&gt;<br />&lt;td style=""width: 24.6347%;""&gt;&lt;span data-spm-anchor-id=""a2g0o.12057483.product-desc.i2.75bb3772YwCPnM""&gt;Brand&lt;/span&gt;&lt;/td&gt;<br />&lt;td style=""width: 72.3351%;""&gt;Xiaomi&lt;/td&gt;<br />&lt;/tr&gt;<br />&lt;tr&gt;<br />&lt;td style=""width: 24.6347%;""&gt;Model&lt;/td&gt;<br />&lt;td style=""width: 72.3351%;""&gt;Mijia&lt;strong&gt;&amp;nbsp;&lt;/strong&gt;non stick knife&lt;/td&gt;<br />&lt;/tr&gt;<br />&lt;tr&gt;<br />&lt;td style=""width: 24.6347%;""&gt;Material&lt;/td&gt;<br />&lt;td style=""width: 72.3351%;"" data-spm-anchor-id=""a2g0o.12057483.product-desc.i3.75bb3772YwCPnM""&gt;&lt;span data-spm-anchor-id=""a2g0o.12057483.product-desc.i4.75bb3772YwCPnM""&gt;50Cr15MoV&lt;/span&gt;&lt;/td&gt;<br />&lt;/tr&gt;&lt;tr&gt;&lt;td style=""width: 24.6347%;""&gt;Color&lt;/td&gt;<br />&lt;td style=""width: 72.3351%;""&gt;black&lt;/td&gt;<br />&lt;/tr&gt;<br />&lt;tr&gt;&lt;td style=""width: 24.6347%;""&gt;weight&lt;/td&gt;<br />&lt;td style=""width: 72.3351%;""&gt;900G&lt;/td&gt;<br />&lt;/tr&gt;&lt;tr&gt;&lt;td style=""width: 24.6347%;""&gt;Size&lt;/td&gt;<br />&lt;td style=""width: 72.3351%;""&gt;L : 307mm Slicing Knife&lt;br /&gt;298mm boss knife&lt;/td&gt;<br />&lt;/tr&gt;&lt;/tbody&gt;</p>",,,,,,
electroneeds,Xiaomi KINGSMITH K15 Treadmill 2 IN 1 Shock Absorption,piece,1,xiaomi,health-and-beauty-1,health-care,,4050,0,,,,,,3,,10080,5,5,,active,"<p>&lt;table border=""1"" cellspacing=""1"" cellpadding=""1""&gt;<br />&lt;tbody&gt;<br />&lt;tr&gt;<br />&lt;td&gt;&lt;span data-spm-anchor-id=""a2g0o.detail.1000023.i3.a5d96776WV5Ud5""&gt;Brand&lt;/span&gt;&lt;/td&gt;<br />&lt;td&gt;KINGSMITH(Xiaomi cooperate brand)&lt;/td&gt;<br />&lt;/tr&gt;<br />&lt;tr&gt;<br />&lt;td&gt;Item&lt;/td&gt;<br />&lt;td&gt;KINGSMITH Treadmill&amp;nbsp;From Xiaomi Youpin&lt;/td&gt;<br />&lt;/tr&gt;<br />&lt;tr&gt;<br />&lt;td&gt;Rated voltage&amp;nbsp;&lt;/td&gt;<br />&lt;td&gt;220V&lt;/td&gt;<br />&lt;/tr&gt;<br />&lt;tr&gt;<br />&lt;td&gt;R&lt;a data-keyword=""rated""&gt;ated&lt;/a&gt;&amp;nbsp;&lt;a data-keyword=""power""&gt;power&lt;/a&gt;&lt;/td&gt;<br />&lt;td&gt;1.25HP&lt;/td&gt;<br />&lt;/tr&gt;<br />&lt;tr&gt;<br />&lt;td&gt;Display&amp;nbsp;&lt;/td&gt;<br />&lt;td&gt;LED&lt;/td&gt;<br />&lt;/tr&gt;<br />&lt;tr&gt;<br />&lt;td&gt;&lt;a data-keyword=""data""&gt;Data&lt;/a&gt;&amp;nbsp;&lt;a data-keyword=""display""&gt;display&lt;/a&gt;&lt;/td&gt;<br />&lt;td&gt;Time,distance,speed,calories&lt;/td&gt;<br />&lt;/tr&gt;<br />&lt;tr&gt;<br />&lt;td&gt;Speed range&lt;/td&gt;<br />&lt;td&gt;0.8-15km/h&lt;/td&gt;<br />&lt;/tr&gt;<br />&lt;tr&gt;<br />&lt;td&gt;&lt;a data-keyword=""gradient""&gt;Gradient range&lt;/a&gt;&lt;/td&gt;<br />&lt;td&gt;4%&lt;/td&gt;<br />&lt;/tr&gt;<br />&lt;tr&gt;<br />&lt;td&gt;Run surface thickness&lt;/td&gt;<br />&lt;td&gt;1.6mm&lt;/td&gt;<br />&lt;/tr&gt;<br />&lt;tr&gt;<br />&lt;td&gt;Effective running area&lt;/td&gt;<br />&lt;td&gt;1200X480mm&lt;/td&gt;<br />&lt;/tr&gt;<br />&lt;tr&gt;<br />&lt;td&gt;Maximum bearing weight&lt;/td&gt;<br />&lt;td&gt;110kg&lt;/td&gt;<br />&lt;/tr&gt;<br />&lt;tr&gt;<br />&lt;td&gt;Net weight&lt;/td&gt;<br />&lt;td&gt;54.5kg&lt;/td&gt;<br />&lt;/tr&gt;<br />&lt;tr&gt;<br />&lt;td&gt;Gross weight&lt;/td&gt;<br />&lt;td&gt;68.5kg&lt;/td&gt;<br />&lt;/tr&gt;<br />&lt;tr&gt;<br />&lt;td&gt;&lt;a data-keyword=""unfold""&gt;Unfold&lt;/a&gt;&amp;nbsp;&lt;a data-keyword=""size""&gt;size&lt;/a&gt;&lt;/td&gt;<br />&lt;td&gt;1420x828x1140mm&lt;/td&gt;<br />&lt;/tr&gt;<br />&lt;tr&gt;<br />&lt;td&gt;&lt;a data-keyword=""folded""&gt;Folded&lt;/a&gt;&amp;nbsp;&lt;a data-keyword=""size""&gt;size&lt;/a&gt;&lt;/td&gt;<br />&lt;td&gt;1420x828x310mm&lt;/td&gt;<br />&lt;/tr&gt;<br />&lt;tr&gt;<br />&lt;td&gt;&lt;a data-keyword=""package""&gt;Package&lt;/a&gt;&amp;nbsp;&lt;a data-keyword=""size""&gt;size&lt;/a&gt;&lt;/td&gt;<br />&lt;td&gt;1580x926x390mm&lt;/td&gt;<br />&lt;/tr&gt;<br />&lt;/tbody&gt;<br />&lt;/table&gt;</p>",,,,,,
