business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
pentagoninternationallimited,"Kodomo Dental Kids Set (0.5-3 , 3-6 , 6+.)",Set,1,kodomo,babies-&-toys,baby-personal-care,,164,0,,,,,,5,,10080,50,1,,active,"<ul>
<li>Use Kodomo soft-bristle toothbrushes for thorough cleaning while gentle to gums<-li>
<li>Use Kodomo fluoridated children&rsquo;s toothpaste to protect teeth against cavities effectively<-li>
<li>Helps to provide Dual Protection i.e. Enamel Protection and Cavity Prevention<-li>
<li>Ensure hygienic and proper oral cleanliness<-li>
<li>Helps to strengthen teeth enamel<-li>
<li>Protects from infection<-li>
<li>Develop protective Barrier &amp; prevent tooth decay<-li>
<li>Designed with attractive animal characters<-li>
<li>Ideal for traveling<-li>
<-ul>",,,,,,
pentagoninternationallimited,"Kodomo Tooth Brush (0.5-3 ., 3-6 , 6+)",Set,1,kodomo,babies-&-toys,baby-personal-care,,123,0,,,,,,5,,10080,50,1,,active,<p>&ldquo;Thumb Lock&rdquo; toothbrush handle specially designed Long slim neck reaches out to brush inner teeth more effectively Ensure hygienic and proper oral cleanliness Helps to strengthen teeth enamel Made from high grade PBT bristles<-p>,,,,,,
pentagoninternationallimited,"Kodomo Tooth paste Cream (Strawberry, Orange, Grpape.) 40 GM",Gram,40,kodomo,babies-&-toys,baby-personal-care,,112,0,,,,,,5,,10080,50,1,,active,"<p>As milk teeth start growing, they need special care and protection. Kodomo Professional Children&rsquo;s Toothpaste is made of proper amount of Fluoride, Xylitol (sugar-Free) and kid&rsquo;s favorite taste. It is the all-in-one protection toothpaste building strong teeth, healthy gums, and fresh breath for your lovely child. Get strong teeth and beautiful smile with Kodomo Cream Toothpaste for your kids. The active fluoride formula helps prevent children&rsquo;s teeth from cavity. Get your kids enjoyable with brushing teeth with sugar-free and various fruit flavors: Strawberry, Orange, and Grape. Use with Kodomo Toothbrush is highly recommended for best healthy oral health. It is suggested from dentists that children should use toothpaste developed specifically for them. Kodomo Strawberry Flavor Children&rsquo;s Toothpaste is specially formulated for kids. With 5-percent Xylitol + Active Fluoride, it offers effective prevention of cavities and fights tooth decay, helps prevent the growth of plaque, and can further strengthen teeth. This toothpaste is sugar-free yet has a fun and fruity flavor that kids love. Kodomo Xylitol + Fluoride Formation Xylitol, a natural ingredient, enhances the Fluoride action of cavity prevention by helping to prevent the growth of plaque. At the same time, it helps to strengthen the enamel layer of the teeth. Helps to provide Dual Protection (Enamel Protection and Cavity Prevention) against tooth decay Xylitol, a safe and natural ingredient, helps to enhance fluoride action and strengthen teeth enamel Active fluoride helps to fight against cavities Sugar-free Strawberry flavour<-p>",,,,,,
pentagoninternationallimited,"Kodomo Tooth paste Gel(Strawberry .., Bubble Fruit)",Gram,40,kodomo,babies-&-toys,baby-personal-care,,112,0,,,,,,5,,10080,50,1,,active,"<p>As milk teeth start growing, they need special care and protection. Kodomo Professional Children&rsquo;s Toothpaste is made of proper amount of Fluoride, Xylitol (sugar-Free) and kid&rsquo;s favorite taste. It is the all-in-one protection toothpaste building strong teeth, healthy gums, and fresh breath for your lovely child. Get strong teeth and beautiful smile with Kodomo Cream Toothpaste for your kids. Kodomo Toothpaste for children with Active Fluoride Formula that&rsquo;s important to children. It helps protect children&rsquo;s teeth and sugar free with fruit scent and many flavors that kids like. Come in toothpaste grapes scent, strawberry scent, orange scent and tooth gel strawberry scent, orange scent and bubble fruit scent which help children love to brush their teeth and for best result it should be used with Kodomo Toothbrush. Dentist recommended that children should use toothpaste made for children. Kodomo Gel Toothpaste is specifically formulated for children&rsquo;s using Lion Japan&rsquo;s advanced dental technology to provide strong enamel protection and cavity protection. Brushing is fun with fruity, sugar free toothpaste. Kodomo Xylitol + Fluoride Formation Xylitol, a natural ingredient, enhances the Fluoride action of cavity prevention by helping to prevent the growth of plaque. At the same time, it helps to strengthen the enamel layer of the teeth. Helps to fight against cavities with Active Fluoride Delightful translucent gel to make brushing fun for children Sugar-Free Strawberry flavour Available in 3 flavours: Strawberry, Orange and Bubblefruit (40g)<-p>",,,,,,
pentagoninternationallimited,"Kodomo Tooth paste Cream (Strawberry, Orange, Grpape.) 80 GM",Gram,80,kodomo,babies-&-toys,baby-personal-care,,164,0,,,,,,5,,10080,50,1,,active,"<p>As milk teeth start growing, they need special care and protection. Kodomo Professional Children&rsquo;s Toothpaste is made of proper amount of Fluoride, Xylitol (sugar-Free) and kid&rsquo;s favorite taste. It is the all-in-one protection toothpaste building strong teeth, healthy gums, and fresh breath for your lovely child. Get strong teeth and beautiful smile with Kodomo Cream Toothpaste for your kids. The active fluoride formula helps prevent children&rsquo;s teeth from cavity. Get your kids enjoyable with brushing teeth with sugar-free and various fruit flavors: Strawberry, Orange, and Grape. Use with Kodomo Toothbrush is highly recommended for best healthy oral health. It is suggested from dentists that children should use toothpaste developed specifically for them. Kodomo Strawberry Flavor Children&rsquo;s Toothpaste is specially formulated for kids. With 5-percent Xylitol + Active Fluoride, it offers effective prevention of cavities and fights tooth decay, helps prevent the growth of plaque, and can further strengthen teeth. This toothpaste is sugar-free yet has a fun and fruity flavor that kids love. Kodomo Xylitol + Fluoride Formation Xylitol, a natural ingredient, enhances the Fluoride action of cavity prevention by helping to prevent the growth of plaque. At the same time, it helps to strengthen the enamel layer of the teeth. Helps to provide Dual Protection (Enamel Protection and Cavity Prevention) against tooth decay Xylitol, a safe and natural ingredient, helps to enhance fluoride action and strengthen teeth enamel Active fluoride helps to fight against cavities Sugar-free Strawberry flavour<-p>",,,,,,
pentagoninternationallimited,Kodomo Bath (Gentle Soft)100 ML,	Mililiter,100,kodomo,babies-&-toys,baby-personal-care,,190,0,,,,,,5,,10080,50,1,,active,"<p>Formulated with naturally derived cleansing ingredients to care for babies&rsquo; delicate skin. pH-balanced. Mineral Oil free, Lanolin free. Keeps babies smelling fresh with safety fragrance tested to International Dermatological Standards. Also suitable for adults with sensitive skin.<-p>",,,,,,
pentagoninternationallimited,Kodomo Bath (Gentle Soft)200 ML,	Mililiter,200,kodomo,babies-&-toys,baby-personal-care,,328,0,,,,,,5,,10080,50,1,,active,"<p>Formulated with naturally derived cleansing ingredients to care for babies&rsquo; delicate skin. pH-balanced. Mineral Oil free, Lanolin free. Keeps babies smelling fresh with safety fragrance tested to International Dermatological Standards. Also suitable for adults with sensitive skin.<-p>",,,,,,
pentagoninternationallimited,Kodomo Bath (Gentle Soft)400 ML,	Mililiter,400,kodomo,babies-&-toys,baby-personal-care,,600,0,,,,,,5,,10080,50,1,,active,"<p>Formulated with naturally derived cleansing ingredients to care for babies&rsquo; delicate skin. pH-balanced. Mineral Oil free, Lanolin free. Keeps babies smelling fresh with safety fragrance tested to International Dermatological Standards. Also suitable for adults with sensitive skin.<-p>",,,,,,
pentagoninternationallimited,"Kodomo Bath (Mild & Natural, Moisturizing, Rice Milk)1000 ML",	Mililiter,1000,kodomo,babies-&-toys,baby-personal-care,,955,0,,,,,,5,,10080,50,1,,active,"<p>Formulated with naturally derived cleansing ingredients to care for babies&rsquo; delicate skin. pH-balanced. Mineral Oil free, Lanolin free. Keeps babies smelling fresh with safety fragrance tested to International Dermatological Standards. Also suitable for adults with sensitive skin. Available in 3 variants (2 sizes): Mild &amp; Natural, Moisturizing and Rice Milk (1L Bottle, 650ml Refill Pack) Products Origin Thailand<-p>",,,,,,
pentagoninternationallimited,Kodomo Family Bath 750 ML,	Mililiter,750,kodomo,babies-&-toys,baby-personal-care,,695,0,,,,,,5,,10080,50,1,,active,"<p>Good Quality Product Easy To Use Very Comfortable Formulated with naturally derived cleansing ingredients to care for babies&rsquo; delicate skin. pH-balanced. Mineral Oil free, Lanolin free. Keeps babies smelling fresh with safety fragrance tested to International Dermatological Standards. Also suitable for adults with sensitive skin. Products Origin Thailand<-p>",,,,,,
