business,name,unit, per_unit_value , brand ,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,slug,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
squaretoiletrieslimited,Meril Lip Balm 3 pcs Value Pack Combo,set,1,meril,health-and-beauty-1,body-soaps-and-shower-gels,,84,100,0,,,,,,5,,,,20,1,,active,,,,,,,
squaretoiletrieslimited,Meril Glycerine 120g 40 Tk Off,set,1,meril,health-and-beauty-1,body-soaps-and-shower-gels,,118,140,0,,,,,,5,,,,20,1,,active,,,,,,,
squaretoiletrieslimited,Meril Petroleum Jelly 100ml Lib Blam Free save 50 tk,set,1,meril,health-and-beauty-1,body-soaps-and-shower-gels,,84,100,0,,,,,,5,,,,20,1,,active,,,,,,,
squaretoiletrieslimited,Meril Soap 100g Buy 3 Get 1,set,1,meril,health-and-beauty-1,body-soaps-and-shower-gels,,34,40,0,,,,,,5,,,,20,1,,active,,,,,,,
squaretoiletrieslimited,Meril Baby Lotion 200ml 20 Tk Off With Soap Free,set,1,meril,health-and-beauty-1,body-soaps-and-shower-gels,,210,250,0,,,,,,5,,,,20,1,,active,,,,,,,
squaretoiletrieslimited,"Meril Baby Gel Toothpaste Combo, Orange + Brush Combo",set,1,meril,health-and-beauty-1,body-soaps-and-shower-gels,,84,100,0,,,,,,5,,,,20,1,,active,,,,,,,
squaretoiletrieslimited,Zerocal Sachet 100Tablet 25 Tablet Free,set,1,zerocal,health-and-beauty-2,body-soaps-and-shower-gels,,109,130,0,,,,,,5,,,,20,1,,active,,,,,,,
squaretoiletrieslimited,Revive lotion 200 ml Soap Free 75g,Piece,1,revive,health-and-beauty-3,body-soaps-and-shower-gels,,151,180,0,,,,,,5,,,,20,1,,active,,,,,,,
squaretoiletrieslimited,Senora Confidence (14+2) 16pads 2 Pad free,set,1,senora,health-and-beauty-4,body-soaps-and-shower-gels,,134,160,0,,,,,,5,,,,20,1,,active,,,,,,,
squaretoiletrieslimited,Senora Confidence Super Long (8+2) 10pads 2 Pad free,set,1,senora,health-and-beauty-5,body-soaps-and-shower-gels,,92,110,0,,,,,,5,,,,20,1,,active,,,,,,,
kitchen&co.,shareat ready to fry pani puri  1000 grams,Piece,1,un-categorized,groceries,cooking-items,,269,299,0,,,,,,5,,,,20,1,,active,,,,,,,
kitchen&co.,shareat ready to fry pani puri  500 grams,Piece,1,un-categorized,groceries,cooking-items,,179,199,0,,,,,,5,,,,20,1,,active,,,,,,,
kitchen&co.,shareat fryeat potato pellets  1000 grams,Piece,1,un-categorized,groceries,cooking-items,,449,499,0,,,,,,5,,,,20,1,,active,,,,,,,
kitchen&co.,shareat fryeat potato pellets  100 grams,Piece,1,un-categorized,groceries,cooking-items,,90,100,0,,,,,,5,,,,20,1,,active,,,,,,,
kitchen&co.,pastificio romano pasta 500 grams,Piece,1,un-categorized,groceries,cooking-items,,270,300,0,,,,,,5,,,,20,1,,active,,,,,,,
kitchen&co.,yung tung instant pasta 67 grams,Piece,1,un-categorized,groceries,cooking-items,,108,120,0,,,,,,5,,,,20,1,,active,,,,,,,
kitchen&co.,uthshab papad 200 grams,Piece,1,un-categorized,groceries,cooking-items,,162,180,0,,,,,,5,,,,20,1,,active,,,,,,,
kitchen&co.,uthshab papad mini 100 grams,Piece,1,un-categorized,groceries,cooking-items,,89,99,0,,,,,,5,,,,20,1,,active,,,,,,,
kitchen&co.,Organic Mixed Nuts 250 grams,Piece,1,un-categorized,groceries,cooking-items,,225,250,0,,,,,,5,,,,20,1,,active,,,,,,,
kitchen&co.,Organic Mixed Nuts 500 grams,Piece,1,un-categorized,groceries,cooking-items,,450,500,0,,,,,,5,,,,20,1,,active,,,,,,,
kitchen&co.,organic ghee 500 grams,Piece,1,un-categorized,groceries,cooking-items,,576,640,0,,,,,,5,,,,20,1,,active,,,,,,,
kitchen&co.,organic ghee 1000 grams,Piece,1,un-categorized,groceries,cooking-items,,1116,1240,0,,,,,,5,,,,20,1,,active,,,,,,,
