"business","name","unit","per_unit_value","brand","category","sub_category","sub_category2","price","is_offer_enable","offer_price","featured_image","short_resolation_image","type","keywords","alert_quantity","sku","delivery_time","status","enable_stock","current_stock","description","shipping_charge","image1","image2","image3","image4","image5","image6"
"Electromartltd","Pular Split H&C Inverter","Piece","1","gree","home-appliances","cooling-and-heating","","53500.00","0","","pular-split-hc-inverter-deshibazaarbd---40-1638017286-1638017286-61a22906735e8.webp","pular-split-hc-inverter-deshibazaarbd---40-1638017286-1638017286-61a22906735e8.webp","","","5","","10080","active","5","5","<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-12PUV410 (1.0 TON)</p>","","pular-split-hc-inverter-1-deshibazaarbd---39-1638017286-1638017286-61a22906679ad.webp","pular-split-hc-inverter-2-deshibazaarbd---38-1638017286-1638017286-61a229065be49.webp","pular-split-hc-inverter-1-deshibazaarbd---37-1638017286-1638017286-61a22906503f6.webp","","",""
"Electromartltd","Pular Split  H&C Inverter 1","Piece","1","gree","home-appliances","cooling-and-heating","","75000.00","0","","pular-split-hc-inverter-1-deshibazaarbd---39-1638017286-1638017286-61a22906679ad.webppular-split-hc-inverter-1-deshibazaarbd---37-1638017286-1638017286-61a22906503f6.webp","pular-split-hc-inverter-1-deshibazaarbd---39-1638017286-1638017286-61a22906679ad.webppular-split-hc-inverter-1-deshibazaarbd---37-1638017286-1638017286-61a22906503f6.webp","","","5","","10080","active","5","5","<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE </a>Product Code: GSH-18PUV410 (1.5 TON)</p>","","","","","","",""
"Electromartltd","Pular Split  H&C Inverter 2","Piece","1","gree","home-appliances","cooling-and-heating","","86000.00","0","","pular-split-hc-inverter-2-deshibazaarbd---38-1638017286-1638017286-61a229065be49.webp","pular-split-hc-inverter-2-deshibazaarbd---38-1638017286-1638017286-61a229065be49.webp","","","5","","10080","active","5","5","<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-24PUV410 (2.0 TON)</p>","","","","","","",""
"Electromartltd","Fairy  Split","Piece","1","gree","home-appliances","cooling-and-heating","","45000.00","0","","fairy-split-deshibazaarbd---25-1638017285-1638017285-61a22905ad2ec.webp","fairy-split-deshibazaarbd---25-1638017285-1638017285-61a22905ad2ec.webp","","","5","","10080","active","5","5","Brand: GREE Product Code: GS-12FA410 (1.0 TON)","","fairy-split-3-deshibazaarbd---22-1638017285-1638017285-61a22905898de.webp","fairy-split-2-deshibazaarbd---21-1638017285-1638017285-61a229057e013.webp","","","",""
"Electromartltd","Fairy  Split H&C","Piece","1","gree","home-appliances","cooling-and-heating","","46000.00","0","","fairy-split-hc-deshibazaarbd---24-1638017285-1638017285-61a22905a1450.webp","fairy-split-hc-deshibazaarbd---24-1638017285-1638017285-61a22905a1450.webp","","","5","","10080","active","5","5","<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-12FA410 Fairy-Split, Hot &amp; Cool (1.0 TON)</p>","","fairy-split-hc-2-deshibazaarbd---26-1638017285-1638017285-61a22905b95d7.webp","fairy-split-hc-1-deshibazaarbd---20-1638017285-1638017285-61a2290571ae2.webp","","","",""
"Electromartltd","Fairy  Split  H&C 1","Piece","1","gree","home-appliances","cooling-and-heating","","62000.00","0","","fairy-split-hc-1-deshibazaarbd---20-1638017285-1638017285-61a2290571ae2.webp","fairy-split-hc-1-deshibazaarbd---20-1638017285-1638017285-61a2290571ae2.webp","","","5","","10080","active","5","5","<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-18FA410 (1.5 TON) Availability: 0</p>","","","","","","",""
"Electromartltd","Fairy  Split 2","Piece","1","gree","home-appliances","cooling-and-heating","","60000.00","0","","fairy-split-2-deshibazaarbd---21-1638017285-1638017285-61a229057e013.webp","fairy-split-2-deshibazaarbd---21-1638017285-1638017285-61a229057e013.webp","","","5","","10080","active","5","5","<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-18FA410 (1.5 TON) Availability: 0</p>","","","","","","",""
"Electromartltd","Fairy Split  H&C 2","Piece","1","gree","home-appliances","cooling-and-heating","","62000.00","0","","fairy-split-hc-2-deshibazaarbd---26-1638017285-1638017285-61a22905b95d7.webp","fairy-split-hc-2-deshibazaarbd---26-1638017285-1638017285-61a22905b95d7.webp","","","5","","10080","active","5","5","<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-18FA410 (1.5 TON) Availability: 0</p>","","","","","","",""
"Electromartltd","Fairy  Split 3","Piece","1","gree","home-appliances","cooling-and-heating","","70000.00","0","","fairy-split-3-deshibazaarbd---22-1638017285-1638017285-61a22905898de.webp","fairy-split-3-deshibazaarbd---22-1638017285-1638017285-61a22905898de.webp","","","5","","10080","active","5","5","<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-18FA410 (1.5 TON) Availability: 0</p>","","","","","","",""
"Electromartltd","Fairy  Split  H&C","Piece","1","gree","home-appliances","cooling-and-heating","","72000.00","0","","fairy-split-hc-deshibazaarbd---24-1638017285-1638017285-61a22905a1450.webp","fairy-split-hc-deshibazaarbd---24-1638017285-1638017285-61a22905a1450.webp","","","5","","10080","active","5","5","<p>Brand:&nbsp;<a href=""http://electromart.com.bd/index.php?route=product/manufacturer/info&amp;manufacturer_id=11"">GREE</a> Product Code: GSH-18FA410 (1.5 TON) Availability: 0</p>","","fairy-split-hc-2-deshibazaarbd---26-1638017285-1638017285-61a22905b95d7.webp","fairy-split-hc-1-deshibazaarbd---20-1638017285-1638017285-61a2290571ae2.webp","","","",""
