business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
visionofficialstore,VISION Electric Oven 32 Ltr,Piece,1,vision,home-appliances,large-appliances,,8000,0,,,,,,10,,10080,50,1,,active,"<p>VISION Electric Oven 32 Ltr<br />Item code: 873237<br />Brand: VISION<br />Top &amp; Bottom Heaters<br />Metallic tube: Top &amp; bottom<br />Galvanized cavity<br />Toast, Bake, Broil, Convection &amp; Rotisseries<br />Mechanical control<br />Double door glass<br />Inner light<br />Maximum time: 60min<br />Voltage 230V; Frequency 50 Hz<br />High performance megnetron for producing efficient heat<br />Rated input power: 1500W<br />Color: As given picture.</p>",,,,,,
visionofficialstore,Vision Micro Oven VSM 30 Ltr Convection,Piece,1,vision,home-appliances,large-appliances,,8500,0,,,,,,10,,10080,50,1,,active,<p>Rated Voltage: 230 ~ 50Hz<br />Rated Input Power(Microwave): 1400-1450W<br />Rated Output Power(Microwave): 900W<br />Rated Input Power(Grill): 1000-1100W<br />Rated Input Power(Convection): 2300-2500W<br />Oven Capacity: 30Ltr<br />Turntable Diameter: 315 mm<br />External Dimensions: 520 497 326mm<br />Net Weight: Approx. 18kg<br />10 Automatic power Labels<br />Child safety lock system<br />High-Performance Class 220A Transformer which will give better insulation and protection<br />High-performance Magnetron for producing efficient heat<br />2 Layer inner cavity and 3 Layer glass door so that no radiation takes place<br />Diamond Pattern inner Cavity for Smooth Heat Circulation<br />Mirror glass Door<br />Cavity Interior: Stainless Steel<br />Body exterior: silver Color<br />95-minute cooking timer<br />Cooking end signal<br />Multi cooking stage<br />Defrost by Weight or Time<br />30-sec Plus<br />Color: As given picture.</p>,,,,,,
visionofficialstore,Vision Microwave Oven VSNMO20L-G5,Piece,1,vision,home-appliances,large-appliances,,17500,0,,,,,,10,,10080,50,1,,active,<p>Rated Voltage: 230 ~ 50Hz<br />Rated Input Power(Microwave): 1400-1450W<br />Rated Output Power(Microwave): 900W<br />Rated Input Power(Grill): 1000-1100W<br />Rated Input Power(Convection): 2300-2500W<br />Oven Capacity: 30Ltr<br />Turntable Diameter: 315 mm<br />External Dimensions: 520 497 326mm<br />Net Weight: Approx. 18kg<br />10 Automatic power Labels<br />Child safety lock system<br />High-Performance Class 220A Transformer which will give better insulation and protection<br />High-performance Magnetron for producing efficient heat<br />2 Layer inner cavity and 3 Layer glass door so that no radiation takes place<br />Diamond Pattern inner Cavity for Smooth Heat Circulation<br />Mirror glass Door<br />Cavity Interior: Stainless Steel<br />Body exterior: silver Color<br />95-minute cooking timer<br />Cooking end signal<br />Multi cooking stage<br />Defrost by Weight or Time<br />30-sec Plus<br />Color: As given picture.</p>,,,,,,
visionofficialstore,VISION Microwave Oven 25Ltr G25 Smart,Piece,1,vision,home-appliances,large-appliances,,16600,0,,,,,,10,,10080,50,1,,active,<p>Rated Voltage: 230 ~ 50Hz<br />Rated Input Power(Microwave): 1400-1450W<br />Rated Output Power(Microwave): 900W<br />Rated Input Power(Grill): 1000-1100W<br />Rated Input Power(Convection): 2300-2500W<br />Oven Capacity: 30Ltr<br />Turntable Diameter: 315 mm<br />External Dimensions: 520 497 326mm<br />Net Weight: Approx. 18kg<br />10 Automatic power Labels<br />Child safety lock system<br />High-Performance Class 220A Transformer which will give better insulation and protection<br />High-performance Magnetron for producing efficient heat<br />2 Layer inner cavity and 3 Layer glass door so that no radiation takes place<br />Diamond Pattern inner Cavity for Smooth Heat Circulation<br />Mirror glass Door<br />Cavity Interior: Stainless Steel<br />Body exterior: silver Color<br />95-minute cooking timer<br />Cooking end signal<br />Multi cooking stage<br />Defrost by Weight or Time<br />30-sec Plus<br />Color: As given picture.</p>,,,,,,
visionofficialstore,Vision AC 1 Ton AXC 3D Elite,Piece,1,vision,home-appliances,large-appliances,,37800,0,,,,,,10,,10080,50,1,,active,<p>Vision AC 1 Ton AXC 3D Elite<br />Item code: 827905<br />Brand: Vision<br />Model Name: Vision AC 1 Ton-AXC (3D Elite)<br />Function: Cooling<br />Capacity (Ton): 1.0 ton<br />Capacity (Btu/h): 12000 BTU/h<br />3D (Yes/No): Yes<br />Type: Split<br />Rated cooling power input (watt): 1150<br />Voltage range: 198V-264V<br />Frequency (Hz): 50 Hz<br />Display Type: Hidden Display<br />Indoor Noise: 39 DB<br />Outdoor Noise: 54 DB<br />Sleep Mode Timer (Yes/No): Yes<br />Certification (If any): CE No<br />Compressor Brand: Rechi<br />Compressor Type: Rotary<br />Refrigerant: R410a<br />Indoor size (Dimensions-W*D*H): 700*250*201mm<br />Outdoor size (Dimensions-W*D*H): 850&times;320&times;275mm<br />Indoor Weight (kg): 8<br />Outdoor Weight (kg): 25<br />Inverter (Yes/No): NO<br />Remote Control (Yes/No): Yes<br />Condenser Coil (material): Copper tube<br />Anti-bacteria Filter (Yes/No): No.<br />Dust Filter (Yes/No): Yes<br />Color: White (As given picture)</p>,,,,,,
visionofficialstore,Vision AC 1.5 Ton BXC (3D Elite),Piece,1,vision,home-appliances,large-appliances,,52200,0,,,,,,10,,10080,50,1,,active,<p>Vision AC 1 Ton AXC 3D Elite<br />Item code: 827905<br />Brand: Vision<br />Model Name: Vision AC 1 Ton-AXC (3D Elite)<br />Function: Cooling<br />Capacity (Ton): 1.0 ton<br />Capacity (Btu/h): 12000 BTU/h<br />3D (Yes/No): Yes<br />Type: Split<br />Rated cooling power input (watt): 1150<br />Voltage range: 198V-264V<br />Frequency (Hz): 50 Hz<br />Display Type: Hidden Display<br />Indoor Noise: 39 DB<br />Outdoor Noise: 54 DB<br />Sleep Mode Timer (Yes/No): Yes<br />Certification (If any): CE No<br />Compressor Brand: Rechi<br />Compressor Type: Rotary<br />Refrigerant: R410a<br />Indoor size (Dimensions-W*D*H): 700*250*201mm<br />Outdoor size (Dimensions-W*D*H): 850&times;320&times;275mm<br />Indoor Weight (kg): 8<br />Outdoor Weight (kg): 25<br />Inverter (Yes/No): NO<br />Remote Control (Yes/No): Yes<br />Condenser Coil (material): Copper tube<br />Anti-bacteria Filter (Yes/No): No.<br />Dust Filter (Yes/No): Yes<br />Color: White (As given picture)</p>,,,,,,
visionofficialstore,Vision AC 2 Ton - CXC  (3D Elite),Piece,1,vision,home-appliances,large-appliances,,68900,0,,,,,,10,,10080,50,1,,active,<p>Vision AC 1 Ton AXC 3D Elite<br />Item code: 827905<br />Brand: Vision<br />Model Name: Vision AC 1 Ton-AXC (3D Elite)<br />Function: Cooling<br />Capacity (Ton): 1.0 ton<br />Capacity (Btu/h): 12000 BTU/h<br />3D (Yes/No): Yes<br />Type: Split<br />Rated cooling power input (watt): 1150<br />Voltage range: 198V-264V<br />Frequency (Hz): 50 Hz<br />Display Type: Hidden Display<br />Indoor Noise: 39 DB<br />Outdoor Noise: 54 DB<br />Sleep Mode Timer (Yes/No): Yes<br />Certification (If any): CE No<br />Compressor Brand: Rechi<br />Compressor Type: Rotary<br />Refrigerant: R410a<br />Indoor size (Dimensions-W*D*H): 700*250*201mm<br />Outdoor size (Dimensions-W*D*H): 850&times;320&times;275mm<br />Indoor Weight (kg): 8<br />Outdoor Weight (kg): 25<br />Inverter (Yes/No): NO<br />Remote Control (Yes/No): Yes<br />Condenser Coil (material): Copper tube<br />Anti-bacteria Filter (Yes/No): No.<br />Dust Filter (Yes/No): Yes<br />Color: White (As given picture)</p>,,,,,,
visionofficialstore,Vision RO Hot & Warm Water Purifier ,Piece,1,vision,home-appliances,large-appliances,,14000,0,,,,,,10,,10080,50,1,,active,p>Brand: VISION</p>,,,,,,
visionofficialstore, Vision RO Hot and Cold Water Purifier,Piece,1,vision,home-appliances,large-appliances,,15000,0,,,,,,10,,10080,50,1,,active,"<p><strong>Advantage:</strong><br />Absolute Pure water with RO system inside &nbsp;<br />Heating automatically<br />Instant 1 liter heating water and 5 Liters warm water &nbsp;<br />Easy operation<br /><br /><strong>Specification:&nbsp;</strong>&nbsp;&nbsp;<br />Capacity: 75GPD RO membrane<br />Pure water flow: 11.8L/H<br />Operation temperature: 5~ 45&deg;C<br />Working pressure: 6 (?0.6 Mpa)<br />Feed water source: Tap water or rural water<br />Dimension: 390 x 220 x 460 mm<br />Feed water pressure: 1~4bar (0.1Mpa ~0.4Mpa)<br />Power: 220V, 60Hz<br />TDS limit: ?1000PPM<br />Flash Method: Auto Flash<br />Color: As given picture.</p>",,,,,,
visionofficialstore,Vision Water Dispenser Hot and Cold,Piece,1,vision,home-appliances,large-appliances,,10500,0,,,,,,10,,10080,50,1,,active,"<p><strong>Advantage:</strong><br />Absolute Pure water with RO system inside &nbsp;<br />Heating automatically<br />Instant 1 liter heating water and 5 Liters warm water &nbsp;<br />Easy operation<br /><br /><strong>Specification:&nbsp;</strong>&nbsp;&nbsp;<br />Capacity: 75GPD RO membrane<br />Pure water flow: 11.8L/H<br />Operation temperature: 5~ 45&deg;C<br />Working pressure: 6 (?0.6 Mpa)<br />Feed water source: Tap water or rural water<br />Dimension: 390 x 220 x 460 mm<br />Feed water pressure: 1~4bar (0.1Mpa ~0.4Mpa)<br />Power: 220V, 60Hz<br />TDS limit: ?1000PPM<br />Flash Method: Auto Flash<br />Color: As given picture.</p>",,,,,,
visionofficialstore,Vision AC 1 ton ATPHI Wi-fi Inverter (3D Elite) ,Piece,1,vision,home-appliances,large-appliances,,42558,0,,,,,,10,,10080,50,1,,active,"<p>&lt;Brand: VISION<br />Item code: 892467<br />Function: Inverter heating and Cooling<br />Capacity (Ton): 1 ton<br />Capacity (Btu/h): 12000 BTU/h<br />WI-FI (available/ not available): Available &nbsp;<br />3D (Yes/No): Yes<br />Type: Split<br />Rated cooling&nbsp; power input&nbsp; (watt): 1100(215～1600)W<br />Rated heating power input&nbsp; (watt): 970(215～1720)W<br />Voltage range: 155~265V<br />Frequency (Hz): 50 Hz<br />Display Type: Hidden Display<br />Indoor Noise: 40 dB<br />Outdoor Noise: 52 dB<br />Sleep Mode Timer (Yes/No): Yes<br />Compressor Brand: GMCC<br />Compressor Type: Rotary<br />Refrigerant: R410a<br />Indoor size (Dimensions-W*D*H): 808&times;292&times;208 mm<br />Indoor net weight (kg): 8.5 Kg<br />Outdoor size (Dimensions-W*D*H): 728&times;252&times;518 mm<br />Outdoor net weight (kg): 24 Kg<br />Inverter (Yes/No): Yes<br />Remote Control (Yes/No): Yes<br />Condenser Coil (material): Copper tube<br />Dust Filter (Yes/No): Yes<br />Color: As given picture.<br /><br /><strong>Package Includes:</strong>&nbsp;Remote, Warranty card, Guaranty card &amp; Connecting accessories</p>",,,,,,
