business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,slug,sku,delivery_time,status,enable_stock,current_stock,description,shipping_charge,image1,image2,image3,image4,image5,image6
jfenterprise,P47 Wireless Bluetooth Headphone Earphone with SD Card Slot,Piece,1,,electronic-accessori,audio,,340,600,0,,,,,"electronic-accessori,audio",5,,,10080,active,1,20,,,,,,,,
jfenterprise,MI 5 Airbuds Redmi Bluetooth Airdots Bluetooth Earphone,Piece,1,mi,electronic-accessori,audio,,700,1000,0,,,,,"electronic-accessori,audio",5,,,10080,active,1,20,,,,,,,,
jfenterprise,TWS F9-5 Headphones Headsets,Piece,1,tws,electronic-accessori,audio,,800,1000,0,,,,,"electronic-accessori,audio",5,,,10080,active,1,20,,,,,,,,
jfenterprise,Baseus Red Dot Mobile Game Scoring Tool Transparent-PUBG Trigger,Piece,1,un-categorized,electronic-accessori,audio,,350,450,0,,,,,"electronic-accessori,audio",5,,,10080,active,1,20,,,,,,,,
jfenterprise,Remix RM 512 headphone Wired Music Headset RM-512 is lightning headphone,Piece,1,remix,electronic-accessori,audio,,200,300,0,,,,,"electronic-accessori,audio",5,,,10080,active,1,20,,,,,,,,
jfenterprise,AKG_Super Bass 3.5mm Jack Earphone,Piece,1,akg,electronic-accessori,audio,,150,250,0,,,,,"electronic-accessori,audio",5,,,10080,active,1,20,,,,,,,,
jfenterprise,Rechargeable Mini Flashlight  Torch LED USB Portable Torch,Piece,1,un-categorized,electronic-accessori,audio,,300,400,0,,,,,"electronic-accessori,audio",5,,,10080,active,1,20,,,,,,,,
jfenterprise,QKZ DM10 In-Ear Earphone,Piece,1,un-categorized,electronic-accessori,audio,,360,400,0,,,,,"electronic-accessori,audio",5,,,10080,active,1,20,,,,,,,,
jfenterprise,Plextone G800 Wired Gaming Headset & Microphone,Piece,1,un-categorized,electronic-accessori,audio,,1100,1300,0,,,,,"electronic-accessori,audio",5,,,10080,active,1,20,,,,,,,,
jfenterprise,QKZ DM9 Zinc Alloy HiFi Metal Earphones,Piece,1,un-categorized,electronic-accessori,audio,,490,520,0,,,,,"electronic-accessori,audio",5,,,10080,active,1,20,,,,,,,,
