business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
visionofficialstore,Drinkit Water Purifier - Blue,Piece,1,Vision,home-appliances,water-purifiers-&-fi,,3140,0,,,,,,10,,10080,50,1,,Active,"<p class=""product-detail-delivery-details""><span class=""product-detail-delivery-details-text-container"">Binnen Hengelo voor 9 uur besteld:<br />zelfde ochtend geleverd.</span><em class=""material-icons left"">check_circle</em><span class=""product-detail-delivery-details-text-container"">Buiten Hengelo voor 11 uur besteld:<br />zelfde dag geleverd.</span><em class=""material-icons left"">check_circle</em>Franco levering.</p>",,,,,,
visionofficialstore,Drinkit Water Stainer 28 L,Piece,1,Vision,home-appliances,water-purifiers-&-fi,,2050,0,,,,,,10,,10080,50,1,,Active,"<p>Adaptive dwell maintains peak energy throughout the entire RPM range, reducing misfires while improving engine performance<br />Develops on average 4 times more available energy between 3000 and 5000 RPM, and 2 times more available plug voltage<br />Compensates for inherent electronic delay by adjusting the spark timing throughout the entire RPM range<br />Synchronized peak current and spark timing reduces heat build-up<br />Senses startup and develops more energy for quicker, easier starting<br />Built in reverse polarity and over current protection shuts down the system, preventing component damage<br />Epoxy molding makes module impervious to dirt, oil, grease and moisture<br />Stable timing, no need for adjustment<br />Will trigger most CD ignitions<br />Guaranteed for 30 months<br />Digital performance solutions give you more power and more features in a smaller package<br />Innovative technology for superior operation and rugged dependability under harsh conditions<br />Designed to give you dramatic improvement in reliability and lowered maintenance cost<br />Will help boost your system's efficiency so you can put your ride on the path to peak performance<br />Expertly built from top-notch materials to be rock-solid strong and last you for years to come more details on - https://www.carid.com/pertronix/ignitor-ii-adaptive-solid-state-dwell-ignition-control-mpn-91284.html</p>",,,,,,
visionofficialstore,Drinkit RO Water Purifier US,Piece,1,Vision,home-appliances,water-purifiers-&-fi,,9100,0,,,,,,10,,10080,50,1,,Active,"<p>Adaptive dwell maintains peak energy throughout the entire RPM range, reducing misfires while improving engine performance<br />Develops on average 4 times more available energy between 3000 and 5000 RPM, and 2 times more available plug voltage<br />Compensates for inherent electronic delay by adjusting the spark timing throughout the entire RPM range<br />Synchronized peak current and spark timing reduces heat build-up<br />Senses startup and develops more energy for quicker, easier starting<br />Built in reverse polarity and over current protection shuts down the system, preventing component damage<br />Epoxy molding makes module impervious to dirt, oil, grease and moisture<br />Stable timing, no need for adjustment<br />Will trigger most CD ignitions<br />Guaranteed for 30 months<br />Digital performance solutions give you more power and more features in a smaller package<br />Innovative technology for superior operation and rugged dependability under harsh conditions<br />Designed to give you dramatic improvement in reliability and lowered maintenance cost<br />Will help boost your system's efficiency so you can put your ride on the path to peak performance<br />Expertly built from top-notch materials to be rock-solid strong and last you for years to come more details on - https://www.carid.com/pertronix/ignitor-ii-adaptive-solid-state-dwell-ignition-control-mpn-91284.html</p>",,,,,,
visionofficialstore,Drinkit Digital RO commercial water purifier,Piece,1,Vision,home-appliances,water-purifiers-&-fi,,35000,0,,,,,,10,,10080,50,1,,Active,<p>Six Stage Filtration System. 10 G (37L) storage capacity. 50LPH purifying flowrate. Including Mineral Cartridge. 30 watt Power consume. CartridgeConsumption: 6000 L / 6 month. Machine Dimension: L-43 x W-28 xH-78 CM. Tank Dimension: L-70 x W-70 x H-54 CM. Color: As same aspicture. Warranty: 1 year warranty.</p>,,,,,,
visionofficialstore,DRINKIT RO HOT N WARM WATER PURIFIER,Piece,1,Vision,home-appliances,water-purifiers-&-fi,,16850,0,,,,,,10,,10080,50,1,,Active,<p>Six Stage Filtration System. 10 G (37L) storage capacity. 50LPH purifying flowrate. Including Mineral Cartridge. 30 watt Power consume. CartridgeConsumption: 6000 L / 6 month. Machine Dimension: L-43 x W-28 xH-78 CM. Tank Dimension: L-70 x W-70 x H-54 CM. Color: As same aspicture. Warranty: 1 year warranty.</p>,,,,,,
visionofficialstore,Travello 500mm 20 inch Sky Blue,Piece,1,Vision,fashion,travel-accessories,,3500,0,,,,,,10,,10080,50,1,,Active,<p>Product type: Trolley bag<br />Material: ABS (Acrylonitrile Butadiene Styrene)<br />Ultra Light Weight<br />Unbreakable Body<br />More Capacity<br />Water Resistant<br />Double Caster Wheel<br />TSA Combination Lock<br />Secure Double Zipper<br />Compression Straps Clast</p>,,,,,,
visionofficialstore,Travello 600mm 24 inch Sky Blue,Piece,1,Vision,fashion,travel-accessories,,4200,0,,,,,,10,,10080,50,1,,Active,<p>Product type: Trolley bag<br />Material: ABS (Acrylonitrile Butadiene Styrene)<br />Ultra Light Weight<br />Unbreakable Body<br />More Capacity<br />Water Resistant<br />Double Caster Wheel<br />TSA Combination Lock<br />Secure Double Zipper<br />Compression Straps Clast</p>,,,,,,
visionofficialstore,Travello 700mm 28 inch Sky Blue,Piece,1,Vision,fashion,travel-accessories,,5200,0,,,,,,10,,10080,50,1,,Active,<p>Product type: Trolley bag<br />Material: ABS (Acrylonitrile Butadiene Styrene)<br />Ultra Light Weight<br />Unbreakable Body<br />More Capacity<br />Water Resistant<br />Double Caster Wheel<br />TSA Combination Lock<br />Secure Double Zipper<br />Compression Straps Clast</p>,,,,,,
visionofficialstore,Travello 500mm 20 inch Red 4,Piece,1,Vision,fashion,travel-accessories,,3500,0,,,,,,10,,10080,50,1,,Active,<p>Product type: Trolley bag<br />Material: ABS (Acrylonitrile Butadiene Styrene)<br />Ultra Light Weight<br />Unbreakable Body<br />More Capacity<br />Water Resistant<br />Double Caster Wheel<br />TSA Combination Lock<br />Secure Double Zipper<br />Compression Straps Clast</p>,,,,,,
visionofficialstore,Travello 600mm  24inch Red 4,Piece,1,Vision,fashion,travel-accessories,,4200,0,,,,,,10,,10080,50,1,,Active,<p>Product type: Trolley bag<br />Material: ABS (Acrylonitrile Butadiene Styrene)<br />Ultra Light Weight<br />Unbreakable Body<br />More Capacity<br />Water Resistant<br />Double Caster Wheel<br />TSA Combination Lock<br />Secure Double Zipper<br />Compression Straps Clast</p>,,,,,,
