business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,slug,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
gadgethouse,Miyako PTC-602 Room Heater,Piece,1,miyako,home-appliances,cooling-&-heating,room-heaters,2200,3600,0,,,,,,5,,,,20,1,,active,<p><span>4 in1<br />cool/hot/warm/overheat protection<br />70 degree osecillation<br />left or right<br />400 sq ft heating area<br />high efficiency heating utilization<br />safety thermal cutoff device<br />energy seving<br />ptc heater<br />electric room heater</span></p>,,,,,,
gadgethouse,Miyako Electric Room Heater PTC-2068,Piece,1,miyako,home-appliances,cooling-&-heating,room-heaters,2300,3820,0,,,,,,5,,,,20,1,,active,<p><span>Brand: Miyako<br />Model: PTC-2068<br />Watt: 2000<br />3 in1 Option: Fan/Low/High<br />cool/hot/warm/overheat protection<br />70 degree osecillation<br />left or right<br />high efficiency heating utilization<br />safety thermal cutoff device<br />energy seving<br />400 sft coverage aria</span></p>,,,,,,
gadgethouse,Miyako Room Heater PTC-A3,Piece,1,miyako,home-appliances,cooling-&-heating,room-heaters,1600,3250,0,,,,,,5,,,,20,1,,active,<p><span>1500 Watt<br />220-240V/50-60Hz<br />Safety Thermal Cut Off Device<br />High Efficiency<br />Heating Utilization<br />Energy Saving<br />PTC Heater<br />Keep 400 sft room warm during the chilly winter season</span></p>,,,,,,
gadgethouse,Miyako Electric Room Heater PTC-158S,Piece,1,miyako,home-appliances,cooling-&-heating,room-heaters,1700,3850,0,,,,,,5,,,,20,1,,active,"<p><span>Product: Miyako Room Heater<br />Model: 158-s<br />Brand: Miyako<br />Power:1000- 2000w<br />Current:-220V-240V, 50-60HZ<br />Moving/Oscilation: 360 Degree ROTATION<br />Automatic Tharmostat: Yes<br />Energy Saving</span></p>",,,,,,
gadgethouse,Miyako PTC-10M Room Heater 700w- 1500w,Piece,1,miyako,home-appliances,cooling-&-heating,room-heaters,1850,4500,0,,,,,,5,,,,20,1,,active,<p><span>400 sq ft heating area<br />high efficiency heating utilization<br />safety thermal cutoff device<br />energy seving<br />ptc heater<br />electric room heater</span></p>,,,,,,
gadgethouse,Miyako wall Mount Room Heater PTC-5211 ,Piece,1,miyako,home-appliances,cooling-&-heating,room-heaters,4350,6500,0,,,,,,5,,,,20,1,,active,<p><span>Miyako Room Heater<br />Model: PTC 5211<br />Remote Control System<br />Weight: 1.8 Kg<br />Voltage: 220V-240V<br />Dimension: 337x237x67mm<br />Wall Mount Room Heatter<br />1000W/2000W Power Settings<br />Fan/Low/High Settings mode</span></p>,,,,,,
gadgethouse,Miyako 4 in 1 Room Heater YAS-1418,Piece,1,miyako,home-appliances,cooling-&-heating,room-heaters,2250,4200,0,,,,,,5,,,,20,1,,active,<p><span>Brand: Miyako<br />Model: YAS-1418<br />Watt: 1500<br />3 in1 Option<br />cool/hot/warm/overheat protection<br />70 degree osecillation<br />left or right<br />high efficiency heating utilization<br />safety thermal cutoff device<br />energy seving<br />electric room heater</span></p>,,,,,,
gadgethouse,Miyako PTC-159B Room Heater 2000W,Piece,1,miyako,home-appliances,cooling-&-heating,room-heaters,2450,4850,0,,,,,,5,,,,20,1,,active,"<p><span>Product: Miyako Room Heater<br />Model: ptc-159 b<br />Brand: Miyako<br />Power: 2000w<br />Current:-220V-240V, 50-60HZ<br />Moving/Oscilation: 360 Degree ROTATION<br />Automatic Tharmostat: Yes<br />Energy Saving</span></p>",,,,,,
gadgethouse,Mi Essa FH-A01 Electric Fan Heater 1000-2000 W,Piece,1,xiaomi,home-appliances,cooling-&-heating,room-heaters,900,1800,0,,,,,,5,,,,20,1,,active,"<p><span>Safety PTC Heating<br />Element Regulating knobs<br />Safety Tip-over Switch<br />Over Heating Protection<br />No Times Options<br />No Oscillations<br />Fan/Low/High Wind for Selection<br />Temperature Adjustment<br />2 Heat Setting: 1000w/2000w<br />Voltage: AC220-240V, 5oHz<br />Safety Fuse Inside<br />Power Indication Light<br />Color: As given picture.i</span></p>",,,,,,
gadgethouse,Nova NH-1201A Electric Fan Room Heater 2000W,Piece,1,nova,home-appliances,cooling-&-heating,room-heaters,900,1595,0,,,,,,5,,,,20,1,,active,"<p><span>Product Name: nova. 2000W Electric Fan Room Heater 220V Portable Electric Space Heater Mini 3 Heating Settings Air Heating Space Winter Warmer Fan<br />Item Code:49263973<br />Short Description:Specification: Product Name:Heater Fan Model:A73191 Size:26x23x12cm/10.23""x9.05""x4.72"" Color:White Material:PP Polypropylene resin Use voltage:220 - 240V Rated power:1000 - 2000W Power plug:EU Plug<br />Quantity:1 Piece<br />Package Size:20.0 * 20.0 * 20.0 ( cm )<br />Gross Weight/Package:0.5 ( kg )</span></p>",,,,,,
