business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,slug,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
flormar,Flormar Anti-Blemish Makeup Primer ,Piece,1,flormar,health-and-beauty-1,makeup,,816,960,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<span>if you have sensitive skin and would like to prep your skin for makeup with a special primer, then Anti-Blemish primer is just right for you! Giving your skin a clear look, the oil-free Flormar makeup primer helps prevent the formation of acne and assists in reducing the appearance of redness.</span>",,,,,,
flormar,Flormar Double Radiance Primer Highlighter ,Piece,1,flormar,health-and-beauty-1,makeup,,1615,1900,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<span>if you have sensitive skin and would like to prep your skin for makeup with a special primer, then Anti-Blemish primer is just right for you! Giving your skin a clear look, the oil-free Flormar makeup primer helps prevent the formation of acne and assists in reducing the appearance of redness.</span>",,,,,,
flormar,Flormar Glowing Make-Up Primer,Piece,1,flormar,health-and-beauty-1,makeup,,1020,1200,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<span>if you have sensitive skin and would like to prep your skin for makeup with a special primer, then Anti-Blemish primer is just right for you! Giving your skin a clear look, the oil-free Flormar makeup primer helps prevent the formation of acne and assists in reducing the appearance of redness.</span>",,,,,,
flormar,Flormar Illuminating Primer Make-Up Base ,Piece,1,flormar,health-and-beauty-1,makeup,,1190,1400,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<span>if you have sensitive skin and would like to prep your skin for makeup with a special primer, then Anti-Blemish primer is just right for you! Giving your skin a clear look, the oil-free Flormar makeup primer helps prevent the formation of acne and assists in reducing the appearance of redness.</span>",,,,,,
flormar,Flormar Illuminating Primer Makeup Base Plus,Piece,1,flormar,health-and-beauty-1,makeup,,816,960,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<span>if you have sensitive skin and would like to prep your skin for makeup with a special primer, then Anti-Blemish primer is just right for you! Giving your skin a clear look, the oil-free Flormar makeup primer helps prevent the formation of acne and assists in reducing the appearance of redness.</span>",,,,,,
flormar,Flormar Mattifying Makeup Primer ,Piece,1,flormar,health-and-beauty-1,makeup,,816,960,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<span>if you have sensitive skin and would like to prep your skin for makeup with a special primer, then Anti-Blemish primer is just right for you! Giving your skin a clear look, the oil-free Flormar makeup primer helps prevent the formation of acne and assists in reducing the appearance of redness.</span>",,,,,,
flormar,Flormar Pore Minimizer Makeup Primer ,Piece,1,flormar,health-and-beauty-1,makeup,,816,960,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<span>if you have sensitive skin and would like to prep your skin for makeup with a special primer, then Anti-Blemish primer is just right for you! Giving your skin a clear look, the oil-free Flormar makeup primer helps prevent the formation of acne and assists in reducing the appearance of redness.</span>",,,,,,
flormar,Flormar Lipliner Pencil  205 Elegant Bordeaux,Piece,1,flormar,health-and-beauty-1,makeup,,323,380,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<span>Waterproof Lipliner helps you shape your lips easily and adds definition thanks to the special polymers in its formula. In addition, it increases the lasting power of your lipstick by preventing it from bleeding into lines and smudging. Resistant against humidity and sweat, Flormar lip liner makes your lip make-up look smooth for longer. Available in different colors, Waterproof Lipliner will provide the base for a long lasting lip make-up.</span>",,,,,,
flormar,Flormar Lipliner Pencil  211 Classical Brown,Piece,1,flormar,health-and-beauty-1,makeup,,323,380,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<span>Waterproof Lipliner helps you shape your lips easily and adds definition thanks to the special polymers in its formula. In addition, it increases the lasting power of your lipstick by preventing it from bleeding into lines and smudging. Resistant against humidity and sweat, Flormar lip liner makes your lip make-up look smooth for longer. Available in different colors, Waterproof Lipliner will provide the base for a long lasting lip make-up.</span>",,,,,,
flormar,Flormar Lipliner Pencil  217 Chic Crimson,Piece,1,flormar,health-and-beauty-1,makeup,,323,380,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<span>Waterproof Lipliner helps you shape your lips easily and adds definition thanks to the special polymers in its formula. In addition, it increases the lasting power of your lipstick by preventing it from bleeding into lines and smudging. Resistant against humidity and sweat, Flormar lip liner makes your lip make-up look smooth for longer. Available in different colors, Waterproof Lipliner will provide the base for a long lasting lip make-up.</span>",,,,,,
