business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
purbabybangladesh,Pur Natural Bottle & Nipple Liquid Cleanser - 500ml,Piece,1,pur,babies-&-toys,mother-and-baby,,538,0,,,,,"babies-&-toys,mother-and-baby",5,,10080,100,1,,active,"<ul>
<li>Designed for cleaning feeding bottles, nipples, and utensils. It helps to eliminate grease and dirt on utensils and bottles.</li>
<li>90% Natural Ingredients derived from plants</li>
<li>Nonionic Surfactant</li>
<li>Free from Alcohol, Formaldehyde, Parabens and SLS</li>
<li>Extra Mild with Natural Nonionic Surfactant Biodegradable</li>
<li>Fresh Green Apple Scent with food grade ingredients</li>
</ul>",,,,,,
purbabybangladesh,Pur Natural Bottle & Nipple Liquid Cleanser Pouch - 450ml,Piece,1,pur,babies-&-toys,mother-and-baby,,329,0,,,,,"babies-&-toys,mother-and-baby",5,,10080,100,1,,active,"<ul>
<li>Designed for cleaning feeding bottles, nipples, and utensils. It helps to eliminate grease and dirt on utensils and bottles.</li>
<li>90% Natural Ingredients derived from plants</li>
<li>Nonionic Surfactant</li>
<li>Free from Alcohol, Formaldehyde, Parabens and SLS</li>
<li>Extra Mild with Natural Nonionic Surfactant Biodegradable</li>
<li>Fresh Green Apple Scent with food grade ingredients&nbsp;</li>
</ul>",,,,,,
purbabybangladesh,Pur Breast Milk Storage Bags (50 pc),Piece,1,pur,babies-&-toys,mother-and-baby,,860,0,,,,,"babies-&-toys,mother-and-baby",5,,10080,100,1,,active,"<ul>
<li>8oz./250ml. bags.</li>
<li>Suitable for storing milk in refrigerator or freezer.</li>
<li>Double zip lock for extra protection from leakage or spillage.</li>
<li>Easy to write on surface for labeling.</li>
<li>Made of pre-sterilized medical grade material.</li>
<li>Safe and BPA free</li>
</ul>",,,,,,
purbabybangladesh,Breast Milk Extrator( Pump),Piece,1,pur,babies-&-toys,mother-and-baby,,366,0,,,,,"babies-&-toys,mother-and-baby",5,,10080,100,1,,active,"<ul>
<li>Easy &amp; Fast Use.</li>
<li>Comfortable use with breast &amp; perfect adherence.</li>
</ul>",,,,,,
purbabybangladesh,Pur Manual Breast Pump,Piece,1,pur,babies-&-toys,mother-and-baby,,1627,0,,,,,"babies-&-toys,mother-and-baby",5,,10080,100,1,,active,"<p>PUR&nbsp;<strong>Manual Breast Pump BD</strong>&nbsp;is a convenient and time-saving way to store breast milk. It also helps mothers worry about the amount of milk that may not be sufficient when breastfeeding. In addition, in the event that the mother is busy or has to work outside the home&nbsp;The person in charge of taking care of it can feed the child immediately.&nbsp;It is important for mothers to learn how to pump and store milk.&nbsp;This ensures that your baby is receiving quality milk.&nbsp;And it is also good for the mother&rsquo;s breast health as well.</p>
<h3>Features of Manual Breast Pump</h3>
<ul>
<li>Equipped with silicone liner which provides comfort during pump</li>
<li>Effective</li>
<li>Durable</li>
<li>Long-lasting</li>
<li>Easy to clean</li>
<li>Teat for feeding is a standard neck comfort flow silicone nipple</li>
</ul>",,,,,,
purbabybangladesh,Pur Microwave Sterilizer Set,Piece,1,pur,babies-&-toys,mother-and-baby,,1977,0,,,,,"babies-&-toys,mother-and-baby",5,,10080,100,1,,active,"<ul>
<li>Can hold 4 wide neck and 7 standard neck bottles &ndash; 2 different inserts.</li>
<li>Contains a set of tweezers for easily removing the bottles when they are hot.</li>
<li>Compatible with all microwave ovens.</li>
<li>Transparent to ensure hygienic cleaning.</li>
<li>Compatible with all Pur bottles except gripper and twisted gripper bottles and 10oz./300ml. Bottles.</li>
</ul>",,,,,,
purbabybangladesh,Pur Nasal Aspirator,Piece,1,pur,babies-&-toys,mother-and-baby,,312,0,,,,,"babies-&-toys,mother-and-baby",5,,10080,100,1,,active,"<ul>
<li>Used for clearing stuffy noses.</li>
<li>Specially designed for easy use.</li>
<li>Easy to dismantle with wide opening for easy cleaning.</li>
<li>Transparent for hygienic cleaning.</li>
</ul>",,,,,,
purbabybangladesh,Pur Silicone Tooth Brush,Piece,1,pur,babies-&-toys,mother-and-baby,,155,0,,,,,"babies-&-toys,mother-and-baby",5,,10080,100,1,,active,"<ul>
<li>PUR&nbsp;<strong>Silicone Toothbrush in Bangladesh</strong>&nbsp;specially designed for a simple and effective start towards good oral hygiene.</li>
<li>Transparent to ensure a hygienic cleaning.</li>
<li>It cleans your baby&rsquo;s mouth and tongue thoroughly.</li>
<li>Made from high-quality silicone which is not harmful.</li>
<li>Soft bristles, gentle on baby&rsquo;s gums and teeth.</li>
<li>Does not cause oral irritation.</li>
<li>The brush is translucent, easy to check it&rsquo;s cleanliness.</li>
<li>No smell and taste, easy to clean, and can be steamed.</li>
<li>Soft and gentle on baby&rsquo;s gums and oral cavity.</li>
<li>Clear color for hygiene and easy to check the cleanliness.</li>
<li>No harm to babies, non-toxic, and free from nitrosamines.</li>
<li>Easy to clean and sterilize.</li>
</ul>",,,,,,
purbabybangladesh,Pur Medicine Nurser,Piece,1,pur,babies-&-toys,mother-and-baby,,196,0,,,,,"babies-&-toys,mother-and-baby",5,,10080,100,1,,active,"<ul>
<li>10cc. / 2 teaspoons.</li>
<li>Composed of silicone teat to ensure baby takes liquid drug easily.</li>
<li>Comes with transparent case for hygiene.</li>
<li>Transparent color to ensure hygienic cleaning.</li>
<li>Easy to take apart and re-assemble.</li>
<li>Break resistant and can be sterilized repeatedly.</li>
<li>Made of high quality plastic and silicone material</li>
<li>Teat is volatile and nitrosamine safe.</li>
</ul>",,,,,,
purbabybangladesh,"Pur Manicure Set In Travel Case - (Scissor, Nail Cutter, Nail File )",Piece,1,pur,babies-&-toys,mother-and-baby,,295,0,,,,,"babies-&-toys,mother-and-baby",5,,10080,100,1,,active,"<p>Our&nbsp;<strong>PUR Manicure Set in BD</strong>&nbsp;is a portable nail clipper set with a storage box. It has all the necessary equipment for your baby. At a great price, includes nail clippers, a nail file, and a storage case. Safety scissors made of stainless steel. Round scissors tip is safe to cut baby nails, which are still fragile easily. No worries about cutting nails into a baby&rsquo;s flesh. The nail clipper is the perfect size for small fingers.</p>
<p>To avoid harm to the baby the nail file is easy to grip. To help remove sharp claws on your baby&rsquo;s nails there is a storage box for good hygiene for the baby. Our PUR&nbsp;<strong>Manicure Set in Bangladesh&nbsp;</strong>is appropriate for coaching a baby&rsquo;s nails. It aids to keep the baby&rsquo;s nails fresh and precludes accidental scraping. Also, it has a comfy grip and a thumb pack lever helps prevent your thumb from affecting off the clipper lever, making nail trimming easier. Blunt ends for extra safety.</p>
<ul>
<li>Set contains a pair of scissors, a nail clipper and a nail filer.</li>
<li>Suitable for grooming baby&rsquo;s nails.</li>
<li>Helps to keep baby&rsquo;s nails clean and prevent accidental scratching.</li>
<li>Comfortable grip and thumb pad lever help prevent your thumb from moving off the clipper lever, making nail trimming easier.</li>
<li>Blunt ends for extra safety.</li>
<li>Included case for hygienic cleaning and convenient for travelling.</li>
</ul>",,,,,,
