business,name,unit, per_unit_value , brand ,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,slug,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
gadgethouse,Electric Hair Clipper Beard Trimmer BT 1230,Piece,1,philips,fashion,mens-fashion,,1300,2100,0,,,,,,5,,,,20,1,,active,,,,,,,
gadgethouse,Electric Hair Clipper Beard Trimmer BT 1235,Piece,1,philips,fashion,mens-fashion,,1600,2599,0,,,,,,5,,,,20,1,,active,,,,,,,
gadgethouse,Electric Hair Clipper Beard Trimmer Boost,Piece,1,enchen,fashion,mens-fashion,,950,1500,0,,,,,,5,,,,20,1,,active,,,,,,,
gadgethouse,Electric Hair Clipper Beard Trimmer AT 538,Piece,1,htc,fashion,mens-fashion,,530,1400,0,,,,,,5,,,,20,1,,active,,,,,,,
gadgethouse,Electric Hair Clipper Beard Trimmer AT 528,Piece,1,htc,fashion,mens-fashion,,530,999,0,,,,,,5,,,,20,1,,active,,,,,,,
gadgethouse,Electric Hair Clipper Beard Trimmer KM 730,Piece,1,kemei,fashion,mens-fashion,,400,849,0,,,,,,5,,,,20,1,,active,,,,,,,
gadgethouse,Electric Hair Clipper Beard Trimmer Gm 6058,Piece,1,gemei,fashion,mens-fashion,,600,1180,0,,,,,,5,,,,20,1,,active,,,,,,,
gadgethouse,Electric Hair Clipper Beard Trimmer KM 7055,Piece,1,kemei,fashion,mens-fashion,,550,1999,0,,,,,,5,,,,20,1,,active,,,,,,,
gadgethouse,Electric Hair Clipper Beard Trimmer Z 301,Piece,1,zolis,fashion,mens-fashion,,1000,2299,0,,,,,,5,,,,20,1,,active,,,,,,,
gadgethouse,Hand Mixer HM 133,set,1,kenwood,home-appliances,Small-Kitchen-Appliances,,470,700,0,,,,,,5,,,,20,1,,active,,,,,,,
gadgethouse,Hand Mixer 133,set,1,un-categorized,home-appliances,Small-Kitchen-Appliances,,470,1280,0,,,,,,5,,,,20,1,,active,,,,,,,
gadgethouse,Hand Mixer 620,set,1,miyako,home-appliances,Small-Kitchen-Appliances,,1900,2950,0,,,,,,5,,,,20,1,,active,,,,,,,
gadgethouse,Hand Mixer GTM 8017A2,set,1,miyako,home-appliances,Small-Kitchen-Appliances,,1530,3250,0,,,,,,5,,,,20,1,,active,,,,,,,
gadgethouse,Hand Mixer HM 112,set,1,miyako,home-appliances,Small-Kitchen-Appliances,,1530,2250,0,,,,,,5,,,,20,1,,active,,,,,,,
gadgethouse,Hair Straightener 8226,Piece,1,v&g,health-and-beauty-1,hair-care,,750,1600,0,,,,,,5,,,,20,1,,active,,,,,,,
gadgethouse,Hair Straightener 308,Piece,1,v&g,health-and-beauty-1,hair-care,,750,1900,0,,,,,,5,,,,20,1,,active,,,,,,,
gadgethouse,Hair Straightener 1248,Piece,1,v&g,health-and-beauty-1,hair-care,,750,2549,0,,,,,,5,,,,20,1,,active,,,,,,,
gadgethouse,Hair Straightener 8230,Piece,1,v&g,health-and-beauty-1,hair-care,,750,1550,0,,,,,,5,,,,20,1,,active,,,,,,,
gadgethouse,Hair Straightener KM 531,Piece,1,kemei,health-and-beauty-1,hair-care,,550,850,0,,,,,,5,,,,20,1,,active,,,,,,,
gadgethouse,Hair Straightener KM 1291,Piece,1,kemei,health-and-beauty-1,hair-care,,800,1549,0,,,,,,5,,,,20,1,,active,,,,,,,
gadgethouse,Hair Straightener KM 2116,Piece,1,kemei,health-and-beauty-1,hair-care,,550,1050,0,,,,,,5,,,,20,1,,active,,,,,,,
gadgethouse,Hair Straightener KM 2209,Piece,1,kemei,health-and-beauty-1,hair-care,,950,1549,0,,,,,,5,,,,20,1,,active,,,,,,,
gadgethouse,Hair Straightener KM 3229,Piece,1,kemei,health-and-beauty-1,hair-care,,550,1249,0,,,,,,5,,,,20,1,,active,,,,,,,
gadgethouse,Hair Straightener KM 420,Piece,1,kemei,health-and-beauty-1,hair-care,,550,949,0,,,,,,5,,,,20,1,,active,,,,,,,
gadgethouse,Hair Straightener KM 1213,Piece,1,kemei,health-and-beauty-1,hair-care,,730,1350,0,,,,,,5,,,,20,1,,active,,,,,,,
gadgethouse,Hair Straightener RN  8898,Piece,1,redien,health-and-beauty-1,hair-care,,900,1490,0,,,,,,5,,,,20,1,,active,,,,,,,
gadgethouse,Hair Straightener RN  8891,Piece,1,redien,health-and-beauty-1,hair-care,,800,1350,0,,,,,,5,,,,20,1,,active,,,,,,,
gadgethouse,Hair Straightener RN  8831,Piece,1,redien,health-and-beauty-1,hair-care,,550,970,0,,,,,,5,,,,20,1,,active,,,,,,,
